"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"RNFT1","RNFT1",4,6.8826200550725e-05,20,"0.766284463510354",0.207648647061537,0.999733212886756,0.000266787113243653
"TFAP2C","TFAP2C",6,0.000478875709429561,18,"0.379648870095463",1,4.17666941663478e-07,0.999999582333058
"CHML","CHML",3,0.00075896472775952,21,"0.00356259165055036",1,1,1.01300214279082e-39
"FOXA1","FOXA1",2,0.00101723779953177,22,"0.0218180997652532",1,1,1.05050391447768e-80
"PMEPA1","PMEPA1",7,0.00112088240695433,17,"0.00159281646202634",1,0.910090715317408,0.0899092846825921
"GNAS","GNAS",7,0.00267112934405283,17,"0.162963823037377",1,1,1.05213927591461e-35
"GSTT1","GSTT1",10,0.00276861658863126,14,"0.0464144691851905",1,NA,NA
"EGFR","EGFR",3,0.00278724854635112,21,"0.338128787872507",1,3.33485212202126e-14,0.999999999999967
"PTPN14","PTPN14",2,0.00330859714468521,22,"0.0117845985194107",1,1.08463526664681e-39,1
"CEBPZ","CEBPZ",2,0.00471549818275456,22,"0.225367203724333",1,0.0925972736945495,0.90740272630545
"FGL2","FGL2",2,0.00472311918480899,22,"0.00358798252688956",1,1.71177528797351e-21,1
"TRPS1","TRPS1",8,0.00472802649260276,16,"0.0384154390570594",1,1,5.84973677200086e-45
"NRAS","NRAS",3,0.00481267220608538,21,"0.986243458057196",1,0.999984368734993,1.56312650065361e-05
"NBEA","NBEA",2,0.00489233804271711,22,"0.944227466106222",1,0.00213033271831457,0.997869667281685
"TEAD1","TEAD1",2,0.00503300506312372,22,"0.679504881499989",1,7.97484716948577e-22,1
"ECHS1","ECHS1",2,0.00609080133723512,22,"0.290156769035418",1,0.000128706217166158,0.999871293782834
"APCDD1L","APCDD1L",7,0.00640615509935123,17,"0.269764108757236",1,8.75322070852423e-10,0.999999999124678
"LAMP1","LAMP1",4,0.00695042860349184,20,"0.0338614546520227",1,0.995759835579413,0.00424016442058714
"MATN2","MATN2",7,0.00701406616967227,17,"0.0352839750895862",1,8.70360352511266e-57,1
"RPA3","RPA3",2,0.00711778128035904,22,"0.00871348156855803",1,1,2.36255220976606e-74
"POLA2","POLA2",2,0.00717404808388562,22,"0.0704244896756624",1,1,6.78498951742033e-82
"CACNG1","CACNG1",6,0.00828281642195698,18,"0.00118796923134302",1,0.688966890031611,0.311033109968389
"CFHR2","CFHR2",5,0.00855797734829626,19,"0.178972368874539",1,0.93723872993628,0.0627612700637201
"RAB22A","RAB22A",7,0.0087580462913209,17,"0.330325438344498",1,1,1.03844325126287e-21
"ABCC5","ABCC5",5,0.00930744760186987,19,"4.37710412907779e-05",1,1,9.67866259370009e-58
"KIF2B","KIF2B",2,0.00937939104961151,22,"0.30634703878404",1,0.563760380619613,0.436239619380387
"KCNB2","KCNB2",3,0.0119093969007831,21,"0.00675467687311363",1,0.00195607765287876,0.998043922347121
"OR2T10","OR2T10",16,0.012323579530522,8,"0.0431742287438672",1,0.561811069847438,0.438188930152562
"FGF19","FGF19",6,0.0124947547391149,18,"0.0485872095691704",1,0.579939366658593,0.420060633341407
"NR1D1","NR1D1",3,0.0145562980792668,21,"0.0381433826440612",1,1.33339714986353e-08,0.999999986666029
"GNB1L","GNB1L",2,0.0153138799059097,22,"0.980860438727386",1,1,7.64384519410634e-25
"ZDHHC19","ZDHHC19",6,0.0170936020370143,18,"0.00220026899902697",1,0.00228335154713791,0.997716648452862
"ADRB3","ADRB3",5,0.0176188467876822,19,"0.144438200436615",1,0.00190124637478786,0.998098753625212
