"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"CDC25B","CDC25B",2,3.01551678097479e-05,22,"0.0637295586553085",0.0540079055472585,1,8.43266060863374e-57
"PIK3CA","PIK3CA",10,0.000266884686054766,14,"0.528150892525609",0.477723588038031,5.97955269793843e-15,0.999999999999994
"PKD1","PKD1",2,0.00318220602757581,22,"0.818384030941995",1,6.79116673055094e-17,1
"USP5","USP5",2,0.00353570425667863,22,"0.894539589047904",1,1,6.34207691368152e-71
"TRPM1","TRPM1",2,0.0063179853320821,22,"0.0012016978649072",1,3.90904588817822e-11,0.999999999960909
"DSP","DSP",2,0.00717404808388562,22,"0.0190828854090019",1,0.99999999995218,4.78204017088073e-11
"TRPM6","TRPM6",2,0.00869403938466643,22,"0.0789268416521021",1,2.79423371574477e-31,1
"TAF1","TAF1",2,0.00968263119884753,22,"0.926007025443325",1,8.16170468475646e-14,0.999999999999918
"HCN1","HCN1",2,0.0108627479432779,22,"0.401007379584236",1,1.98170678112586e-06,0.999998018293219
"TP53","TP53",12,0.0112254143199362,12,"0.459925593219369",1,0.989498619540055,0.0105013804599446
"FCGRT","FCGRT",2,0.0117592508355618,22,"0.781118005869405",1,6.68468121468227e-07,0.999999331531878
"KCNK13","KCNK13",2,0.0125045243908945,22,"0.0020855823419072",1,0.999999999917383,8.26169196623485e-11
"CNTNAP2","CNTNAP2",2,0.0177218298536281,22,"0.00146441756606105",1,1,1.05414710498206e-49
"KRAS","KRAS",2,0.0227961913642942,22,"0.951554126918317",1,1,1.50649778281032e-38
"CACNA1A","CACNA1A",2,0.0277457646400049,22,"0.0126007778971707",1,0.999764462179504,0.000235537820495764
"NCOR2","NCOR2",3,0.027938515448638,21,"0.184496206581784",1,0.99885166533691,0.00114833466308984
"BIRC6","BIRC6",4,0.0316166968578619,20,"0.065003254159784",1,0.0296770821125054,0.970322917887495
"PTPN14","PTPN14",2,0.0349211096846957,22,"0.00821584570377108",1,1.08463526664681e-39,1
"ESPN","ESPN",2,0.0367905251936031,22,"0.00424102538450437",1,1,1.70603145636008e-61
"UBA7","UBA7",2,0.0423024430989904,22,"0.00229526765225199",1,0.19072507739243,0.80927492260757
"GPR19","GPR19",2,0.0440775821680895,22,"0.416602874528647",1,1,4.51088583501132e-69
"SH2D4A","SH2D4A",2,0.0442641043606169,22,"0.856459353800872",1,1,3.0597854890025e-28
"DMRT3","DMRT3",2,0.0474468946274683,22,"0.0670499936307947",1,3.57505542346336e-08,0.999999964249446
"CCKAR","CCKAR",2,0.0485894199665957,22,"0.00379291230451814",1,1,1.4839814594008e-19
"OR5H6","OR5H6",2,0.0527080363179989,22,"0.004360390181382",1,NA,NA
"UBE3A","UBE3A",3,0.055273779078906,21,"0.98902777396382",1,0.885850878508817,0.114149121491183
"KIF17","KIF17",2,0.0589169970658429,22,"0.648045950278806",1,1.20375757689508e-21,1
"LRP1B","LRP1B",6,0.0649438620719271,18,"0.0865772787893765",1,0.996461055780679,0.00353894421932139
"ZMYM5","ZMYM5",2,0.0652730396673547,22,"0.00438715429471905",1,7.31967282519368e-07,0.999999268032717
"NID1","NID1",2,0.0669559636657898,22,"0.0350993287654118",1,1.30407545993025e-08,0.999999986959245
"USP19","USP19",2,0.0681959959231214,22,"0.00255717102738239",1,4.73488897504081e-13,0.999999999999526
"ADPGK","ADPGK",2,0.0721332557807706,22,"0.00896715392818178",1,1,1.37716301663001e-18
"ATP1A4","ATP1A4",2,0.0767638850187802,22,"0.0105077850013819",1,0.99999999990929,9.07100398968467e-11
