"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"CREBBP","CREBBP",2,0.601693165256108,7,"0.19623913038436",1,NA,NA
"WDR27","WDR27",2,0.74700674948218,7,"0.845160464186782",1,NA,NA
"TP53","TP53",2,0.750786863302203,7,"0.630646864405731",1,NA,NA
"MAP3K2","MAP3K2",2,0.857565714290385,7,"0.81963909285388",1,NA,NA
"MAP4K5","MAP4K5",3,0.893330215725535,6,"0.765001740956647",1,NA,NA
"HELZ","HELZ",2,0.899827276357217,7,"0.091125907480292",1,NA,NA
"MACF1","MACF1",2,0.932324471864622,7,"0.62676369749519",1,NA,NA
"CHD7","CHD7",2,0.937696707132929,7,"0.959251544249599",1,NA,NA
"PIK3R1","PIK3R1",2,0.993761126017378,7,"0.771189839272344",1,NA,NA
"WDR70","WDR70",1,0.00439287034549896,8,"3.81996880793878e-08",0.619394718715353,NA,NA
"VAX2","VAX2",1,0.0150612099518637,8,"0.100020746230118",1,NA,NA
"DDX54","DDX54",1,0.0246313381281614,8,"0.0864857470134887",1,NA,NA
"HDAC5","HDAC5",1,0.0262002115996857,8,"0.0486701788320258",1,NA,NA
"CNGA3","CNGA3",1,0.0312206067085631,8,"0.43968202904356",1,NA,NA
"RBM19","RBM19",1,0.0324757054857825,8,"0.00194021223235574",1,NA,NA
"GABRR1","GABRR1",1,0.0361625581438644,8,"0.480491456403162",1,NA,NA
"DDX10","DDX10",1,0.0403985165169798,8,"0.00843874143155954",1,NA,NA
"GAB1","GAB1",1,0.0458111299937384,8,"0.905502012269502",1,NA,NA
"VAT1L","VAT1L",1,0.0487919895896343,8,"0.0330430598364483",1,NA,NA
"CR2","CR2",1,0.057185462662289,8,"0.686697489458836",1,NA,NA
"DICER1","DICER1",1,0.0686382390044157,8,"0.436337195862347",1,NA,NA
"OGT","OGT",1,0.0691873447194493,8,"0.000796321245126963",1,NA,NA
"ITGA4","ITGA4",1,0.0871509459684016,8,"0.266259811065497",1,NA,NA
"KSR1","KSR1",1,0.0889551504606544,8,"0.55949970483053",1,NA,NA
"ARHGAP26","ARHGAP26",1,0.0937402145488032,8,"0.16163392233996",1,NA,NA
"SMPD2","SMPD2",1,0.0960150810825133,8,"0.129733001784332",1,NA,NA
"ROS1","ROS1",1,0.105428321911659,8,"0.20860267262914",1,NA,NA
"MYO7A","MYO7A",1,0.105506765585235,8,"0.823300803201481",1,NA,NA
"OR2W3","OR2W3",1,0.110213385999808,8,"0.0177930635967527",1,NA,NA
"SP140L","SP140L",1,0.142139961145325,8,"0.788454427262421",1,NA,NA
"SSH2","SSH2",1,0.151082539933014,8,"0.221333572487639",1,NA,NA
"ITGB5","ITGB5",1,0.153122075445995,8,"0.997921789152805",1,NA,NA
"MRE11A","MRE11A",1,0.153592737487452,8,"0.00273862834231287",1,NA,NA
"ITGAD","ITGAD",1,0.161829323212954,8,"0.710813290256038",1,NA,NA
"KIF13B","KIF13B",1,0.174537198332301,8,"0.813321371377092",1,NA,NA
"AKR1B1","AKR1B1",1,0.17641984649813,8,"0.943838865008396",1,NA,NA
"FGF10","FGF10",1,0.17641984649813,8,"0.00493817827936438",1,NA,NA
"VPREB3","VPREB3",1,0.18324444609926,8,"0.999497525371331",1,NA,NA
"HMHA1","HMHA1",1,0.1890492779439,8,"0.61899040064095",1,NA,NA
"JARID2","JARID2",1,0.228663333099886,8,"0.587272067840702",1,NA,NA
"KIF15","KIF15",1,0.23666458780466,8,"0.61029141295995",1,NA,NA
"CHD9","CHD9",1,0.241998757607842,8,"0.454744498330632",1,NA,NA
"ABI1","ABI1",1,0.243253856385061,8,"0.118701802383601",1,NA,NA
"ACACA","ACACA",1,0.248274251493939,8,"0.254147648690414",1,NA,NA
"COLEC12","COLEC12",1,0.261452788654742,8,"0.575851067714099",1,NA,NA
"ADRBK1","ADRBK1",1,0.264512091924215,8,"0.072975985910284",1,NA,NA
"SETX","SETX",1,0.281220594395948,8,"0.250475302947065",1,NA,NA
"RCC1","RCC1",1,0.286240989504825,8,"0.820479645510724",1,NA,NA
"SPAG1","SPAG1",1,0.302321942587948,8,"0.520747925621046",1,NA,NA
"SMARCA4","SMARCA4",1,0.323031072412068,8,"0.128736095954268",1,NA,NA
"BPTF","BPTF",1,0.33354252467128,8,"0.0109350549731034",1,NA,NA
"ZNF197","ZNF197",1,0.335111398142804,8,"0.995853466113867",1,NA,NA
"ATRX","ATRX",1,0.336052722225719,8,"0.415006761719301",1,NA,NA
"PPP3CA","PPP3CA",1,0.348760597345065,8,"0.0130322049509418",1,NA,NA
"SI","SI",1,0.362017578179445,8,"0.530842537380115",1,NA,NA
"TDRKH","TDRKH",1,0.362645127568055,8,"0.71401358833963",1,NA,NA
"GCM1","GCM1",1,0.368606846759847,8,"0.552795904662714",1,NA,NA
"ACAD9","ACAD9",1,0.375196115340248,8,"0.449367398608002",1,NA,NA
"CDK19","CDK19",1,0.384217137801513,8,"0.999161092838521",1,NA,NA
"WDR36","WDR36",1,0.391120181076219,8,"0.000225083655079228",1,NA,NA
"DPP10","DPP10",1,0.392689054547743,8,"0.436597195425585",1,NA,NA
"LYST","LYST",1,0.397160343941587,8,"0.724720889709596",1,NA,NA
"PAPPA2","PAPPA2",1,0.399513654148874,8,"0.845712649110621",1,NA,NA
"FER1L6","FER1L6",1,0.402729844765498,8,"0.10414179864566",1,NA,NA
"ALB","ALB",1,0.405946035382123,8,"0.946055054337872",1,NA,NA
"HAVCR1","HAVCR1",1,0.413241297024711,8,"0.38417953447565",1,NA,NA
"CYP4X1","CYP4X1",1,0.416928149682793,8,"0.0226074546053556",1,NA,NA
"HMGCR","HMGCR",1,0.418340135807164,8,"0.966755969307984",1,NA,NA
"ANKRD11","ANKRD11",1,0.419203016216503,8,"0.0303914334474557",1,NA,NA
"MSGN1","MSGN1",1,0.425870728470481,8,"0.638727335489502",1,NA,NA
"E2F3","E2F3",1,0.435048638278897,8,"0.681816721858535",1,NA,NA
"ABCA13","ABCA13",1,0.440618139102808,8,"0.275215760978518",1,NA,NA
"DSP","DSP",1,0.452698464833545,8,"0.667200038942093",1,NA,NA
"ARID1A","ARID1A",1,0.457326641574541,8,"0.825232330085597",1,NA,NA
"UNC5C","UNC5C",1,0.462425480356995,8,"0.388405654076356",1,NA,NA
"LMBR1","LMBR1",1,0.464072797502095,8,"0.52765455558796",1,NA,NA
"PREX2","PREX2",1,0.46728898811872,8,"0.994159877072973",1,NA,NA
"ABCB9","ABCB9",1,0.49419516815536,8,"0.664411732217051",1,NA,NA
"FSHR","FSHR",1,0.496234703668342,8,"0.16539997947503",1,NA,NA
"APRT","APRT",1,0.505098838782454,8,"0.0749413036418177",1,NA,NA
"NPHS1","NPHS1",1,0.527219954730945,8,"0.856774332715149",1,NA,NA
"TBC1D19","TBC1D19",1,0.531299025756908,8,"0.621291001012259",1,NA,NA
"COL4A4","COL4A4",1,0.554204578441162,8,"0.976523828730121",1,NA,NA
"ARMC1","ARMC1",1,0.561578283757326,8,"0.292337977789981",1,NA,NA
"FANCF","FANCF",1,0.574443046223824,8,"0.488758089312795",1,NA,NA
"ITGAE","ITGAE",1,0.57577658867462,8,"0.904926727021266",1,NA,NA
"MTMR14","MTMR14",1,0.580169434394888,8,"0.925860437286434",1,NA,NA
"MYT1","MYT1",1,0.586444928280985,8,"0.935195798242436",1,NA,NA
"ATP10B","ATP10B",1,0.58777847073178,8,"0.330260372352432",1,NA,NA
"RRM2B","RRM2B",1,0.593504858902844,8,"0.923956482402243",1,NA,NA
"TADA2A","TADA2A",1,0.600957007892584,8,"0.590281646624297",1,NA,NA
"IRF5","IRF5",1,0.602133662996227,8,"0.0101264052568727",1,NA,NA
"CSF1R","CSF1R",1,0.604643860550665,8,"0.0121817774706789",1,NA,NA
"INO80D","INO80D",1,0.616488855260673,8,"0.365243282147472",1,NA,NA
"MEF2A","MEF2A",1,0.61821461607935,8,"0.169631801276206",1,NA,NA
"PHF20L1","PHF20L1",1,0.628490737317834,8,"0.320279601133603",1,NA,NA
"ALDH7A1","ALDH7A1",1,0.635942886307574,8,"0.504662689312549",1,NA,NA
"TTF1","TTF1",1,0.649356754489106,8,"0.0819843110511529",1,NA,NA
"AGT","AGT",1,0.665280820225077,8,"0.024817620513286",1,NA,NA
"EPHA7","EPHA7",1,0.668810785536006,8,"0.948613522840968",1,NA,NA
"GPR98","GPR98",1,0.674772504727798,8,"0.348853684967443",1,NA,NA
"MAP1B","MAP1B",1,0.677596476976542,8,"0.984051783956916",1,NA,NA
"CALM2","CALM2",1,0.679165350448066,8,"0.108289420783514",1,NA,NA
"SLC16A5","SLC16A5",1,0.679871343510252,8,"0.733085155180157",1,NA,NA
"NGEF","NGEF",1,0.689284584339397,8,"0.47061995918619",1,NA,NA
"ZNF638","ZNF638",1,0.700580473334372,8,"0.568115731051437",1,NA,NA
"BLM","BLM",1,0.701600241090862,8,"0.839702976587855",1,NA,NA
"RAB34","RAB34",1,0.719642286013391,8,"0.701280962127568",1,NA,NA
"CNTRL","CNTRL",1,0.728114202759622,8,"0.260924422894018",1,NA,NA
"TDRD7","TDRD7",1,0.763727630563221,8,"0.395622729984724",1,NA,NA
"NEK10","NEK10",1,0.771571997920843,8,"0.24572107499722",1,NA,NA
"WHSC1L1","WHSC1L1",1,0.775494181599653,8,"0.696298289910047",1,NA,NA
"DDX31","DDX31",1,0.777298386091906,8,"0.387646166886196",1,NA,NA
"MXD3","MXD3",1,0.791182916314895,8,"0.879948028914921",1,NA,NA
"DOCK9","DOCK9",1,0.795340431014434,8,"0.915211242121032",1,NA,NA
"SACS","SACS",1,0.800831488164769,8,"0.862870056041688",1,NA,NA
"WWP1","WWP1",1,0.801537481226955,8,"0.47658619516149",1,NA,NA
"GPRC5B","GPRC5B",1,0.802165030615565,8,"0.323026677489701",1,NA,NA
"TINF2","TINF2",1,0.811186053076829,8,"0.271710746502462",1,NA,NA
"ADRA1A","ADRA1A",1,0.81157827144471,8,"0.161351890793901",1,NA,NA
"RB1","RB1",1,0.812598039201201,8,"0.473020772119759",1,NA,NA
"PDGFA","PDGFA",1,0.823031047786837,8,"0.47658619516149",1,NA,NA
"NFKB1","NFKB1",1,0.8271101188128,8,"0.879793064301059",1,NA,NA
"TTN","TTN",1,0.828443661263595,8,"0.716684114437171",1,NA,NA
"USP28","USP28",1,0.854879179258779,8,"0.999382674549284",1,NA,NA
"TRIM32","TRIM32",1,0.8838248948084,8,"0.103668428916566",1,NA,NA
"DLX6","DLX6",1,0.886884198077873,8,"0.657594068284452",1,NA,NA
"TNFRSF1A","TNFRSF1A",1,0.913868821788089,8,"0.107821018145941",1,NA,NA
"FES","FES",1,0.916379019342528,8,"0.976251189745172",1,NA,NA
"MAP3K10","MAP3K10",1,0.92234073853432,8,"0.95093712309809",1,NA,NA
"COL19A1","COL19A1",1,0.933793514876447,8,"0.960896556223143",1,NA,NA
"DACH1","DACH1",1,0.943285199379168,8,"0.957805559790146",1,NA,NA
"MIDN","MIDN",1,0.944383410809235,8,"0.793609601863232",1,NA,NA
"GCLC","GCLC",1,0.945873840607183,8,"0.4739963768692",1,NA,NA
"RICTOR","RICTOR",1,0.948854700203079,8,"0.4925549910532",1,NA,NA
"PCDH7","PCDH7",1,0.960778138586663,8,"0.182774041511976",1,NA,NA
"MAST1","MAST1",1,0.961719462669578,8,"0.646976383103843",1,NA,NA
"PTPN13","PTPN13",1,0.970034492068656,8,"0.12991666401493",1,NA,NA
"DHX36","DHX36",1,0.980389056980716,8,"0.696960294577826",1,NA,NA
"PPP3R1","PPP3R1",1,0.980859719022173,8,"0.0627109005684101",1,NA,NA
"PTPN3","PTPN3",1,0.98713521290827,8,"0.0508653128272086",1,NA,NA
"A1CF","A1CF",0,NA,9,"0.31345317004108",NA,NA,NA
"AAAS","AAAS",0,NA,9,"0.322635451199989",NA,NA,NA
"AADAT","AADAT",0,NA,9,"0.929507356136726",NA,NA,NA
"AAMDC","AAMDC",0,NA,9,"0.0807852174592892",NA,NA,NA
"AAMP","AAMP",0,NA,9,"0.00134580863735334",NA,NA,NA
"AANAT","AANAT",0,NA,9,"0.0372118423417689",NA,NA,NA
"AATF","AATF",0,NA,9,"0.00323824555592311",NA,NA,NA
"AATK","AATK",0,NA,9,"0.683466292451721",NA,NA,NA
"ABCA1","ABCA1",0,NA,9,"0.172808596842947",NA,NA,NA
"ABCA10","ABCA10",0,NA,9,"0.836976947902971",NA,NA,NA
"ABCA12","ABCA12",0,NA,9,"0.483838679487787",NA,NA,NA
"ABCA3","ABCA3",0,NA,9,"0.298800533972788",NA,NA,NA
"ABCA4","ABCA4",0,NA,9,"0.253767911394988",NA,NA,NA
"ABCA5","ABCA5",0,NA,9,"0.063540041687592",NA,NA,NA
"ABCA6","ABCA6",0,NA,9,"0.0744393915623091",NA,NA,NA
"ABCA7","ABCA7",0,NA,9,"0.557188254759255",NA,NA,NA
"ABCA8","ABCA8",0,NA,9,"0.989597328932104",NA,NA,NA
"ABCA9","ABCA9",0,NA,9,"0.798702222027936",NA,NA,NA
"ABCB1","ABCB1",0,NA,9,"0.465755487939267",NA,NA,NA
"ABCB10","ABCB10",0,NA,9,"0.0589699862205172",NA,NA,NA
"ABCB11","ABCB11",0,NA,9,"0.72098535949847",NA,NA,NA
"ABCB8","ABCB8",0,NA,9,"0.288387181517311",NA,NA,NA
"ABCC1","ABCC1",0,NA,9,"0.94641037550777",NA,NA,NA
"ABCC10","ABCC10",0,NA,9,"0.71530002979849",NA,NA,NA
