"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"FOXK1","FOXK1",2,0.0032767686125357,9,"0.606813174982666",1,NA,NA
"RAPGEF5","RAPGEF5",2,0.0080346858766508,9,"0.000142036449843482",1,NA,NA
"ARHGEF2","ARHGEF2",2,0.0119525171962731,9,"0.177892928076499",1,NA,NA
"GPT2","GPT2",2,0.0139980589627612,9,"0.994751269838588",1,NA,NA
"HOXA5","HOXA5",2,0.0164176142725037,9,"0.00257541427634041",1,NA,NA
"C3orf43","C3orf43",2,0.0189229757798895,9,"0.904333806699281",1,NA,NA
"UTS2D","UTS2D",2,0.0192755939477448,9,"0.0929070838109081",1,NA,NA
"TNS3","TNS3",2,0.0195538266004153,9,"0.943171884530984",1,NA,NA
"PHKB","PHKB",2,0.0239837382159893,9,"0.587423406024469",1,NA,NA
"GLI3","GLI3",2,0.025466294980923,9,"0.596249799957244",1,NA,NA
"RXFP4","RXFP4",2,0.0503909325351761,9,"0.768351497675824",1,NA,NA
"HOXA11","HOXA11",2,0.050965325750107,9,"0.409594839210186",1,NA,NA
"GPNMB","GPNMB",2,0.0527080363179988,9,"0.0238597096326277",1,NA,NA
"GPR160","GPR160",2,0.0573124336622232,9,"0.108299872283643",1,NA,NA
"WWP2","WWP2",2,0.0690387209077942,9,"0.938422666039221",1,NA,NA
"TWIST1","TWIST1",2,0.0699746300672432,9,"0.197720380026318",1,NA,NA
"TMEM207","TMEM207",2,0.0827786716659109,9,"0.0633785525987736",1,NA,NA
"LRRC33","LRRC33",2,0.0836426935946043,9,"0.0317006565655146",1,NA,NA
"HDAC9","HDAC9",2,0.0900160425263092,9,"0.226556348427788",1,NA,NA
"ACTB","ACTB",2,0.091352317179969,9,"0.807378157943259",1,NA,NA
"LEPREL1","LEPREL1",2,0.100840950190193,9,"0.112780814470027",1,NA,NA
"CLCN2","CLCN2",2,0.113510364143262,9,"0.718753896528711",1,NA,NA
"MFN1","MFN1",2,0.115273823924423,9,"5.78781776871611e-05",1,NA,NA
"CAMK2B","CAMK2B",2,0.123670026467079,9,"0.410530435543679",1,NA,NA
"DDX19A","DDX19A",2,0.126771225382555,9,"0.726288750512277",1,NA,NA
"JAZF1","JAZF1",2,0.131515144919323,9,"0.820384361575635",1,NA,NA
"MEOX2","MEOX2",3,0.13591203291523,8,"0.260986156772544",1,NA,NA
"AKTIP","AKTIP",2,0.141723422192567,9,"0.628785980772205",1,NA,NA
"TBL1XR1","TBL1XR1",2,0.143314866441234,9,"0.880624702682473",1,NA,NA
"ARL4A","ARL4A",3,0.148685514793122,8,"0.0516801029854005",1,NA,NA
"KIAA0226","KIAA0226",2,0.153093531016538,9,"0.0285776071013727",1,NA,NA
"MASP1","MASP1",2,0.155796539633441,9,"0.00529747033823668",1,NA,NA
"IL6","IL6",2,0.163374196942316,9,"0.394147238126077",1,NA,NA
"KLHL7","KLHL7",2,0.163508744338603,9,"0.0501072962066247",1,NA,NA
"MYNN","MYNN",2,0.168116307322479,9,"0.00821468197287406",1,NA,NA
"PIGZ","PIGZ",2,0.175147689442388,9,"0.164588211250233",1,NA,NA
"GRB10","GRB10",2,0.177196455139797,9,"0.573877518612415",1,NA,NA
"MAP3K13","MAP3K13",2,0.183319221584746,9,"0.828367810894109",1,NA,NA
"CHIC2","CHIC2",2,0.185845267327576,9,"0.300168176462591",1,NA,NA
"IKZF1","IKZF1",2,0.195484144773732,9,"0.870958672383157",1,NA,NA
"HES1","HES1",2,0.197549623124767,9,"0.152949857422779",1,NA,NA
"DGKB","DGKB",3,0.200369486206123,8,"0.619206255426642",1,NA,NA
