"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"AHCTF1","AHCTF1",-1,-1,9,"-1.90958360235527e-13",-1.1201617411416e-09,NA,NA
"TFRC","TFRC",-1,-1,9,"3.115773195006e-10",1.82740097887102e-06,NA,NA
"UTP15","UTP15",-1,-1,11,"8.81061115176607e-08",0.000516654237939562,NA,NA
"PLRG1","PLRG1",-1,-1,11,"1.12068183177882e-07",0.000657055757971922,NA,NA
"COPS8","COPS8",-1,-1,11,"1.56809072504593e-07",0.000919214783021924,NA,NA
"NAA15","NAA15",-1,-1,11,"3.01663330537494e-07",0.00176804878028025,NA,NA
"RANBP2","RANBP2",-1,-1,10,"1.65609419555679e-06",0.00970471198596279,NA,NA
"TTC1","TTC1",-1,-1,11,"4.38299607852244e-06",0.025679974024063,NA,NA
"SNRNP40","SNRNP40",-1,-1,11,"4.74837680641826e-06",0.0278159913319982,NA,NA
"CDK7","CDK7",-1,-1,11,"5.27672015138148e-06",0.0309057499266413,NA,NA
"XAF1","XAF1",-1,-1,11,"5.63423241195515e-06",0.0329940650044094,NA,NA
"TTK","TTK",-1,-1,10,"5.67483664470902e-06",0.0332261685547713,NA,NA
"CDK12","CDK12",-1,-1,11,"6.75124848326103e-06",0.0395218086210101,NA,NA
"VPRBP","VPRBP",-1,-1,11,"7.57403319395777e-06",0.0443308162842348,NA,NA
"GEMIN5","GEMIN5",-1,-1,11,"8.62138432222714e-06",0.0504523410536732,NA,NA
"UBA3","UBA3",-1,-1,11,"1.16830445116012e-05",0.0683574934373786,NA,NA
"ASH2L","ASH2L",-1,-1,11,"1.4699630993098e-05",0.0859928413096233,NA,NA
"UBE2I","UBE2I",-1,-1,11,"1.80702381049613e-05",0.105692822675919,NA,NA
"CCDC91","CCDC91",-1,-1,11,"2.27201482744244e-05",0.132867427108834,NA,NA
"ANKRD46","ANKRD46",-1,-1,10,"2.50601152538277e-05",0.146526493889131,NA,NA
"COPS3","COPS3",-1,-1,11,"2.5599562167522e-05",0.149655040431334,NA,NA
"MCL1","MCL1",-1,-1,10,"2.56033760882568e-05",0.149655040431334,NA,NA
"UBE2H","UBE2H",-1,-1,11,"2.62760279259311e-05",0.153557107199141,NA,NA
"TOP2A","TOP2A",-1,-1,11,"2.74770291380788e-05",0.160548281253794,NA,NA
"BCLAF1","BCLAF1",-1,-1,10,"3.26177271652295e-05",0.190552762099271,NA,NA
"OGDH","OGDH",-1,-1,9,"4.07460571598683e-05",0.237997719870791,NA,NA
"ACVR1B","ACVR1B",-1,-1,11,"4.14829679029616e-05",0.242260532553296,NA,NA
"WIPI2","WIPI2",-1,-1,9,"4.40583004743811e-05",0.257256416469911,NA,NA
"B9D1","B9D1",-1,-1,11,"4.56362212962746e-05",0.266424259927651,NA,NA
"MED16","MED16",-1,-1,11,"4.95189796606565e-05",0.289042284279252,NA,NA
"JUNB","JUNB",-1,-1,11,"6.55071901017878e-05",0.382299961434034,NA,NA
"SOD2","SOD2",-1,-1,10,"7.08355412902817e-05",0.413325383428794,NA,NA
"CARS","CARS",-1,-1,11,"7.34586182559172e-05",0.428557578905021,NA,NA
"XRCC5","XRCC5",-1,-1,11,"7.55857745721178e-05",0.440891823079163,NA,NA
"NCBP2","NCBP2",-1,-1,9,"7.63849289073804e-05",0.445476905387842,NA,NA
"TIPARP","TIPARP",-1,-1,11,"8.40755527049541e-05",0.490244547822587,NA,NA
"RFC4","RFC4",-1,-1,8,"8.65231655124976e-05",0.504430054937861,NA,NA
"POLD1","POLD1",-1,-1,11,"8.85089605953127e-05",0.515918731310078,NA,NA
"PCGF1","PCGF1",-1,-1,11,"9.19153283497343e-05",0.535682533622251,NA,NA
"PDZRN4","PDZRN4",-1,-1,10,"0.000117747524725931",0.686114826578,NA,NA
"HMGB1","HMGB1",-1,-1,11,"0.000134756016276105",0.785088550824588,NA,NA
"AATF","AATF",-1,-1,11,"0.0001387525570552",0.80823364484654,NA,NA
"LIMK2","LIMK2",-1,-1,10,"0.000162548357559134",0.946681634424396,NA,NA
"WDR82","WDR82",-1,-1,11,"0.000176705834267432",1,NA,NA
"AFP","AFP",-1,-1,10,"0.000184816007142152",1,NA,NA
"VRK3","VRK3",-1,-1,11,"0.000194948046417176",1,NA,NA
"CSNK1A1","CSNK1A1",-1,-1,11,"0.000199989980981918",1,NA,NA
"MYC","MYC",-1,-1,10,"0.000216588781191462",1,NA,NA
"TRA2B","TRA2B",-1,-1,9,"0.000222363612700449",1,NA,NA
"WDFY2","WDFY2",-1,-1,11,"0.000225825916205236",1,NA,NA
"CDC40","CDC40",-1,-1,10,"0.000228093428350062",1,NA,NA
"WSB1","WSB1",-1,-1,11,"0.00022826324383407",1,NA,NA
"KPNA6","KPNA6",-1,-1,11,"0.0002325210141082",1,NA,NA
"RNGTT","RNGTT",-1,-1,11,"0.000289572507257585",1,NA,NA
"WDR33","WDR33",-1,-1,11,"0.000300303893066345",1,NA,NA
"VPS28","VPS28",-1,-1,10,"0.00030493715631974",1,NA,NA
"PRDX3","PRDX3",-1,-1,11,"0.000307286965273379",1,NA,NA
"CASP8AP2","CASP8AP2",-1,-1,11,"0.000318603196813649",1,NA,NA
"AANAT","AANAT",-1,-1,10,"0.000331483185981307",1,NA,NA
"SUMO2","SUMO2",-1,-1,11,"0.000335501627349855",1,NA,NA
"SMARCD1","SMARCD1",-1,-1,11,"0.00036601222758037",1,NA,NA
"KIAA1875","KIAA1875",-1,-1,8,"0.000369807504196018",1,NA,NA
"GABRP","GABRP",-1,-1,11,"0.000399537538942396",1,NA,NA
"GMNN","GMNN",-1,-1,11,"0.000419050116695852",1,NA,NA
"LGALS1","LGALS1",-1,-1,11,"0.000426676329442155",1,NA,NA
"WDR61","WDR61",-1,-1,11,"0.00045639059144098",1,NA,NA
"VSTM2L","VSTM2L",-1,-1,11,"0.000487105426941081",1,NA,NA
"UBL5","UBL5",-1,-1,11,"0.000487438315475486",1,NA,NA
"RPP40","RPP40",-1,-1,11,"0.000513688260401546",1,NA,NA
"WDR7","WDR7",-1,-1,9,"0.000523450001767567",1,NA,NA
"MCPH1","MCPH1",-1,-1,11,"0.000586673446617336",1,NA,NA
"MED19","MED19",-1,-1,11,"0.000591601544189579",1,NA,NA
"SMARCA4","SMARCA4",-1,-1,11,"0.000613112820086581",1,NA,NA
"AHCY","AHCY",-1,-1,10,"0.000664159832779343",1,NA,NA
"GPT2","GPT2",-1,-1,8,"0.000686125805853588",1,NA,NA
"PCDH8","PCDH8",-1,-1,11,"0.000775615127807217",1,NA,NA
"MTHFD1","MTHFD1",-1,-1,11,"0.00078497889205642",1,NA,NA
"ACO2","ACO2",-1,-1,11,"0.000798308393577418",1,NA,NA
"DTL","DTL",-1,-1,11,"0.00081735989783549",1,NA,NA
"CDC20","CDC20",-1,-1,11,"0.000819472067698057",1,NA,NA
"RNPC3","RNPC3",-1,-1,10,"0.000844456100195012",1,NA,NA
"C9orf96","C9orf96",-1,-1,11,"0.000858053032770978",1,NA,NA
"RNF40","RNF40",-1,-1,11,"0.000858328406853848",1,NA,NA
"DDX46","DDX46",-1,-1,11,"0.000878924872240394",1,NA,NA
"MAPKAP1","MAPKAP1",-1,-1,11,"0.000908611781431867",1,NA,NA
"TBL2","TBL2",-1,-1,10,"0.000918362675917828",1,NA,NA
"MMS22L","MMS22L",-1,-1,8,"0.000943054216669181",1,NA,NA
"YAF2","YAF2",-1,-1,11,"0.000947268608535667",1,NA,NA
"PPP1R16B","PPP1R16B",-1,-1,11,"0.00101355806914394",1,NA,NA
"WNT8A","WNT8A",-1,-1,11,"0.00102542657412363",1,NA,NA
"INTS4","INTS4",-1,-1,8,"0.0010256452194265",1,NA,NA
"LINGO1","LINGO1",-1,-1,10,"0.00103298709575683",1,NA,NA
"SRSF11","SRSF11",-1,-1,11,"0.00106944583182589",1,NA,NA
"TEAD3","TEAD3",-1,-1,11,"0.00114463749763782",1,NA,NA
"PTBP1","PTBP1",-1,-1,11,"0.00116866705755325",1,NA,NA
"CCIN","CCIN",-1,-1,11,"0.00120498945213021",1,NA,NA
"NEK8","NEK8",-1,-1,11,"0.00121694140553863",1,NA,NA
"PIK3R2","PIK3R2",-1,-1,11,"0.00122295655217075",1,NA,NA
"TYMS","TYMS",-1,-1,11,"0.00122975496550115",1,NA,NA
"FIP1L1","FIP1L1",-1,-1,11,"0.00125304289421191",1,NA,NA
"UBR5","UBR5",-1,-1,10,"0.00128922518265662",1,NA,NA
"ANKRD28","ANKRD28",-1,-1,11,"0.00132525976352971",1,NA,NA
"PRSS12","PRSS12",-1,-1,10,"0.00136240272860366",1,NA,NA
"MLL2","MLL2",-1,-1,11,"0.00136417785482257",1,NA,NA
"CNKSR1","CNKSR1",-1,-1,10,"0.00138014168362643",1,NA,NA
"PBX1","PBX1",-1,-1,11,"0.00141820726796926",1,NA,NA
"PHGDH","PHGDH",-1,-1,10,"0.0014671987917444",1,NA,NA
"PLK4","PLK4",-1,-1,11,"0.00148659934827222",1,NA,NA
"LYNX1","LYNX1",-1,-1,11,"0.0015082195078826",1,NA,NA
"FBXW7","FBXW7",-1,-1,11,"0.00150867285706491",1,NA,NA
"TRPV4","TRPV4",-1,-1,9,"0.00153175355371693",1,NA,NA
"CELF6","CELF6",-1,-1,11,"0.00153287276448466",1,NA,NA
"CSNK1G2","CSNK1G2",-1,-1,11,"0.00155322224035004",1,NA,NA
"UBA2","UBA2",-1,-1,10,"0.00156350667546101",1,NA,NA
"KATNB1","KATNB1",-1,-1,11,"0.00159035623195047",1,NA,NA
"WDR3","WDR3",-1,-1,10,"0.00169444905707861",1,NA,NA
"BRIP1","BRIP1",-1,-1,11,"0.00179590347570546",1,NA,NA
"WRAP53","WRAP53",-1,-1,11,"0.00180225561490865",1,NA,NA
"NLE1","NLE1",-1,-1,11,"0.00181288637863619",1,NA,NA
"DDX50","DDX50",-1,-1,11,"0.00185052906365368",1,NA,NA
"EDC4","EDC4",-1,-1,10,"0.0019017527660703",1,NA,NA
"PNPLA7","PNPLA7",-1,-1,10,"0.00190648226236756",1,NA,NA
"SNX31","SNX31",-1,-1,10,"0.00194228222927206",1,NA,NA
"LAMA3","LAMA3",-1,-1,9,"0.0019483624487272",1,NA,NA
"SH2D6","SH2D6",-1,-1,11,"0.00195163010889776",1,NA,NA
"ATOH8","ATOH8",-1,-1,11,"0.00196131653274345",1,NA,NA
"FABP5","FABP5",-1,-1,11,"0.00199642178343162",1,NA,NA
"PRKAB2","PRKAB2",-1,-1,11,"0.0020510035792386",1,NA,NA
"KDM1A","KDM1A",-1,-1,10,"0.0020525976411806",1,NA,NA
"CTR9","CTR9",-1,-1,11,"0.00206529981987347",1,NA,NA
"HDAC5","HDAC5",-1,-1,11,"0.00209294528237491",1,NA,NA
"LAMP1","LAMP1",-1,-1,11,"0.00210263682981127",1,NA,NA
"SMNDC1","SMNDC1",-1,-1,11,"0.00213994759000236",1,NA,NA
"WDR37","WDR37",-1,-1,11,"0.00214056404296437",1,NA,NA
"AKR7A3","AKR7A3",-1,-1,11,"0.00215975141711766",1,NA,NA
"MED24","MED24",-1,-1,11,"0.00224829304519925",1,NA,NA
"ATP10D","ATP10D",-1,-1,11,"0.00229308867026468",1,NA,NA
"IQUB","IQUB",-1,-1,9,"0.00230391490308701",1,NA,NA
"UBE2E1","UBE2E1",-1,-1,10,"0.00231275224096505",1,NA,NA
"WDR24","WDR24",-1,-1,10,"0.00240756493366379",1,NA,NA
"CDC73","CDC73",-1,-1,11,"0.00242256015074249",1,NA,NA
"SUFU","SUFU",-1,-1,11,"0.00242256015074249",1,NA,NA
"RFC1","RFC1",-1,-1,11,"0.00245712679324761",1,NA,NA
"SORD","SORD",-1,-1,10,"0.00251929478817114",1,NA,NA
"KEAP1","KEAP1",-1,-1,11,"0.00265282438658831",1,NA,NA
"AAMP","AAMP",-1,-1,11,"0.00270836506507155",1,NA,NA
"RAE1","RAE1",-1,-1,11,"0.00271822628802909",1,NA,NA
"CEBPZ","CEBPZ",-1,-1,11,"0.00272278817854166",1,NA,NA
"ZNF408","ZNF408",-1,-1,11,"0.00273498589376109",1,NA,NA
"CCNF","CCNF",-1,-1,10,"0.00273683041275674",1,NA,NA
"GNL3","GNL3",-1,-1,11,"0.00275337185492697",1,NA,NA
"ALS2CL","ALS2CL",-1,-1,10,"0.00280237805211103",1,NA,NA
"C1QL1","C1QL1",-1,-1,11,"0.00290760358193387",1,NA,NA
"SPAG16","SPAG16",-1,-1,9,"0.0029252026464488",1,NA,NA
"DGKI","DGKI",-1,-1,11,"0.00292618662332556",1,NA,NA
"TRPV1","TRPV1",-1,-1,10,"0.0032119559932049",1,NA,NA
"PRPF4B","PRPF4B",-1,-1,11,"0.00323348638592358",1,NA,NA
"TRAF4","TRAF4",-1,-1,11,"0.00324233483342184",1,NA,NA
"WDR53","WDR53",-1,-1,9,"0.00325130496558412",1,NA,NA
"HNF1B","HNF1B",-1,-1,11,"0.00328868705679286",1,NA,NA
"SLC39A1","SLC39A1",-1,-1,11,"0.00329317421579356",1,NA,NA
"C20orf151","C20orf151",-1,-1,11,"0.00332020912071362",1,NA,NA
"MATN4","MATN4",-1,-1,10,"0.00353045161894039",1,NA,NA
"CHEK1","CHEK1",-1,-1,11,"0.00353491896907543",1,NA,NA
"RNF20","RNF20",-1,-1,11,"0.00355598258827672",1,NA,NA
"ABCA6","ABCA6",-1,-1,11,"0.00356655519910642",1,NA,NA
"CIRH1A","CIRH1A",-1,-1,10,"0.00364113123059973",1,NA,NA
