"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"CBX5","CBX5",-1,-1,11,"9.81591855936368e-10",5.75801782692273e-06,NA,NA
"GSTP1","GSTP1",-1,-1,10,"2.64954015765931e-07",0.00155395530246719,NA,NA
"ATF1","ATF1",-1,-1,11,"1.77670718345532e-06",0.010418610923782,NA,NA
"ITGB6","ITGB6",-1,-1,11,"4.70029421993209e-06",0.0275578250114618,NA,NA
"SNAI2","SNAI2",-1,-1,11,"9.03205592768245e-06",0.0529459118480745,NA,NA
"TCF19","TCF19",-1,-1,11,"1.57311079502702e-05",0.0922000236965336,NA,NA
"CAPZA2","CAPZA2",-1,-1,11,"1.78237403057406e-05",0.10444711819164,NA,NA
"MAP4K3","MAP4K3",-1,-1,11,"1.87929105543993e-05",0.110107662938226,NA,NA
"PFDN4","PFDN4",-1,-1,11,"2.44170660318087e-05",0.143035172814335,NA,NA
"ETV5","ETV5",-1,-1,8,"3.35368709848524e-05",0.196425453358281,NA,NA
"ANGEL1","ANGEL1",-1,-1,11,"3.92169346153588e-05",0.229654369107541,NA,NA
"CDC20B","CDC20B",-1,-1,11,"5.25175757632335e-05",0.307490406093732,NA,NA
"MFN1","MFN1",-1,-1,9,"5.78781776871611e-05",0.338818852180641,NA,NA
"SPRYD4","SPRYD4",-1,-1,10,"6.45186630544411e-05",0.377627734857644,NA,NA
"HIST1H1T","HIST1H1T",-1,-1,10,"6.48411766107409e-05",0.379450565526056,NA,NA
"OR6S1","OR6S1",-1,-1,11,"6.83038633787965e-05",0.399645904629338,NA,NA
"GAB1","GAB1",-1,-1,11,"6.84464859335489e-05",0.400411942711261,NA,NA
"EGOT","EGOT",-1,-1,11,"0.000130965867918167",0.766019361453359,NA,NA
"MXD1","MXD1",-1,-1,11,"0.000140217220057906",0.819990302898634,NA,NA
"RDX","RDX",-1,-1,10,"0.000143426256214785",0.838613320087848,NA,NA
"NFIX","NFIX",-1,-1,11,"0.000143912040182041",0.841309786904212,NA,NA
"ATRNL1","ATRNL1",-1,-1,11,"0.0001472949402848",0.860938925964656,NA,NA
"SLC39A4","SLC39A4",-1,-1,9,"0.000147890841959778",0.864274080412943,NA,NA
"SEMA6C","SEMA6C",-1,-1,10,"0.000157468079181302",0.920085986656348,NA,NA
"PRRT1","PRRT1",-1,-1,11,"0.000175835387673987",1,NA,NA
"NPR3","NPR3",-1,-1,11,"0.000177176138026706",1,NA,NA
"SERPINB11","SERPINB11",-1,-1,10,"0.000178388684870944",1,NA,NA
"SGMS2","SGMS2",-1,-1,10,"0.000210105471740841",1,NA,NA
"REXO4","REXO4",-1,-1,11,"0.000212001956921908",1,NA,NA
"ACAP2","ACAP2",-1,-1,9,"0.000245044516830452",1,NA,NA
"ABCA10","ABCA10",-1,-1,11,"0.000246538400240345",1,NA,NA
"GPR37","GPR37",-1,-1,10,"0.000249691246115628",1,NA,NA
"ARHGEF33","ARHGEF33",-1,-1,11,"0.000256862326749423",1,NA,NA
"HCAR1","HCAR1",-1,-1,11,"0.000260737457791871",1,NA,NA
"MUC20","MUC20",-1,-1,10,"0.000279431421327216",1,NA,NA
"TTC39C","TTC39C",-1,-1,10,"0.000294769284735815",1,NA,NA
"PRKG2","PRKG2",-1,-1,10,"0.000307055006630021",1,NA,NA
"FGFR1","FGFR1",-1,-1,11,"0.000315767950179686",1,NA,NA
"MCF2L2","MCF2L2",-1,-1,9,"0.00033887286372894",1,NA,NA
"HLF","HLF",-1,-1,11,"0.000386758515122433",1,NA,NA
"UBASH3B","UBASH3B",-1,-1,11,"0.000387707504792845",1,NA,NA
"PITX3","PITX3",-1,-1,11,"0.00039330778176059",1,NA,NA
"AHI1","AHI1",-1,-1,8,"0.00046466046849809",1,NA,NA
"RASL11A","RASL11A",-1,-1,11,"0.000473630384773641",1,NA,NA
"DPYD","DPYD",-1,-1,11,"0.000497350259561067",1,NA,NA
"LRRC34","LRRC34",-1,-1,9,"0.000503927816498258",1,NA,NA
"F2RL2","F2RL2",-1,-1,11,"0.000537365155929812",1,NA,NA
"FOXN2","FOXN2",-1,-1,10,"0.000548490278485465",1,NA,NA
"RAPGEF5","RAPGEF5",-1,-1,7,"0.00057614710197062",1,NA,NA
"SLC2A4RG","SLC2A4RG",-1,-1,11,"0.000583343252559465",1,NA,NA
"SGK1","SGK1",-1,-1,10,"0.000588663998096599",1,NA,NA
"CBFA2T2","CBFA2T2",-1,-1,10,"0.000603554106096762",1,NA,NA
"GLYR1","GLYR1",-1,-1,11,"0.000635317490258561",1,NA,NA
"DNAJC2","DNAJC2",-1,-1,11,"0.00064444050793629",1,NA,NA
"LPAR3","LPAR3",-1,-1,11,"0.000647435839639927",1,NA,NA
"OLR1","OLR1",-1,-1,11,"0.000674511341817104",1,NA,NA
"RABGGTA","RABGGTA",-1,-1,11,"0.000687065596067572",1,NA,NA
"CYP2B6","CYP2B6",-1,-1,10,"0.000704531921466246",1,NA,NA
"SPR","SPR",-1,-1,11,"0.000794442879693495",1,NA,NA
"FGL2","FGL2",-1,-1,11,"0.000803748158397147",1,NA,NA
"STAT5B","STAT5B",-1,-1,11,"0.000847374382057705",1,NA,NA
"SETD4","SETD4",-1,-1,11,"0.000848191611192169",1,NA,NA
"NDRG1","NDRG1",-1,-1,10,"0.000872946419571771",1,NA,NA
"TEAD1","TEAD1",-1,-1,11,"0.000891662934199954",1,NA,NA
"MMP14","MMP14",-1,-1,11,"0.00091967858764367",1,NA,NA
"FASLG","FASLG",-1,-1,11,"0.000920557349074894",1,NA,NA
"IGSF11","IGSF11",-1,-1,10,"0.000961622208498511",1,NA,NA
"ZNF24","ZNF24",-1,-1,10,"0.00100768207750729",1,NA,NA
"DACH1","DACH1",-1,-1,11,"0.00102574904468833",1,NA,NA
"JAM2","JAM2",-1,-1,10,"0.00107521287856365",1,NA,NA
"FOXL2","FOXL2",-1,-1,11,"0.00107918952482809",1,NA,NA
"ELK3","ELK3",-1,-1,11,"0.00109071309940942",1,NA,NA
"NFIA","NFIA",-1,-1,11,"0.00110097119526644",1,NA,NA
"PRKCI","PRKCI",-1,-1,9,"0.00112426980213377",1,NA,NA
"PTAR1","PTAR1",-1,-1,11,"0.00114038011907041",1,NA,NA
"CAPNS1","CAPNS1",-1,-1,10,"0.00116002813772907",1,NA,NA
"DHRS12","DHRS12",-1,-1,11,"0.0012240873109161",1,NA,NA
"MYL3","MYL3",-1,-1,11,"0.00123887142249324",1,NA,NA
"OLFM2","OLFM2",-1,-1,10,"0.001260935205765",1,NA,NA
"HSD17B6","HSD17B6",-1,-1,10,"0.00131892805459405",1,NA,NA
"CYP2U1","CYP2U1",-1,-1,11,"0.00133255759622151",1,NA,NA
"CA7","CA7",-1,-1,11,"0.00135054619152857",1,NA,NA
"ITGAV","ITGAV",-1,-1,10,"0.00135887905166916",1,NA,NA
"RASEF","RASEF",-1,-1,11,"0.00137291559393597",1,NA,NA
"EPB41L4B","EPB41L4B",-1,-1,11,"0.00139391866419759",1,NA,NA
"HOXD1","HOXD1",-1,-1,10,"0.00142217031020325",1,NA,NA
"PGR","PGR",-1,-1,10,"0.00145594289146748",1,NA,NA
"FLRT1","FLRT1",-1,-1,11,"0.00147989926967316",1,NA,NA
"NUDT5","NUDT5",-1,-1,11,"0.00148928685232596",1,NA,NA
"ZNF609","ZNF609",-1,-1,10,"0.00152122703273527",1,NA,NA
"CAMK2D","CAMK2D",-1,-1,11,"0.00155974675623546",1,NA,NA
"GPR158","GPR158",-1,-1,11,"0.00158371911951846",1,NA,NA
"DNASE1","DNASE1",-1,-1,11,"0.00159368395817197",1,NA,NA
"NEK4","NEK4",-1,-1,10,"0.00164231351282074",1,NA,NA
"CCDC47","CCDC47",-1,-1,11,"0.0017385858771057",1,NA,NA
"MAP1B","MAP1B",-1,-1,11,"0.00175560990455015",1,NA,NA
"IRF9","IRF9",-1,-1,11,"0.00182303658042046",1,NA,NA
"SLC5A11","SLC5A11",-1,-1,11,"0.00182357218144137",1,NA,NA
"PTGFR","PTGFR",-1,-1,11,"0.00189051439185129",1,NA,NA
"SLC10A2","SLC10A2",-1,-1,10,"0.00189467774250931",1,NA,NA
"USP6NL","USP6NL",-1,-1,11,"0.0019590335877207",1,NA,NA
"MEIS2","MEIS2",-1,-1,10,"0.00197195304696934",1,NA,NA
"GRK7","GRK7",-1,-1,11,"0.00202091182246008",1,NA,NA
"CCNE2","CCNE2",-1,-1,11,"0.00204803613997848",1,NA,NA
"PAN3","PAN3",-1,-1,10,"0.00207415828239059",1,NA,NA
"GRIK4","GRIK4",-1,-1,10,"0.00212762359534216",1,NA,NA
"ITGA8","ITGA8",-1,-1,11,"0.00215044847307059",1,NA,NA
"CCDC90A","CCDC90A",-1,-1,11,"0.00219794756246808",1,NA,NA
"RAG2","RAG2",-1,-1,10,"0.00219899011533139",1,NA,NA
"PMP22","PMP22",-1,-1,11,"0.00222267689969697",1,NA,NA
"B4GALNT3","B4GALNT3",-1,-1,11,"0.00227091879377811",1,NA,NA
"KCNE3","KCNE3",-1,-1,11,"0.00232338456778498",1,NA,NA
"RIPK3","RIPK3",-1,-1,11,"0.00233001678015964",1,NA,NA
"VSTM4","VSTM4",-1,-1,11,"0.00244394101516222",1,NA,NA
"SOX10","SOX10",-1,-1,11,"0.00244809824649894",1,NA,NA
"SLN","SLN",-1,-1,10,"0.00250799763002596",1,NA,NA
"WDR67","WDR67",-1,-1,10,"0.0025125111936889",1,NA,NA
"HTR3C","HTR3C",-1,-1,9,"0.0025500103387646",1,NA,NA
"HOXA5","HOXA5",-1,-1,9,"0.00257541427634041",1,NA,NA
"GRIA2","GRIA2",-1,-1,11,"0.00259828057059089",1,NA,NA
"SH2D4A","SH2D4A",-1,-1,8,"0.00273019601311866",1,NA,NA
