"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"KSR2","KSR2",3,0.000127860424098181,37,"0.00199828450565687",0.424113026733666,0.0329019228167492,0.967098077183251
"PHF3","PHF3",6,0.000238330672518661,34,"0.0372088765948582",0.79030451007188,0.170859546448575,0.829140453551425
"ABCA10","ABCA10",4,0.000251138268752338,36,"0.262875469868271",0.832523360914,7.91269087205516e-10,0.999999999208731
"CHD9","CHD9",8,0.000525843027568085,32,"0.00154456246157808",1,5.19197253713843e-07,0.999999480802746
"CARD11","CARD11",4,0.000669671266437799,36,"3.66000808701417e-05",1,0.999999999498106,5.01894222513853e-10
"TEAD1","TEAD1",2,0.000874060095154783,38,"0.0225213579314364",1,0.0631759445054753,0.936824055494525
"MYO3B","MYO3B",3,0.00104139939574655,37,"0.366319778046583",1,0.999999999999964,3.61974866293989e-14
"COL14A1","COL14A1",5,0.00259501771560378,35,"0.378981359843095",1,1.40525481692253e-08,0.999999985947452
"PAN3","PAN3",4,0.0027714788629204,36,"0.446141671685582",1,1,2.14552693362546e-52
"KDM5B","KDM5B",5,0.00289318267690974,35,"0.332991324294851",1,0.999931656153198,6.83438468015877e-05
"KIF5C","KIF5C",3,0.00292806291105963,37,"0.026835467662964",1,6.74295633610954e-10,0.999999999325704
"FGD5","FGD5",3,0.00310375519515083,37,"0.0632668248056257",1,0.0109022000628604,0.98909779993714
"GABRG1","GABRG1",3,0.00319277297684861,37,"0.237292082102728",1,1.12845809892467e-08,0.999999988715419
"LARP4B","LARP4B",6,0.00386009644794283,34,"0.0142573887079521",1,0.999999999999996,3.8858274811668e-15
"RAB3GAP2","RAB3GAP2",3,0.00409154648036214,37,"0.0623842140173019",1,0.999999999998983,1.01720729540495e-12
"G2E3","G2E3",2,0.00467748547363134,38,"0.0054431731468314",1,1,4.31862812157438e-16
"HIPK2","HIPK2",2,0.00478430872400171,38,"0.0553361455846115",1,0.00275597914558364,0.997244020854416
"PIGZ","PIGZ",2,0.00508824732776125,38,"0.0183726240639775",1,6.70033563967116e-13,0.99999999999933
"ITGA6","ITGA6",6,0.00563114581586655,34,"0.000383264734958311",1,1,2.47359336348732e-22
"PLXNA2","PLXNA2",4,0.00628948333785673,36,"0.0354761999207951",1,1.63718333739266e-13,0.999999999999836
"WWP1","WWP1",3,0.00702734190051768,37,"0.000613533386855658",1,0.999999999957943,4.20573989107139e-11
"WDR87","WDR87",5,0.00753557078729683,35,"0.0316014016384059",1,0.988119619837289,0.0118803801627105
"RFXANK","RFXANK",2,0.00770014946136022,38,"0.995555936953201",1,1,3.40473963818096e-23
"WDR27","WDR27",2,0.00827511200192776,38,"0.000557482060175918",1,1,1.13996779926187e-35
"HTR1F","HTR1F",3,0.00920641348857087,37,"0.00871390336110345",1,0.999999999938497,6.1503368752065e-11
"HDGF","HDGF",3,0.00963970020993843,37,"0.000382823361048445",1,1,8.82306397586296e-49
"LATS1","LATS1",3,0.00992999766351199,37,"9.94916095342635e-06",1,0.999045741547992,0.000954258452007924
"BRIP1","BRIP1",3,0.010056174004618,37,"0.371847700940321",1,1,1.06077594563958e-45
"NR1H2","NR1H2",2,0.0113892800208134,38,"0.343249555437558",1,8.19654267834562e-16,0.999999999999999
"ARAP1","ARAP1",2,0.011496081714932,38,"9.37975491152043e-05",1,0.488753516902877,0.511246483097123
"ANO1","ANO1",3,0.0115815112738954,37,"0.893917607288102",1,1,1.6322169755259e-22
"WDR19","WDR19",5,0.0121386394925332,35,"0.542796171879201",1,0.999999999997477,2.52302864175462e-12
"PRSS23","PRSS23",2,0.0132471458188231,38,"0.922157450570204",1,0.814850715983321,0.185149284016679
"ABCC12","ABCC12",2,0.0132982683639263,38,"0.214382226141723",1,0.997053328183575,0.00294667181642469
"EXO1","EXO1",3,0.0133337264633808,37,"0.00275201709598538",1,1,2.12099841579046e-59
"FCGBP","FCGBP",4,0.0135626772463807,36,"0.690280079494093",1,3.21624106643641e-14,0.999999999999968
"PLEKHA4","PLEKHA4",2,0.0151769049623647,38,"0.671634163703644",1,0.999997709161127,2.29083887354706e-06
"ARHGEF7","ARHGEF7",2,0.0161768589668394,38,"0.00376011117499697",1,1,5.41486472348165e-20
"RBM23","RBM23",3,0.0162054155757306,37,"0.000254111961046299",1,2.18355228965153e-08,0.999999978164477
"DGKG","DGKG",2,0.0165030113186111,38,"0.168503470955655",1,0.886406008214678,0.113593991785322
"EPHA5","EPHA5",5,0.0165129861423485,35,"0.16674792040021",1,9.52648302479054e-09,0.999999990473517
"ATP10A","ATP10A",5,0.0170964769149663,35,"0.00239405108763446",1,0.995904373152419,0.00409562684758109
"POLK","POLK",3,0.0175951866597259,37,"0.0816274171189868",1,0.7138117911083,0.2861882088917
"SOS2","SOS2",6,0.018281910189062,34,"0.0463182944705589",1,5.72580044891787e-21,1
"OPN4","OPN4",2,0.0183324974896029,38,"0.3720518678915",1,0.000219355835193247,0.999780644164807
"CBX8","CBX8",3,0.0184135770376733,37,"0.00366303935899959",1,1,6.7420654356552e-158
"MPP5","MPP5",3,0.0189515432833979,37,"0.277760142248355",1,1.58790691517212e-16,1
"ABCD4","ABCD4",2,0.0191986609208513,38,"0.134562441000386",1,9.54278156839863e-08,0.999999904572184
"PER1","PER1",3,0.0192755734109885,37,"0.12265478642582",1,3.4378169735649e-06,0.999996562183026
"CSTF2T","CSTF2T",2,0.0193835586286123,38,"0.0583400520841489",1,0.738980397763705,0.261019602236295
"GABRB1","GABRB1",2,0.0195228134066708,38,"0.0111975235192638",1,0.999999999854533,1.45467149045888e-10
"NRK","NRK",2,0.0195848644077994,38,"0.304647042636402",1,0.090993493707111,0.909006506292889
"PHKA2","PHKA2",3,0.0200874031477073,37,"0.186702127407745",1,0.999968513780656,3.14862193442089e-05
"TEAD2","TEAD2",8,0.0202660168485183,32,"0.771312572778855",1,0.997530284756907,0.00246971524309309
"RNF213","RNF213",7,0.0205444822853413,33,"0.000323351083719836",1,0.999999999981775,1.82247873999256e-11
"THRAP3","THRAP3",2,0.0205751544472179,38,"0.993584881297181",1,0.921854823667092,0.0781451763329075
"CCNE2","CCNE2",2,0.0213136499635684,38,"0.027791880552076",1,1,4.29923582505426e-20
"SLC47A1","SLC47A1",2,0.0215084423544873,38,"0.512765249443736",1,6.07079627311428e-10,0.99999999939292
"RAPGEF1","RAPGEF1",2,0.0223959734901075,38,"0.977414851048844",1,1.68944378958294e-10,0.999999999831056
"MLLT3","MLLT3",2,0.0243631944773652,38,"0.00410665094640872",1,0.999691509689292,0.000308490310707927
"FAM13B","FAM13B",4,0.0252355610238437,36,"0.125756072270625",1,9.58196805895539e-12,0.999999999990418
"TGFBR1","TGFBR1",3,0.026187776620043,37,"0.000334578791863493",1,0.99999945470654,5.45293460427724e-07
