"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"BRCA1","BRCA1",3,4.18111577598865e-05,9,"0.197870782235036",0.15465947255382,1,4.23107904092877e-33
"NTNG1","NTNG1",2,4.73078945579428e-05,10,"0.197931526773139",0.174944594075272,0.975985548243817,0.0240144517561827
"CHRM4","CHRM4",3,5.26117939035368e-05,9,"0.00860379920791829",0.194505802061376,0.999999993621181,6.37881857764416e-09
"CTNNB1","CTNNB1",5,0.000323109095985018,7,"0.52695864056012",1,0.000142453857577718,0.999857546142422
"PSAT1","PSAT1",2,0.00047278030573983,10,"0.405656851422002",1,1,7.34510607799253e-19
"RSF1","RSF1",2,0.000492274339286575,10,"0.0929117454232298",1,1.75537322817906e-07,0.999999824462677
"WDR70","WDR70",2,0.000558349755499961,10,"0.00118281124193661",1,0.782800985203234,0.217199014796766
"NR3C2","NR3C2",2,0.000606531024746877,10,"0.537054295273465",1,1.35348693034395e-09,0.999999998646513
"SH2D2A","SH2D2A",3,0.000900577353763723,9,"0.146238925643729",1,0.999999988991384,1.10086160300879e-08
"ZFHX3","ZFHX3",3,0.00105879285516904,9,"0.627335083597637",1,0.999248612473197,0.000751387526803497
"FKBP10","FKBP10",3,0.00128590093067188,9,"0.13040589885901",1,0.978352822501952,0.0216471774980484
"PRMT10","PRMT10",2,0.00148185455230133,10,"0.112437667726385",1,NA,NA
"PRKDC","PRKDC",4,0.00152186811161269,8,"0.451644160732739",1,0.999999999999819,1.80756277452448e-13
"LCP1","LCP1",2,0.00179116519882638,10,"0.803066699247301",1,0.999999990585196,9.41480433369539e-09
"GLI3","GLI3",3,0.00180030431654224,9,"0.00394338280085606",1,8.32475346402041e-09,0.999999991675247
"SCAP","SCAP",5,0.00182817736537133,7,"0.0937378734872096",1,0.999999991035758,8.96424211868574e-09
"ERBB4","ERBB4",2,0.00319473437790811,10,"0.187805969886603",1,0.979443634335461,0.0205563656645394
"POLE","POLE",5,0.00340717716314749,7,"0.403741861037278",1,1,2.0961763300563e-27
"RNF168","RNF168",2,0.00397047983553482,10,"0.316824865320835",1,0.999940797413876,5.9202586123755e-05
"WDR46","WDR46",2,0.00414715971456611,10,"0.0287700670219118",1,0.999999999999989,1.06513173300653e-14
"SOX3","SOX3",4,0.00453708471081853,8,"0.620428756029069",1,0.0177627184546385,0.982237281545361
"KIAA1875","KIAA1875",4,0.00569151054742812,8,"0.446905825944396",1,NA,NA
"TOPBP1","TOPBP1",3,0.00632515531216319,9,"0.433927091584208",1,1,2.67838125281629e-23
"ACOX3","ACOX3",2,0.00665750602486468,10,"0.291273714800146",1,1,4.90549617309409e-22
"COL4A3","COL4A3",5,0.00676407185982869,7,"0.738199831273294",1,0.486695728705143,0.513304271294857
"LHX1","LHX1",2,0.00738225494707304,10,"0.185621647691069",1,0.999524898460964,0.000475101539036112
"KCNH3","KCNH3",2,0.0082146731864726,10,"0.25384929951516",1,0.999999999999962,3.79932663102248e-14
"SREBF1","SREBF1",3,0.00835783004545764,9,"0.0260379674038814",1,1,3.55716376180189e-30
"DNMT3B","DNMT3B",3,0.00890262119319249,9,"0.0185673582231192",1,1,8.24695639762868e-69
"ACTB","ACTB",3,0.00913831620620513,9,"0.00342630193824634",1,0.353982038599649,0.646017961400351
"NBR1","NBR1",2,0.00929363709800172,10,"0.0133088635895801",1,1.44639199036296e-16,1
"MMS22L","MMS22L",4,0.00933721042513377,8,"0.0589315631128067",1,1,1.59775596714321e-17
"TAF4B","TAF4B",2,0.00957377733865578,10,"0.10914874532559",1,0.0401922769224742,0.959807723077526
