"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"LRRC69","LRRC69",2,0.000487363910440343,13,"1.48197832353991e-05",0.49711118864915,0.999999999999899,1.00818414771559e-13
"DPYD","DPYD",3,0.000567634742986875,12,"0.000531197651783863",0.578419803103626,0.000365183736645433,0.999634816263355
"JUP","JUP",3,0.00165491105580588,12,"0.0140044590254776",1,2.88474181385507e-25,1
"RBMXL3","RBMXL3",2,0.00308286531594644,13,"0.105118819007418",1,0.999964511220589,3.54887794107051e-05
"HTR1B","HTR1B",2,0.00823479484465129,13,"0.587505555168513",1,1.76738081961664e-08,0.999999982326192
"ITGAX","ITGAX",2,0.00907040668834792,13,"0.000810114280519568",1,1,4.5391969023448e-124
"FRAS1","FRAS1",3,0.010912017646715,12,"0.321798570373704",1,1.43653552363146e-34,1
"TRPS1","TRPS1",2,0.0187554829959624,13,"0.0777548828121542",1,3.90491252712819e-14,0.999999999999961
"PDE5A","PDE5A",2,0.0256791783970188,13,"0.055586575271638",1,0.0213516182969363,0.978648381703064
"MAST2","MAST2",2,0.0264132157485624,13,"0.0227664339133187",1,0.978854297907792,0.0211457020922078
"ZFPM2","ZFPM2",2,0.0332823332446302,13,"0.66731496881537",1,0.994663771452661,0.00533622854733903
"VHL","VHL",2,0.041056823499087,13,"0.00297254017205151",1,6.13282503155609e-19,1
"TRPV4","TRPV4",2,0.0470851202165531,13,"0.826042071092219",1,6.92721684816599e-13,0.999999999999307
"PIK3C3","PIK3C3",3,0.0555749978903795,12,"0.1171131261883",1,0.000496544223907263,0.999503455776093
"FOXK1","FOXK1",3,0.0559720056356143,12,"0.476836979221998",1,0.999999999999194,8.05573280297729e-13
"ATP2B4","ATP2B4",2,0.0654148296348484,13,"0.000276009650605118",1,1,3.06596120951366e-17
"NWD1","NWD1",2,0.0903825365871827,13,"0.992497067823384",1,0.000460447081713864,0.999539552918286
"DSP","DSP",2,0.0936465794124321,13,"0.0995386105953647",1,4.33409486930649e-48,1
"GLRA3","GLRA3",2,0.0989127020603564,13,"0.695926926011252",1,0.0120132912731378,0.987986708726862
"ZNF638","ZNF638",2,0.0998569706078704,13,"0.0573821762998342",1,0.485792323167793,0.514207676832207
"FMN2","FMN2",2,0.118383043821326,13,"0.000757680321822346",1,2.49486070998274e-18,1
"DNAJC7","DNAJC7",2,0.118688597575426,13,"0.048237078116481",1,0.834004163086169,0.165995836913831
"CHD7","CHD7",2,0.12273549570236,13,"0.000703527399773555",1,0.0221494981347083,0.977850501865292
"APC","APC",2,0.126771225382555,13,"0.226345769386673",1,1.28111114017303e-06,0.99999871888886
"SRGAP3","SRGAP3",2,0.129790900835061,13,"0.333227654746377",1,4.26345954616026e-21,1
"SORL1","SORL1",2,0.131676118138391,13,"0.0424726788216849",1,2.47469853032031e-22,1
"TEX14","TEX14",3,0.140936754711431,12,"0.489865545510378",1,0.319203977586438,0.680796022413562
"CYP11B2","CYP11B2",2,0.147545336150413,13,"0.326873639319078",1,0.999982123076957,1.7876923042704e-05
"IRF6","IRF6",2,0.155140416858805,13,"0.27496333798199",1,2.73907415463943e-80,1
"HLX","HLX",2,0.155927930330437,13,"0.34332671059199",1,1,2.54049913075537e-66
"DDR1","DDR1",2,0.16930102343562,13,"0.590549674541482",1,0.650643660113471,0.349356339886529
"SIK2","SIK2",2,0.183034343295718,13,"2.74244108855806e-05",1,1.3758518521551e-14,0.999999999999986
"EPHA3","EPHA3",2,0.183271726486383,13,"0.247905123920318",1,1,5.2754838422941e-17
"PREX2","PREX2",2,0.195729465863199,13,"0.0767168803072397",1,1,1.46573677603672e-27
"SETD1A","SETD1A",2,0.196564708255043,13,"0.76540560595631",1,1,3.85130506360034e-22
"FLT1","FLT1",2,0.212056395822099,13,"0.00540451575983341",1,1,5.27930576957087e-45
"NSD1","NSD1",2,0.213796863336855,13,"0.63005571992315",1,9.77003529403103e-12,0.99999999999023
"SIPA1L1","SIPA1L1",2,0.21508115700223,13,"0.0276567818566189",1,0.999999999997666,2.33399024388881e-12
"KDM3A","KDM3A",2,0.220152674772112,13,"0.436401725579513",1,1,3.51117240809721e-58
"ACSL6","ACSL6",2,0.227711917897478,13,"0.417608434823843",1,8.23364786476046e-28,1
"PKHD1L1","PKHD1L1",5,0.239179045814168,10,"0.870692466331534",1,1.50564330655943e-10,0.999999999849436
"ANK1","ANK1",2,0.266676822930627,13,"0.339874845454263",1,1,5.7708226534715e-64
"CDC42BPA","CDC42BPA",2,0.266848715371743,13,"0.727576561725744",1,7.87582016646459e-27,1
"TTN","TTN",10,0.270319460229364,5,"0.0632460000452866",1,0.999999976528243,2.34717568855449e-08
"CSNK1A1L","CSNK1A1L",2,0.271684188282849,13,"0.126534921090248",1,0.022192401740532,0.977807598259468
"CFH","CFH",2,0.277789586631702,13,"0.568377363050867",1,0.999999920645203,7.93547971759193e-08
"MSH6","MSH6",2,0.279311878813281,13,"0.000479698294698943",1,0.304168704079904,0.695831295920096
"MYO3B","MYO3B",2,0.291160885735866,13,"0.577118061061394",1,2.53522510905875e-32,1
"ABCD4","ABCD4",2,0.295366187882553,13,"0.0799073282703782",1,0.99999999842423,1.5757701862841e-09
"EPHB2","EPHB2",2,0.297782755182493,13,"0.194194589730065",1,4.26916573098764e-08,0.999999957308343
"PKMYT1","PKMYT1",2,0.298327839651868,13,"0.996802665099805",1,1,7.95225588636573e-56
"ZNF232","ZNF232",2,0.298509645236372,13,"0.936678525913401",1,0.999995463220687,4.53677931333498e-06
"HK3","HK3",2,0.298934073636227,13,"0.0636455313476034",1,1,2.70964092915004e-85
"ABCA3","ABCA3",3,0.300930970292915,12,"0.0156342885820191",1,1,1.12188466529378e-34
"LRP4","LRP4",2,0.301608813418398,13,"0.745463037861321",1,1,6.78534595159904e-24
"ZBTB32","ZBTB32",2,0.30343932991853,13,"0.0104638349398748",1,1,8.4327850693412e-50
"NOTCH3","NOTCH3",2,0.307855164840089,13,"0.122159454403424",1,1,1.0269144724987e-19
"OBSCN","OBSCN",4,0.320326220307379,11,"0.0316340079167994",1,0.999999998345296,1.65470368921342e-09
"KCNH5","KCNH5",2,0.322615937791373,13,"0.923820111082931",1,0.409305936706557,0.590694063293443
"NCOR2","NCOR2",2,0.344655779741116,13,"0.718814094782",1,1,2.42211986951712e-30
"UBA7","UBA7",3,0.350363021062969,12,"0.33281308298823",1,1,2.21534717297227e-35
"ASXL1","ASXL1",2,0.38188645021561,13,"0.556456952178489",1,0.999944859673508,5.51403264919005e-05
"DCAF6","DCAF6",2,0.382709554987062,13,"0.197809800922846",1,0.999999917847693,8.21523071714415e-08
"RIPK4","RIPK4",2,0.383121439656924,13,"0.807145770487065",1,0.00461887481843013,0.99538112518157
"ANK3","ANK3",2,0.383258783774158,13,"0.0237371580975612",1,1.90220205264695e-36,1
"STK10","STK10",2,0.396069553226408,13,"0.317314573611948",1,1,3.65420735765153e-53
"FREM2","FREM2",2,0.401533966142678,13,"0.937152801564119",1,1.36099208437537e-36,1
"TFAP2C","TFAP2C",2,0.412575104013154,13,"0.128064293189794",1,5.22116496210993e-08,0.99999994778835
"PRDM16","PRDM16",2,0.424849929867155,13,"0.0530162063080829",1,8.26490540321188e-29,1
"PCDH7","PCDH7",2,0.426587111422378,13,"0.843653477656075",1,1.24232389477033e-12,0.999999999998758
"WDFY3","WDFY3",2,0.428545677294736,13,"0.122312816111171",1,5.31333213349918e-12,0.999999999994687
