"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"RACGAP1","RACGAP1",-1,-1,15,"9.95109550316897e-11",5.83731262215892e-07,1,3.71959293886399e-30
"SQRDL","SQRDL",-1,-1,15,"1.25123583716302e-08",7.33849818496111e-05,NA,NA
"TP53","TP53",-1,-1,9,"1.57369490771941e-08",9.22814693886662e-05,1,2.63097726479254e-30
"ARNT2","ARNT2",-1,-1,15,"2.3504281965181e-08",0.000137805605161856,7.22067878836962e-34,1
"POLD1","POLD1",-1,-1,15,"2.51878065071764e-08",0.000147650921745068,1,5.86010445686386e-41
"SUPV3L1","SUPV3L1",-1,-1,15,"2.54808125710326e-08",0.000149343042478822,2.85089640316109e-12,0.999999999997149
"NR6A1","NR6A1",-1,-1,15,"4.59755998827305e-08",0.000269417015312801,0.000687710693405106,0.999312289306595
"SLA2","SLA2",-1,-1,15,"1.19295634148919e-07",0.000698953120478516,1,3.22452418290823e-61
"SART3","SART3",-1,-1,15,"1.71123745507096e-07",0.00100244290118057,0.999999999673774,3.26225917150262e-10
"MED4","MED4",-1,-1,15,"1.80355223866613e-07",0.00105634054618675,0.984010383184476,0.0159896168155237
"CES3","CES3",-1,-1,15,"2.02146710814866e-07",0.00118377113853186,0.999999999999271,7.29201585081909e-13
"WIF1","WIF1",-1,-1,13,"2.1801662508647e-07",0.00127648733988128,7.03073769315465e-06,0.999992969262307
"KIF23","KIF23",-1,-1,14,"2.73377725679147e-07",0.00160035320612573,0.9999995888012,4.11198799948406e-07
"MED25","MED25",-1,-1,15,"2.92224737408198e-07",0.00171039138805018,0.998395821873261,0.00160417812673943
"PPP3CA","PPP3CA",-1,-1,14,"3.06649321935026e-07",0.00179451183196377,0.653614977905224,0.346385022094776
"XRCC5","XRCC5",-1,-1,15,"3.61968090389908e-07",0.00211787529687135,1.25822048847526e-05,0.999987417795115
"WDR31","WDR31",-1,-1,15,"8.10687562746715e-07",0.00474252224206828,5.99427721202763e-26,1
"DHX38","DHX38",-1,-1,15,"8.7664250714159e-07",0.00512748202427116,1,1.10746139225597e-24
"FKBP10","FKBP10",-1,-1,15,"9.55828920123913e-07",0.00558968752488464,1,2.27418144570999e-78
"KCNJ5","KCNJ5",-1,-1,13,"1.15458455429707e-06",0.00675085588897497,9.3950869124037e-07,0.999999060491309
"BIRC7","BIRC7",-1,-1,15,"1.27694637630515e-06",0.00746502851587991,1,1.61653837701945e-27
"RTP2","RTP2",-1,-1,14,"1.39019677902752e-06",0.00812570017341585,1,5.21157246935632e-25
"LONP1","LONP1",-1,-1,14,"1.58945474659777e-06",0.00928877353911737,0.999996376954088,3.62304591196603e-06
"NUP43","NUP43",-1,-1,14,"2.0039052706089e-06",0.0117088184961678,0.960452143369249,0.0395478566307511
"DNA2","DNA2",-1,-1,14,"2.49940778906943e-06",0.0146015403037436,1,2.44305762026706e-56
"DMAP1","DMAP1",-1,-1,15,"3.16868472760579e-06",0.0185082874939454,0.999999999999998,1.73031557689015e-15
"CALM3","CALM3",-1,-1,15,"3.18071127192177e-06",0.0185753538280231,1,1.5703387565133e-16
"LDHAL6A","LDHAL6A",-1,-1,15,"3.23200563323578e-06",0.0188716808924637,0.00176610001643764,0.998233899983562
"TFG","TFG",-1,-1,15,"3.30062115760921e-06",0.0192690263181226,1,3.10047576177824e-32
"PPIL4","PPIL4",-1,-1,15,"3.59339595668029e-06",0.0209746521991429,4.48841093741679e-17,1
"MRGPRX3","MRGPRX3",-1,-1,15,"3.70133370275472e-06",0.0216009834892765,0.738251297710173,0.261748702289827
"SMNDC1","SMNDC1",-1,-1,15,"3.71060668646894e-06",0.0216513900155463,0.60310191238493,0.39689808761507
"ATP5B","ATP5B",-1,-1,14,"3.80312611036882e-06",0.0221874377278917,1.07642151602528e-34,1
"PDGFA","PDGFA",-1,-1,12,"3.8400274124939e-06",0.0223988798970769,1,7.40001029013219e-33
"ADRA2C","ADRA2C",-1,-1,14,"4.70688329368141e-06",0.02745054336875,2.10981683067984e-22,1
"TAOK3","TAOK3",-1,-1,14,"4.70688329368141e-06",0.02745054336875,3.11331509104018e-15,0.999999999999997
"KLHL29","KLHL29",-1,-1,15,"5.52261885999883e-06",0.0321968679537932,1,1.28099718943276e-26
"NFKBIA","NFKBIA",-1,-1,15,"6.40372381766063e-06",0.0373273061331438,0.999999999999982,1.76768709686206e-14
"CHAF1B","CHAF1B",-1,-1,14,"6.41369456366725e-06",0.0373790119170527,0.769169260622678,0.230830739377322
"CHST1","CHST1",-1,-1,14,"7.12784970857694e-06",0.0415339802518778,0.999999999997003,2.99698550602489e-12
"ACTG1","ACTG1",-1,-1,14,"8.43989645271659e-06",0.0491708367335269,0.438194742715187,0.561805257284813
"CDK7","CDK7",-1,-1,15,"9.117932512126e-06",0.0531119568831339,1,1.04102760555264e-51
"PLK1","PLK1",-1,-1,15,"1.02671253491282e-05",0.0597957380333226,1,2.68352589774834e-25
"SARNP","SARNP",-1,-1,14,"1.04370864651981e-05",0.0607751544868485,0.999999997032259,2.96774081172711e-09
"ACO2","ACO2",-1,-1,14,"1.15492760325298e-05",0.0672398850613885,4.14631410056626e-18,1
"VLDLR","VLDLR",-1,-1,14,"1.17749283389257e-05",0.0685418578608865,1,7.50627913443822e-19
"RAB3GAP1","RAB3GAP1",-1,-1,13,"1.19552741815188e-05",0.0695796957364394,0.000578545598898264,0.999421454401102
"MPZL1","MPZL1",-1,-1,12,"1.36654232265609e-05",0.0795190977553579,1,1.16808765616609e-33
"SMAP1","SMAP1",-1,-1,14,"1.38525331412342e-05",0.0805940378157006,0.813777771670911,0.186222228329089
"PLRG1","PLRG1",-1,-1,15,"1.44745961793147e-05",0.0841987259750736,4.24384448326599e-24,1
"SORD","SORD",-1,-1,15,"1.98598296657915e-05",0.115504769336243,2.1362362550211e-17,1
"PNPT1","PNPT1",-1,-1,14,"2.16326352099339e-05",0.125793773745766,3.80907188864992e-15,0.999999999999996
"MATN4","MATN4",-1,-1,15,"2.48244699865285e-05",0.144329468501677,0.944604157032865,0.0553958429671352
"RFC2","RFC2",-1,-1,13,"3.20221868851389e-05",0.186144972363312,1,7.48719014408618e-134
"GRK7","GRK7",-1,-1,15,"3.2839003528129e-05",0.190860288505486,0.999999999972892,2.71080203191687e-11
"PLK2","PLK2",-1,-1,15,"3.30016260773336e-05",0.191772449135386,1,4.40188499113928e-112
"DHX30","DHX30",-1,-1,14,"3.31527368353512e-05",0.19261740101339,5.12970892239986e-17,1
"HOXB5","HOXB5",-1,-1,15,"3.38259687924225e-05",0.196495052715182,6.11270316954369e-15,0.999999999999994
"USP5","USP5",-1,-1,15,"3.47912569991227e-05",0.202067620650905,0.999943673025879,5.63269741212454e-05
"GRIN3A","GRIN3A",-1,-1,15,"3.57316919805672e-05",0.207493935331154,0.870753422675731,0.129246577324269
"WDR24","WDR24",-1,-1,13,"3.57684282092929e-05",0.207671494183155,1,2.47666751964477e-30
"RXFP4","RXFP4",-1,-1,13,"3.65840103089266e-05",0.212370179843319,0.502913417876258,0.497086582123742
"WDR75","WDR75",-1,-1,15,"3.74862586541846e-05",0.217570245228887,1,7.79597265122501e-37
"MACF1","MACF1",-1,-1,14,"3.86560050891216e-05",0.224320797532173,6.66668217812076e-16,0.999999999999999
"AKR1C2","AKR1C2",-1,-1,15,"4.4262528857586e-05",0.256811192431714,0.999977027659985,2.29723400153268e-05
"ARF6","ARF6",-1,-1,15,"4.45071829187071e-05",0.25818616811142,0.00244405661903631,0.997555943380964
"BET1","BET1",-1,-1,12,"4.48313914562792e-05",0.260022070446419,1,2.6474541700499e-17
"NAA15","NAA15",-1,-1,15,"4.86111158914948e-05",0.281895861054778,0.999999984358438,1.56415615320821e-08
"CRABP1","CRABP1",-1,-1,15,"5.42982245570478e-05",0.314821105981763,0.0728609431929511,0.927139056807049
"EIF4B","EIF4B",-1,-1,13,"5.46583876934736e-05",0.316854673459066,0.999976002949823,2.39970501772248e-05
"BIRC5","BIRC5",-1,-1,14,"5.54335275325668e-05",0.321292725578757,1,3.62692543167789e-40
"BAI1","BAI1",-1,-1,14,"5.8376464675991e-05",0.338291612797368,NA,NA
"ARPC1A","ARPC1A",-1,-1,14,"5.85004035846826e-05",0.338951338369651,1,8.42682893309445e-74
"DGKI","DGKI",-1,-1,12,"5.89574793832259e-05",0.341540678067028,0.971353661654662,0.0286463383453378
"MC5R","MC5R",-1,-1,15,"6.35228461273174e-05",0.367924324769422,0.44240245454855,0.55759754545145
"WDR38","WDR38",-1,-1,15,"6.50482193271795e-05",0.376694238123696,0.999999999999707,2.92921437579165e-13
"DKK1","DKK1",-1,-1,14,"6.77761367217089e-05",0.392423831618695,0.959600268474401,0.0403997315255986
"GPR6","GPR6",-1,-1,15,"6.94351764934931e-05",0.401960236720832,0.999999922088556,7.79114436255417e-08
"RFC4","RFC4",-1,-1,15,"7.63497526296009e-05",0.44191236822013,1,1.93740244436765e-82
"IRX3","IRX3",-1,-1,15,"7.80009077298027e-05",0.451391253032368,1,4.13495495507834e-71
"MED15","MED15",-1,-1,14,"7.81093133574995e-05",0.451940487086492,1,4.78291837393761e-53
"TP53BP1","TP53BP1",-1,-1,14,"7.97682091744356e-05",0.46145909007411,4.32369103035143e-12,0.999999999995676
"CIT","CIT",-1,-1,13,"8.18803542229629e-05",0.473595968825617,0.999917192570651,8.28074293490906e-05
"PSMC4","PSMC4",-1,-1,15,"8.30711418798868e-05",0.480400413491385,0.556534320221049,0.443465679778951
"PPP4C","PPP4C",-1,-1,15,"8.39723884851207e-05",0.485528350220968,1,1.71729135393736e-35
"ATP2A3","ATP2A3",-1,-1,14,"8.54648262449409e-05",0.494072160522003,0.491406903531888,0.508593096468112
"USP28","USP28",-1,-1,13,"8.81325223781593e-05",0.509405979345761,3.16803119022113e-11,0.99999999996832
"ATP5O","ATP5O",-1,-1,15,"9.04773172673012e-05",0.522868416487734,0.00549036449413307,0.994509635505867
"FOXL2","FOXL2",-1,-1,15,"9.18383547330315e-05",0.530642013647456,0.999978188439323,2.18115606770362e-05
"SIRPB1","SIRPB1",-1,-1,10,"9.23181545775531e-05",0.533321978994524,1,4.87516625140032e-64
"SLC1A5","SLC1A5",-1,-1,15,"9.47699840178062e-05",0.547391427686849,0.977056276827768,0.0229437231722321
"LATS2","LATS2",-1,-1,14,"9.73595984549158e-05",0.562251681077139,9.16122759217757e-13,0.999999999999084
"PMP2","PMP2",-1,-1,13,"9.91715955905859e-05",0.572616792940043,1.71328679087718e-05,0.999982867132091
"GRM6","GRM6",-1,-1,13,"0.000111690050825564",0.644786663415981,0.999999997482601,2.51739894534527e-09
"RARG","RARG",-1,-1,13,"0.000120352658665945",0.694675545819835,0.999999999344435,6.5556546569804e-10
"GPR15","GPR15",-1,-1,15,"0.000120533459974648",0.695598597513694,0.999999772726214,2.27273786166282e-07
"MATK","MATK",-1,-1,13,"0.000121196612068442",0.69930445163491,1,7.603111329504e-42
"LGALS16","LGALS16",-1,-1,15,"0.000128925669752755",0.743772188803644,0.990451887812543,0.00954811218745679
"CIRH1A","CIRH1A",-1,-1,15,"0.000145960640237197",0.841900972888152,NA,NA
"AGXT2","AGXT2",-1,-1,14,"0.00014693689069234",0.847385048622725,6.95009878217681e-10,0.99999999930499
"CDH15","CDH15",-1,-1,15,"0.000152080032759461",0.876893468891052,0.996871317073081,0.00312868292691941
"RAP1B","RAP1B",-1,-1,14,"0.000155949985822579",0.899051668267168,0.997954118397598,0.00204588160240159
"MTR","MTR",-1,-1,12,"0.000160552289053095",0.92542339410204,1.27526284578549e-13,0.999999999999873
"TOP2A","TOP2A",-1,-1,15,"0.000161848710810597",0.93273412040147,1,5.29914734742936e-19
"ZBTB24","ZBTB24",-1,-1,15,"0.000165331850323747",0.95264212156543,5.66562771468581e-20,1
"EP400","EP400",-1,-1,14,"0.000168586818489747",0.971228661319433,0.994647533573423,0.00535246642657676
"DARS","DARS",-1,-1,15,"0.000171447257070079",0.987536200723655,1,7.98318931629042e-91
"NRF1","NRF1",-1,-1,11,"0.000171736811736212",0.989032298788845,0.999999992459683,7.54031755738356e-09
"PUF60","PUF60",-1,-1,14,"0.000171874353383283",0.989652526780944,0.0443667787681987,0.955633221231801
"LRRC4B","LRRC4B",-1,-1,15,"0.000175817591318572",1,0.999999999999982,1.84718279588027e-14
"UBE2I","UBE2I",-1,-1,14,"0.000177085348265882",1,1,1.12768643471001e-80
"CDK4","CDK4",-1,-1,14,"0.00018069653207875",1,0.999957446891263,4.25531087372991e-05
"PRDX5","PRDX5",-1,-1,15,"0.000181506433237111",1,0.972818221284944,0.0271817787150558
"CBLN3","CBLN3",-1,-1,15,"0.000181728540256998",1,1,3.72323035261097e-68
"CDC37","CDC37",-1,-1,14,"0.000183903731451274",1,1,4.0888214933116e-30
"BUD31","BUD31",-1,-1,14,"0.000190110009901212",1,1,1.68626587625451e-21
"CENPW","CENPW",-1,-1,14,"0.000195136918037186",1,1,1.02486469690795e-28
"PTGDR","PTGDR",-1,-1,15,"0.00019790603404013",1,1,7.68175671474292e-43
"FERMT3","FERMT3",-1,-1,15,"0.000199412388929177",1,1,9.90206038078456e-71
"KCNB2","KCNB2",-1,-1,13,"0.000203235508500876",1,0.936700495756357,0.0632995042436434
"SLC35B2","SLC35B2",-1,-1,15,"0.00020393256267226",1,0.967884249195432,0.0321157508045676
"ECHDC3","ECHDC3",-1,-1,15,"0.0002129327171706",1,5.20603368474973e-22,1
"KDM1A","KDM1A",-1,-1,15,"0.000213704176795892",1,1.82201070688636e-17,1
"CDC73","CDC73",-1,-1,13,"0.000217468909584628",1,9.828441302785e-11,0.999999999901716
"CCNF","CCNF",-1,-1,14,"0.000228204908870655",1,1,2.08445452292663e-30
"CACNA1E","CACNA1E",-1,-1,13,"0.000230694475140236",1,0.896980988208894,0.103019011791106
"RALY","RALY",-1,-1,14,"0.000242390218522792",1,1,7.60060896735197e-53
"NAE1","NAE1",-1,-1,15,"0.000248717264103138",1,0.999999598064518,4.01935482265432e-07
"DHX15","DHX15",-1,-1,15,"0.000257351330289812",1,1.32017661487576e-11,0.999999999986798
"ERCC2","ERCC2",-1,-1,15,"0.000257656493549363",1,0.447457846017192,0.552542153982808
