"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"TFRC","TFRC",2,9.31509916620786e-05,3,"3.10397592719277e-05",0.0618522584636202,NA,NA
"MAPK15","MAPK15",3,9.44672043276389e-05,2,"0.00138526131115937",0.0626317564692246,NA,NA
"MICB","MICB",2,0.000374747089407886,3,"0.00403876718853841",0.248082573188021,NA,NA
"PSCA","PSCA",3,0.000493033535847256,2,"2.6041586231756e-05",0.325895167195036,NA,NA
"TSNARE1","TSNARE1",3,0.00117154777169741,2,"0.23885608866462",0.772049981548593,NA,NA
"OR4K14","OR4K14",2,0.00593595686036331,3,"0.632738476177028",1,NA,NA
"PARP10","PARP10",3,0.0100200152102985,2,"0.0979034842633663",1,NA,NA
"DENND3","DENND3",3,0.0138350721050433,2,"0.128395845752418",1,NA,NA
"OR2T10","OR2T10",4,0.0138351427061218,1,"0.641983049172942",1,NA,NA
"MFSD3","MFSD3",3,0.014302995097639,2,"0.0515177912849099",1,NA,NA
"RGL4","RGL4",2,0.0147292534930072,3,"0.00923488690667773",1,NA,NA
"PIGZ","PIGZ",2,0.018649284343743,3,"0.443020697248221",1,NA,NA
"BTNL9","BTNL9",2,0.0289787605619461,3,"0.49123445172253",1,NA,NA
"PARP2","PARP2",2,0.0317224435275187,3,"0.234205548063692",1,NA,NA
"PLEKHG4B","PLEKHG4B",2,0.0338106158938847,3,"0.0537840012320096",1,NA,NA
"VPREB1","VPREB1",2,0.0371317687561699,3,"0.223430294705794",1,NA,NA
"ATP6V1G2","ATP6V1G2",2,0.0441241757957618,3,"0.03325191093587",1,NA,NA
"LY6G6F","LY6G6F",2,0.0465570221850497,3,"0.770954459092465",1,NA,NA
"ANKRD36","ANKRD36",2,0.0476888467443191,3,"0.00786642532180759",1,NA,NA
"SLC39A2","SLC39A2",2,0.0489078374434588,3,"0.662135098114336",1,NA,NA
"FKBP4","FKBP4",2,0.053218646350771,3,"0.589322435793291",1,NA,NA
"FMN2","FMN2",3,0.0551235786905629,2,"0.50211573626864",1,NA,NA
"KIFC2","KIFC2",3,0.0566569811948075,2,"0.228612749485704",1,NA,NA
"ADCK5","ADCK5",3,0.0573860495379288,2,"0.140847751882068",1,NA,NA
"LY6E","LY6E",3,0.0584718251925993,2,"0.0316237274294939",1,NA,NA
"OR4L1","OR4L1",2,0.0622202495118501,3,"0.860774867363785",1,NA,NA
"CYP11B2","CYP11B2",3,0.0663731240428539,2,"0.266562258736933",1,NA,NA
"HIRA","HIRA",3,0.0681941068230866,2,"0.405480221984293",1,NA,NA
"KDM5A","KDM5A",2,0.0689513024781169,3,"0.161850325008034",1,NA,NA
"MED15","MED15",3,0.0697623942031092,2,"0.0315251651667172",1,NA,NA
"SLC44A4","SLC44A4",2,0.0738717050697927,3,"0.0214572093784675",1,NA,NA
"NAPRT1","NAPRT1",3,0.0747259700945811,2,"0.748677954199376",1,NA,NA
"COL18A1","COL18A1",2,0.0845112013591324,3,"0.0202409123104624",1,NA,NA
"B4GALNT3","B4GALNT3",2,0.0849309716508559,3,"0.09446697664219",1,NA,NA
"FBXL14","FBXL14",2,0.0981118633602174,3,"0.546222949321828",1,NA,NA
"WDR53","WDR53",2,0.100067417250456,3,"0.0280818508434221",1,NA,NA
"RTN4R","RTN4R",3,0.103013023318519,2,"0.497023583166069",1,NA,NA
"ERC1","ERC1",2,0.106013737885481,3,"0.154801183663796",1,NA,NA
"KIAA1875","KIAA1875",3,0.108015328748701,2,"0.916965789495853",1,NA,NA
"BTNL2","BTNL2",2,0.110650668114805,3,"0.102416534003983",1,NA,NA
"RNF168","RNF168",2,0.113472991404224,3,"0.00186822107129706",1,NA,NA
"CDC73","CDC73",2,0.118421216503654,3,"0.804901524948499",1,NA,NA
"WASH3P","WASH3P",2,0.123358122393937,3,"0.0718234411028724",1,NA,NA
"OR4E2","OR4E2",2,0.125156948894774,3,"0.181095037567909",1,NA,NA
"LY6K","LY6K",3,0.131342528479936,2,"0.111167899193475",1,NA,NA
"LY6D","LY6D",3,0.139259924419906,2,"0.218334634291284",1,NA,NA
"ZBTB12","ZBTB12",2,0.153093531016538,3,"0.134207470683053",1,NA,NA
"LRRC24","LRRC24",3,0.153832437171812,2,"0.474448640890219",1,NA,NA
"DNMT3L","DNMT3L",2,0.158699927906567,3,"0.161274072358973",1,NA,NA
"BAI1","BAI1",3,0.17895204179071,2,"0.340111916980403",1,NA,NA
"PTP4A3","PTP4A3",3,0.197745825338883,2,"0.222815313900711",1,NA,NA
"OR4N5","OR4N5",2,0.198043003571118,3,"0.0232447124521322",1,NA,NA
"CYHR1","CYHR1",3,0.207594119104738,2,"0.920194410236191",1,NA,NA
"ADARB1","ADARB1",2,0.2142074188779,3,"0.924188942636798",1,NA,NA
"TNF","TNF",2,0.217661281976588,3,"0.673624131250565",1,NA,NA
