"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"NCOA6","NCOA6",2,0.00632680624907173,3,"0.0370003474914059",1,NA,NA
"DSP","DSP",2,0.0984596541277632,3,"0.382995874528035",1,NA,NA
"TTN","TTN",2,0.223601488994094,3,"0.452196918497743",1,NA,NA
"PI4KA","PI4KA",2,0.329329665325894,3,"0.481002442083285",1,NA,NA
"KCNT1","KCNT1",2,0.352120321771848,3,"0.696525169182913",1,NA,NA
"PCM1","PCM1",2,0.658787345603166,3,"0.906390023302229",1,NA,NA
"VCAN","VCAN",2,0.723611914105339,3,"0.882837885065875",1,NA,NA
"CHD6","CHD6",2,0.737772941916433,3,"0.796766399574531",1,NA,NA
"ZFHX2","ZFHX2",2,0.856222793984914,3,"0.865146484884781",1,NA,NA
"TIAM2","TIAM2",2,0.883366247729622,3,"0.188760710000534",1,NA,NA
"COL4A4","COL4A4",2,0.907841192209013,3,"0.450149454422496",1,NA,NA
"ALPK3","ALPK3",2,0.935010078761888,3,"0.592954931325199",1,NA,NA
"PVRL3","PVRL3",2,0.944374683904392,3,"0.553416558626664",1,NA,NA
"KDM2B","KDM2B",2,0.978295879163565,3,"0.989195937492657",1,NA,NA
"SCYL1","SCYL1",1,0.00219644748536498,4,"0.868658843479028",0.632576875785114,NA,NA
"MAPK3","MAPK3",1,0.00768750463569975,4,"0.672873215632025",1,NA,NA
"ERCC6L2","ERCC6L2",1,0.00909949076007155,4,"0.0302985365772031",1,NA,NA
"BMPR1A","BMPR1A",1,0.0116096883145103,4,"0.482748117899256",1,NA,NA
"DNAH5","DNAH5",1,0.0203953797550459,4,"0.0231073057327674",1,NA,NA
"GLI2","GLI2",1,0.020787598122927,4,"0.0327476288536031",1,NA,NA
"AMBP","AMBP",1,0.0227486899623323,4,"0.708154376026397",1,NA,NA
"PKHD1","PKHD1",1,0.0250235564960424,4,"0.0150452729984813",1,NA,NA
"RAD50","RAD50",1,0.0287104091541243,4,"0.676374882390882",1,NA,NA
"PPARGC1A","PPARGC1A",1,0.0315343814028679,4,"0.294021299098542",1,NA,NA
"PYGB","PYGB",1,0.0342014663044591,4,"0.0933939731110614",1,NA,NA
"ABCA12","ABCA12",1,0.0440069255014854,4,"0.167120692736316",1,NA,NA
"LRRIQ4","LRRIQ4",1,0.0708346618645496,4,"0.0146294456962572",1,NA,NA
"VHL","VHL",1,0.0892689251549592,4,"0.0913008434132119",1,NA,NA
"L3MBTL4","L3MBTL4",1,0.0916222353622455,4,"0.00275098742893527",1,NA,NA
"BTG1","BTG1",1,0.0917791227093979,4,"0.0519523916477339",1,NA,NA
"IGSF9","IGSF9",1,0.0955444190410561,4,"0.764943196659127",1,NA,NA
"ANKRD30B","ANKRD30B",1,0.100721701497086,4,"0.12938767411232",1,NA,NA
"ITGB3","ITGB3",1,0.103075011704372,4,"0.259350983289959",1,NA,NA
"EML6","EML6",1,0.107232526403911,4,"0.568005163651769",1,NA,NA
"SEZ6","SEZ6",1,0.107232526403911,4,"0.956418539215442",1,NA,NA
"COL25A1","COL25A1",1,0.108330737833978,4,"0.0641006092621776",1,NA,NA
"PSMA8","PSMA8",1,0.108330737833978,4,"0.201461736210314",1,NA,NA
"ATP10D","ATP10D",1,0.108644512528283,4,"0.99958797344368",1,NA,NA
"ARHGEF7","ARHGEF7",1,0.112174477839213,4,"0.0224918110005501",1,NA,NA
"COL4A3","COL4A3",1,0.120175732543986,4,"0.124513712322091",1,NA,NA
"DNMT3L","DNMT3L",1,0.126529670103659,4,"0.354320608516431",1,NA,NA
"ANK3","ANK3",1,0.133903375419823,4,"0.0428825609701693",1,NA,NA
"ATG2A","ATG2A",1,0.134217150114128,4,"0.940470787867762",1,NA,NA
"NPHS1","NPHS1",1,0.138139333792939,4,"0.264867930163302",1,NA,NA
"ARVCF","ARVCF",1,0.142610623186783,4,"0.387354467504691",1,NA,NA
"KIF13A","KIF13A",1,0.150376546870828,4,"0.890496186340453",1,NA,NA
"ARAP3","ARAP3",1,0.150847208912285,4,"0.174086218773928",1,NA,NA
"ALDH6A1","ALDH6A1",1,0.157828695860568,4,"0.893799122928938",1,NA,NA
"C1QTNF1","C1QTNF1",1,0.165986837912494,4,"0.608070668710159",1,NA,NA
"LRG1","LRG1",1,0.168026373425475,4,"0.0216796967003543",1,NA,NA
"LAMA5","LAMA5",1,0.173595874249386,4,"0.732396672138971",1,NA,NA
"WNT11","WNT11",1,0.173831205270115,4,"0.366889486010251",1,NA,NA
"ULK3","ULK3",1,0.179871368135483,4,"0.225153276543779",1,NA,NA
"UNC5B","UNC5B",1,0.181675572627736,4,"0.00390405833365376",1,NA,NA
"ALDOB","ALDOB",1,0.194775666114963,4,"0.978630989776102",1,NA,NA
"ARHGEF10L","ARHGEF10L",1,0.199482286529536,4,"0.136710530682555",1,NA,NA
"TP63","TP63",1,0.202227815104703,4,"0.351396091314795",1,NA,NA
"ABCA7","ABCA7",1,0.205208674700599,4,"0.160056319345834",1,NA,NA
