"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"TP53","TP53",-1,-1,3,"1.4635057455914e-06",0.00858492470363915,1,4.79715210248875e-28
"EED","EED",-1,-1,26,"4.73376965803851e-06",0.0277635590443959,1,1.11157901957858e-50
"GCLC","GCLC",-1,-1,27,"8.85485743584713e-06",0.0519248840038076,1,2.5503570273632e-25
"ARL14","ARL14",-1,-1,27,"9.71638859503798e-06",0.0569671863327077,0.999990555532108,9.44446789198047e-06
"DRD3","DRD3",-1,-1,27,"1.02638164426461e-05",0.0601664919867914,0.753200630699686,0.246799369300314
"ANGPTL4","ANGPTL4",-1,-1,28,"1.49914169045307e-05",0.0878646944774544,0.99999999778828,2.2117200639985e-09
"FN1","FN1",-1,-1,25,"3.12492799954267e-05",0.1831207807732,0.681817548808937,0.318182451191063
"ARID3A","ARID3A",-1,-1,26,"3.30184657632016e-05",0.193455190906598,0.999999999999992,8.14141722175388e-15
"ZBTB1","ZBTB1",-1,-1,27,"7.58228780374237e-05",0.444170419543228,0.972650523847297,0.0273494761527028
"MTG1","MTG1",-1,-1,27,"0.000108365441028324",0.634696388102894,1,3.72024373200816e-40
"COL6A6","COL6A6",-1,-1,23,"0.000115395118866157",0.675753816080215,5.84243608488892e-18,1
"MRGPRX1","MRGPRX1",-1,-1,23,"0.000116918239820185",0.684556294147183,0.984458473730565,0.0155415262694353
"LLGL1","LLGL1",-1,-1,27,"0.000117745227747212",0.689280563232179,1,1.3946030197325e-19
"SMAD4","SMAD4",-1,-1,26,"0.000166346822075059",0.97362794960532,1.07247614631638e-11,0.999999999989275
"GRAPL","GRAPL",-1,-1,25,"0.00016705547389817",0.977608633252091,9.89330969825117e-08,0.999999901066903
"XRCC4","XRCC4",-1,-1,28,"0.000172032090273833",1,1,1.06062983144671e-23
"PSCA","PSCA",-1,-1,27,"0.000172443359868435",1,0.99970770997704,0.000292290022960119
"MAD1L1","MAD1L1",-1,-1,20,"0.000174432002942093",1,0.999999999997494,2.50620710534728e-12
"HIST1H2BD","HIST1H2BD",-1,-1,28,"0.000176930350348714",1,1,5.31616150044002e-79
"DUSP23","DUSP23",-1,-1,25,"0.000179774331615756",1,1,6.3974702523134e-28
"SETX","SETX",-1,-1,25,"0.000190737252168449",1,1.32353663027342e-05,0.999986764633697
"ACAP3","ACAP3",-1,-1,25,"0.000210033804188048",1,1,8.94709699191465e-34
"DDX55","DDX55",-1,-1,28,"0.00021384230384669",1,1,2.61844357406942e-52
"CD300LF","CD300LF",-1,-1,28,"0.000220738180871427",1,7.0875117136247e-15,0.999999999999993
"DHRS7","DHRS7",-1,-1,26,"0.000229253459769208",1,0.999999567050426,4.32949573805453e-07
"WDR61","WDR61",-1,-1,26,"0.000242343617909646",1,0.95566955513371,0.0443304448662902
"ORC5","ORC5",-1,-1,25,"0.000284528427219599",1,1,1.31639575420242e-51
"SETD6","SETD6",-1,-1,25,"0.000286652972699586",1,1,5.34241435096396e-47
"LY6D","LY6D",-1,-1,27,"0.000292982118027751",1,0.99999999998733,1.26702008194258e-11
"ACTR5","ACTR5",-1,-1,27,"0.000295938230794879",1,1,2.54142137651444e-68
"PCGF2","PCGF2",-1,-1,26,"0.000297984268275098",1,1,6.08579858002969e-20
"SAR1B","SAR1B",-1,-1,28,"0.000303222935898906",1,1,1.56447098642937e-19
"CELF2","CELF2",-1,-1,21,"0.000319718253679047",1,1.46088226345255e-26,1
"ZSCAN16","ZSCAN16",-1,-1,27,"0.000353254223297461",1,1,1.39019082035145e-54
"BOLL","BOLL",-1,-1,27,"0.000358816131451833",1,0.999999567260493,4.32739507380986e-07
"DYRK3","DYRK3",-1,-1,28,"0.000359419055783627",1,0.000195318261956402,0.999804681738044
"TGFBR2","TGFBR2",-1,-1,27,"0.000414377718928938",1,2.05098181553639e-34,1
"LILRB3","LILRB3",-1,-1,26,"0.000439490754398197",1,2.1006111348365e-14,0.999999999999979
"PXDN","PXDN",-1,-1,25,"0.000482536299063696",1,0.999999999999988,1.24072548412344e-14
"WISP1","WISP1",-1,-1,28,"0.000494558440874204",1,1,1.78272768969696e-53
"CPB2","CPB2",-1,-1,26,"0.000498510335948166",1,2.05030568595998e-14,0.99999999999998
"KCNS2","KCNS2",-1,-1,26,"0.000516660023151871",1,0.993200462115903,0.00679953788409695
"ARHGEF17","ARHGEF17",-1,-1,25,"0.000522797911523765",1,8.20228282458569e-11,0.999999999917977
"MYSM1","MYSM1",-1,-1,25,"0.00056323029808536",1,0.999999965647479,3.43525208854635e-08
"KLHL26","KLHL26",-1,-1,27,"0.000567391379470483",1,0.997394520162306,0.00260547983769426
