"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"OR2T11","OR2T11",2,0.00601312988569729,4,"0.292207751325959",1,NA,NA
"RAPGEF3","RAPGEF3",2,0.0365992679482758,4,"0.151279546276401",1,NA,NA
"TSPAN11","TSPAN11",2,0.0548691388215179,4,"0.234199417367009",1,NA,NA
"CDH12","CDH12",2,0.0980076461214472,4,"0.915334680459517",1,NA,NA
"OR2T10","OR2T10",3,0.156750860785894,3,"0.709896677622527",1,NA,NA
"PDZRN4","PDZRN4",2,0.180621821820306,4,"0.689164614979196",1,NA,NA
"SOX17","SOX17",2,0.200419795260216,4,"0.730041640260217",1,NA,NA
"MYO10","MYO10",3,0.253606007427507,3,"0.533035448197968",1,NA,NA
"PRDM9","PRDM9",2,0.2553422410777,4,"0.856644249612647",1,NA,NA
"NPBWR1","NPBWR1",2,0.256858038338968,4,"0.0551687659320585",1,NA,NA
"AHR","AHR",2,0.286688664030877,4,"0.265691508707488",1,NA,NA
"OPRK1","OPRK1",2,0.332200738885673,4,"0.764820583652571",1,NA,NA
"MCM4","MCM4",2,0.34837805454206,4,"0.000422371977124378",1,NA,NA
"PHF14","PHF14",2,0.374925835583566,4,"0.40812957198573",1,NA,NA
"AMIGO2","AMIGO2",2,0.430072107625172,4,"0.314515259318747",1,NA,NA
"CNTN1","CNTN1",2,0.480889046177736,4,"0.865976117177813",1,NA,NA
"YAF2","YAF2",2,0.490242614318006,4,"0.193264675380083",1,NA,NA
"ARID2","ARID2",2,0.49788426373136,4,"0.362355951949692",1,NA,NA
"SNAI2","SNAI2",2,0.511774842760168,4,"0.0551687659320585",1,NA,NA
"VDR","VDR",2,0.516568915444309,4,"0.359360180982254",1,NA,NA
"CAPRIN2","CAPRIN2",2,0.52745976237671,4,"0.41782431187442",1,NA,NA
"PRICKLE1","PRICKLE1",2,0.542888601685851,4,"0.56527333326866",1,NA,NA
"TCEA1","TCEA1",2,0.550581364418056,4,"0.274256607999613",1,NA,NA
"CYP2A7","CYP2A7",2,0.587068536615297,4,"0.440147965640196",1,NA,NA
"MTMR12","MTMR12",2,0.587567396661595,4,"0.105131606281686",1,NA,NA
"PPHLN1","PPHLN1",2,0.588208345104178,4,"0.0331532861723815",1,NA,NA
"GXYLT1","GXYLT1",2,0.589915104200736,4,"0.892388055112211",1,NA,NA
"LRRK2","LRRK2",2,0.600642270467789,4,"0.239821275663341",1,NA,NA
"TWF1","TWF1",2,0.646100047362977,4,"0.974611503452016",1,NA,NA
"AGR2","AGR2",2,0.657684829851267,4,"0.123637708258357",1,NA,NA
"RB1CC1","RB1CC1",2,0.682217661379367,4,"0.434365675772546",1,NA,NA
"ALG10","ALG10",2,0.710453101487561,4,"0.508314385663014",1,NA,NA
"SLC38A1","SLC38A1",2,0.74071865328893,4,"0.103943524567904",1,NA,NA
"ARL4A","ARL4A",2,0.76114391133538,4,"0.15507889208632",1,NA,NA
"ZCRB1","ZCRB1",2,0.800026933104932,4,"0.13058090223787",1,NA,NA
"ADAMTS20","ADAMTS20",2,0.804319610661514,4,"0.262447522371224",1,NA,NA
"IRAK4","IRAK4",2,0.804417745250711,4,"0.6171051358575",1,NA,NA
"HDAC7","HDAC7",2,0.805006035899458,4,"0.0297261107669102",1,NA,NA
"TMEM117","TMEM117",2,0.858985662989012,4,"0.708109120747419",1,NA,NA
"PRKDC","PRKDC",2,0.879508320836911,4,"0.908283113082994",1,NA,NA
"ABCD2","ABCD2",2,0.88596577140217,4,"0.761003607551209",1,NA,NA
"KIF21A","KIF21A",2,0.894635434624236,4,"0.924457315224369",1,NA,NA
"UBE2V2","UBE2V2",2,0.921505234394131,4,"0.659687579422066",1,NA,NA
"CDH6","CDH6",2,0.931572045105471,4,"0.946488821046134",1,NA,NA
"NPR3","NPR3",2,0.936052266560159,4,"0.514221240846833",1,NA,NA
"PUS7L","PUS7L",2,0.941781033549579,4,"0.221887592463283",1,NA,NA
"ETV1","ETV1",2,0.942101798548465,4,"0.291845623973603",1,NA,NA
"ST18","ST18",2,0.96512033969228,4,"0.902877174149823",1,NA,NA
"DROSHA","DROSHA",2,0.995895594200767,4,"0.145718153781771",1,NA,NA
"RPAP3","RPAP3",2,0.99971752962353,4,"0.0834661145535613",1,NA,NA
"KRAS","KRAS",1,0.000156911972383493,5,"0.897959976376595",0.105444845441707,NA,NA
"TCF15","TCF15",1,0.00392220830404162,5,"0.0266573161888691",1,NA,NA
"STK38L","STK38L",1,0.00627551851132795,5,"0.67429508501111",1,NA,NA
"SAMD4B","SAMD4B",1,0.0120803503559676,5,"0.755293608199855",1,NA,NA
"RAD50","RAD50",1,0.0140414421953728,5,"0.479006911060881",1,NA,NA
"PMP2","PMP2",1,0.019297168324979,5,"0.0656412621539742",1,NA,NA
"NLK","NLK",1,0.0198462740400125,5,"0.0307167131311038",1,NA,NA
"GSK3A","GSK3A",1,0.0233762393509419,5,"0.596417291264992",1,NA,NA
"WIF1","WIF1",1,0.025258887516771,5,"0.367235588772503",1,NA,NA
"CPA6","CPA6",1,0.0254157748639234,5,"0.922659491130353",1,NA,NA
"MTMR9LP","MTMR9LP",1,0.0316912687500203,5,"0.125213346591412",1,NA,NA
"PLEKHG4B","PLEKHG4B",1,0.0318481560971727,5,"0.786625820824184",1,NA,NA
"CCNT1","CCNT1",1,0.0327110365065111,5,"0.925230232882833",1,NA,NA
"ATP4A","ATP4A",1,0.0334954732422732,5,"0.101314316088706",1,NA,NA
"BIRC2","BIRC2",1,0.0386727556983031,5,"0.154420491680708",1,NA,NA
"SDR9C7","SDR9C7",1,0.049419538978244,5,"0.868601181442869",1,NA,NA
