"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"POLE","POLE",2,3.45702664740222e-05,4,"0.020889775821001",0.037405028324892,NA,NA
"ZFHX3","ZFHX3",3,0.00219830440931412,3,"0.148794583949296",1,NA,NA
"FBXW7","FBXW7",2,0.00308286531594644,4,"0.328788018641019",1,NA,NA
"ABCA1","ABCA1",2,0.0126912958235675,4,"0.760467595093223",1,NA,NA
"CDC42BPA","CDC42BPA",2,0.0177809518316327,4,"0.546380860164504",1,NA,NA
"RNF43","RNF43",2,0.0247630831402578,4,"0.00106148921634947",1,NA,NA
"NRCAM","NRCAM",2,0.027598131998198,4,"0.647532551945764",1,NA,NA
"RBM39","RBM39",2,0.0277827343345558,4,"0.0141581846199942",1,NA,NA
"TP53","TP53",2,0.0539634028960417,4,"0.0155010181354969",1,NA,NA
"WDR11","WDR11",2,0.0560447325778508,4,"0.564499596563928",1,NA,NA
"PRKACG","PRKACG",2,0.094292709064805,4,"0.842444107543",1,NA,NA
"SLITRK2","SLITRK2",2,0.0969339775011851,4,"0.889109043424837",1,NA,NA
"CDH4","CDH4",2,0.109766792220581,4,"0.144907305895559",1,NA,NA
"PKHD1","PKHD1",3,0.126974736079658,3,"0.231689563898263",1,NA,NA
"ITK","ITK",2,0.131434695230248,4,"0.683146705631267",1,NA,NA
"NPY5R","NPY5R",2,0.134753315666868,4,"0.732701252519089",1,NA,NA
"ATP8B4","ATP8B4",2,0.139394331706294,4,"0.811418025535281",1,NA,NA
"CADM2","CADM2",3,0.141006913215262,3,"0.172819382647304",1,NA,NA
"GABRG2","GABRG2",2,0.146736811856733,4,"0.877654908259442",1,NA,NA
"KEAP1","KEAP1",2,0.155621438185187,4,"0.729560740558102",1,NA,NA
"PRDM14","PRDM14",2,0.158125928548506,4,"0.950886516733033",1,NA,NA
"BAI1","BAI1",2,0.161987116694388,4,"0.259393871408911",1,NA,NA
"PRDM9","PRDM9",2,0.163284529445175,4,"0.906277524318607",1,NA,NA
"RPAP1","RPAP1",2,0.167480106216336,4,"0.0237267758372109",1,NA,NA
"RB1","RB1",2,0.180621821820306,4,"0.859472389046468",1,NA,NA
"FARP2","FARP2",2,0.20061850118894,4,"0.18514800767687",1,NA,NA
"RAI1","RAI1",2,0.202211692982845,4,"0.344073462048625",1,NA,NA
"MMS22L","MMS22L",2,0.203410721919742,4,"0.282900986503583",1,NA,NA
"PAMR1","PAMR1",2,0.205115413509199,4,"0.229209538164541",1,NA,NA
"ITGB4","ITGB4",2,0.206373401347149,4,"0.981635411983207",1,NA,NA
"DNMT1","DNMT1",2,0.209053054661914,4,"0.00691296696135743",1,NA,NA
"ANO1","ANO1",2,0.222605901038719,4,"0.853123185227545",1,NA,NA
"PKHD1L1","PKHD1L1",2,0.230047137133675,4,"0.627021401529002",1,NA,NA
"COL5A1","COL5A1",2,0.23967004640381,4,"0.84698880098154",1,NA,NA
"LPHN3","LPHN3",2,0.240050367161329,4,"0.539103422621881",1,NA,NA
"EPHA3","EPHA3",2,0.260865431442834,4,"0.808865098830374",1,NA,NA
"TLR4","TLR4",3,0.270636226839577,3,"0.179239602346849",1,NA,NA
"FCGBP","FCGBP",2,0.27214697396733,4,"0.424538038114244",1,NA,NA
"ATP11A","ATP11A",2,0.278550212759353,4,"0.594666704299007",1,NA,NA
"BCL11B","BCL11B",2,0.294522715316525,4,"0.697482789121698",1,NA,NA
"DSP","DSP",2,0.305091529817586,4,"0.725567292338431",1,NA,NA
"EIF2AK3","EIF2AK3",2,0.313730425619146,4,"0.412868304732759",1,NA,NA
"GPR15","GPR15",2,0.33105081418315,4,"0.676846961198227",1,NA,NA
"DLG5","DLG5",2,0.335855320024041,4,"0.18079020489585",1,NA,NA
"KCNB2","KCNB2",2,0.3365628914436,4,"0.303943118379882",1,NA,NA
"PDGFRA","PDGFRA",2,0.34205559468904,4,"0.53457403742766",1,NA,NA
"EML6","EML6",2,0.346612379610594,4,"0.347218938762244",1,NA,NA
"LRP1B","LRP1B",3,0.352588703060843,3,"0.753947463904721",1,NA,NA
"PLXND1","PLXND1",2,0.353438136118468,4,"0.321926891014645",1,NA,NA
"CLCNKB","CLCNKB",2,0.354692339586133,4,"0.223596997760906",1,NA,NA
"FAT3","FAT3",3,0.374938852774807,3,"0.601922934041707",1,NA,NA
"ULK4","ULK4",3,0.38464622650519,3,"0.852221322804223",1,NA,NA
"PKD1","PKD1",3,0.387096255106933,3,"0.0387232872603554",1,NA,NA
"LRRC15","LRRC15",2,0.388703564239928,4,"0.0325407708766101",1,NA,NA
"KIAA1549L","KIAA1549L",2,0.391613893466728,4,"0.984242060085844",1,NA,NA
"PRKDC","PRKDC",2,0.401393385331825,4,"0.994372840964414",1,NA,NA
"OR2G2","OR2G2",3,0.402038837716168,3,"0.671281814932233",1,NA,NA
"TEK","TEK",2,0.407035816404927,4,"0.612394556463849",1,NA,NA
"LRP5L","LRP5L",2,0.414929918740757,4,"0.975395713471754",1,NA,NA
"PAPPA2","PAPPA2",2,0.420882257086164,4,"0.923828271854354",1,NA,NA
"BARHL2","BARHL2",2,0.433790450373994,4,"0.0369521623606903",1,NA,NA
"KCNQ2","KCNQ2",2,0.448006714064513,4,"0.547315424348897",1,NA,NA
"PLEKHA4","PLEKHA4",2,0.449567388121176,4,"0.632666042915719",1,NA,NA
"HCN4","HCN4",2,0.456361666810359,4,"0.0738367358016335",1,NA,NA
"ASXL1","ASXL1",2,0.466383427627241,4,"0.747043814971207",1,NA,NA
"UNC5C","UNC5C",2,0.469798893363007,4,"0.448119554684656",1,NA,NA
"PLCE1","PLCE1",2,0.487915148432401,4,"0.906065930526836",1,NA,NA
"TRPV4","TRPV4",2,0.493042883631722,4,"0.608674799063977",1,NA,NA
"SEMA3E","SEMA3E",2,0.527688512325525,4,"0.811054495440152",1,NA,NA
"TEX15","TEX15",2,0.532327749828587,4,"0.735738150568106",1,NA,NA
"NCOA1","NCOA1",2,0.538000347974525,4,"0.895375054962421",1,NA,NA
"DGKZ","DGKZ",2,0.55606790498096,4,"0.965345963987853",1,NA,NA
"EPHA5","EPHA5",3,0.556687402806805,3,"0.491528563694692",1,NA,NA
"TTN","TTN",5,0.560487618013939,1,"0.211797943281001",1,NA,NA
"PASK","PASK",2,0.575366968614145,4,"0.408231342914087",1,NA,NA
"MBD3","MBD3",2,0.575872849701167,4,"0.54799022064034",1,NA,NA
"PTPN13","PTPN13",3,0.579723690758516,3,"0.094816621515313",1,NA,NA
"ZRANB3","ZRANB3",2,0.592822618238631,4,"0.0510638808735936",1,NA,NA
"OBSCN","OBSCN",3,0.59750132144408,3,"0.835947397082216",1,NA,NA
"FBLN1","FBLN1",2,0.606439856707014,4,"0.123215249791322",1,NA,NA
"WDR87","WDR87",2,0.609080026609051,4,"0.986926367717555",1,NA,NA
"DGKQ","DGKQ",2,0.612402277426171,4,"0.71122457403534",1,NA,NA
"PRDM2","PRDM2",2,0.615435219506845,4,"0.250377646429048",1,NA,NA
"EPHA6","EPHA6",2,0.621601859610018,4,"0.221134448784919",1,NA,NA
"KCNV1","KCNV1",2,0.624802405205091,4,"0.707565820342093",1,NA,NA
"RMI1","RMI1",2,0.627447857813411,4,"0.775685414481595",1,NA,NA
"TRIO","TRIO",3,0.634145374579336,3,"0.1959208800255",1,NA,NA
"TNKS","TNKS",2,0.638603289158452,4,"0.00987209211940477",1,NA,NA
"ESX1","ESX1",2,0.641930130427102,4,"0.190769024677947",1,NA,NA
"ASXL3","ASXL3",2,0.646429947071852,4,"0.490326293465053",1,NA,NA
"GNAS","GNAS",2,0.659629245969095,4,"0.893773576830392",1,NA,NA
"MAG","MAG",2,0.661374485426203,4,"0.318259429614662",1,NA,NA
"OPRM1","OPRM1",2,0.672386997695526,4,"0.510980633422768",1,NA,NA
"PREX2","PREX2",2,0.674858702621228,4,"0.859533485563202",1,NA,NA
"COL18A1","COL18A1",2,0.679711254294534,4,"0.580076919007419",1,NA,NA
"ZNF638","ZNF638",2,0.680150586253226,4,"0.2117754609921",1,NA,NA
"SARDH","SARDH",2,0.682092574854702,4,"0.727106412049823",1,NA,NA
"ARHGEF17","ARHGEF17",2,0.689430565872388,4,"0.872346083611464",1,NA,NA
"MERTK","MERTK",2,0.69276005312276,4,"0.0425628418441821",1,NA,NA
"ZFHX4","ZFHX4",2,0.695765726386672,4,"0.915290849479995",1,NA,NA
"ATM","ATM",2,0.699973154532625,4,"0.811708567531672",1,NA,NA
"ABCC6","ABCC6",2,0.711943534385394,4,"0.984554956187497",1,NA,NA
"HECW1","HECW1",2,0.712419660662591,4,"0.771113107381153",1,NA,NA
"LMTK2","LMTK2",2,0.715741517692384,4,"0.825740135492619",1,NA,NA
"SLC4A7","SLC4A7",2,0.722502684975486,4,"0.380396042460291",1,NA,NA
"LRP8","LRP8",3,0.72436875338473,3,"0.175077953452808",1,NA,NA
"ZNF423","ZNF423",2,0.730738975480257,4,"0.723803463054541",1,NA,NA
"ST18","ST18",2,0.734810591723501,4,"0.98511244242234",1,NA,NA
"CUX1","CUX1",2,0.738794494181119,4,"0.811962586006014",1,NA,NA
"COL22A1","COL22A1",2,0.741903550908347,4,"0.801091862744237",1,NA,NA
"TTC39C","TTC39C",2,0.751285040327726,4,"0.385498678548997",1,NA,NA
"ALPK3","ALPK3",2,0.756294165570639,4,"0.504811087028532",1,NA,NA
"ANK2","ANK2",2,0.770006068329098,4,"0.749790989761678",1,NA,NA
"MFSD10","MFSD10",2,0.785330235402565,4,"0.20312353097241",1,NA,NA
"CACNA1E","CACNA1E",3,0.800507226290596,3,"0.20907377247959",1,NA,NA
"ARAP2","ARAP2",3,0.802079869718927,3,"0.26316481027182",1,NA,NA
"LETM2","LETM2",2,0.811322388620621,4,"0.942772607523151",1,NA,NA
"FLT3","FLT3",2,0.813197015874565,4,"0.498221949716576",1,NA,NA
"PTPRZ1","PTPRZ1",3,0.816412769441369,3,"0.648969691750069",1,NA,NA
"RUNX1T1","RUNX1T1",2,0.817487358223672,4,"0.604793894386892",1,NA,NA
"MYOM2","MYOM2",2,0.820225835079924,4,"0.651762670082651",1,NA,NA
"NCOR2","NCOR2",2,0.821212248308828,4,"0.879605294287226",1,NA,NA
"CLCN1","CLCN1",2,0.826612112101803,4,"0.498588017040082",1,NA,NA
"ABCA13","ABCA13",2,0.835187775648425,4,"0.798161235178765",1,NA,NA
"ITPKB","ITPKB",3,0.836567584213346,3,"0.622739005625544",1,NA,NA
"BAI3","BAI3",2,0.851387431719286,4,"0.0913931860700346",1,NA,NA
"CCDC132","CCDC132",2,0.856727127508656,4,"0.46542596257234",1,NA,NA
"CNTNAP2","CNTNAP2",2,0.857188654832398,4,"0.235056803340873",1,NA,NA
