"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"UBL5","UBL5",-1,-1,10,"2.72512444848579e-10",1.59801297659207e-06,0.999999854690277,1.45309723129864e-07
"MED8","MED8",-1,-1,10,"1.20937631173579e-06",0.00709057331570694,1,2.59107828610425e-27
"SMARCB1","SMARCB1",-1,-1,9,"6.21251456447248e-06",0.0364177603769377,1,6.05245825179879e-99
"WHSC1","WHSC1",-1,-1,9,"6.42893809545554e-05",0.376800061774649,NA,NA
"LMLN","LMLN",-1,-1,5,"0.000119449590699853",0.699974601501139,1,2.87498111880321e-25
"AHCTF1","AHCTF1",-1,-1,10,"0.000131840709562118",0.772454717324449,1,2.70891854974341e-39
"EEF2","EEF2",-1,-1,10,"0.000183469500564174",1,0.99965841199584,0.000341588004159594
"SERPINA3","SERPINA3",-1,-1,9,"0.000190559646862845",1,0.469553896583255,0.530446103416745
"ATP2B1","ATP2B1",-1,-1,9,"0.000204665101975777",1,0.999999999999998,1.73229048360062e-15
"CDC42SE2","CDC42SE2",-1,-1,10,"0.000264705190750235",1,1.70217819531757e-09,0.999999998297822
"DPP10","DPP10",-1,-1,9,"0.000407178485626815",1,0.999927467577507,7.25324224932988e-05
"PAPSS1","PAPSS1",-1,-1,10,"0.000423258746419179",1,2.75730574394981e-08,0.999999972426943
"WDR16","WDR16",-1,-1,10,"0.000511508056678217",1,NA,NA
"IRF9","IRF9",-1,-1,10,"0.000516732325205353",1,0.999999809342781,1.90657219313258e-07
"CLTCL1","CLTCL1",-1,-1,9,"0.000587201666723288",1,1,9.83628655718527e-29
"NR2E3","NR2E3",-1,-1,10,"0.000652776878052014",1,1.92248320105511e-08,0.999999980775168
"SEC62","SEC62",-1,-1,8,"0.000870126195887505",1,0.830416498436511,0.169583501563489
"STXBP5","STXBP5",-1,-1,10,"0.00098657062330256",1,0.978478345049753,0.0215216549502469
"PRPF6","PRPF6",-1,-1,10,"0.00103644925836694",1,0.999998681786268,1.31821373217839e-06
"CCNB2","CCNB2",-1,-1,10,"0.00118164335541268",1,1,6.45624053513791e-177
"TLE2","TLE2",-1,-1,10,"0.00119336797708549",1,2.07004999685895e-18,1
"MPZL1","MPZL1",-1,-1,9,"0.00144884691764535",1,1,1.08460400891204e-28
"PI4KA","PI4KA",-1,-1,10,"0.00149423788478954",1,0.740613340082304,0.259386659917696
"MED6","MED6",-1,-1,10,"0.0016443924483965",1,1,5.72771310434936e-38
"SMARCA4","SMARCA4",-1,-1,7,"0.00168494168325706",1,1,5.65058815026203e-34
"ACTB","ACTB",-1,-1,10,"0.00182290509229643",1,0.000220241214366819,0.999779758785633
"CRCT1","CRCT1",-1,-1,7,"0.00220278129237879",1,0.999999999999974,2.60466316609496e-14
"PVRL4","PVRL4",-1,-1,9,"0.00226607120231997",1,NA,NA
"XAF1","XAF1",-1,-1,10,"0.00235796241462879",1,0.012289607811975,0.987710392188025
"NUP43","NUP43",-1,-1,10,"0.00257952659827044",1,1,2.04608015942712e-46
"RHEBL1","RHEBL1",-1,-1,10,"0.00265519163301821",1,1,6.2408844638679e-26
"FARP2","FARP2",-1,-1,10,"0.00279328519493766",1,1,4.16847772532396e-17
"HMGB1","HMGB1",-1,-1,10,"0.00301607912025201",1,0.999998831136837,1.16886316297614e-06
"LOC81691","LOC81691",-1,-1,10,"0.00309549554956385",1,NA,NA
"NCBP2","NCBP2",-1,-1,5,"0.00323957759469596",1,1,7.24390858912312e-111
"ACTG1","ACTG1",-1,-1,10,"0.00325035499682598",1,1,1.8008813685796e-26
"CDK7","CDK7",-1,-1,10,"0.00357110007178322",1,1,1.65768717191024e-24
"SMNDC1","SMNDC1",-1,-1,10,"0.00357110007178322",1,1,1.14655756374479e-33
"MCF2L2","MCF2L2",-1,-1,9,"0.00363695631272044",1,0.99999989571977,1.04280230429133e-07
"FEM1B","FEM1B",-1,-1,9,"0.00365917808099811",1,1,7.70987725898022e-23
"CACNB3","CACNB3",-1,-1,10,"0.00391663476715647",1,0.999999999898178,1.0182229830471e-10
"GPR162","GPR162",-1,-1,9,"0.00395408632029754",1,4.98465080213004e-08,0.999999950153492
"WWP2","WWP2",-1,-1,10,"0.00402180100277529",1,1.68877783486571e-25,1
"AKAP13","AKAP13",-1,-1,8,"0.00403550327757928",1,1.54970447043717e-18,1
"MC5R","MC5R",-1,-1,9,"0.00406981708643016",1,0.999999995829421,4.17057938590801e-09
"RGL1","RGL1",-1,-1,10,"0.00414330567288094",1,9.82449982604699e-21,1
"TP53BP1","TP53BP1",-1,-1,10,"0.00424894054436263",1,0.999999197996994,8.0200300615202e-07
"CAPZA2","CAPZA2",-1,-1,8,"0.00437081408938696",1,5.28616887695944e-06,0.999994713831123
"PPP1CB","PPP1CB",-1,-1,9,"0.00441624077785957",1,1,1.10408384413308e-19
"DDX49","DDX49",-1,-1,10,"0.00448953238880415",1,1,3.29004331841786e-87
"WDR26","WDR26",-1,-1,10,"0.00464609988467469",1,0.999999855254602,1.44745397686504e-07
"ARHGAP24","ARHGAP24",-1,-1,10,"0.00468467669880496",1,1.18056935868111e-17,1
"DMAP1","DMAP1",-1,-1,10,"0.00492735675700112",1,0.999991874132103,8.12586789697521e-06
"WNT10B","WNT10B",-1,-1,10,"0.00493275006336422",1,1,4.56956329193059e-20
"MAX","MAX",-1,-1,10,"0.00503619015339331",1,0.99999987145532,1.28544679754499e-07
"NFKBIA","NFKBIA",-1,-1,7,"0.00509174043315643",1,5.24243750369293e-10,0.999999999475756
"BMPER","BMPER",-1,-1,8,"0.00510493013255744",1,1.08750188336982e-15,0.999999999999999
"NDUFS7","NDUFS7",-1,-1,9,"0.0055152726406959",1,0.99999993244133,6.75586696576988e-08
"CCBL1","CCBL1",-1,-1,10,"0.00552205542112256",1,NA,NA
"CDC27","CDC27",-1,-1,10,"0.00586363541543715",1,1,3.62760220234583e-22
"WISP2","WISP2",-1,-1,9,"0.00603166428849448",1,5.81426752169210e-13,0.999999999999419
"RCC1","RCC1",-1,-1,10,"0.00605072974605688",1,1,7.89829893256993e-127
"CACNG1","CACNG1",-1,-1,9,"0.00610375629578553",1,1.55271249518918e-05,0.999984472875048
"ARF3","ARF3",-1,-1,10,"0.00617718278783119",1,0.999924824882013,7.51751179868828e-05
"BET1","BET1",-1,-1,7,"0.00618422212909951",1,0.999999999999985,1.45838702010134e-14
"H2AFY","H2AFY",-1,-1,10,"0.00655983303121517",1,1,2.99890709524089e-19
"GAK","GAK",-1,-1,9,"0.00656470190085989",1,0.183387749333659,0.816612250666341
"BCLAF1","BCLAF1",-1,-1,8,"0.00677957917865194",1,0.863148458585976,0.136851541414024
"FOXM1","FOXM1",-1,-1,9,"0.00682023960137654",1,1,2.34758520934102e-128
"CACNA1C","CACNA1C",-1,-1,9,"0.00686205026305227",1,2.45937580435536e-14,0.999999999999975
"EIF3I","EIF3I",-1,-1,10,"0.00693538913836183",1,1,4.05598696620652e-37
"CES3","CES3",-1,-1,10,"0.00707191340715127",1,0.999999999450252,5.49747886558406e-10
"RBM39","RBM39",-1,-1,9,"0.00717271176334874",1,0.999999999987909,1.20915065338509e-11
"UBE2L3","UBE2L3",-1,-1,10,"0.00748179981244216",1,1,8.48218856326151e-39
"KAT8","KAT8",-1,-1,10,"0.00750686738694327",1,1.7412608866634e-05,0.999982587391133
"CCAR1","CCAR1",-1,-1,9,"0.00776616145754766",1,1,3.89065200381275e-31
"DTL","DTL",-1,-1,10,"0.00785533552181821",1,1,3.40514239262549e-82
"MAP3K12","MAP3K12",-1,-1,10,"0.00791775763019829",1,1.879649660342e-05,0.999981203503397
"HHAT","HHAT",-1,-1,9,"0.00799318328668213",1,1,1.88434497944627e-22
"PSMC4","PSMC4",-1,-1,10,"0.0080479611153023",1,1,2.07939610011643e-48
"SELL","SELL",-1,-1,9,"0.00836896031130391",1,0.00477298719532356,0.995227012804677
"SLC35B2","SLC35B2",-1,-1,10,"0.00838567756587508",1,1,3.05387300823703e-57
"ABCF3","ABCF3",-1,-1,8,"0.00841926854681284",1,1,1.8096390282643e-78
"GBP2","GBP2",-1,-1,10,"0.00885901701389977",1,4.40218246073793e-06,0.999995597817539
"VAV3","VAV3",-1,-1,10,"0.00896397436349101",1,1,1.65772297133725e-23
"OXA1L","OXA1L",-1,-1,10,"0.00904507633412011",1,0.999999991571518,8.42848188499413e-09
"LIF","LIF",-1,-1,10,"0.00910403483811226",1,0.0110014018659102,0.98899859813409
"WDR82","WDR82",-1,-1,9,"0.00917504058901968",1,0.00140554612893609,0.998594453871064
"CDKN1A","CDKN1A",-1,-1,10,"0.00932454833195918",1,0.000256104426968057,0.999743895573032
"LIN7A","LIN7A",-1,-1,10,"0.00943414168686634",1,3.6579305305069e-18,1
"KIF18A","KIF18A",-1,-1,8,"0.0096726733483779",1,1,3.67101043203432e-122
"FANCC","FANCC",-1,-1,10,"0.00967812031008286",1,1,5.43134569221474e-20
"RAE1","RAE1",-1,-1,10,"0.010077562883627",1,1,5.37668978065401e-120
"MED24","MED24",-1,-1,9,"0.0102494200708602",1,0.158950277838925,0.841049722161075
"TCF15","TCF15",-1,-1,9,"0.0103864495713914",1,1,3.07012476949563e-20
"SUFU","SUFU",-1,-1,9,"0.0106209924677764",1,0.711686043273336,0.288313956726664
"ITGB1","ITGB1",-1,-1,8,"0.0108716988758086",1,0.00186764666507827,0.998132353334922
