"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"BTBD17","BTBD17",3,0.000108840119857569,7,"0.139292057392563",0.164348580984929,NA,NA
"SLITRK3","SLITRK3",2,0.000359865040462664,8,"0.575112013264855",0.542316615977235,NA,NA
"TP53","TP53",8,0.000448558521884107,2,"0.0330600812657882",0.675529133957465,NA,NA
"KIF18A","KIF18A",2,0.000477616893666971,8,"0.147289657024623",0.718813424968791,NA,NA
"PAX1","PAX1",2,0.00130391315469462,8,"0.52716682648311",1,NA,NA
"NBN","NBN",3,0.00900873662589579,7,"0.0746882497112351",1,NA,NA
"LAMA5","LAMA5",3,0.0121199974488727,7,"0.652475590019719",1,NA,NA
"MAPKBP1","MAPKBP1",2,0.0141956296298511,8,"0.0465678091812512",1,NA,NA
"ATM","ATM",3,0.0195186577918989,7,"0.732594703904043",1,NA,NA
"OR2T4","OR2T4",2,0.020702653131753,8,"0.0545227581897671",1,NA,NA
"ATR","ATR",2,0.0238122426427699,8,"0.721544649183528",1,NA,NA
"COL6A3","COL6A3",3,0.0248300311805753,7,"0.77477630679704",1,NA,NA
"ACO2","ACO2",2,0.0252719302558571,8,"0.777957886222228",1,NA,NA
"ANKRD24","ANKRD24",2,0.0284898351225663,8,"0.977908738826663",1,NA,NA
"FREM2","FREM2",2,0.0307811193055222,8,"0.617226257252263",1,NA,NA
"BRCA1","BRCA1",3,0.032838489586078,7,"0.104938984732208",1,NA,NA
"ENPP4","ENPP4",2,0.034858944849347,8,"0.0150843939765433",1,NA,NA
"SLC4A8","SLC4A8",2,0.035503985394524,8,"0.284858882869125",1,NA,NA
"CCAR1","CCAR1",2,0.0381216187611013,8,"0.410011748345903",1,NA,NA
"CHRM4","CHRM4",3,0.0385604602153653,7,"0.28154701697897",1,NA,NA
"ATP2B4","ATP2B4",2,0.0390586878808183,8,"0.652928096241099",1,NA,NA
"GTF2IRD1","GTF2IRD1",2,0.0435203784999183,8,"0.453959817294007",1,NA,NA
"TRIO","TRIO",3,0.0435988464272776,7,"0.35635275654519",1,NA,NA
"MYO7B","MYO7B",2,0.0443575131387187,8,"0.0281788384742194",1,NA,NA
"TRIP12","TRIP12",4,0.0495883420345579,6,"0.0246539940677267",1,NA,NA
"DGKD","DGKD",2,0.0500677153985722,8,"0.223093037353154",1,NA,NA
"ABCA12","ABCA12",2,0.0504905931777609,8,"0.446383924201324",1,NA,NA
"COL12A1","COL12A1",3,0.0505126899277614,7,"0.294001168897428",1,NA,NA
"HEATR2","HEATR2",2,0.0541697636821645,8,"0.0505235616391678",1,NA,NA
"KCNA2","KCNA2",2,0.0587286565445463,8,"0.567225794159804",1,NA,NA
"ABCB11","ABCB11",2,0.0659835278573044,8,"0.920853542365306",1,NA,NA
"MME","MME",3,0.0832075364844682,7,"0.367568091382534",1,NA,NA
"FAIM3","FAIM3",2,0.0850603409565544,8,"0.409461672701909",1,NA,NA
"GPNMB","GPNMB",2,0.0876355586985357,8,"0.229051369879478",1,NA,NA
"MRGPRX3","MRGPRX3",2,0.0908835011305819,8,"0.135297214413636",1,NA,NA
"FRMD6","FRMD6",2,0.0923272727905015,8,"0.0878327631114414",1,NA,NA
"ITK","ITK",2,0.099646745488042,8,"0.131392189809891",1,NA,NA
"DENND5B","DENND5B",2,0.114484215205123,8,"0.797859290971195",1,NA,NA
"DLG5","DLG5",2,0.11467197114475,8,"0.969594664347945",1,NA,NA
"NOS1","NOS1",2,0.11591501853431,8,"0.561730753443297",1,NA,NA
"NLRP3","NLRP3",2,0.119953169592901,8,"0.0810841764599386",1,NA,NA
