"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"STARD9","STARD9",-1,-1,8,"2.66073354771513e-06",0.0156052022573492,NA,NA
"VTCN1","VTCN1",-1,-1,10,"6.8042852789402e-06",0.0399003288757053,NA,NA
"RAP1B","RAP1B",-1,-1,10,"3.1555325024007e-05",0.185008870615753,NA,NA
"CACNB4","CACNB4",-1,-1,9,"3.97339146160244e-05",0.232920207479135,NA,NA
"CDC20","CDC20",-1,-1,10,"6.77789470554681e-05",0.397252408692099,NA,NA
"DLG1","DLG1",-1,-1,10,"0.000132118433245219",0.774214018816983,NA,NA
"MBOAT1","MBOAT1",-1,-1,10,"0.000237968315099056",1,NA,NA
"MATK","MATK",-1,-1,10,"0.000257958235176658",1,NA,NA
"PTTG1IP","PTTG1IP",-1,-1,10,"0.000279106038386903",1,NA,NA
"DHX35","DHX35",-1,-1,9,"0.000282668725284232",1,NA,NA
"DDX50","DDX50",-1,-1,10,"0.000292162047756069",1,NA,NA
"MICB","MICB",-1,-1,10,"0.000294996977200581",1,NA,NA
"TSFM","TSFM",-1,-1,10,"0.000308474172045239",1,NA,NA
"DDX6","DDX6",-1,-1,9,"0.000445411589240638",1,NA,NA
"TNFRSF10A","TNFRSF10A",-1,-1,9,"0.000636722164468368",1,NA,NA
"AGAP6","AGAP6",-1,-1,10,"0.000695214988484068",1,NA,NA
"ORC1","ORC1",-1,-1,10,"0.000704285331611834",1,NA,NA
"SIGLEC1","SIGLEC1",-1,-1,10,"0.000764907011970744",1,NA,NA
"UBA3","UBA3",-1,-1,9,"0.000839392710304924",1,NA,NA
"ONECUT3","ONECUT3",-1,-1,10,"0.000856396683020433",1,NA,NA
"GABRR1","GABRR1",-1,-1,9,"0.000862284260207286",1,NA,NA
"RNF20","RNF20",-1,-1,10,"0.000868189372297697",1,NA,NA
"GFI1","GFI1",-1,-1,10,"0.000872052725443864",1,NA,NA
"FAM8A1","FAM8A1",-1,-1,10,"0.000908745656325026",1,NA,NA
"GNG5","GNG5",-1,-1,10,"0.00100464199913762",1,NA,NA
"SLC47A2","SLC47A2",-1,-1,7,"0.00112040219219617",1,NA,NA
"RAX","RAX",-1,-1,10,"0.00117659422227884",1,NA,NA
"PPP3R1","PPP3R1",-1,-1,10,"0.00121952279914562",1,NA,NA
"EREG","EREG",-1,-1,10,"0.00136019949197406",1,NA,NA
"CLTA","CLTA",-1,-1,10,"0.00138998424516796",1,NA,NA
"TRAIP","TRAIP",-1,-1,8,"0.00140711629723403",1,NA,NA
"CNST","CNST",-1,-1,8,"0.00146467998761389",1,NA,NA
"BARHL2","BARHL2",-1,-1,10,"0.00166005804509477",1,NA,NA
"ANKRD33B","ANKRD33B",-1,-1,8,"0.00167478694471733",1,NA,NA
"DDX5","DDX5",-1,-1,10,"0.00170945475423352",1,NA,NA
"SLC6A19","SLC6A19",-1,-1,8,"0.00172017012789242",1,NA,NA
"ATP1A3","ATP1A3",-1,-1,10,"0.00175407100094322",1,NA,NA
"COL9A1","COL9A1",-1,-1,9,"0.0017650324504448",1,NA,NA
"GSTA2","GSTA2",-1,-1,10,"0.00179183909011837",1,NA,NA
"BCAM","BCAM",-1,-1,10,"0.00181892526636207",1,NA,NA
"DHX40","DHX40",-1,-1,9,"0.00187713821523839",1,NA,NA
"CRABP1","CRABP1",-1,-1,10,"0.00195676578970277",1,NA,NA
"GPR15","GPR15",-1,-1,10,"0.00200140134231613",1,NA,NA
"EDC4","EDC4",-1,-1,9,"0.00216777580874954",1,NA,NA
"MPPED2","MPPED2",-1,-1,9,"0.00219486132511493",1,NA,NA
"SERPINA6","SERPINA6",-1,-1,10,"0.00223885188076707",1,NA,NA
"APTX","APTX",-1,-1,10,"0.00235867488676743",1,NA,NA
"WHSC1","WHSC1",-1,-1,10,"0.0023873279287665",1,NA,NA
"ADTRP","ADTRP",-1,-1,10,"0.00242941299846515",1,NA,NA
"KCNIP4","KCNIP4",-1,-1,8,"0.00245985605622577",1,NA,NA
"TNKS","TNKS",-1,-1,9,"0.00249264218451315",1,NA,NA
"BPTF","BPTF",-1,-1,9,"0.00255899972431179",1,NA,NA
"CXCL6","CXCL6",-1,-1,10,"0.00258106756551172",1,NA,NA
"PDHA2","PDHA2",-1,-1,8,"0.00258485275791094",1,NA,NA
"SPG7","SPG7",-1,-1,9,"0.00269802241317502",1,NA,NA
"CACNA1D","CACNA1D",-1,-1,10,"0.00286253208564646",1,NA,NA
"RPS6KL1","RPS6KL1",-1,-1,10,"0.00322689396245058",1,NA,NA
