"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"ITGAV","ITGAV",-1,-1,13,"5.87940807150744e-11",3.44827283393911e-07,0.998237194743784,0.00176280525621574
"SRSF4","SRSF4",-1,-1,14,"1.44006917501827e-10",8.44456564230714e-07,0.999951765421223,4.82345787769089e-05
"MSI2","MSI2",-1,-1,15,"1.51868665865251e-07",0.000890405987967967,0.99752767586215,0.00247232413784978
"CNKSR1","CNKSR1",-1,-1,14,"2.21638753239439e-07",0.00129924637148959,0.826254348890643,0.173745651109357
"SUSD5","SUSD5",-1,-1,15,"7.02542641395354e-07",0.00411760242121817,0.357020710778532,0.642979289221468
"CPS1","CPS1",-1,-1,14,"8.2049726035649e-07",0.00480811394568903,0.963491613758218,0.0365083862417822
"HIST1H2BB","HIST1H2BB",-1,-1,14,"8.39303453514795e-07",0.00491747893414318,0.991935081269828,0.00806491873017244
"FERMT2","FERMT2",-1,-1,12,"8.83918598426625e-07",0.00517799514958317,0.120908276944171,0.879091723055829
"H6PD","H6PD",-1,-1,15,"9.91036963160496e-07",0.00580450349323103,0.0951446634168895,0.90485533658311
"ITGB5","ITGB5",-1,-1,11,"1.48388020737578e-06",0.00868960249439257,0.980856513826194,0.0191434861738063
"RNF8","RNF8",-1,-1,15,"3.03908733356728e-06",0.0177938563380364,0.999508833188158,0.000491166811842426
"IKBKB","IKBKB",-1,-1,13,"3.29699486334434e-06",0.0193006079300178,0.999975024122577,2.49758774228557e-05
"UTS2D","UTS2D",-1,-1,11,"8.54738135858124e-06",0.050027823091776,NA,NA
"ADRM1","ADRM1",-1,-1,14,"1.11504137828566e-05",0.0652522214572768,0.999999988052047,1.19479533657324e-08
"DIRAS1","DIRAS1",-1,-1,13,"1.32048603628254e-05",0.0772616379828914,0.0111615482740863,0.988838451725914
"SLC12A7","SLC12A7",-1,-1,13,"1.38560615489114e-05",0.0810579600611317,0.983810547191946,0.0161894528080542
"HTR1B","HTR1B",-1,-1,13,"1.45061184390061e-05",0.0848462867497467,0.10849427189791,0.89150572810209
"CDC42","CDC42",-1,-1,15,"1.88906397662336e-05",0.110472461352934,0.989072542544294,0.010927457455706
"FGD6","FGD6",-1,-1,14,"2.28589015297542e-05",0.133655997244473,0.999998870053489,1.12994651104405e-06
"RAB11A","RAB11A",-1,-1,15,"2.30076748612973e-05",0.134502867239144,0.407796945019204,0.592203054980796
"SEMA6C","SEMA6C",-1,-1,15,"2.31416449613109e-05",0.135262914798862,0.829974731665696,0.170025268334304
"LETM2","LETM2",-1,-1,15,"2.33355100327515e-05",0.1363727206314,0.997752173503376,0.002247826496624
"SLC25A13","SLC25A13",-1,-1,13,"2.55126011772244e-05",0.149070128678522,0.999072901191687,0.000927098808313103
"DHRS11","DHRS11",-1,-1,14,"2.574773101649e-05",0.150418244598335,0.459884447121153,0.540115552878847
"TNFRSF25","TNFRSF25",-1,-1,15,"2.60893779350235e-05",0.152388056518472,0.999959786193206,4.02138067944141e-05
"GPX4","GPX4",-1,-1,13,"2.63525488168881e-05",0.153898885090626,0.999999949746236,5.02537636057122e-08
"PBX3","PBX3",-1,-1,15,"2.71010156606133e-05",0.158242830442321,0.37635333618283,0.62364666381717
"TINF2","TINF2",-1,-1,13,"2.92226501518167e-05",0.170601831586306,0.913206043402598,0.0867939565974016
"SERPINC1","SERPINC1",-1,-1,15,"4.14071947705263e-05",0.241693795875562,0.575669815042657,0.424330184957343
"GABRR1","GABRR1",-1,-1,15,"4.44305989285576e-05",0.259296975347062,0.987299906389902,0.0127000936100977
"MAGOHB","MAGOHB",-1,-1,15,"5.36758821488847e-05",0.313198772338742,0.999998170642407,1.82935759341165e-06
"SRSF12","SRSF12",-1,-1,15,"5.39862264858915e-05",0.314955645318691,0.494481754175384,0.505518245824616
"MDM2","MDM2",-1,-1,13,"5.88139266828325e-05",0.343061634340962,0.977039103593778,0.0229608964062218
"ARHGEF15","ARHGEF15",-1,-1,14,"6.01337815913094e-05",0.350700214240516,0.160740601588811,0.839259398411189
"ULK4","ULK4",-1,-1,14,"6.02823860011981e-05",0.351506592772986,0.864968346905023,0.135031653094977
"BTG1","BTG1",-1,-1,15,"6.23638484694711e-05",0.363581236577017,0.999726709620456,0.000273290379543617
"SPOP","SPOP",-1,-1,15,"6.49397041047051e-05",0.378533535226326,0.465990158269775,0.534009841730225
"MC1R","MC1R",-1,-1,14,"6.72809781727679e-05",0.392113540790891,0.999951062275116,4.89377248838519e-05
"UGT8","UGT8",-1,-1,15,"7.55985143290339e-05",0.440512542995281,0.896985487813043,0.103014512186957
"CPD","CPD",-1,-1,14,"7.80554597460403e-05",0.454751108480431,0.305546303281467,0.694453696718533
"EMP1","EMP1",-1,-1,14,"8.02638341825812e-05",0.467536834113536,0.258617647926447,0.741382352073553
"BTAF1","BTAF1",-1,-1,13,"8.23259298402546e-05",0.479466215389643,0.71216232741129,0.28783767258871
"TERF1","TERF1",-1,-1,15,"8.33433083943236e-05",0.485308084780146,0.903933964330242,0.0960660356697577
"ARHGEF26","ARHGEF26",-1,-1,12,"8.43913768593385e-05",0.491326596075069,0.11244440146939,0.88755559853061
"SCAF4","SCAF4",-1,-1,15,"9.04479373839973e-05",0.526497443512248,0.989756352336226,0.0102436476637735
"IL6R","IL6R",-1,-1,15,"9.09190958445771e-05",0.529149137815439,0.21155003518534,0.78844996481466
"BCAS3","BCAS3",-1,-1,15,"0.000107510748018846",0.625605042721665,0.952240189785285,0.0477598102147151
"FZD3","FZD3",-1,-1,15,"0.00010858229333921",0.631731782647524,0.461765041934365,0.538234958065635
"TEX15","TEX15",-1,-1,11,"0.000110875566761037",0.644963171848952,0.999985860347939,1.4139652061187e-05
"SLC24A6","SLC24A6",-1,-1,15,"0.000114597580779918",0.666499529816003,NA,NA
"CYP2C18","CYP2C18",-1,-1,15,"0.000118449119216324",0.688781628242924,0.0243356598036032,0.975664340196397
"WEE1","WEE1",-1,-1,14,"0.000123524117152773",0.718169217126222,0.997778443377148,0.00222155662285169
"TGFB2","TGFB2",-1,-1,13,"0.000135217747930239",0.786020768718479,0.999999040532858,9.59467141856996e-07
"HSDL2","HSDL2",-1,-1,15,"0.000139672900180243",0.811778895847572,0.0265064104552104,0.97349358954479
"AGTR1","AGTR1",-1,-1,14,"0.000141009578515927",0.819406660756052,0.0880865294507453,0.911913470549255
"TBC1D2B","TBC1D2B",-1,-1,15,"0.00014218436089064",0.826091136774618,0.293633771733185,0.706366228266815
"PKMYT1","PKMYT1",-1,-1,14,"0.000144086645841646",0.836999325694122,0.999999999961774,3.822566097155e-11
"GNL1","GNL1",-1,-1,13,"0.000153925729514892",0.894000637022493,0.99546574655936,0.00453425344063997
"CTNNB1","CTNNB1",-1,-1,15,"0.000171922042348061",0.99835129991519,0.998957472581411,0.00104252741858945
"MYF5","MYF5",-1,-1,15,"0.000172503956387682",1,0.45222642243274,0.54777357756726
"ZMYM5","ZMYM5",-1,-1,12,"0.000194717569545366",1,0.999994645158968,5.354841032459e-06
"ACADL","ACADL",-1,-1,15,"0.000197426193850769",1,0.00229859164025723,0.997701408359743
"CDKL2","CDKL2",-1,-1,15,"0.000197785975558418",1,0.257035787891324,0.742964212108676
"ASCL4","ASCL4",-1,-1,14,"0.000199460084493341",1,0.836621655203112,0.163378344796888
"RECQL","RECQL",-1,-1,15,"0.00022149325647669",1,0.999993326570734,6.67342926619395e-06
"CEACAM16","CEACAM16",-1,-1,15,"0.000224909787271077",1,0.180172270176038,0.819827729823962
"MADD","MADD",-1,-1,14,"0.000228204908870655",1,0.353031444693694,0.646968555306306
"MFSD10","MFSD10",-1,-1,14,"0.000228491091469052",1,0.980516533494538,0.0194834665054623
"ADCY7","ADCY7",-1,-1,15,"0.000233417525209889",1,0.998787288190801,0.00121271180919946
"GHSR","GHSR",-1,-1,11,"0.000237811897871087",1,0.421825066203059,0.578174933796941
"EPHA3","EPHA3",-1,-1,14,"0.000242616890364089",1,0.276942152271191,0.723057847728809
"ANGPTL4","ANGPTL4",-1,-1,13,"0.000248267946160841",1,0.511808545616738,0.488191454383262
"ARL3","ARL3",-1,-1,15,"0.000250645953373096",1,0.74163848477559,0.25836151522441
"PRSS23","PRSS23",-1,-1,15,"0.000251615383900394",1,0.249995329659532,0.750004670340468
