"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"ARL10","ARL10",2,0.00175380166285996,14,"0.086813167946087",1,NA,NA
"SPSB1","SPSB1",3,0.00191576631691025,13,"0.245400376835669",1,NA,NA
"CCNE1","CCNE1",4,0.00207208125018927,12,"0.00223534616432364",1,NA,NA
"CA8","CA8",2,0.00352252364489436,14,"0.0193749883802198",1,NA,NA
"VAPB","VAPB",5,0.00382063237246851,11,"0.0728165626324283",1,NA,NA
"CATSPERG","CATSPERG",4,0.00400916708004597,12,"0.610596588750752",1,NA,NA
"MAP3K10","MAP3K10",3,0.00498071486438669,13,"0.0112410129894794",1,NA,NA
"OR2T10","OR2T10",10,0.00583397733599082,6,"0.275471215122299",1,NA,NA
"ANKRD42","ANKRD42",2,0.00591887498668715,14,"0.531009275563112",1,NA,NA
"CLEC2D","CLEC2D",3,0.00608033835301985,13,"0.663945223794257",1,NA,NA
"WHSC2","WHSC2",2,0.00628276319822283,14,"0.839603898031124",1,NA,NA
"SMAP2","SMAP2",2,0.00778801095973251,14,"0.531495049149163",1,NA,NA
"KIFC2","KIFC2",7,0.00805626226712012,9,"0.169362723692615",1,NA,NA
"CFTR","CFTR",3,0.00852967126476618,13,"0.162084900709783",1,NA,NA
"ZNF781","ZNF781",4,0.0102321042753739,12,"0.759205940642461",1,NA,NA
"FKBP4","FKBP4",4,0.0118833422988625,12,"0.939243246791885",1,NA,NA
"LRRC7","LRRC7",2,0.0122330973941466,14,"0.69738543393333",1,NA,NA
"ANKRD28","ANKRD28",2,0.0141428087436088,14,"0.0732360149746536",1,NA,NA
"YAP1","YAP1",3,0.0142953654786484,13,"0.0117712272219384",1,NA,NA
"PVRL4","PVRL4",2,0.0144478733595704,14,"0.761774757365236",1,NA,NA
"SLC2A4RG","SLC2A4RG",7,0.0151148211616256,9,"0.378417966509123",1,NA,NA
"EXO1","EXO1",2,0.0154376834716487,14,"0.986600624524383",1,NA,NA
"TMEM207","TMEM207",3,0.0163802028152699,13,"0.459769355538405",1,NA,NA
"CD7","CD7",3,0.0178151239286958,13,"0.347177136831575",1,NA,NA
"APCDD1L","APCDD1L",5,0.0178697082248105,11,"0.0185534652547484",1,NA,NA
"PPP2R5B","PPP2R5B",2,0.0184377915905632,14,"0.922024770279497",1,NA,NA
"SERPINA9","SERPINA9",2,0.0196936905660563,14,"0.904162321252462",1,NA,NA
"RAVER2","RAVER2",2,0.0204321891629751,14,"0.245916635668802",1,NA,NA
"FOXM1","FOXM1",4,0.0206339026184807,12,"0.301202978950989",1,NA,NA
"ZGPAT","ZGPAT",7,0.02110414245052,9,"0.0662732245666306",1,NA,NA
"DGAT1","DGAT1",6,0.0213595893596989,10,"0.562082342778107",1,NA,NA
"BCAS3","BCAS3",2,0.0236413624105429,14,"0.608513505565706",1,NA,NA
"NUMA1","NUMA1",2,0.0265576486172087,14,"0.119235490136337",1,NA,NA
"ACTG1","ACTG1",2,0.0274141450028326,14,"0.0706449454253922",1,NA,NA
"ARHGAP39","ARHGAP39",7,0.0277058617289397,9,"0.88833385806003",1,NA,NA
"LRP8","LRP8",2,0.0292817053011452,14,"0.451053125268205",1,NA,NA
"PKHD1L1","PKHD1L1",3,0.0294310129610184,13,"0.891868910344801",1,NA,NA
"UBTF","UBTF",2,0.031643458342279,14,"0.584831537221243",1,NA,NA
"SAMD8","SAMD8",3,0.0320611500421329,13,"0.60172211886763",1,NA,NA
"RASGRP4","RASGRP4",4,0.0324756513756776,12,"0.748897984091927",1,NA,NA
"PYROXD1","PYROXD1",3,0.033439749105411,13,"0.957415519616293",1,NA,NA
"ELK4","ELK4",2,0.0341377804545451,14,"0.540487101027419",1,NA,NA
"SH2D6","SH2D6",2,0.0345902038508015,14,"0.558434447719816",1,NA,NA
"NPBWR2","NPBWR2",6,0.0355093768560464,10,"0.0863093392288272",1,NA,NA
"ACOT11","ACOT11",2,0.0360284867695168,14,"0.211773455655198",1,NA,NA
"CCRL1","CCRL1",2,0.036323887420422,14,"0.361703038687399",1,NA,NA
"MED15","MED15",2,0.0363661859679673,14,"0.424072671704988",1,NA,NA
"DLL3","DLL3",5,0.0364758014632511,11,"0.882038445547004",1,NA,NA
"SERPINA4","SERPINA4",2,0.0372173257832086,14,"0.171957799087665",1,NA,NA
"PRDM14","PRDM14",2,0.0374745875916773,14,"0.844284026640161",1,NA,NA
"RAF1","RAF1",2,0.0377758462888304,14,"0.318507528200578",1,NA,NA
"KAT2A","KAT2A",2,0.0378621417250599,14,"0.400517156322217",1,NA,NA
"CACNA2D1","CACNA2D1",2,0.0404521493384659,14,"0.852322954674554",1,NA,NA
"CLNS1A","CLNS1A",3,0.0414687390454424,13,"0.441513341457108",1,NA,NA
"AICDA","AICDA",3,0.0414997785158414,13,"0.0442967296589322",1,NA,NA
"ARMC8","ARMC8",3,0.0427224342294994,13,"0.470427461711197",1,NA,NA
"PLEKHG6","PLEKHG6",4,0.0433924616085526,12,"0.574568044612789",1,NA,NA
"LRRC38","LRRC38",2,0.0435203784999183,14,"0.0578018183720842",1,NA,NA
"PKLR","PKLR",4,0.0437710763872072,12,"0.100711613929842",1,NA,NA
"MASP1","MASP1",4,0.0440975695189031,12,"0.279426557446138",1,NA,NA
"GABRA6","GABRA6",3,0.0455359337578384,13,"0.734686001472908",1,NA,NA
"ARHGAP31","ARHGAP31",2,0.0461033342746442,14,"0.166484561862195",1,NA,NA
"LILRA4","LILRA4",2,0.0462940900131993,14,"0.752899134714543",1,NA,NA
"NCOA2","NCOA2",2,0.0483939876364982,14,"0.260228211029438",1,NA,NA
"C1orf204","C1orf204",2,0.0497207983997821,14,"0.640693475196172",1,NA,NA
"TEAD4","TEAD4",4,0.0500816139915808,12,"0.0682198533410273",1,NA,NA
"TAL1","TAL1",2,0.0500925413347745,14,"0.260907752637026",1,NA,NA
"TMEM55B","TMEM55B",2,0.0500925413347745,14,"0.159230935913028",1,NA,NA
"KCTD15","KCTD15",4,0.0502017432278277,12,"0.873098604383143",1,NA,NA
"PTGIS","PTGIS",3,0.0505480918779077,13,"0.744260703963104",1,NA,NA
"C1QTNF2","C1QTNF2",3,0.0509030215608524,13,"0.639198909720929",1,NA,NA
"TMEM55A","TMEM55A",2,0.0509152492924176,14,"0.0725233352789702",1,NA,NA
"GNG5","GNG5",2,0.051316550135844,14,"0.065707989842478",1,NA,NA
"MEF2D","MEF2D",2,0.052250591754698,14,"0.464277878326762",1,NA,NA
"HDAC5","HDAC5",2,0.0524790648232465,14,"0.812444040980675",1,NA,NA
"PVRL3","PVRL3",2,0.05265711068974,14,"0.416822627847615",1,NA,NA
"ATP4A","ATP4A",4,0.0527586977152205,12,"0.172930501889415",1,NA,NA
"CELF3","CELF3",3,0.0534157871191805,13,"0.377316850690029",1,NA,NA
"LMNA","LMNA",3,0.0536733599046733,13,"0.619846629573454",1,NA,NA
"BRCA1","BRCA1",2,0.0540665340618237,14,"0.56486424140977",1,NA,NA
"NINJ2","NINJ2",4,0.0546867770625777,12,"0.0984011548945576",1,NA,NA
"PIK3CD","PIK3CD",3,0.0555561397324235,13,"0.0595571559115847",1,NA,NA
"TBX2","TBX2",2,0.05704716012176,14,"0.916229403185704",1,NA,NA
"PICALM","PICALM",3,0.0577335697751231,13,"0.257451573036917",1,NA,NA
