"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"SVIL","SVIL",4,0.00560389433029333,12,"0.965224595174618",1,NA,NA
"BCAM","BCAM",2,0.0109206361664561,14,"0.256425395928965",1,NA,NA
"SLC38A6","SLC38A6",3,0.0123399806989195,13,"0.535792765304724",1,NA,NA
"APC","APC",2,0.012854284319157,14,"0.885208186199649",1,NA,NA
"PNPLA6","PNPLA6",2,0.0158958941924359,14,"0.541599086232164",1,NA,NA
"PEX14","PEX14",2,0.0204639161522707,14,"0.805642081128624",1,NA,NA
"LRP1","LRP1",2,0.0208145375347422,14,"0.351535591883035",1,NA,NA
"MYO7B","MYO7B",2,0.0214434131029556,14,"0.0684918712535569",1,NA,NA
"TENM4","TENM4",2,0.0226958046116116,14,"0.17206876742257",1,NA,NA
"CTBP1","CTBP1",2,0.023658422743421,14,"0.0676311627602602",1,NA,NA
"NUMA1","NUMA1",2,0.0265576486172087,14,"0.119235490136337",1,NA,NA
"ATP6V1B1","ATP6V1B1",2,0.026811353762468,14,"0.26870284796198",1,NA,NA
"PPP1R16A","PPP1R16A",2,0.0378189817001253,14,"0.979594543878627",1,NA,NA
"SMARCC2","SMARCC2",2,0.0385342695807229,14,"0.164085738161808",1,NA,NA
"PLXNB2","PLXNB2",2,0.0401403806171625,14,"0.535665024304646",1,NA,NA
"ATM","ATM",3,0.0403311292289116,13,"0.885267662612361",1,NA,NA
"STAT6","STAT6",2,0.0439146983036491,14,"0.788016975533706",1,NA,NA
"CLCN5","CLCN5",2,0.0444510203713794,14,"0.678118163154284",1,NA,NA
"ABCC2","ABCC2",3,0.0445522346812033,13,"0.245541799347231",1,NA,NA
"POLD1","POLD1",2,0.0459129723543241,14,"0.293918991650725",1,NA,NA
"SPTY2D1","SPTY2D1",2,0.0511407871844323,14,"0.954066029104971",1,NA,NA
"KLHL22","KLHL22",2,0.0512663013826767,14,"0.00124559012378642",1,NA,NA
"FRAS1","FRAS1",2,0.0520479230145297,14,"0.194079069913169",1,NA,NA
"PCDH8","PCDH8",2,0.0538346273905375,14,"0.221707717862965",1,NA,NA
"LRRC10","LRRC10",2,0.0605710123521812,14,"0.116655356788443",1,NA,NA
"OR2T10","OR2T10",2,0.0615303752451462,14,"0.028943176281751",1,NA,NA
