"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"ARID1A","ARID1A",3,0.0353711359099892,13,"0.455808971114483",1,NA,NA
"TTN","TTN",2,0.0774415724455392,14,"0.907675456076001",1,NA,NA
"DLX6","DLX6",2,0.0793674423094841,14,"0.15990112514075",1,NA,NA
"WDR87","WDR87",2,0.0916879241958651,14,"0.58469141037396",1,NA,NA
"COL6A6","COL6A6",2,0.145253239972331,14,"0.0985793767121207",1,NA,NA
"ASAP1","ASAP1",2,0.149512015367161,14,"0.128261721573389",1,NA,NA
"DDX54","DDX54",3,0.188845540376219,13,"0.220477036491835",1,NA,NA
"HDAC11","HDAC11",2,0.215802041335749,14,"0.994774106805333",1,NA,NA
"CREBBP","CREBBP",2,0.216317697126025,14,"0.3402040383388",1,NA,NA
"CACNA1F","CACNA1F",2,0.228824968302621,14,"0.465676968313585",1,NA,NA
"ATM","ATM",2,0.251711498218471,14,"0.466733700130723",1,NA,NA
"ZFHX4","ZFHX4",2,0.261659282911234,14,"0.323121850685918",1,NA,NA
"CSMD3","CSMD3",4,0.262404395856377,12,"0.474585289737228",1,NA,NA
"GABRG3","GABRG3",2,0.319912156994929,14,"0.0467611249746085",1,NA,NA
"TP53","TP53",5,0.324210844691583,11,"0.187641598974004",1,NA,NA
"WDR49","WDR49",2,0.362731754735956,14,"0.702671249501857",1,NA,NA
"TTC3","TTC3",2,0.410795614684135,14,"0.378103220019908",1,NA,NA
"OSBPL1A","OSBPL1A",2,0.420954230449205,14,"0.787471541559586",1,NA,NA
"KIF17","KIF17",2,0.455163376313559,14,"0.966417317291274",1,NA,NA
"WDR36","WDR36",2,0.463433436608366,14,"0.415981344952523",1,NA,NA
"ITGAE","ITGAE",2,0.481273772769035,14,"0.170170017072499",1,NA,NA
"LRRK2","LRRK2",2,0.490708772063399,14,"0.112949086711909",1,NA,NA
"ANKRD11","ANKRD11",2,0.509835057102625,14,"0.546840937888513",1,NA,NA
"VAV3","VAV3",2,0.565039712496695,14,"0.799406607415379",1,NA,NA
"TLN2","TLN2",2,0.567085893700121,14,"0.460881920897515",1,NA,NA
"KIF5C","KIF5C",2,0.596777144263184,14,"0.997714515846955",1,NA,NA
"FAT3","FAT3",2,0.620714202487894,14,"0.682468544699103",1,NA,NA
"ANKRD17","ANKRD17",2,0.678643049956372,14,"0.626998888903976",1,NA,NA
"CELF6","CELF6",2,0.706079026678589,14,"0.00665687987138264",1,NA,NA
"LAMA5","LAMA5",2,0.715623212225456,14,"0.777086370096036",1,NA,NA
"NLGN3","NLGN3",2,0.738113680860752,14,"0.022254022317701",1,NA,NA
"ARID1B","ARID1B",2,0.79628896703914,14,"0.491832164069111",1,NA,NA
"EP300","EP300",2,0.815443746010938,14,"0.455608119134282",1,NA,NA
"C17orf80","C17orf80",2,0.843852962106373,14,"0.253389816020092",1,NA,NA
"SVEP1","SVEP1",2,0.852028232503211,14,"0.00232013670961673",1,NA,NA
"ASH1L","ASH1L",2,0.867517538947883,14,"0.726973585818566",1,NA,NA
"BRCA1","BRCA1",2,0.923788371284632,14,"0.457431750356027",1,NA,NA
"BCLAF1","BCLAF1",3,0.929400289752346,13,"0.526281758636164",1,NA,NA
"ACACB","ACACB",2,0.937890388814039,14,"0.0121069489740128",1,NA,NA
"ERMAP","ERMAP",4,0.966337141337057,12,"0.245012556851955",1,NA,NA
"SMAD4","SMAD4",2,0.970184350904743,14,"0.517649557957825",1,NA,NA
"MGA","MGA",2,0.977136761065719,14,"0.133618302805616",1,NA,NA
"XIAP","XIAP",2,0.997176307246069,14,"0.337149408713171",1,NA,NA
"WDR7","WDR7",2,0.998692077894876,14,"0.116999030294658",1,NA,NA
"NBEA","NBEA",1,0.00125512340245049,15,"0.29074412704174",0.709144722384527,NA,NA
"BRD8","BRD8",1,0.00141201074960295,15,"0.519001585668695",0.796374062776064,NA,NA
"ANKRD6","ANKRD6",1,0.00502041973410861,15,"0.416047774084077",1,NA,NA
"FOXN2","FOXN2",1,0.00768750463569978,15,"0.634452610130926",1,NA,NA
"CAPNS1","CAPNS1",1,0.0160025340347781,15,"0.764038563201629",1,NA,NA
"DNMBP","DNMBP",1,0.0181205132213359,15,"0.901822261500694",1,NA,NA
"TBC1D19","TBC1D19",1,0.0189833936306741,15,"0.975339832158279",1,NA,NA
"RB1","RB1",1,0.0194540556721314,15,"0.236090476372005",1,NA,NA
"COL25A1","COL25A1",1,0.0196109430192839,15,"1.67173976081125e-05",1,NA,NA
"NOTCH1","NOTCH1",1,0.0197678303664364,15,"0.479974369950105",1,NA,NA
"HIVEP2","HIVEP2",1,0.0204738234286221,15,"0.0966815307145874",1,NA,NA
"MAST2","MAST2",1,0.0225918026151798,15,"0.846825687469117",1,NA,NA
"PARP15","PARP15",1,0.0240822324131279,15,"0.364554088987303",1,NA,NA
"ACVR2A","ACVR2A",1,0.0255726622110759,15,"0.468719883312285",1,NA,NA
"KDM2B","KDM2B",1,0.0271415356826,15,"0.716873436784868",1,NA,NA
"BCL6","BCL6",1,0.027455310376905,15,"0.891395433284746",1,NA,NA
"PREX1","PREX1",1,0.0291810711955817,15,"0.442423277316564",1,NA,NA
"C1QTNF1","C1QTNF1",1,0.0294164022163103,15,"0.861102285285548",1,NA,NA
"AKNA","AKNA",1,0.0294948458898865,15,"0.254772795113031",1,NA,NA
"RBM23","RBM23",1,0.0347505720194925,15,"0.0433020067484099",1,NA,NA
