"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues"
"RUNX1","RUNX1",3,7.11785278536029e-08,380,"0.569829059752535",0.000407924143128998
"KRAS","KRAS",32,1.32275306177361e-05,351,"0.999983798351743",0.0757937504396279
"CDK4","CDK4",14,1.84646617524678e-05,369,"0.985411921315842",0.105784047179888
"SOX10","SOX10",3,2.09907045435473e-05,380,"0.656515563337213",0.120234755625439
"IL6","IL6",32,8.42161036325634e-05,351,"0.574542912198628",0.482305625503691
"MITF","MITF",11,0.000176303609450105,372,"0.832393462269901",1
"ITGA4","ITGA4",7,0.000250144672949459,376,"0.946347795985263",1
"YAP1","YAP1",17,0.000300455639368979,366,"0.924476399610023",1
"TLK2","TLK2",21,0.000367338001459541,362,"0.980789295245196",1
"ERBB2","ERBB2",21,0.00046214103936308,362,"0.718207352659048",1
"RNFT1","RNFT1",16,0.000561962803128574,367,"0.180658678217932",1
"THRA","THRA",15,0.000653278555144366,368,"0.583436273077632",1
"BRAF","BRAF",17,0.000874580326246285,366,"0.897351814745233",1
"RAB22A","RAB22A",44,0.000875136634979071,339,"0.818675818648573",1
"NPY1R","NPY1R",7,0.00100092758745887,376,"0.719667746908894",1
"NTSR1","NTSR1",41,0.00111169848220389,342,"0.88914415721941",1
"EGFR","EGFR",49,0.00111204145608326,334,"0.218618963182266",1
"BCL2","BCL2",1,0.00156889809675529,382,"0.139686612683637",1
"ABCA1","ABCA1",5,0.00178679583530345,378,"0.149554570839124",1
"FOXC1","FOXC1",9,0.00213397703915754,374,"0.346228109761327",1
"HAS2","HAS2",50,0.00222536356720119,333,"0.996882479185759",1
"CLEC2D","CLEC2D",10,0.00271098668565587,373,"0.965398404400461",1
"PROX1","PROX1",12,0.00280147636385876,371,"0.25204630970288",1
"LY6K","LY6K",40,0.00285859292095404,343,"0.584680512609789",1
"KHSRP","KHSRP",2,0.00290084733448903,381,"0.600982821996982",1
"FOXA1","FOXA1",17,0.00332420467760814,366,"0.900631731472314",1
"VLDLR","VLDLR",11,0.0035694433702256,372,"0.30054296625273",1
"LY9","LY9",21,0.00362642137642387,362,"0.951532940385344",1
"GJC2","GJC2",16,0.00384016650904166,367,"0.251365686918697",1
"FOXQ1","FOXQ1",9,0.00396720224309916,374,"0.453442409943653",1
"MC2R","MC2R",5,0.00399901943726781,378,"0.948602853436532",1
"GPR39","GPR39",2,0.00418295719611668,381,"0.922081222375492",1
"PMEPA1","PMEPA1",44,0.00423223377546061,339,"0.677985576447897",1
"DYRK1A","DYRK1A",6,0.00447280353696221,377,"0.345458987269993",1
"AQP4","AQP4",5,0.00448819672577755,378,"0.78261045503685",1
"IGSF21","IGSF21",2,0.00448972945673658,381,"0.975369680426795",1
"PPM1D","PPM1D",18,0.00450210080936505,365,"0.98112346475867",1
"TAX1BP1","TAX1BP1",26,0.00499558994713874,357,"0.710985062588143",1
"CCNE1","CCNE1",20,0.00521174329630376,363,"0.664676654782874",1
"CACNA1E","CACNA1E",14,0.00533634662250952,369,"0.971582070398663",1
"SMAD4","SMAD4",2,0.0055989959783824,381,"0.251562364492566",1
"TLE3","TLE3",6,0.00570697747815524,377,"0.749192422326548",1
"SLC35B3","SLC35B3",9,0.00586625965082943,374,"0.292237020660869",1
"BCL6","BCL6",27,0.00591713020316577,356,"0.246365524831736",1
"COL25A1","COL25A1",1,0.00596174381702311,382,"0.998704016620725",1
"PATZ1","PATZ1",2,0.00606485547269985,381,"0.0515638317357532",1
"C20orf151","C20orf151",44,0.00608823371143939,339,"0.82494074300644",1
"KIF5A","KIF5A",14,0.00627612238478831,369,"0.458516058064306",1
"ABCG8","ABCG8",2,0.00636215145112949,381,"0.301521517016599",1
"METTL1","METTL1",13,0.00647706086332827,370,"0.398751599124465",1
"NRAS","NRAS",21,0.00651661487378675,362,"0.994474444433243",1
"HEY2","HEY2",8,0.00703075138791158,375,"0.755041298633415",1
"SPSB1","SPSB1",6,0.0071412494815846,377,"0.392829352586909",1
"SUCLA2","SUCLA2",3,0.00783573044496451,380,"0.246327555793539",1
"DCLRE1C","DCLRE1C",3,0.00784595318188964,380,"0.452696512468284",1
"SP140","SP140",1,0.00800127933000459,382,"0.887637589407145",1
"NR1H3","NR1H3",7,0.00836947016485065,376,"0.776296711507986",1
"PIK3CG","PIK3CG",17,0.00909667357779448,366,"0.638027284546624",1
"BATF","BATF",8,0.00914965343515564,375,"0.356858665743683",1
"UBD","UBD",6,0.00916563479788991,377,"0.902129516611987",1
"HAPLN2","HAPLN2",19,0.00933752314456405,364,"0.369186481393322",1
"MAFG","MAFG",24,0.00937514245203231,359,"0.383414428411447",1
"FLI1","FLI1",7,0.00941370086760995,376,"0.712688552659138",1
"MCM10","MCM10",2,0.00946553881945644,381,"0.295205169857189",1
"PTPN14","PTPN14",12,0.00957063651389558,371,"0.648974540198925",1
"WIF1","WIF1",5,0.00969952924687389,378,"0.868599380456344",1
"IRX2","IRX2",26,0.00984884285126744,357,"0.799368087756187",1
"ATG4D","ATG4D",5,0.00985926449007135,378,"0.117312062809245",1
"FOXL2","FOXL2",15,0.010136816653454,368,"0.494088784109658",1
"WRAP53","WRAP53",2,0.0101800884144915,381,"0.204009976654576",1
"MDM4","MDM4",10,0.0102472101099781,373,"0.904189141498141",1
"BTN3A3","BTN3A3",7,0.0103171782676595,376,"0.127063209969285",1
"SYDE2","SYDE2",13,0.0104220304818754,370,"0.270256595250006",1
"TTC8","TTC8",11,0.010562016827552,372,"0.25793412818316",1
"ITGB1","ITGB1",5,0.0108664783147038,378,"0.359103509776787",1
"HSD17B7","HSD17B7",17,0.0109140833291598,366,"0.694105294589594",1
"ITCH","ITCH",19,0.0110509097341611,364,"0.63116506169887",1
"MYOC","MYOC",16,0.0114453098978918,367,"0.206806471532613",1
"FOXK1","FOXK1",32,0.0115159059075536,351,"0.619728542090142",1
"AHCY","AHCY",20,0.0115297689277504,363,"0.94384224775273",1
"TBC1D2B","TBC1D2B",4,0.0116755234880116,379,"0.672097947921949",1
"GNAS","GNAS",42,0.0122657651400855,341,"0.614197728600839",1
"SERPINF1","SERPINF1",4,0.0122863507428694,379,"0.769221794085384",1
"LGR4","LGR4",8,0.0125704792643002,375,"0.898832893165015",1
"SDK1","SDK1",32,0.0128463163747698,351,"0.638252029712546",1
"DUSP23","DUSP23",20,0.0133796426551879,363,"0.979691469327244",1
"TSSK1B","TSSK1B",7,0.0134154297839834,376,"0.89647206997911",1
"KIRREL","KIRREL",20,0.0134377897404369,363,"0.869472433357493",1
"HNF1B","HNF1B",12,0.0137616896922829,371,"0.663153222120058",1
"SAMD8","SAMD8",7,0.0139997062208335,376,"0.787130635290783",1
"CDKN1B","CDKN1B",10,0.0140413542563309,373,"0.10258056287255",1
"MYCN","MYCN",10,0.0140904822054759,373,"0.325521999437548",1
"ANKRD28","ANKRD28",4,0.0141058895359754,379,"0.660050067368427",1
"PDGFRA","PDGFRA",14,0.0142342181522713,369,"0.730679142265938",1
"IQGAP2","IQGAP2",2,0.0142617941893772,381,"0.80137804443356",1
"DKK4","DKK4",13,0.0145888835618783,370,"0.385641341172682",1
"TBX18","TBX18",5,0.0147791338620109,378,"0.821484016858961",1
"RPS6KA4","RPS6KA4",7,0.0153601532961476,376,"0.184556467883699",1
"APCDD1L","APCDD1L",44,0.0156094105409322,339,"0.922066111779717",1
"TRPS1","TRPS1",41,0.0157892643320255,342,"0.893058380880651",1
"PPME1","PPME1",14,0.0161328719355139,369,"0.942540088126402",1
"HMGB1","HMGB1",9,0.0162477135834669,374,"0.589313673400506",1
