"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"MITF","MITF",8,9.16208292169186e-13,28,"1.70924605528004e-07",2.24287789923017e-09,NA,NA
"BRAF","BRAF",6,9.74382649491451e-13,30,"9.08150891645834e-09",2.38431434330558e-09,NA,NA
"TFAP2A","TFAP2A",4,1.419754532078e-05,32,"0.00150001366989167",0.0347271958546279,NA,NA
"SOX10","SOX10",3,2.09907045435473e-05,33,"1.46504544201985e-17",0.0513222726089731,NA,NA
"WASH3P","WASH3P",8,2.24750817497464e-05,28,"5.16456591866868e-05",0.0549290997963802,NA,NA
"MAK","MAK",4,7.83933776454564e-05,32,"4.20948849475793e-11",0.19151502158785,NA,NA
"HOXA1","HOXA1",7,8.69130296260883e-05,29,"0.000416212641582635",0.212241618346908,NA,NA
"LRRD1","LRRD1",7,0.000134948097930795,29,"3.33481341885214e-05",0.329408307049071,NA,NA
"SLC25A13","SLC25A13",8,0.000155334396263543,28,"0.000310364277117395",0.379015926883045,NA,NA
"SP4","SP4",8,0.000182469456926903,28,"0.000180292726372775",0.444860535987789,NA,NA
"TLK2","TLK2",4,0.000231386520903276,32,"2.75187150590298e-06",0.563888951441284,NA,NA
"PAK1","PAK1",2,0.000494738783824576,34,"3.97256377286874e-13",1,NA,NA
"FOXQ1","FOXQ1",4,0.00059187013069179,32,"0.167143827987203",1,NA,NA
"PRDM2","PRDM2",2,0.000592947353022422,34,"2.53684564381776e-06",1,NA,NA
"MAP2K6","MAP2K6",3,0.000674985177162765,33,"1.86836186101153e-05",1,NA,NA
"MEOX2","MEOX2",8,0.00101205531451026,28,"0.0121094166455574",1,NA,NA
"MYOC","MYOC",2,0.0010529276157256,34,"0.0832946741254155",1,NA,NA
"IGF2BP3","IGF2BP3",6,0.00105813459733056,30,"1.36616192931746e-05",1,NA,NA
"NSF","NSF",2,0.00113361121164533,34,"0.120477258035315",1,NA,NA
"MCOLN2","MCOLN2",2,0.00122114663337896,34,"0.0195421626599524",1,NA,NA
"FOXK1","FOXK1",5,0.00144540793935105,31,"0.000343285885469176",1,NA,NA
"IL6","IL6",7,0.00155791864651407,29,"1.10111767178449e-05",1,NA,NA
"SLC12A7","SLC12A7",3,0.00157996989471236,33,"1.59405215691566e-07",1,NA,NA
"C17orf99","C17orf99",3,0.00189982935333356,33,"0.00104702152985739",1,NA,NA
"ITGA10","ITGA10",5,0.00217976198668332,31,"1.54822972527762e-07",1,NA,NA
"CBX3","CBX3",7,0.0022432724947796,29,"1.15500638946466e-05",1,NA,NA
"NRAS","NRAS",4,0.00234178913387258,32,"0.783180616515699",1,NA,NA
"SDK1","SDK1",5,0.00234557196898532,31,"1.91174384805613e-05",1,NA,NA
"TWIST1","TWIST1",8,0.00246499436611371,28,"0.335119419958318",1,NA,NA
"AATK","AATK",2,0.00256464940579774,34,"7.31598451083006e-08",1,NA,NA
"DPYD","DPYD",3,0.00274641040576421,33,"7.33638707133757e-06",1,NA,NA
"KLHL7","KLHL7",7,0.00303494314768366,29,"4.56760792240534e-05",1,NA,NA
"CHRNA3","CHRNA3",2,0.00416861974326668,34,"0.000779450043567735",1,NA,NA
"GPR37","GPR37",5,0.00436992695834899,31,"0.354974987936849",1,NA,NA
"IGSF21","IGSF21",2,0.00448972945673658,34,"3.01576217143372e-08",1,NA,NA
"L3MBTL2","L3MBTL2",2,0.00459439901363347,34,"0.327371760737288",1,NA,NA
"PARP12","PARP12",6,0.00464690059735469,30,"0.351661969746329",1,NA,NA
"FAT3","FAT3",2,0.00578310608830692,34,"9.76775926342741e-06",1,NA,NA
"SMARCD3","SMARCD3",5,0.00670618423450572,31,"0.127116130779367",1,NA,NA
"IRX4","IRX4",2,0.00720226455668289,34,"0.0304696324975017",1,NA,NA
"GNGT1","GNGT1",8,0.00754774791193543,28,"0.0133903734189431",1,NA,NA
"HBP1","HBP1",2,0.00860119362425569,34,"0.000558201652479864",1,NA,NA
"STK38L","STK38L",2,0.00891261781641758,34,"0.878899024752592",1,NA,NA
"CANT1","CANT1",3,0.0100984690853572,33,"9.1893107669808e-08",1,NA,NA
"CCDC90A","CCDC90A",4,0.0102047670460347,32,"7.41691817573044e-05",1,NA,NA
"FOXC1","FOXC1",4,0.0103282173020858,32,"0.111482228718618",1,NA,NA
"EEPD1","EEPD1",6,0.010711042267227,30,"0.241447942468518",1,NA,NA
"GSTM2","GSTM2",2,0.0107589368063823,34,"0.917651938746543",1,NA,NA
"FTSJ2","FTSJ2",5,0.0108462855859338,31,"0.214015982983158",1,NA,NA
"FOXP1","FOXP1",5,0.0109597523538933,31,"0.18887941317542",1,NA,NA
"LMLN","LMLN",2,0.0114011222620758,34,"0.980931623123254",1,NA,NA
"LMBR1","LMBR1",3,0.0116479315437464,33,"0.00335328333666646",1,NA,NA
"ARHGAP11A","ARHGAP11A",2,0.0120863016006359,34,"0.0062514597803377",1,NA,NA
"SLC35B3","SLC35B3",4,0.012801727454702,32,"0.999630794968151",1,NA,NA
"CD300LF","CD300LF",3,0.0143641298013283,33,"2.61066867994234e-05",1,NA,NA
"FAM20B","FAM20B",2,0.0147831573793961,34,"0.00031047013922887",1,NA,NA
"ECI2","ECI2",5,0.0147998085869207,31,"0.495411733252754",1,NA,NA
"CPVL","CPVL",6,0.0156031571797595,30,"0.000160454281354356",1,NA,NA
"MLLT11","MLLT11",2,0.0156451303616668,34,"0.353188371747024",1,NA,NA
"RNF182","RNF182",4,0.0158844201704748,32,"0.0537903099263217",1,NA,NA
"ABCB8","ABCB8",5,0.0173355720133419,31,"0.00196215604020024",1,NA,NA
"TBX4","TBX4",4,0.0175441883583011,32,"0.0575808597031408",1,NA,NA
"CDK5","CDK5",5,0.0182512930681796,31,"6.84720099847298e-06",1,NA,NA
"IGSF8","IGSF8",2,0.0195073160399136,34,"0.000790686253561198",1,NA,NA
"CSMD3","CSMD3",2,0.0195228134066709,34,"1.11607018258019e-05",1,NA,NA
"CACNA1E","CACNA1E",2,0.0196936905660563,34,"0.137021737393872",1,NA,NA
"HCN1","HCN1",2,0.0197872101132635,34,"0.0107150223630456",1,NA,NA
"SLAMF1","SLAMF1",2,0.0205910702458501,34,"2.19293850872996e-05",1,NA,NA
"PROKR2","PROKR2",2,0.0208145375347422,34,"0.752986142531397",1,NA,NA
"ANKRD36","ANKRD36",3,0.0211685066656425,33,"0.0343308138378337",1,NA,NA
"CHN2","CHN2",6,0.0216836707734032,30,"0.0301670011545701",1,NA,NA
"NPR3","NPR3",3,0.0220832160182455,33,"0.0254864126313589",1,NA,NA
"ASB15","ASB15",5,0.0227938512668968,31,"5.85299466792721e-05",1,NA,NA
"BCAN","BCAN",2,0.0248154825140569,34,"0.820431467090588",1,NA,NA
"IRX1","IRX1",2,0.0250607451809003,34,"0.86771144137287",1,NA,NA
"SLC1A3","SLC1A3",3,0.0250844125702632,33,"0.446743614804028",1,NA,NA
"WDR91","WDR91",7,0.0254055152135543,29,"0.0103229085272318",1,NA,NA
"UNK","UNK",3,0.0254636280341335,33,"3.53240397207421e-06",1,NA,NA
"FGL2","FGL2",5,0.0259743946364512,31,"0.26164676818208",1,NA,NA
"SEMA4A","SEMA4A",2,0.0263051495402945,34,"0.829543851752692",1,NA,NA
"EMID2","EMID2",3,0.0270070476923537,33,"2.31341002490406e-11",1,NA,NA
"THEM4","THEM4",2,0.0274325160120245,34,"0.0135726391560218",1,NA,NA
"RGL4","RGL4",3,0.0291234599815803,33,"0.000850412992485047",1,NA,NA
"PPM1D","PPM1D",3,0.0313605268281514,33,"0.00191103250377255",1,NA,NA
"BCL10","BCL10",2,0.0316631954084741,34,"0.00319228437805756",1,NA,NA
"TDRKH","TDRKH",2,0.0322980305271552,34,"0.421246189742823",1,NA,NA
"ARAP1","ARAP1",3,0.0327853958446789,33,"0.000250351586213404",1,NA,NA
"CRTC3","CRTC3",2,0.0328989111221482,34,"0.0271584592556645",1,NA,NA
"GNB2","GNB2",3,0.033011440066356,33,"6.43923746866971e-05",1,NA,NA
"SLC2A4RG","SLC2A4RG",4,0.0339086330727964,32,"0.0505686025696752",1,NA,NA
"MYLIP","MYLIP",3,0.0339531585137837,33,"0.640905408724318",1,NA,NA
"PDAP1","PDAP1",5,0.034088987189186,31,"0.247223873326744",1,NA,NA
"PHKG1","PHKG1",5,0.0341785199812298,31,"3.29704197000934e-06",1,NA,NA
