"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"BRAF","BRAF",30,8.26914117149539e-16,6,"0.842800669587273",2.54441473846913e-12,NA,NA
"NRAS","NRAS",6,2.17654159351955e-07,30,"0.94544480554436",0.000669504194166614,NA,NA
"ATP10D","ATP10D",3,1.49714813307286e-06,33,"0.999643278738448",0.00460373050919904,NA,NA
"CDK4","CDK4",2,1.77227478065479e-06,34,"0.891493308843329",0.00544797267573282,NA,NA
"GPN3","GPN3",2,5.95667079680748e-06,34,"0.871274202083497",0.0183048493585894,NA,NA
"PRDM2","PRDM2",3,3.22052481229941e-05,33,"7.03059434866937e-06",0.0989345222338379,NA,NA
"CPB2","CPB2",3,0.00041655097838738,33,"0.00334638043286866",1,NA,NA
"ASCC3","ASCC3",6,0.000642211221571514,30,"5.32056378836829e-09",1,NA,NA
"TTC28","TTC28",3,0.000775243205317414,33,"6.49110773946777e-07",1,NA,NA
"KCNS2","KCNS2",2,0.00115613271514797,34,"0.39315103294829",1,NA,NA
"ANKK1","ANKK1",2,0.00119799748206405,34,"0.00310813103029339",1,NA,NA
"TAS1R2","TAS1R2",4,0.00126281817820767,32,"1.57948767310406e-05",1,NA,NA
"ZFHX4","ZFHX4",10,0.00270696781639591,26,"0.0010422471055368",1,NA,NA
"COL6A6","COL6A6",4,0.00281453683638868,32,"6.05841996539036e-05",1,NA,NA
"KIF2B","KIF2B",2,0.00287699670216954,34,"4.36259812390739e-05",1,NA,NA
"RASL11A","RASL11A",2,0.00334699444579211,34,"1.27527122464338e-06",1,NA,NA
"TTN","TTN",29,0.00355100448640432,7,"0.136543569648932",1,NA,NA
"CSMD3","CSMD3",13,0.00429390601015953,23,"7.53084917106786e-05",1,NA,NA
"ARHGEF28","ARHGEF28",3,0.00437273094516985,33,"2.7936581153939e-10",1,NA,NA
"GEMIN4","GEMIN4",2,0.00503300506312372,34,"0.88193538553655",1,NA,NA
"KCNQ5","KCNQ5",4,0.00526073612743254,32,"0.000264301966607417",1,NA,NA
"CEL","CEL",3,0.00539190932752357,33,"0.0300564242338675",1,NA,NA
"VSIG8","VSIG8",2,0.00539339507270769,34,"3.16422129090761e-05",1,NA,NA
"FCGBP","FCGBP",7,0.00665206119338864,29,"0.064349358825355",1,NA,NA
"NMBR","NMBR",2,0.00750668617607789,34,"0.00163837859305985",1,NA,NA
"BTNL9","BTNL9",2,0.0080346858766508,34,"0.350349774329878",1,NA,NA
"CENPE","CENPE",4,0.00864212211489083,32,"0.00120441990022895",1,NA,NA
"PKHD1L1","PKHD1L1",13,0.00864364345115965,23,"0.00278298366694773",1,NA,NA
"CECR2","CECR2",8,0.00876552736439943,28,"0.0440232244088661",1,NA,NA
"KCNK10","KCNK10",5,0.00980330574582419,31,"0.00568930475695138",1,NA,NA
"TFEC","TFEC",2,0.00989114879764596,34,"6.89813127147535e-09",1,NA,NA
"GPR98","GPR98",11,0.0103971724760412,25,"0.000378264755885334",1,NA,NA
"PAPPA2","PAPPA2",7,0.0106017600923327,29,"2.3397462592286e-05",1,NA,NA
"PAK7","PAK7",4,0.0111654665696558,32,"0.000348282167140211",1,NA,NA
"SDK1","SDK1",7,0.0112782433697342,29,"1.00198655087807e-05",1,NA,NA
"GCLC","GCLC",2,0.0113892800208134,34,"9.06064076797968e-06",1,NA,NA
"ARHGEF18","ARHGEF18",4,0.0121560825922497,32,"6.43845269706653e-05",1,NA,NA
"HCN1","HCN1",3,0.0122778436618066,33,"0.0151467871474687",1,NA,NA
"FRAS1","FRAS1",8,0.013063711657756,28,"0.343554502509095",1,NA,NA
"ANKRD32","ANKRD32",3,0.0130876607428266,33,"0.138816119848685",1,NA,NA
"MAK","MAK",2,0.0133879697241391,34,"3.2868839088632e-12",1,NA,NA
"GTF3C2","GTF3C2",2,0.0135166375642866,34,"0.00671146702670155",1,NA,NA
"SLIT2","SLIT2",4,0.0144336475335775,32,"0.652898442680654",1,NA,NA
"PROX1","PROX1",5,0.0145430227060044,31,"8.71490221568882e-05",1,NA,NA
"LMBR1","LMBR1",2,0.0145949245157295,34,"0.00236593147537099",1,NA,NA
"ADAMTS20","ADAMTS20",4,0.0148091664871544,32,"0.00831555328358853",1,NA,NA
"LRRN2","LRRN2",4,0.0153335500817192,32,"1.32518161883567e-05",1,NA,NA
"GLRA1","GLRA1",2,0.0165600657508812,34,"0.0044445816900543",1,NA,NA
"SVEP1","SVEP1",9,0.0171492473919419,27,"1.18892530833327e-07",1,NA,NA
"F2RL3","F2RL3",3,0.0172816683013533,33,"0.698655832479257",1,NA,NA
"DNM2","DNM2",2,0.0178549927558618,34,"3.37789016691735e-05",1,NA,NA
"SORCS2","SORCS2",4,0.0178705187371226,32,"0.0753426238087011",1,NA,NA
"CHD2","CHD2",3,0.0178770331145499,33,"0.124070417017773",1,NA,NA
"GRIK4","GRIK4",4,0.0179382372156735,32,"1.17135527026606e-10",1,NA,NA
"VSIG10","VSIG10",2,0.0179737782119443,34,"0.169631018022754",1,NA,NA
"SPEN","SPEN",5,0.0183676302725338,31,"3.36844771652901e-05",1,NA,NA
"EPSTI1","EPSTI1",2,0.01854338720861,34,"0.999999860135497",1,NA,NA
"COL18A1","COL18A1",6,0.0187518669092705,30,"0.00865538061104674",1,NA,NA
"SLC12A7","SLC12A7",2,0.0190605691372685,34,"5.08833141318304e-08",1,NA,NA
"ESPN","ESPN",2,0.0198028182413995,34,"2.3398177251909e-10",1,NA,NA
"CHRM1","CHRM1",3,0.0198966106961291,33,"1.77098576038892e-05",1,NA,NA
"CORO7","CORO7",5,0.0199864894356076,31,"0.223409707947398",1,NA,NA
"COL21A1","COL21A1",3,0.0219611159020731,33,"0.735993544442968",1,NA,NA
"MED1","MED1",4,0.0228979733572163,32,"0.141034166367328",1,NA,NA
"NFIA","NFIA",2,0.0230144559412321,34,"0.188314169998711",1,NA,NA
"ANKRD62","ANKRD62",4,0.0231241140994811,32,"0.0834353343481304",1,NA,NA
"KIAA0226","KIAA0226",3,0.0242287139332226,33,"1.92663367344614e-08",1,NA,NA
"IGSF1","IGSF1",4,0.0254336095815383,32,"9.68062610178866e-06",1,NA,NA
"OR11L1","OR11L1",2,0.0263051495402944,34,"0.00152277827522819",1,NA,NA
"NPSR1","NPSR1",5,0.0265178353788808,31,"0.00056663485912753",1,NA,NA
"ITIH2","ITIH2",4,0.0265251548354103,32,"2.82968808195432e-05",1,NA,NA
"ARID1A","ARID1A",2,0.0266843504312952,34,"4.2518092120756e-05",1,NA,NA
"RNF213","RNF213",3,0.0278432299999653,33,"0.253338941732292",1,NA,NA
"BRWD3","BRWD3",3,0.0283940909180236,33,"0.761667264699234",1,NA,NA
"TEX14","TEX14",2,0.02860229486552,34,"8.62966953162937e-09",1,NA,NA
"WDFY3","WDFY3",3,0.0293323616161435,33,"1.09706546506749e-06",1,NA,NA
"VAV3","VAV3",3,0.0295298852494335,33,"0.802910552531467",1,NA,NA
"KLHL13","KLHL13",3,0.0299525631206509,33,"0.652613202437875",1,NA,NA
"ROS1","ROS1",5,0.03007062996684,31,"0.00010812001840888",1,NA,NA
"S1PR5","S1PR5",2,0.0306662434328993,34,"0.072022164710952",1,NA,NA
"CX3CR1","CX3CR1",2,0.0311324544680914,34,"0.0128267420415958",1,NA,NA
"LRP10","LRP10",4,0.03152114212895,32,"0.140261368488141",1,NA,NA
"F13A1","F13A1",4,0.0315317486108918,32,"0.0170133383944632",1,NA,NA
"UNC45B","UNC45B",3,0.0315541097573731,33,"0.00812623106921222",1,NA,NA
"NCOA1","NCOA1",2,0.0318213134607916,34,"4.82251064622718e-05",1,NA,NA
"MYT1L","MYT1L",7,0.0321921180837924,29,"4.40787836891223e-07",1,NA,NA
"SERPINI1","SERPINI1",2,0.0325177103806489,34,"0.973379082852542",1,NA,NA
"ATR","ATR",2,0.0334850266061649,34,"0.99943792343392",1,NA,NA
"ACAN","ACAN",7,0.033935753462576,29,"0.0262487859552364",1,NA,NA
"UBR5","UBR5",2,0.0345489513829433,34,"0.970471231216796",1,NA,NA
"CYP11B2","CYP11B2",2,0.0349833299007338,34,"0.482626416123483",1,NA,NA
"SLC5A1","SLC5A1",2,0.0354413036727416,34,"0.99999958239139",1,NA,NA
"NAV2","NAV2",3,0.0355948851583206,33,"1.97021502461608e-07",1,NA,NA
"ATP13A5","ATP13A5",4,0.0361463730852314,32,"0.00581896312270276",1,NA,NA
"GABRA2","GABRA2",4,0.036820909616099,32,"0.999517260162231",1,NA,NA
"ASXL3","ASXL3",5,0.0372139446900225,31,"0.66512871802296",1,NA,NA
"IL1RL1","IL1RL1",4,0.0383577456554824,32,"0.138546020701898",1,NA,NA
"DIDO1","DIDO1",4,0.0388020034584141,32,"0.00336697790370947",1,NA,NA
"LRRC4B","LRRC4B",2,0.038949141781327,34,"0.878615118765594",1,NA,NA
"CHD5","CHD5",5,0.0389547053450654,31,"4.94600071562706e-06",1,NA,NA
"NAT14","NAT14",2,0.03914643552179,34,"0.400838632672285",1,NA,NA
"GNAS","GNAS",4,0.0392626116866051,32,"0.00911635925837851",1,NA,NA
