"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"AURKA","AURKA",2,0.00799495944672706,7,"0.310107073959982",1,NA,NA
"CDK14","CDK14",2,0.00929363709800172,7,"0.803308562274507",1,NA,NA
"ARFRP1","ARFRP1",2,0.0102810751362319,7,"0.765955680607104",1,NA,NA
"LRRC40","LRRC40",2,0.0147427202344895,7,"0.0500542036536146",1,NA,NA
"CTH","CTH",2,0.0323379169380102,7,"0.0903235280341339",1,NA,NA
"PDE6G","PDE6G",2,0.0349211096846957,7,"0.0359569771420641",1,NA,NA
"KIF5A","KIF5A",3,0.0390503151817396,6,"0.707239382720807",1,NA,NA
"MAP2K3","MAP2K3",2,0.0391025493944843,7,"0.185401734431184",1,NA,NA
"BIRC7","BIRC7",2,0.0396087259069963,7,"0.367378353370121",1,NA,NA
"PTGER3","PTGER3",2,0.0406532089658025,7,"0.66391548164319",1,NA,NA
"APCDD1L","APCDD1L",2,0.0418019615712266,7,"0.716022903464655",1,NA,NA
"SS18L1","SS18L1",2,0.0451083277276499,7,"0.510902263286273",1,NA,NA
"CDK4","CDK4",3,0.0552362034356102,6,"0.11959354270606",1,NA,NA
"ALKBH5","ALKBH5",2,0.0605983181125829,7,"0.202798902301483",1,NA,NA
"METTL1","METTL1",3,0.0610249132291637,6,"0.0674951732663792",1,NA,NA
"KLHL30","KLHL30",2,0.0638355690682903,7,"0.49202327034592",1,NA,NA
"COL6A3","COL6A3",2,0.0678487958752016,7,"0.67306643112522",1,NA,NA
"HDAC4","HDAC4",2,0.0707692046115329,7,"0.261734183090108",1,NA,NA
"PMS1","PMS1",2,0.0726406567986772,7,"0.876812364735263",1,NA,NA
"KCNJ2","KCNJ2",2,0.0781532482358774,7,"0.240604099085619",1,NA,NA
"HES6","HES6",2,0.0812853342735989,7,"0.141752292213223",1,NA,NA
"C20orf151","C20orf151",2,0.0853517818688565,7,"0.995171511960806",1,NA,NA
