"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"METTL1","METTL1",-1,-1,11,"4.54247131607306e-07",0.00266461367400846,0.99999436650355,5.63349645045311e-06
"TACR2","TACR2",-1,-1,11,"4.92151864156301e-06",0.0288647068327671,0.00270427931894828,0.997295720681052
"USPL1","USPL1",-1,-1,9,"1.12252920175086e-05",0.0658251123906704,0.820199741774951,0.179800258225049
"FEN1","FEN1",-1,-1,11,"1.15228180885765e-05",0.067558282453324,0.999999999885873,1.14127398599988e-10
"ATRIP","ATRIP",-1,-1,10,"3.25227096919509e-05",0.190648124214216,0.99999767182273,2.32817727040382e-06
"GABPB1","GABPB1",-1,-1,11,"7.06771020086635e-05",0.414238494872777,0.999908879323256,9.11206767438026e-05
"TNFAIP1","TNFAIP1",-1,-1,11,"9.75412455505732e-05",0.571591698926359,0.999974044993482,2.59550065181513e-05
"TDRKH","TDRKH",-1,-1,11,"0.000156247506149119",0.915454138527688,0.999999999999998,2.28877141038372e-15
"ADNP","ADNP",-1,-1,8,"0.000182291107435214",1,0.9999994493459,5.50654100322911e-07
"MATK","MATK",-1,-1,11,"0.000185275284431839",1,0.511571044533763,0.488428955466237
"PAK2","PAK2",-1,-1,11,"0.000193705537677904",1,0.999999860090548,1.39909452369482e-07
"OXA1L","OXA1L",-1,-1,11,"0.000208083279194146",1,0.999687205429069,0.00031279457093058
"TAGAP","TAGAP",-1,-1,11,"0.00049144883170361",1,0.0235327000547253,0.976467299945275
"SUV39H2","SUV39H2",-1,-1,11,"0.000522832319585972",1,0.999999998242459,1.75754083043598e-09
"FKBP15","FKBP15",-1,-1,11,"0.000523364260778839",1,0.999807296902269,0.000192703097731299
"QSOX2","QSOX2",-1,-1,11,"0.000544306249183805",1,0.999999983308269,1.66917310781419e-08
"IP6K2","IP6K2",-1,-1,10,"0.000569589382446789",1,0.999984832518201,1.51674817987315e-05
"STYK1","STYK1",-1,-1,11,"0.000670298444704697",1,0.99156320070786,0.00843679929213999
"FBXL20","FBXL20",-1,-1,11,"0.00070028679504627",1,0.818849524164722,0.181150475835278
"BTBD2","BTBD2",-1,-1,11,"0.000721722523737735",1,0.999976604836316,2.33951636840642e-05
"WNT11","WNT11",-1,-1,11,"0.000801412815205004",1,0.992763440938899,0.00723655906110097
"STARD5","STARD5",-1,-1,10,"0.000980280642339358",1,0.322610692145431,0.677389307854569
"CLTCL1","CLTCL1",-1,-1,11,"0.00103937411266472",1,0.999972815788169,2.71842118309162e-05
"SNAP29","SNAP29",-1,-1,11,"0.00104526228781593",1,0.990166266334321,0.00983373366567926
"CBX8","CBX8",-1,-1,10,"0.00107449685096429",1,1,7.19797572853347e-23
"UCKL1","UCKL1",-1,-1,9,"0.00110087070841684",1,0.999999996595174,3.40482610810357e-09
"PAN3","PAN3",-1,-1,9,"0.0011226697953967",1,0.999896965593872,0.000103034406128251
"SLC5A1","SLC5A1",-1,-1,11,"0.00120461763031173",1,0.256231014362315,0.743768985637685
"CCDC101","CCDC101",-1,-1,11,"0.00128181585794536",1,NA,NA
"C15orf55","C15orf55",-1,-1,11,"0.00135590183102145",1,NA,NA
"DDX4","DDX4",-1,-1,10,"0.00135843915500352",1,0.999968966832726,3.10331672741636e-05
"GABRB1","GABRB1",-1,-1,10,"0.00136108041106808",1,0.99456009835754,0.00543990164246024
"HPN","HPN",-1,-1,11,"0.00141606186291793",1,0.999999996564893,3.43510665341001e-09
"ARL14","ARL14",-1,-1,11,"0.00142466068314174",1,0.0376053725823703,0.96239462741763
"SERPINI2","SERPINI2",-1,-1,11,"0.00159368395817197",1,0.00894037912758041,0.99105962087242
"BAD","BAD",-1,-1,10,"0.0016443924483965",1,0.999558878418643,0.000441121581357299
"WNT9A","WNT9A",-1,-1,10,"0.00170193743317538",1,0.00207810063168101,0.997921899368319
"L3MBTL4","L3MBTL4",-1,-1,10,"0.00171322429849376",1,0.116494340784026,0.883505659215974
"ANKIB1","ANKIB1",-1,-1,11,"0.00171712888214426",1,0.999983656942808,1.63430571923768e-05
"PCGF2","PCGF2",-1,-1,11,"0.00173704545704748",1,1,1.0252934861622e-18
"TBC1D22B","TBC1D22B",-1,-1,11,"0.00178851751150233",1,0.995818817535993,0.00418118246400663
"PRKAB1","PRKAB1",-1,-1,11,"0.00180543907927194",1,0.730196365019333,0.269803634980667
"CX3CR1","CX3CR1",-1,-1,11,"0.00182357218144137",1,0.0331638101619882,0.966836189838012
"CDYL2","CDYL2",-1,-1,9,"0.001961324932811",1,0.177234035376876,0.822765964623124
"LIF","LIF",-1,-1,11,"0.00196875223127903",1,0.00952277865796429,0.990477221342036
"ATIC","ATIC",-1,-1,11,"0.00197276630285186",1,0.999999995927296,4.07270372740948e-09
"URI1","URI1",-1,-1,10,"0.00199954963986222",1,0.999975545917983,2.44540820168185e-05
"ING4","ING4",-1,-1,11,"0.00202795718603863",1,0.997143888704235,0.00285611129576526
"ARHGAP35","ARHGAP35",-1,-1,11,"0.00203207691947248",1,0.00481944351815226,0.995180556481848
"BCL11A","BCL11A",-1,-1,11,"0.00220110446502472",1,0.991958668463877,0.00804133153612295
"DDX43","DDX43",-1,-1,11,"0.00229505389850663",1,0.932706678060313,0.0672933219396872
"BMPER","BMPER",-1,-1,11,"0.00240475409663788",1,0.00851789801414956,0.99148210198585
"MCM7","MCM7",-1,-1,10,"0.0024221112138105",1,0.9999999641528,3.58472003998046e-08
"FXR2","FXR2",-1,-1,11,"0.00251759060092294",1,0.952652515348606,0.0473474846513938
"SIK1","SIK1",-1,-1,11,"0.00260705841947782",1,0.0168075668782271,0.983192433121773
"ORC4","ORC4",-1,-1,11,"0.00271442980860544",1,0.98618586321076,0.0138141367892397
"IGSF21","IGSF21",-1,-1,11,"0.00279357838586197",1,0.019260808172241,0.980739191827759
"MIOS","MIOS",-1,-1,11,"0.0029084093964577",1,0.97368339844487,0.0263166015551299
"CD300LF","CD300LF",-1,-1,11,"0.00310155284143116",1,0.999117154463989,0.000882845536011442
"RAC1","RAC1",-1,-1,11,"0.00326543942414415",1,0.999986338462613,1.36615373870394e-05
"XRCC5","XRCC5",-1,-1,11,"0.00326900665428883",1,0.958005112019842,0.0419948879801578
"HDAC9","HDAC9",-1,-1,10,"0.0033360420805421",1,0.048080397274657,0.951919602725343
"DMGDH","DMGDH",-1,-1,11,"0.0034265677273958",1,4.52799013279827e-05,0.999954720098672
"CDH4","CDH4",-1,-1,9,"0.00347502438479924",1,0.0671537658013991,0.932846234198601
