"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"WDR36","WDR36",2,0.0532954501483294,9,"0.0024870471107119",1,NA,NA
"CHD9","CHD9",2,0.138195779639349,9,"0.169682523561121",1,NA,NA
"SIPA1L1","SIPA1L1",2,0.271048500998024,9,"0.261819225730419",1,NA,NA
"GPR98","GPR98",2,0.282368942291765,9,"0.325913121109441",1,NA,NA
"CDK14","CDK14",2,0.369511326814054,9,"0.205526966655345",1,NA,NA
"MACF1","MACF1",2,0.391613893466728,9,"0.134026251186005",1,NA,NA
"AHI1","AHI1",2,0.504851680907851,9,"0.999922829000642",1,NA,NA
"ABCA9","ABCA9",2,0.686331708441426,9,"0.15794645067625",1,NA,NA
"SH2D4A","SH2D4A",2,0.711407421587689,9,"0.999224094128453",1,NA,NA
"MAP3K2","MAP3K2",2,0.769047428527476,9,"0.911220386443802",1,NA,NA
"PLD1","PLD1",2,0.827626883324206,9,"0.074921110711035",1,NA,NA
"KIF5C","KIF5C",1,0.0025102221796699,10,"0.0441384220905202",0.524636435551009,NA,NA
"RTN4RL2","RTN4RL2",1,0.0185911752627932,10,"0.595426610366524",1,NA,NA
"SERPINA6","SERPINA6",1,0.0243175634338566,10,"0.27048842916111",1,NA,NA
"UBE2E1","UBE2E1",1,0.0282397471126671,10,"0.00231275224096505",1,NA,NA
"DUOX2","DUOX2",1,0.0287888528277006,10,"0.435849796188345",1,NA,NA
"LAMA3","LAMA3",1,0.0310637193614107,10,"0.000696678799914974",1,NA,NA
"CYP4B1","CYP4B1",1,0.0382805373304221,10,"0.972165021839106",1,NA,NA
"FCGBP","FCGBP",1,0.043457819786452,10,"0.208051238731356",1,NA,NA
"MMS22L","MMS22L",1,0.0439284818279092,10,"0.00123683289949517",1,NA,NA
"IFT80","IFT80",1,0.0440069255014854,10,"0.628944573780006",1,NA,NA
"XBP1","XBP1",1,0.045732686320162,10,"0.404179579018448",1,NA,NA
"MFAP4","MFAP4",1,0.050909968776192,10,"0.124052717018218",1,NA,NA
"TFRC","TFRC",1,0.0552243708228837,10,"6.37777608503143e-10",1,NA,NA
"QSOX2","QSOX2",1,0.0613429773618281,10,"0.10654717909141",1,NA,NA
"FBXW5","FBXW5",1,0.0634609565483858,10,"0.0686651279277207",1,NA,NA
"SI","SI",1,0.0641669496105717,10,"0.891868180076347",1,NA,NA
"RACGAP1","RACGAP1",1,0.0651867173670625,10,"0.0714513071709723",1,NA,NA
"CDH6","CDH6",1,0.0658927104292483,10,"0.408779798460295",1,NA,NA
"CALCR","CALCR",1,0.0685597953308396,10,"0.818361883338965",1,NA,NA
"TRIM24","TRIM24",1,0.0705993308438211,10,"0.258152287351014",1,NA,NA
"VGLL1","VGLL1",1,0.0728741973775311,10,"0.495036882230076",1,NA,NA
"ZEB2","ZEB2",1,0.0858958471911822,10,"0.984159272514378",1,NA,NA
"TRIP12","TRIP12",1,0.0891120378078067,10,"0.171941320809981",1,NA,NA
