"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"TFRC","TFRC",3,4.97556891052764e-05,37,"4.33312753328635e-07",0.121801926929717,0.99999999997983,2.01704437990001e-11
"SOX14","SOX14",3,0.000545726459619939,37,"0.0102329892979688",1,1,2.05250448189186e-41
"IRS2","IRS2",8,0.00106114257914444,32,"0.000753814050549441",1,1,1.47337338728776e-21
"FOXA1","FOXA1",2,0.00112243353092798,38,"0.0123111694345934",1,4.68465317217356e-08,0.999999953153468
"LRRC24","LRRC24",4,0.00114734536084196,36,"0.0808737558461408",1,0.684135976887176,0.315864023112824
"UTP18","UTP18",2,0.00157729402521912,38,"0.271076816358418",1,1,1.12751388640052e-52
"KRAS","KRAS",4,0.00297913085264006,36,"0.00293213349749527",1,2.35270825319284e-17,1
"GPT","GPT",4,0.00323846449359909,36,"0.00747226342660026",1,1.36650996884786e-18,1
"PMEPA1","PMEPA1",5,0.00344409271392218,35,"0.00974428882300919",1,1,2.8719772984197e-77
"KCNS2","KCNS2",2,0.00371605157575148,38,"0.99490338337818",1,7.66008805315533e-06,0.999992339911947
"ELF1","ELF1",3,0.00384171102907037,37,"2.51063455006668e-05",1,0.999993012943697,6.98705630318951e-06
"BIRC5","BIRC5",2,0.00399147835849108,38,"2.83014869691622e-07",1,1,2.98196755556555e-44
"POU4F1","POU4F1",2,0.00405480621149576,38,"0.753100096588209",1,1,1.70940721636229e-30
"SMAD4","SMAD4",2,0.0055989959783824,38,"2.48743999398855e-07",1,5.96750205100455e-16,0.999999999999999
"NOL11","NOL11",2,0.00639759510774604,38,"0.0305020726148742",1,1,1.86997117582749e-36
"ABCF1","ABCF1",2,0.00674833039397872,38,"0.336804848847857",1,0.99999999999995,5.04846012961004e-14
"SUCLA2","SUCLA2",3,0.00783573044496451,37,"0.000811121667815558",1,0.989552057188073,0.0104479428119267
"PSCA","PSCA",2,0.00882902986510109,38,"0.446837605830498",1,0.811563389804164,0.188436610195836
"CYP24A1","CYP24A1",5,0.00917607898376472,35,"0.0836835687544217",1,0.999999914857705,8.51422952713211e-08
