"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"FERMT2","FERMT2",-1,-1,35,"3.81585330000433e-09",2.23837954578254e-05,3.25337007549092e-05,0.999967466299245
"WWTR1","WWTR1",-1,-1,35,"6.31111485294156e-09",3.70146886125022e-05,5.80773162543067e-05,0.999941922683746
"CBX5","CBX5",-1,-1,35,"1.28024445489316e-08",7.50735348349349e-05,1,1.13352178481493e-16
"CDC42","CDC42",-1,-1,36,"2.25513434592983e-08",0.000132218526701866,2.35052292625252e-13,0.999999999999765
"WFIKKN1","WFIKKN1",-1,-1,35,"3.03537813772792e-08",0.000177933866433611,0.999748819540484,0.000251180459516144
"C5AR1","C5AR1",-1,-1,35,"1.11535162328202e-07",0.000653707586405592,0.927203018248751,0.0727969817512493
"CHMP4C","CHMP4C",-1,-1,35,"2.60043393707221e-07",0.00152385428712432,1,5.01884794403093e-22
"ZNF24","ZNF24",-1,-1,35,"4.97624817685782e-07",0.002915583806821,1.3591249608969e-13,0.999999999999864
"MTAP","MTAP",-1,-1,33,"5.92311463210038e-07",0.0034697605514844,1,3.44544779720219e-60
"SDHAF2","SDHAF2",-1,-1,37,"9.09611296062707e-07",0.00532759336103927,0.999668113572375,0.000331886427625391
"SMURF2","SMURF2",-1,-1,36,"9.77716351324709e-07",0.0057255069533575,0.999999999875313,1.24686595695944e-10
"HBP1","HBP1",-1,-1,36,"1.19680013321855e-06",0.00700726477999461,9.33897319019162e-07,0.999999066102681
"FRMD3","FRMD3",-1,-1,36,"1.64294046989255e-06",0.00961777351075099,1.75374885912273e-17,1
"TSNARE1","TSNARE1",-1,-1,36,"1.82803098336404e-06",0.0106994653456297,1,4.52305392672817e-57
"SNAP29","SNAP29",-1,-1,37,"2.16418309040289e-06",0.0126647994450377,1.39273591351228e-29,1
"BCKDK","BCKDK",-1,-1,35,"2.19899284159553e-06",0.0128663071161754,0.999999998581854,1.41814648861218e-09
"CP","CP",-1,-1,29,"2.92365340270884e-06",0.0171033724058467,2.04165375513801e-14,0.99999999999998
"USPL1","USPL1",-1,-1,31,"3.59975136843271e-06",0.0210549457539629,1,2.84336020442961e-69
"LATS1","LATS1",-1,-1,29,"3.74782168710563e-06",0.0219172612261937,0.999045741547992,0.000954258452007924
"AMT","AMT",-1,-1,35,"3.90171822772789e-06",0.022813346477525,6.67878963919596e-16,0.999999999999999
"CDKAL1","CDKAL1",-1,-1,34,"4.78996266739529e-06",0.0280021217535929,1,2.049296146607e-38
"RAG2","RAG2",-1,-1,34,"5.06731917770953e-06",0.0296184805937122,0.999998867051337,1.13294866343271e-06
"UBE2R2","UBE2R2",-1,-1,39,"5.49436865782127e-06",0.0321090904363075,1,5.62658733583434e-31
"STK33","STK33",-1,-1,33,"6.13411724348367e-06",0.0358416470536751,0.00466561513614463,0.995334384863855
"DDX28","DDX28",-1,-1,34,"6.40036517463027e-06",0.03739093335019,1,2.47747059816558e-31
"TP53","TP53",-1,-1,14,"7.83616705990475e-06",0.0457710517969036,1,1.79907322161309e-36
