"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"MED25","MED25",3,9.50054772238529e-05,9,"0.277001470212937",0.178230275271948,0.999999982063921,1.79360791524284e-08
"NFRKB","NFRKB",4,0.00336142127705197,8,"0.0101519655449339",1,0.183871326488284,0.816128673511716
"ARID1A","ARID1A",10,0.00394548315474375,2,"0.173665160572559",1,0.997776945174201,0.00222305482579863
"ZFP36L2","ZFP36L2",2,0.00585928226123322,10,"0.448514995074473",1,7.69987908440445e-09,0.999999992300121
"XPO4","XPO4",2,0.00623011459973166,10,"0.691475869878629",1,0.00725402952400728,0.992745970475993
"MBD6","MBD6",7,0.00728859995612086,5,"0.416333713883197",1,0.999992932159198,7.06784080161372e-06
"DDX17","DDX17",2,0.00844755830402411,10,"0.252078559340409",1,2.75110668330603e-06,0.999997248893317
"TNKS2","TNKS2",2,0.0113301611156503,10,"0.604786067205781",1,2.21979130248081e-05,0.999977802086975
"EED","EED",2,0.0146754480611772,10,"0.693566340081156",1,0.99999999998329,1.67102185244298e-11
"AKAP8","AKAP8",2,0.0221311306651587,10,"0.563783447758379",1,0.669911982164455,0.330088017835545
"ARHGAP39","ARHGAP39",2,0.0225456398377576,10,"0.955513494389626",1,0.999886137434743,0.000113862565257396
"STK4","STK4",2,0.0248154825140569,10,"0.0174791469972351",1,0.99959623775174,0.000403762248259512
"MEOX2","MEOX2",2,0.0276718990918221,10,"0.961355805946404",1,0.000220054895536176,0.999779945104464
"SI","SI",2,0.0284898351225663,10,"0.976514845704944",1,0.955970004927738,0.0440299950722618
"WDR49","WDR49",2,0.0288467175880454,10,"0.994604482794608",1,0.47897407421645,0.52102592578355
"EPHA2","EPHA2",4,0.0337967511931544,8,"0.0182125007311847",1,0.997137468230458,0.00286253176954221
"SDSL","SDSL",2,0.0342198177311073,10,"0.39000298133915",1,0.999999999999979,2.06203076017258e-14
"BRD3","BRD3",2,0.0349833299007337,10,"0.965643237357381",1,0.000902457595890846,0.999097542404109
"ARPC1A","ARPC1A",2,0.0386650418716109,10,"0.968029678384595",1,0.999999999999999,9.35245455569149e-16
"KIF18A","KIF18A",2,0.0389710386944054,10,"0.334898845401211",1,1,1.70106095052984e-58
"CALD1","CALD1",2,0.0423709213329212,10,"0.638578948298686",1,2.36556783533782e-09,0.999999997634432
"DCLK2","DCLK2",2,0.0473502860762061,10,"0.0134092631092041",1,1.19214699565841e-16,1
"SETD1A","SETD1A",2,0.050465668787,10,"0.583173810975407",1,0.978224657010055,0.0217753429899446
"SOX3","SOX3",2,0.0508902202936881,10,"0.979346392241039",1,0.0177627184546385,0.982237281545361
"PPP2R2A","PPP2R2A",2,0.0529630336638889,10,"0.236273039460443",1,0.0182540871709756,0.981745912829024
"ACVR2A","ACVR2A",3,0.0557827193583194,9,"0.0170470906442783",1,1.47661230371303e-07,0.99999985233877
"LYST","LYST",2,0.0592135699297485,10,"3.05988989280914e-05",1,2.42630722454055e-06,0.999997573692776
"KCNH7","KCNH7",3,0.0603449391258248,9,"0.119520721486732",1,0.970103181714748,0.029896818285252
