"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"CCND3","CCND3",-1,-1,4,"3.27285833922903e-14",1.91953141595783e-10,NA,NA
"MYB","MYB",-1,-1,4,"2.52493091946493e-13",1.48061949117423e-09,NA,NA
"EP300","EP300",-1,-1,5,"5.43696601211002e-11",3.1876931729001e-07,NA,NA
"WIPI2","WIPI2",-1,-1,5,"6.97287372469273e-11",4.08749857741488e-07,NA,NA
"STK38","STK38",-1,-1,5,"2.23326442334163e-10",1.30891627852053e-06,NA,NA
"RUNX1","RUNX1",-1,-1,4,"3.4952452654632e-10",2.04821372556144e-06,NA,NA
"KPNA6","KPNA6",-1,-1,4,"9.10670606995273e-10",5.3356190863853e-06,NA,NA
"CHRM1","CHRM1",-1,-1,5,"1.29170502454513e-09",7.56680803378537e-06,NA,NA
"TYMS","TYMS",-1,-1,5,"2.91643014931207e-09",1.70815313845208e-05,NA,NA
"PAPPA","PAPPA",-1,-1,4,"5.77789638291135e-09",3.38353612183289e-05,NA,NA
"CCNI","CCNI",-1,-1,5,"1.43738923491828e-08",8.41591397044653e-05,NA,NA
"C1QL3","C1QL3",-1,-1,5,"1.63136527774546e-08",9.55001233592192e-05,NA,NA
"DNMBP","DNMBP",-1,-1,5,"2.47520846361746e-08",0.00014487395137553,NA,NA
"PKMYT1","PKMYT1",-1,-1,4,"7.25018567639788e-08",0.000424280865782804,NA,NA
"FGD6","FGD6",-1,-1,5,"7.73676282789636e-08",0.000452677993060216,NA,NA
"CLDN15","CLDN15",-1,-1,5,"7.86074672866788e-08",0.000459853683627071,NA,NA
"ADK","ADK",-1,-1,5,"1.23433253232882e-07",0.000721961098159127,NA,NA
"YWHAE","YWHAE",-1,-1,5,"3.78055748349809e-07",0.00221087001634968,NA,NA
"STK16","STK16",-1,-1,5,"5.1779280325069e-07",0.00302753452060678,NA,NA
"LGALS1","LGALS1",-1,-1,5,"5.20617632112341e-07",0.00304353067732875,NA,NA
"EGFL7","EGFL7",-1,-1,5,"5.95346722277606e-07",0.00347980159171261,NA,NA
