"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"TCEA1","TCEA1",2,0.00605621915800791,9,"8.46978237447615e-05",0.726746298960949,NA,NA
"ARAP2","ARAP2",2,0.0135682769958235,9,"0.0103999660130268",1,NA,NA
"NFIA","NFIA",2,0.0178994911513182,9,"0.00137511971780557",1,NA,NA
"PASK","PASK",2,0.0338106158938847,9,"0.387745120148053",1,NA,NA
"ASXL1","ASXL1",3,0.056370899613002,8,"0.00154592845310542",1,NA,NA
"LRP2","LRP2",3,0.103526139505019,8,"0.779401988924347",1,NA,NA
"TIA1","TIA1",2,0.129152226050402,9,"0.832774815742132",1,NA,NA
"RAB3C","RAB3C",2,0.155927930330437,9,"0.0425600525639863",1,NA,NA
"NLK","NLK",2,0.218230973939976,9,"0.886079270201533",1,NA,NA
"PTGIS","PTGIS",2,0.248051498967894,9,"0.0321817942795337",1,NA,NA
"CNTRL","CNTRL",2,0.301669741410625,9,"0.00493826602212166",1,NA,NA
"CNKSR1","CNKSR1",2,0.549986206579287,9,"0.766457128180152",1,NA,NA
"BRCA2","BRCA2",2,0.619483421978968,9,"0.212591905119795",1,NA,NA
"CLTCL1","CLTCL1",2,0.716628024134579,9,"0.451830125613182",1,NA,NA
"BCLAF1","BCLAF1",2,0.71810245816661,9,"0.0586432394836427",1,NA,NA
"ZNF367","ZNF367",2,0.718220246747104,9,"0.099520215991623",1,NA,NA
"PPP3R1","PPP3R1",3,0.812762377583469,8,"0.792436854467411",1,NA,NA
"PDGFD","PDGFD",2,0.865531596469778,9,"0.988816377003752",1,NA,NA
"ACACB","ACACB",2,0.875039206449399,9,"0.743812638093274",1,NA,NA
"ACTR6","ACTR6",2,0.910216793302149,9,"0.597112662610604",1,NA,NA
"TP53","TP53",2,0.9610946335846,9,"0.958980869690743",1,NA,NA
"GATA1","GATA1",2,0.995576921237627,9,"0.946298649414998",1,NA,NA
"SPI1","SPI1",2,0.999996012451286,9,"0.931872692934964",1,NA,NA
"IRS1","IRS1",1,0.0202384924078935,10,"0.138159024275581",1,NA,NA
"USPL1","USPL1",1,0.0305146136463772,10,"0.00366508529065823",1,NA,NA
"PIK3C2G","PIK3C2G",1,0.0313774940557155,10,"0.196151057536699",1,NA,NA
"TRPM1","TRPM1",1,0.0330248112008159,10,"0.0318999338801877",1,NA,NA
"PDE1A","PDE1A",1,0.0368685512060504,10,"0.31131079997312",1,NA,NA
"WDR36","WDR36",1,0.0395356361076414,10,"0.0573098956994968",1,NA,NA
"RBM23","RBM23",1,0.0444775875429428,10,"0.744537948603902",1,NA,NA
"GJB7","GJB7",1,0.0612645336882519,10,"0.44195801340924",1,NA,NA
"HEATR6","HEATR6",1,0.0622843014447426,10,"0.0049273567569722",1,NA,NA
"PSPH","PSPH",1,0.0637747312426906,10,"0.181886971409966",1,NA,NA
"SMNDC1","SMNDC1",1,0.0828365439217099,10,"0.812701237537856",1,NA,NA
"RDH10","RDH10",1,0.0840916426989293,10,"0.449184872747797",1,NA,NA
"PDPN","PDPN",1,0.107154082730335,10,"0.992659541878947",1,NA,NA
"ZNF148","ZNF148",1,0.11390023865789,10,"0.60201027342221",1,NA,NA
"TSPAN31","TSPAN31",1,0.114214013352194,10,"0.175506179852779",1,NA,NA
"SMO","SMO",1,0.131471621538961,10,"0.951015466372445",1,NA,NA
"DICER1","DICER1",1,0.135707579912076,10,"0.0147831838586897",1,NA,NA
"NCOA1","NCOA1",1,0.14888611707288,10,"0.865607663950957",1,NA,NA
"PLEKHG1","PLEKHG1",1,0.174850973026605,10,"0.663801856017517",1,NA,NA
"MEF2A","MEF2A",1,0.196187652239335,10,"0.935488091145636",1,NA,NA
"STK39","STK39",1,0.211954830628153,10,"0.00666208154150894",1,NA,NA
"SLC38A10","SLC38A10",1,0.2279573400377,10,"0.508203981771515",1,NA,NA
"KIF15","KIF15",1,0.234625052291678,10,"0.161097935791808",1,NA,NA
"PEAK1","PEAK1",1,0.241057433524928,10,"0.000730852617186306",1,NA,NA
"MLH1","MLH1",1,0.262629443758386,10,"0.912145767349498",1,NA,NA
"ZBTB7A","ZBTB7A",1,0.281220594395948,10,"0.00598833709402946",1,NA,NA
"MYO9A","MYO9A",1,0.294948237271784,10,"0.391369041529192",1,NA,NA
"FANCM","FANCM",1,0.296987772784766,10,"0.908339547186331",1,NA,NA
"CHD1","CHD1",1,0.312990282194313,10,"0.11247073425544",1,NA,NA
"SOX17","SOX17",1,0.349858808775132,10,"0.990362510760461",1,NA,NA
"USP45","USP45",1,0.37268591778581,10,"0.449419363234114",1,NA,NA
"CHST6","CHST6",1,0.377078763506077,10,"0.676493666420206",1,NA,NA
"UNC5C","UNC5C",1,0.390492631687609,10,"0.0466373950937675",1,NA,NA
"AFF1","AFF1",1,0.41904612886935,10,"0.990426746750522",1,NA,NA
"TMC4","TMC4",1,0.43520552562605,10,"0.544645893297115",1,NA,NA
"MACF1","MACF1",1,0.435362412973202,10,"0.430355045713888",1,NA,NA
"CBL","CBL",1,0.43810794154837,10,"0.96958676527402",1,NA,NA
"CUX1","CUX1",1,0.454816444020102,10,"0.259944451503858",1,NA,NA
"TERF1","TERF1",1,0.45693442320666,10,"0.702161351617001",1,NA,NA
"ATP12A","ATP12A",1,0.466112333015077,10,"0.316915593848962",1,NA,NA
"WHSC1L1","WHSC1L1",1,0.479761532217338,10,"0.783999603107904",1,NA,NA
"FBXO5","FBXO5",1,0.482114842424624,10,"0.000240234902954883",1,NA,NA
"ECHDC3","ECHDC3",1,0.48964543508794,10,"0.978064733309383",1,NA,NA
"ANKRD36","ANKRD36",1,0.49545026693258,10,"0.68940935379644",1,NA,NA
"SEMA4A","SEMA4A",1,0.5016473171451,10,"0.476480040615734",1,NA,NA
"WDR27","WDR27",1,0.506197050212521,10,"0.806818840017291",1,NA,NA
"TJP1","TJP1",1,0.506510824906826,10,"0.0228284746623334",1,NA,NA
"ACCSL","ACCSL",1,0.508785691440536,10,"0.920502842739285",1,NA,NA
