"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"TLK2","TLK2",-1,-1,12,"2.4179141457914e-06",0.0141834843792124,1,3.0986660448756e-43
"ADSL","ADSL",-1,-1,12,"1.65670206293544e-05",0.0971655759911636,1,5.44640612019898e-48
"DDX10","DDX10",-1,-1,11,"4.13741575787663e-05",0.242618060041886,1,5.10588130160069e-39
"SART3","SART3",-1,-1,12,"4.6834187452216e-05",0.274588841032342,1,2.9769277494332e-42
"UBA2","UBA2",-1,-1,13,"5.06002140906459e-05",0.296618454999366,1,1.01314716782115e-31
"PAK1IP1","PAK1IP1",-1,-1,13,"5.78351463483839e-05",0.338971792747878,1,4.96813068738938e-25
"CASP8AP2","CASP8AP2",-1,-1,13,"6.07943558430524e-05",0.356254925240287,1,2.68671172667886e-19
"WDR46","WDR46",-1,-1,13,"7.57857404171114e-05",0.444028653103856,1,9.63512719145917e-64
"AHCTF1","AHCTF1",-1,-1,13,"7.75156598110671e-05",0.454086735173231,1,2.83804451780008e-52
"PDE9A","PDE9A",-1,-1,13,"0.000106987547016657",0.62662606287656,0.999999999995732,4.26835628038911e-12
"IGSF21","IGSF21",-1,-1,12,"0.000138780527562998",0.812698769408916,1,5.15854104114903e-16
"LONP1","LONP1",-1,-1,13,"0.000158996135347422",0.930922372459156,1,2.40017491365406e-22
"SOX17","SOX17",-1,-1,12,"0.000162820617530812",0.953151895025374,0.999998131121402,1.86887859799484e-06
"MED1","MED1",-1,-1,12,"0.000176986154523884",1,1,3.07718617865909e-24
"TOP1","TOP1",-1,-1,12,"0.000222888077287764",1,0.999999999996497,3.50327669577026e-12
"KIF24","KIF24",-1,-1,12,"0.000229502382065871",1,1,1.64692626814186e-23
"SUMO2","SUMO2",-1,-1,13,"0.000242412308448792",1,1,3.61769774087819e-54
"STK35","STK35",-1,-1,13,"0.000308390376654311",1,1,6.72128726411543e-35
"ARMC1","ARMC1",-1,-1,13,"0.00032650740714979",1,1,8.776249636825e-68
"SAE1","SAE1",-1,-1,13,"0.000355318244678604",1,1,1.44434421072611e-66
"SAR1B","SAR1B",-1,-1,13,"0.000369577883139405",1,0.971778400866741,0.0282215991332587
"PELP1","PELP1",-1,-1,12,"0.000375171576941891",1,1,6.72550406134363e-46
"RHOT1","RHOT1",-1,-1,12,"0.000389437613172228",1,1,3.73875837388951e-28
