"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"KRAS","KRAS",2,2.41224486631313e-06,4,"0.852714760729952",0.00173199181401283,NA,NA
"UTY","UTY",2,0.00179586333116684,4,"0.260295300219485",1,NA,NA
"ATP8A1","ATP8A1",2,0.00249213449632278,4,"0.552865175575406",1,NA,NA
"ATG2B","ATG2B",2,0.00633563331947129,4,"0.417619677768444",1,NA,NA
"MAGEB4","MAGEB4",2,0.02663001273337,4,"0.285809122219442",1,NA,NA
"DSP","DSP",2,0.0715682649916573,4,"0.408791192363315",1,NA,NA
"TP53","TP53",3,0.0920171018817128,3,"0.655017515811073",1,NA,NA
"LAMA5","LAMA5",2,0.101865157693758,4,"0.988554381296589",1,NA,NA
"STARD8","STARD8",2,0.112875864443373,4,"0.671686947653087",1,NA,NA
"MACF1","MACF1",2,0.117963550440776,4,"0.759145624253784",1,NA,NA
"GPR85","GPR85",2,0.123709042166566,4,"0.667832236099435",1,NA,NA
"ITGA8","ITGA8",2,0.127879602299904,4,"0.0700842514648465",1,NA,NA
"NLRP3","NLRP3",2,0.154354897091989,4,"0.529414288066887",1,NA,NA
"GPR63","GPR63",2,0.159851046401523,4,"0.735867940255059",1,NA,NA
"ALK","ALK",2,0.162299811476842,4,"0.85515495257806",1,NA,NA
"RNF17","RNF17",2,0.190077632240651,4,"0.0411720818390983",1,NA,NA
"HOXD11","HOXD11",2,0.201513896243361,4,"0.860021668023931",1,NA,NA
"ADAMTS20","ADAMTS20",3,0.201732633902727,3,"0.529337552932085",1,NA,NA
"BAZ2B","BAZ2B",2,0.211749992905157,4,"0.803961907371674",1,NA,NA
"IBTK","IBTK",2,0.312178920127816,4,"0.483793057083111",1,NA,NA
"NR3C2","NR3C2",2,0.314912141917906,4,"0.17366987623079",1,NA,NA
"ROCK2","ROCK2",2,0.334442410872728,4,"0.371094056651671",1,NA,NA
"ZNF217","ZNF217",2,0.364872944604064,4,"0.304680164802716",1,NA,NA
"TRIM13","TRIM13",2,0.374179005408692,4,"0.102964464012862",1,NA,NA
"PIK3C2G","PIK3C2G",2,0.375061702882418,4,"0.685998176192464",1,NA,NA
"LRP5","LRP5",2,0.376898320476899,4,"0.0144218444916259",1,NA,NA
"CLCN1","CLCN1",2,0.377238927119042,4,"0.701286668142645",1,NA,NA
"SCARA3","SCARA3",2,0.379080861259698,4,"0.312463546931085",1,NA,NA
"SLC7A7","SLC7A7",2,0.380585013173367,4,"0.59268437416188",1,NA,NA
"NCOA6","NCOA6",2,0.398867139668851,4,"0.125052565718612",1,NA,NA
"LRIT2","LRIT2",2,0.414644129754787,4,"0.59268437416188",1,NA,NA
"TRIO","TRIO",2,0.41557330393367,4,"0.568623241398024",1,NA,NA
"KEAP1","KEAP1",2,0.427457031336533,4,"0.89251684197506",1,NA,NA
"TIE1","TIE1",2,0.43847925052888,4,"0.105639890017851",1,NA,NA
"DHX37","DHX37",2,0.452846171235139,4,"0.771516086686845",1,NA,NA
"SLC39A11","SLC39A11",2,0.467748118642936,4,"0.434984551071283",1,NA,NA
"OBSCN","OBSCN",2,0.472921610606179,4,"0.476742369811294",1,NA,NA
"C6","C6",2,0.491330660314878,4,"0.508052965504754",1,NA,NA
"ZFHX4","ZFHX4",2,0.504773615668985,4,"0.89887632567363",1,NA,NA
"SMARCAL1","SMARCAL1",2,0.507112896101644,4,"0.597001754839387",1,NA,NA
"HERC6","HERC6",2,0.509058065992871,4,"0.176176548582886",1,NA,NA
"CACNA1C","CACNA1C",2,0.521185819142188,4,"0.80321864518966",1,NA,NA
"LRP1B","LRP1B",3,0.564268871282925,3,"0.900113773081621",1,NA,NA
"HECW1","HECW1",2,0.564893372094152,4,"0.962844302679565",1,NA,NA
"KIF15","KIF15",2,0.577532907489242,4,"0.30708068008961",1,NA,NA
"USP35","USP35",2,0.581991631639338,4,"0.463186683518397",1,NA,NA
"COL18A1","COL18A1",2,0.588919925466438,4,"0.844076352108083",1,NA,NA
"SLC35B2","SLC35B2",2,0.589915104200736,4,"0.103943524567904",1,NA,NA
"ALPK2","ALPK2",2,0.603441579865011,4,"0.244591816494939",1,NA,NA
"COL14A1","COL14A1",3,0.610735720014793,3,"0.161581236584691",1,NA,NA
"GLI2","GLI2",2,0.614746960568197,4,"0.759559130118219",1,NA,NA
"BRSK1","BRSK1",2,0.614884661583206,4,"0.0535111789538657",1,NA,NA
"FMN2","FMN2",2,0.630893173763899,4,"0.000402274883396876",1,NA,NA
"ASTN2","ASTN2",2,0.639802724197224,4,"0.480084105896006",1,NA,NA
"JAG1","JAG1",2,0.642195613160323,4,"0.773685871149164",1,NA,NA
"ZNF521","ZNF521",2,0.656320443417773,4,"0.692225417271379",1,NA,NA
"ADAMTSL3","ADAMTSL3",2,0.663630156420835,4,"0.883690016153084",1,NA,NA
"CDK11B","CDK11B",2,0.663823148904581,4,"0.31134672077605",1,NA,NA
"MEF2C","MEF2C",2,0.668054972232588,4,"0.195815416064552",1,NA,NA
"TCHH","TCHH",2,0.675743698397424,4,"0.580589025799101",1,NA,NA
"TG","TG",2,0.677699039898436,4,"0.312789593069742",1,NA,NA
"RIF1","RIF1",2,0.679962338048532,4,"0.917463197503243",1,NA,NA
"GATA6","GATA6",2,0.680652310715707,4,"0.552398765465167",1,NA,NA
"PRLR","PRLR",2,0.684028650029241,4,"0.861358763384247",1,NA,NA
"PMEL","PMEL",2,0.687573097436788,4,"0.0869653861034376",1,NA,NA
"BRWD1","BRWD1",2,0.694479389804656,4,"0.877542851141792",1,NA,NA
"HDAC9","HDAC9",2,0.715327340873462,4,"0.990932347215986",1,NA,NA
"CSMD3","CSMD3",2,0.724835319764061,4,"0.698033999897873",1,NA,NA
"MUC12","MUC12",2,0.726926273209003,4,"0.902612211573803",1,NA,NA
"SART3","SART3",2,0.741903550908346,4,"0.478726334348516",1,NA,NA
"ABCA13","ABCA13",2,0.744152991594747,4,"0.833793294704649",1,NA,NA
"KDR","KDR",2,0.74639258682527,4,"0.4183359940416",1,NA,NA
"ARHGAP22","ARHGAP22",2,0.759732171316498,4,"0.646069806587997",1,NA,NA
"ITGB3","ITGB3",2,0.768513989382519,4,"0.015432625689019",1,NA,NA
"TTN","TTN",5,0.772222478297342,1,"0.723407582345049",1,NA,NA
"HTR5A","HTR5A",2,0.774611388337106,4,"0.858553976039539",1,NA,NA
"ZXDC","ZXDC",2,0.785946585600566,4,"0.233954741137341",1,NA,NA
"PHF3","PHF3",3,0.798002937258089,3,"0.425437825943976",1,NA,NA
"CHD9","CHD9",2,0.81050231438424,4,"0.179374230058267",1,NA,NA
"GUCY2C","GUCY2C",2,0.812236837712735,4,"0.251940149237402",1,NA,NA
"COL1A2","COL1A2",2,0.846645921277274,4,"0.197451614176616",1,NA,NA
"NRXN3","NRXN3",3,0.852076477270955,3,"0.228621997466396",1,NA,NA
"FAT3","FAT3",3,0.857019183103147,3,"0.347697490913858",1,NA,NA
"CALD1","CALD1",2,0.939783402572738,4,"0.507111823289848",1,NA,NA
"KPNA7","KPNA7",2,0.977002370562069,4,"0.00296829930395235",1,NA,NA
"HCN1","HCN1",2,0.977504304325482,4,"0.497437525565462",1,NA,NA
"COL22A1","COL22A1",2,0.979567810837025,4,"0.51369862356757",1,NA,NA
"CD109","CD109",2,0.980878118270794,4,"0.602015541284505",1,NA,NA
"SCD","SCD",1,0.000941348708145603,5,"0.251591456608961",0.674947023740397,NA,NA
"WDR36","WDR36",1,0.00156889809675529,5,"0.0158086942429635",1,NA,NA
"POLR3B","POLR3B",1,0.00486353238695615,5,"0.862731613614087",1,NA,NA
"COL25A1","COL25A1",1,0.005177307081261,5,"0.72317539845187",1,NA,NA
"PXDN","PXDN",1,0.00572641279629447,5,"0.906437685988435",1,NA,NA
"PHF19","PHF19",1,0.00580485646987068,5,"0.422833172257874",1,NA,NA
"MAGEC3","MAGEC3",1,0.0087857160657667,5,"0.179445214444784",1,NA,NA
"KANSL1","KANSL1",1,0.0104330332108671,5,"0.0439181117662511",1,NA,NA
"INTS4","INTS4",1,0.0154534283197446,5,"0.676045016632896",1,NA,NA
"SLC16A6","SLC16A6",1,0.0166300834233878,5,"0.196772942178596",1,NA,NA
"BRCA2","BRCA2",1,0.0176498511798785,5,"0.40298865754055",1,NA,NA
"CYP2R1","CYP2R1",1,0.0188265062835217,5,"0.36083935844098",1,NA,NA
"ABCA10","ABCA10",1,0.0189833936306741,5,"0.255069821091806",1,NA,NA
"MCM5","MCM5",1,0.0189833936306741,5,"0.0711739171901245",1,NA,NA
"IL18RAP","IL18RAP",1,0.0197678303664362,5,"0.241225569246367",1,NA,NA
"AAMP","AAMP",1,0.0199247177135887,5,"0.958958250693115",1,NA,NA
"PI4KA","PI4KA",1,0.0200031613871649,5,"0.559418306420908",1,NA,NA
"MC2R","MC2R",1,0.0200816050607411,5,"0.154507139946451",1,NA,NA
"SLIT2","SLIT2",1,0.022278027920875,5,"0.982798878546346",1,NA,NA
"MRGPRD","MRGPRD",1,0.0241606760867041,5,"0.38639895879934",1,NA,NA
"BPTF","BPTF",1,0.0244744507810089,5,"0.248439637900693",1,NA,NA
"CHRNA10","CHRNA10",1,0.0257295495582283,5,"0.436771252607099",1,NA,NA
"PDE4B","PDE4B",1,0.0272984230297525,5,"0.987345036300396",1,NA,NA
"TTK","TTK",1,0.0286319654805481,5,"0.724330879514658",1,NA,NA
"IRX3","IRX3",1,0.0287888528277005,5,"0.540810361878676",1,NA,NA
"TNS3","TNS3",1,0.0287888528277005,5,"0.191473840235172",1,NA,NA
"TNFRSF21","TNFRSF21",1,0.0322403744650538,5,"0.0380065518710424",1,NA,NA
"DENND5B","DENND5B",1,0.0329463675272397,5,"0.498684436431926",1,NA,NA
"ANKRD36","ANKRD36",1,0.0337308042630018,5,"0.941039866252986",1,NA,NA
"NPR1","NPR1",1,0.0343583536516115,5,"0.555090545125684",1,NA,NA
"DHX33","DHX33",1,0.0361625581438643,5,"0.0910919850229269",1,NA,NA
"NFIA","NFIA",1,0.0374961005946599,5,"0.0099908288453311",1,NA,NA
"CACNA1A","CACNA1A",1,0.0446344748900951,5,"0.646093136050786",1,NA,NA
"TMEM207","TMEM207",1,0.0454973552994335,5,"0.101073194604103",1,NA,NA
"KIAA1549L","KIAA1549L",1,0.0458895736673145,5,"0.303289885812657",1,NA,NA
"ANKRD17","ANKRD17",1,0.0466740104030766,5,"0.0654149794966968",1,NA,NA
"ACSL6","ACSL6",1,0.0486351022424819,5,"0.844740644314193",1,NA,NA
"TGM2","TGM2",1,0.0498117573461251,5,"0.62897255681588",1,NA,NA
"MMS22L","MMS22L",1,0.0513021871440731,5,"0.747531635228344",1,NA,NA
"FGFR1","FGFR1",1,0.0520866238798352,5,"0.478959986953458",1,NA,NA
"EPHA6","EPHA6",1,0.0542046030663929,5,"0.624855257049335",1,NA,NA
"PHACTR1","PHACTR1",1,0.0550674834757312,5,"0.547397561402239",1,NA,NA
"GATA1","GATA1",1,0.0560872512322219,5,"0.842528866849547",1,NA,NA
"PKNOX2","PKNOX2",1,0.0575776810301699,5,"0.423756702014423",1,NA,NA
"TMPRSS3","TMPRSS3",1,0.0599309912374563,5,"0.392604828915166",1,NA,NA
"MGAT4C","MGAT4C",1,0.062048970424014,5,"0.732748544800302",1,NA,NA
"ACTR8","ACTR8",1,0.0625980761390474,5,"0.746079508423744",1,NA,NA
"CCKBR","CCKBR",1,0.063931618589843,5,"0.296718583113717",1,NA,NA
"SEH1L","SEH1L",1,0.0646376116520289,5,"0.0435699734391717",1,NA,NA
"LINGO2","LINGO2",1,0.0673831402271963,5,"0.751181680352168",1,NA,NA
"INO80D","INO80D",1,0.069501119413754,5,"0.470190580861304",1,NA,NA
"SYDE2","SYDE2",1,0.0720113169681928,5,"0.995515786408601",1,NA,NA
"CHD7","CHD7",1,0.0726388663568024,5,"0.725881273547252",1,NA,NA
"CCKAR","CCKAR",1,0.0742861835019029,5,"0.298365972087581",1,NA,NA
"TOP1","TOP1",1,0.0743646271754791,5,"0.664930876340495",1,NA,NA
"DGKI","DGKI",1,0.0749137328905126,5,"0.922513852947175",1,NA,NA
"NID1","NID1",1,0.0751490639112412,5,"0.018738865468986",1,NA,NA
"MATN1","MATN1",1,0.0760903879941557,5,"0.182178006185673",1,NA,NA
"CLSPN","CLSPN",1,0.0778945924864086,5,"0.22017444272707",1,NA,NA
"SETD3","SETD3",1,0.0787574728957469,5,"0.824795329329994",1,NA,NA
"TTC21B","TTC21B",1,0.0797772406522377,5,"0.826784558037327",1,NA,NA
"GLRB","GLRB",1,0.0801694590201187,5,"0.515407365359505",1,NA,NA
"ACTB","ACTB",1,0.0841700863725055,5,"0.620049971453248",1,NA,NA
"HTR1B","HTR1B",1,0.0849545231082676,5,"0.898268281721365",1,NA,NA
"HTR1F","HTR1F",1,0.0870725022948253,5,"0.87062433151192",1,NA,NA
"NR4A1","NR4A1",1,0.0871509459684015,5,"0.304037636977271",1,NA,NA
"IGF2BP1","IGF2BP1",1,0.087700051683435,5,"0.961483426667701",1,NA,NA
"ETV1","ETV1",1,0.0879353827041636,5,"0.301755270345565",1,NA,NA
"LRRC24","LRRC24",1,0.0892689251549592,5,"0.73521462834171",1,NA,NA
"WDR35","WDR35",1,0.0917791227093979,5,"0.894526744835795",1,NA,NA
