"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"MUC12","MUC12",-1,-1,5,"2.39790869804857e-06",0.0140661324227529,NA,NA
"SMYD2","SMYD2",-1,-1,6,"6.60916288262037e-05",0.387627403065685,NA,NA
"GPSM1","GPSM1",-1,-1,6,"0.000164216250647997",0.962964093799854,NA,NA
"FRY","FRY",-1,-1,5,"0.000197494761469019",1,NA,NA
"MCHR1","MCHR1",-1,-1,6,"0.000240900250880971",1,NA,NA
"EZH2","EZH2",-1,-1,5,"0.000281931173939043",1,NA,NA
"MED13L","MED13L",-1,-1,6,"0.00028842280157626",1,NA,NA
"CX3CR1","CX3CR1",-1,-1,6,"0.00038326101329933",1,NA,NA
"MED13","MED13",-1,-1,5,"0.000408336852546709",1,NA,NA
"RSF1","RSF1",-1,-1,6,"0.000459820233619457",1,NA,NA
"CXCL12","CXCL12",-1,-1,5,"0.000501976556617878",1,NA,NA
"MTAP","MTAP",-1,-1,5,"0.000559716754457873",1,NA,NA
"UCK2","UCK2",-1,-1,5,"0.000678287821069601",1,NA,NA
"ARHGEF33","ARHGEF33",-1,-1,6,"0.000695481315187263",1,NA,NA
"LAMP3","LAMP3",-1,-1,6,"0.000708064413679099",1,NA,NA
"NAV2","NAV2",-1,-1,6,"0.000743067634631389",1,NA,NA
"FOXR1","FOXR1",-1,-1,5,"0.00090540798613381",1,NA,NA
"MYSM1","MYSM1",-1,-1,6,"0.000986750127600078",1,NA,NA
"ABCB8","ABCB8",-1,-1,6,"0.00102065815655783",1,NA,NA
"IQGAP1","IQGAP1",-1,-1,5,"0.0010363874961915",1,NA,NA
"NAT8B","NAT8B",-1,-1,6,"0.00122795211948779",1,NA,NA
"TNS1","TNS1",-1,-1,6,"0.00129429088173671",1,NA,NA
"NPFFR1","NPFFR1",-1,-1,6,"0.00168707474266927",1,NA,NA
"C17orf80","C17orf80",-1,-1,6,"0.00170793674352909",1,NA,NA
"TCL1A","TCL1A",-1,-1,6,"0.00185341616291579",1,NA,NA
"ADCY7","ADCY7",-1,-1,6,"0.00189114412921243",1,NA,NA
"SLC12A7","SLC12A7",-1,-1,5,"0.00244195586250207",1,NA,NA
"LRIG2","LRIG2",-1,-1,6,"0.00250098402316423",1,NA,NA
"CPEB4","CPEB4",-1,-1,5,"0.00251881108992302",1,NA,NA
"PRKAG3","PRKAG3",-1,-1,6,"0.00256897228714859",1,NA,NA
"KLHL21","KLHL21",-1,-1,6,"0.00287565313826843",1,NA,NA
"LGR6","LGR6",-1,-1,6,"0.00291907795932911",1,NA,NA
"OR11L1","OR11L1",-1,-1,6,"0.00304760585629316",1,NA,NA
"ARHGAP35","ARHGAP35",-1,-1,5,"0.00330455892167103",1,NA,NA
"TAS1R2","TAS1R2",-1,-1,6,"0.00331207796990196",1,NA,NA
"MLL","MLL",-1,-1,6,"0.00335545953713612",1,NA,NA
"IL18RAP","IL18RAP",-1,-1,5,"0.00337374875900764",1,NA,NA
"BMP4","BMP4",-1,-1,6,"0.0037064918008789",1,NA,NA
"LATS1","LATS1",-1,-1,5,"0.00371326948828654",1,NA,NA
"CBX5","CBX5",-1,-1,5,"0.00384697661264621",1,NA,NA
"ARAP1","ARAP1",-1,-1,5,"0.0039430217741514",1,NA,NA
"ANXA4","ANXA4",-1,-1,6,"0.00407951007894858",1,NA,NA
"HOXC9","HOXC9",-1,-1,5,"0.00449417673394215",1,NA,NA
"C4BPA","C4BPA",-1,-1,6,"0.00450753110999347",1,NA,NA
"RPTOR","RPTOR",-1,-1,6,"0.00483396194334729",1,NA,NA
"CFHR2","CFHR2",-1,-1,5,"0.0051119391287241",1,NA,NA
"SCAF4","SCAF4",-1,-1,6,"0.00525646019542358",1,NA,NA
"FANCE","FANCE",-1,-1,6,"0.00531011119988134",1,NA,NA
"KCTD19","KCTD19",-1,-1,6,"0.00534011273881541",1,NA,NA
"PPARA","PPARA",-1,-1,5,"0.00552012799577717",1,NA,NA
"SNAP25","SNAP25",-1,-1,6,"0.00575799970331725",1,NA,NA
"PDE1B","PDE1B",-1,-1,5,"0.00597649844671655",1,NA,NA
"CYP1A1","CYP1A1",-1,-1,6,"0.00639561189978033",1,NA,NA
"TCIRG1","TCIRG1",-1,-1,6,"0.00652703708005031",1,NA,NA
"BTAF1","BTAF1",-1,-1,6,"0.0065341401362311",1,NA,NA
"KCTD20","KCTD20",-1,-1,6,"0.00677946776065708",1,NA,NA
"PRKCE","PRKCE",-1,-1,5,"0.00683071791003953",1,NA,NA
"CCNY","CCNY",-1,-1,4,"0.00686888958029364",1,NA,NA
"CYP4X1","CYP4X1",-1,-1,6,"0.00695467932278038",1,NA,NA
"GABRG3","GABRG3",-1,-1,6,"0.00699216926289503",1,NA,NA
"SERPINB11","SERPINB11",-1,-1,6,"0.0070147430631734",1,NA,NA
"POTEA","POTEA",-1,-1,6,"0.00708029387332942",1,NA,NA
"DHTKD1","DHTKD1",-1,-1,5,"0.00712561572232073",1,NA,NA
"EP300","EP300",-1,-1,5,"0.00719218814965239",1,NA,NA
"LGALS14","LGALS14",-1,-1,5,"0.00730620835558449",1,NA,NA
"C1R","C1R",-1,-1,6,"0.00731370912707097",1,NA,NA
"RAVER2","RAVER2",-1,-1,6,"0.00779682546787208",1,NA,NA
"ARHGEF19","ARHGEF19",-1,-1,6,"0.00804945168333704",1,NA,NA
"MAP1LC3C","MAP1LC3C",-1,-1,6,"0.00806070858533525",1,NA,NA
"DLC1","DLC1",-1,-1,5,"0.00819696151836324",1,NA,NA
"MYL3","MYL3",-1,-1,5,"0.00852464155105492",1,NA,NA
"ARMC8","ARMC8",-1,-1,5,"0.00867209998672203",1,NA,NA
"CBX6","CBX6",-1,-1,5,"0.00896274004593978",1,NA,NA
"STRN","STRN",-1,-1,5,"0.0091478709747439",1,NA,NA
"GRAPL","GRAPL",-1,-1,5,"0.0093253149000323",1,NA,NA
"FLCN","FLCN",-1,-1,6,"0.00932951618081601",1,NA,NA
"MDM2","MDM2",-1,-1,5,"0.00941506343474818",1,NA,NA
"SULT2B1","SULT2B1",-1,-1,6,"0.00948934862614292",1,NA,NA
"TAF5L","TAF5L",-1,-1,6,"0.00951190285778791",1,NA,NA
"KCNH4","KCNH4",-1,-1,5,"0.00952367233879592",1,NA,NA
"KCNB1","KCNB1",-1,-1,6,"0.00978599096855548",1,NA,NA
"SFMBT2","SFMBT2",-1,-1,5,"0.0100021707979417",1,NA,NA
"SIRT1","SIRT1",-1,-1,6,"0.0100092077267203",1,NA,NA
