"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"VPRBP","VPRBP",-1,-1,5,"3.89985658769605e-10",2.2876558743425e-06,NA,NA
"CLSPN","CLSPN",-1,-1,6,"1.04676000047473e-08",6.13924740278429e-05,NA,NA
"EIF3I","EIF3I",-1,-1,5,"4.91563516318366e-07",0.0028825284596909,NA,NA
"SNRPF","SNRPF",-1,-1,6,"8.41113731192686e-07",0.00493144980598272,NA,NA
"UTP15","UTP15",-1,-1,5,"9.79991370547078e-07",0.00574470941414697,NA,NA
"COPS8","COPS8",-1,-1,6,"1.22913295436427e-06",0.00720394824552899,NA,NA
"NLE1","NLE1",-1,-1,5,"1.39588611163225e-06",0.00817989261416498,NA,NA
"ATP10D","ATP10D",-1,-1,6,"1.62464751456768e-06",0.00951880978785204,NA,NA
"WDR36","WDR36",-1,-1,5,"1.80821272944625e-06",0.0105925101690961,NA,NA
"RRP9","RRP9",-1,-1,5,"1.88221425269717e-06",0.0110241288780473,NA,NA
"DDX27","DDX27",-1,-1,5,"2.18940608036301e-06",0.0128211620066058,NA,NA
"RCC1","RCC1",-1,-1,6,"2.31951287119415e-06",0.0135807478608417,NA,NA
"COPS3","COPS3",-1,-1,6,"2.57451325156301e-06",0.0150712005746499,NA,NA
"WDR74","WDR74",-1,-1,6,"3.04599515976084e-06",0.0178282096700802,NA,NA
"WDR46","WDR46",-1,-1,6,"3.76407088830803e-06",0.0220273428383786,NA,NA
"RFC4","RFC4",-1,-1,6,"6.97189376178501e-06",0.0407925504002041,NA,NA
"INTS4","INTS4",-1,-1,6,"7.31991380866737e-06",0.0428214957807041,NA,NA
"WDR3","WDR3",-1,-1,6,"7.32817633575947e-06",0.0428625033878571,NA,NA
"FTSJ3","FTSJ3",-1,-1,6,"1.49627625225301e-05",0.087502235231756,NA,NA
"RFC5","RFC5",-1,-1,5,"1.55362818240041e-05",0.090840639824952,NA,NA
"MKI67IP","MKI67IP",-1,-1,6,"1.89940082093021e-05",0.11103897199158,NA,NA
"CTNNBL1","CTNNBL1",-1,-1,6,"2.67229599229323e-05",0.156195700749539,NA,NA
"GEMIN5","GEMIN5",-1,-1,5,"2.82248989343311e-05",0.164946309372231,NA,NA
"AATF","AATF",-1,-1,5,"2.96693233514817e-05",0.173357856342708,NA,NA
"DIMT1","DIMT1",-1,-1,4,"3.12124462008535e-05",0.182343110705386,NA,NA
"CDC27","CDC27",-1,-1,5,"3.32441005509998e-05",0.19417879131839,NA,NA
"RBM28","RBM28",-1,-1,6,"3.53808989249771e-05",0.206624449721866,NA,NA
"FABP1","FABP1",-1,-1,6,"3.85969714024653e-05",0.225367716018995,NA,NA
"BET1","BET1",-1,-1,6,"4.09312367006902e-05",0.238956559858629,NA,NA
"RACGAP1","RACGAP1",-1,-1,5,"4.10990336588768e-05",0.239895059466864,NA,NA
"GJC1","GJC1",-1,-1,5,"4.29988094912461e-05",0.250941052190912,NA,NA
"OXA1L","OXA1L",-1,-1,5,"4.5018340355296e-05",0.262682015973152,NA,NA
"CEBPZ","CEBPZ",-1,-1,5,"7.25245125702523e-05",0.423108006334852,NA,NA
"PNPT1","PNPT1",-1,-1,5,"7.6043744301595e-05",0.443563160511204,NA,NA
"MRPL38","MRPL38",-1,-1,6,"7.72413604488708e-05",0.450471614137815,NA,NA
"CDC42","CDC42",-1,-1,6,"0.000100998208421804",0.588920553307539,NA,NA
"WDR75","WDR75",-1,-1,5,"0.000102054926937658",0.594980224046546,NA,NA
"CIRH1A","CIRH1A",-1,-1,6,"0.000108583008621998",0.632930357257626,NA,NA
"TBL3","TBL3",-1,-1,5,"0.000110530067743772",0.644169234810703,NA,NA
"CHAF1B","CHAF1B",-1,-1,6,"0.000113763131694806",0.662897768385635,NA,NA
"POLE2","POLE2",-1,-1,5,"0.000114602452150692",0.667673886229932,NA,NA
"UTP18","UTP18",-1,-1,6,"0.000118810206962721",0.69206945555785,NA,NA
"CDC40","CDC40",-1,-1,6,"0.00013284997783725",0.773718270924144,NA,NA
"FEM1B","FEM1B",-1,-1,6,"0.00017335752154708",1,NA,NA
"ATP2A2","ATP2A2",-1,-1,6,"0.000176146055808756",1,NA,NA
"MCM7","MCM7",-1,-1,6,"0.000186079649307085",1,NA,NA
"GPN3","GPN3",-1,-1,6,"0.00019570835011999",1,NA,NA
"DDX47","DDX47",-1,-1,6,"0.000200480709844344",1,NA,NA
"RAE1","RAE1",-1,-1,6,"0.000216353494021401",1,NA,NA
"SRSF2","SRSF2",-1,-1,6,"0.000224674254111383",1,NA,NA
"DDX10","DDX10",-1,-1,6,"0.000261811905780052",1,NA,NA
"CDK11B","CDK11B",-1,-1,5,"0.000278681157515031",1,NA,NA
"RARA","RARA",-1,-1,5,"0.000324081290316359",1,NA,NA
"RPN1","RPN1",-1,-1,6,"0.000380586073533905",1,NA,NA
"TTC1","TTC1",-1,-1,5,"0.000415114811674197",1,NA,NA
"MCM4","MCM4",-1,-1,4,"0.000422371977124378",1,NA,NA
"PGAM1","PGAM1",-1,-1,6,"0.000427748458816357",1,NA,NA
