"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"THEM4","THEM4",3,0.000446867630907696,7,"0.924312260709481",0.689069886859667,NA,NA
"PMEPA1","PMEPA1",2,0.00282369275393127,8,"0.536913020789539",1,NA,NA
"PRKAA1","PRKAA1",4,0.00556335476901297,6,"0.90486117379399",1,NA,NA
"RFX5","RFX5",4,0.00692316871707559,6,"0.505479125813117",1,NA,NA
"HSD17B7","HSD17B7",2,0.00750668617607789,8,"0.803543504960087",1,NA,NA
"APCDD1L","APCDD1L",2,0.0079059349538792,8,"0.185678656633889",1,NA,NA
"KIRREL","KIRREL",2,0.0092615808974118,8,"0.670801284556725",1,NA,NA
"SKP2","SKP2",4,0.00962144098435606,6,"0.0445982719795323",1,NA,NA
"MCL1","MCL1",4,0.0096606965378895,6,"0.127752638805713",1,NA,NA
"CLDN10","CLDN10",2,0.0149454597659157,8,"0.383566571905809",1,NA,NA
"CLPTM1L","CLPTM1L",2,0.0162333472853966,8,"0.155431780732796",1,NA,NA
"S100A2","S100A2",3,0.0174640972543403,7,"0.00767177534569458",1,NA,NA
"ASH1L","ASH1L",3,0.0215072494848166,7,"0.198905070233197",1,NA,NA
"PMP22","PMP22",2,0.0220486903363831,8,"0.694939242467202",1,NA,NA
"KIT","KIT",2,0.0224624303327415,8,"0.0513446347124164",1,NA,NA
"MYT1","MYT1",2,0.0251486312774586,8,"0.212070577144565",1,NA,NA
"PTGER4","PTGER4",4,0.027402374397983,6,"0.896715673430279",1,NA,NA
"ALDH3A1","ALDH3A1",2,0.0281165691993008,8,"0.0801183497274832",1,NA,NA
"SLAMF9","SLAMF9",2,0.0339331180018347,8,"0.894535392742389",1,NA,NA
"NTSR1","NTSR1",2,0.0403852402240657,8,"0.552534895343775",1,NA,NA
"OR2B11","OR2B11",2,0.0426683003012537,8,"0.0251863396236746",1,NA,NA
"PVRL4","PVRL4",2,0.0436825301085777,8,"0.0742773432836437",1,NA,NA
"NLRP3","NLRP3",2,0.0553900865829626,8,"0.114488197695548",1,NA,NA
"SPECC1","SPECC1",2,0.0576049452755789,8,"0.12160771294555",1,NA,NA
"RGS5","RGS5",2,0.0587555438730732,8,"0.401304668572187",1,NA,NA
"ARHGAP5","ARHGAP5",2,0.0616680424279908,8,"0.334657854283162",1,NA,NA
"SLC6A12","SLC6A12",2,0.0653580951876211,8,"0.00955584482023488",1,NA,NA
"NPAS3","NPAS3",2,0.065528372370222,8,"0.604159120376765",1,NA,NA
"ADAM17","ADAM17",2,0.0670421083396129,8,"0.138445930234731",1,NA,NA
"HS3ST3B1","HS3ST3B1",2,0.0679355128161476,8,"0.539309033042957",1,NA,NA
"CA10","CA10",2,0.06851504104007,8,"0.0240528030337512",1,NA,NA
"CDH12","CDH12",3,0.0693899589239124,7,"0.565656300781067",1,NA,NA
"CKS1B","CKS1B",4,0.0695867845708562,6,"0.0315927258427002",1,NA,NA
"ALDH3A2","ALDH3A2",2,0.0745062478590053,8,"0.854146613501648",1,NA,NA
"CABLES2","CABLES2",2,0.0746577294471295,8,"0.781853467577513",1,NA,NA
"TRIO","TRIO",3,0.0764624580922726,7,"0.29539599212941",1,NA,NA
"HAPLN2","HAPLN2",3,0.0767895530798312,7,"0.209599555314919",1,NA,NA
"SLC6A3","SLC6A3",2,0.079398698559057,8,"0.184528823570171",1,NA,NA
"RAB22A","RAB22A",2,0.0820144180606125,8,"0.197277929627606",1,NA,NA
"OR11L1","OR11L1",2,0.0824279487946729,8,"0.0722707978054761",1,NA,NA
"TCHH","TCHH",3,0.0860028000493773,7,"0.878240347697825",1,NA,NA
"DOCK9","DOCK9",3,0.0868127886737273,7,"0.688751502459435",1,NA,NA
"TSSC1","TSSC1",2,0.0888218132027916,8,"0.445862111898433",1,NA,NA
"HGF","HGF",2,0.0902491798718534,8,"0.73467459105685",1,NA,NA
"SOX11","SOX11",2,0.0979381987293167,8,"0.0482100985282088",1,NA,NA
"UBE2Q1","UBE2Q1",3,0.0997190378209602,7,"0.165994093354514",1,NA,NA
"BCAN","BCAN",3,0.101794114841116,7,"0.352340613911177",1,NA,NA
"MLLT11","MLLT11",4,0.102614508163857,6,"0.96841569931999",1,NA,NA
"C6","C6",4,0.112926644000668,6,"0.711680700299975",1,NA,NA
"TMTC4","TMTC4",3,0.11561849716374,7,"0.376749379989204",1,NA,NA
"MFAP4","MFAP4",2,0.128236890851804,8,"0.488269443470628",1,NA,NA
"ADRM1","ADRM1",2,0.130150847660049,8,"0.665961879286986",1,NA,NA
"ITGA10","ITGA10",3,0.133394368127487,7,"0.154301862497428",1,NA,NA
"ALKBH5","ALKBH5",2,0.136592093177774,8,"0.46559668584014",1,NA,NA
"MAPK1","MAPK1",2,0.141806960893424,8,"0.994726851099332",1,NA,NA
"PHF14","PHF14",2,0.142601806156843,8,"0.51541359903354",1,NA,NA
"ELAC2","ELAC2",2,0.143188903051792,8,"0.14607376006627",1,NA,NA
"MYO10","MYO10",5,0.14593601733259,5,"0.109699555901413",1,NA,NA
"LIFR","LIFR",4,0.147316685121411,6,"0.0538816030525852",1,NA,NA
"MEF2D","MEF2D",3,0.148140968443905,7,"0.23239604278795",1,NA,NA
"PDGFRA","PDGFRA",2,0.150027203506009,8,"0.0794646364672673",1,NA,NA
"UBQLN4","UBQLN4",3,0.150034431074615,7,"0.0122417269178286",1,NA,NA
"PRKAB2","PRKAB2",3,0.150290545700844,7,"0.67036781528411",1,NA,NA
"CDH4","CDH4",2,0.150758570184924,8,"0.333418822494151",1,NA,NA
"SLAMF6","SLAMF6",2,0.151534896757314,8,"0.896681246918303",1,NA,NA
"BIRC7","BIRC7",2,0.154529284744693,8,"0.012152040200231",1,NA,NA
"PKLR","PKLR",3,0.161082292538834,7,"0.0491676486960211",1,NA,NA
"DUSP12","DUSP12",2,0.163598473369843,8,"0.883967510625044",1,NA,NA
"SREBF1","SREBF1",2,0.164947362475214,8,"0.883361023570875",1,NA,NA
"KCNJ10","KCNJ10",2,0.165488468776663,8,"0.0539992567957289",1,NA,NA
"FARP1","FARP1",3,0.166353101137456,7,"0.829808498241945",1,NA,NA
"OSBPL2","OSBPL2",2,0.169529330346647,8,"0.743807281194064",1,NA,NA
"NFKBIA","NFKBIA",2,0.179868250565543,8,"0.0294104276712156",1,NA,NA
"DCAF8","DCAF8",2,0.183034343295718,8,"0.504324281580492",1,NA,NA
"OR2T11","OR2T11",5,0.186161188537029,5,"0.596691494501623",1,NA,NA
"B9D1","B9D1",2,0.188533076998786,8,"0.457323918156951",1,NA,NA
