"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"EZH2","EZH2",5,0.00186045232354471,0,NA,0.733018215476616,NA,NA
"EP300","EP300",2,0.00257589784686583,3,"2.63639694428513e-09",1,NA,NA
"BCL2","BCL2",4,0.00412099366510554,1,"0.470740509756073",1,NA,NA
"LRP1B","LRP1B",2,0.0753260759976236,3,"0.185973990079434",1,NA,NA
"DOCK2","DOCK2",3,0.117038122946672,2,"0.114784698549445",1,NA,NA
"RNF17","RNF17",2,0.195631318967182,3,"0.577173189036532",1,NA,NA
"ANK2","ANK2",2,0.300513161791406,3,"0.243816478970898",1,NA,NA
"GLI2","GLI2",2,0.352713033634036,3,"0.835792105533887",1,NA,NA
"GNB1","GNB1",2,0.362731754735956,3,"0.771660150134135",1,NA,NA
"FXR2","FXR2",2,0.389118660989771,3,"0.837108964082784",1,NA,NA
"DSEL","DSEL",2,0.392447409807771,3,"0.38698222294682",1,NA,NA
"WNK1","WNK1",2,0.463131402620196,3,"0.0209807678074314",1,NA,NA
"AHRR","AHRR",2,0.610189018821031,3,"0.871646186564541",1,NA,NA
"MED1","MED1",2,0.611780435321403,3,"0.0977547784437007",1,NA,NA
"TP53","TP53",4,0.619204469054207,1,"0.104643885175897",1,NA,NA
"TLK2","TLK2",2,0.637401860414864,3,"0.701077401891683",1,NA,NA
"ANKRD50","ANKRD50",2,0.64926073424913,3,"0.813142003896864",1,NA,NA
"NCSTN","NCSTN",2,0.687573097436788,3,"0.895586171215376",1,NA,NA
"DDIT4L","DDIT4L",2,0.790032942372054,3,"0.569623538071033",1,NA,NA
"SVIL","SVIL",2,0.81396338622197,3,"0.799498821415887",1,NA,NA
"UTRN","UTRN",2,0.850959462020428,3,"0.784403971180968",1,NA,NA
"HIST1H1E","HIST1H1E",2,0.930230638484755,3,"0.596178705999556",1,NA,NA
"NBEA","NBEA",2,0.951630413714419,3,"0.463855281946527",1,NA,NA
"PROM1","PROM1",2,0.960523633963652,3,"0.335392565392247",1,NA,NA
"PLEKHG3","PLEKHG3",2,0.964307637155993,3,"0.848350862494684",1,NA,NA
"ERBB4","ERBB4",2,0.98735864526683,3,"0.932795445012026",1,NA,NA
"FNIP1","FNIP1",1,0.00627551851132795,4,"3.90132687107483e-06",1,NA,NA
"KCNN2","KCNN2",1,0.00815816667715701,4,"0.387254089949616",1,NA,NA
"ACIN1","ACIN1",1,0.0106683642315958,4,"0.763838517706763",1,NA,NA
"RALGAPA2","RALGAPA2",1,0.0142767732161015,4,"0.0288231814420453",1,NA,NA
"BHLHE22","BHLHE22",1,0.0169438581176926,4,"0.0198503665926445",1,NA,NA
"REL","REL",1,0.0182774005684882,4,"0.55151756735186",1,NA,NA
"SYNPO","SYNPO",1,0.020787598122927,4,"0.0505936446817819",1,NA,NA
"LRRN3","LRRN3",1,0.0229055773094847,4,"0.266516282651486",1,NA,NA
"ZHX2","ZHX2",1,0.0326325928329348,4,"0.660409141819131",1,NA,NA
"PTPN13","PTPN13",1,0.0332601422215445,4,"0.184680856321723",1,NA,NA
"PRDM15","PRDM15",1,0.0351427903873736,4,"0.0688642720798854",1,NA,NA
"ELF3","ELF3",1,0.0404769601905559,4,"0.275843359753741",1,NA,NA
"KLF10","KLF10",1,0.0412613969263181,4,"0.0120320023981644",1,NA,NA
"ARID5A","ARID5A",1,0.0429087140714185,4,"0.608523790462994",1,NA,NA
"ANKRD36","ANKRD36",1,0.0446344748900951,4,"0.0171176019539118",1,NA,NA
"CREBBP","CREBBP",1,0.0449482495844,4,"0.481755541300732",1,NA,NA
"GPR98","GPR98",1,0.0542830467399691,4,"0.189018257575754",1,NA,NA
"ARAP3","ARAP3",1,0.0604016532789135,4,"0.568211208272782",1,NA,NA
"CLCN1","CLCN1",1,0.0627549634861999,4,"0.238460980992095",1,NA,NA
"TTN","TTN",1,0.0640100622634192,4,"0.158375817923897",1,NA,NA
"PLK2","PLK2",1,0.0662064851235531,4,"8.99680196194606e-05",1,NA,NA
"CYP1A2","CYP1A2",1,0.0694226757401778,4,"0.242927208278369",1,NA,NA
"HRH3","HRH3",1,0.0733448594189883,4,"0.12344044618476",1,NA,NA
"GTF2IRD1","GTF2IRD1",1,0.07765926146568,4,"0.358967903615977",1,NA,NA
"PIK3R1","PIK3R1",1,0.0783652545278658,4,"0.102315177107579",1,NA,NA
"EZH1","EZH1",1,0.0812676704501857,4,"0.0931130225439124",1,NA,NA
"ROCK2","ROCK2",1,0.0855820724968773,4,"0.00449510068222716",1,NA,NA
"GRK7","GRK7",1,0.09256355944516,4,"0.00637540507029579",1,NA,NA
"ZFP36L2","ZFP36L2",1,0.0971132925125803,4,"0.491162785543441",1,NA,NA
"SMAP1","SMAP1",1,0.0974270672068851,4,"0.0487154650725933",1,NA,NA
"HDAC6","HDAC6",1,0.101427694559272,4,"0.540039902791281",1,NA,NA
"LUM","LUM",1,0.101506138232848,4,"0.666065805916503",1,NA,NA
"LRIG2","LRIG2",1,0.102369018642186,4,"0.369459899028926",1,NA,NA
"AXIN1","AXIN1",1,0.104016335787287,4,"0.182711818322504",1,NA,NA
"ARHGEF10L","ARHGEF10L",1,0.10582054027954,4,"0.860478386902066",1,NA,NA
