"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"CFL1","CFL1",2,0.000112242011629278,13,"2.37426453193096e-05",0.195076616211685,0.999705482844823,0.000294517155177497
"LANCL2","LANCL2",6,0.000195963871760292,9,"0.00126377791465489",0.340389245247627,0.992812670130174,0.00718732986982643
"LRRC15","LRRC15",4,0.00138170857638242,11,"0.12313391093261",1,0.999999739429245,2.60570754936888e-07
"EGFR","EGFR",6,0.00171182356772266,9,"0.127363341223909",1,0.99964325229727,0.000356747702729703
"RANBP6","RANBP6",2,0.00214515884310567,13,"0.0233983656628186",1,0.813218010669519,0.186781989330481
"WDR49","WDR49",3,0.00355680157013726,12,"0.0046165082910647",1,0.819238984597648,0.180761015402352
"SEC62","SEC62",3,0.00462324783240899,12,"0.112404668823514",1,0.218285521467185,0.781714478532815
"DHX36","DHX36",3,0.00475750967995359,12,"0.440607629189754",1,0.999999183555716,8.16444284086606e-07
"LRCH3","LRCH3",4,0.00524966818068654,11,"0.0704612891398925",1,0.914931103660292,0.0850688963397076
"BRIX1","BRIX1",4,0.00534430455248096,11,"0.948624346146513",1,0.999999999999994,5.87574741338974e-15
"FFAR1","FFAR1",2,0.00591034327996395,13,"0.605256513744675",1,0.37381298292742,0.62618701707258
"RTP1","RTP1",4,0.0063882086893416,11,"0.00243909871294702",1,0.251688862898958,0.748311137101042
"CD274","CD274",2,0.00656729699674304,13,"0.0107244122895273",1,0.999999994916753,5.08324698376204e-09
"GP5","GP5",4,0.00721694050991604,11,"0.107061829253862",1,0.948556192891767,0.0514438071082327
"TP63","TP63",3,0.00766833496636553,12,"5.4275754384876e-06",1,0.999999996654021,3.34597944298341e-09
"TTC7B","TTC7B",2,0.00845775758483677,13,"0.00550410371248495",1,0.161372915501812,0.838627084498188
"GPR171","GPR171",3,0.00928056638772549,12,"0.000162762095850775",1,0.900702653414916,0.0992973465850839
"RTP2","RTP2",4,0.00960838242429412,11,"0.0442765682940482",1,0.546722612156902,0.453277387843098
"ERBB2","ERBB2",3,0.0102077720560629,12,"0.32626512365896",1,0.931282752153946,0.0687172478460541
"HUS1","HUS1",2,0.013375136783879,13,"0.130935407493736",1,0.998761818906257,0.00123818109374283
"ACTB","ACTB",2,0.0138540537445145,13,"0.00404436413949265",1,0.998668473076829,0.0013315269231714
