"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"TP53","TP53",-1,-1,2,"2.41224486630109e-06",0.0141502283857222,NA,NA
"ERI1","ERI1",-1,-1,16,"2.74188468696313e-06",0.0160811536890388,NA,NA
"CDK6","CDK6",-1,-1,13,"9.49519078674577e-06",0.0556797987734772,NA,NA
"COL25A1","COL25A1",-1,-1,15,"1.67173976081125e-05",0.0980141021763636,NA,NA
"NADSYN1","NADSYN1",-1,-1,15,"2.33609072869401e-05",0.136941638516043,NA,NA
"IRAK2","IRAK2",-1,-1,14,"2.44629328054469e-05",0.143377249172724,NA,NA
"ARL5B","ARL5B",-1,-1,16,"3.82795900721877e-05",0.22431839782302,NA,NA
"IMPDH1","IMPDH1",-1,-1,14,"5.18996497786972e-05",0.304080048053387,NA,NA
"GTF2H5","GTF2H5",-1,-1,14,"6.75399338762039e-05",0.395648932646802,NA,NA
"SH2D4B","SH2D4B",-1,-1,13,"7.48247776430899e-05",0.438248722655578,NA,NA
"KIT","KIT",-1,-1,16,"0.000117566618914822",0.688470120365198,NA,NA
"TOP2B","TOP2B",-1,-1,13,"0.000183462507500565",1,NA,NA
"USP33","USP33",-1,-1,13,"0.000226107896836192",1,NA,NA
"CFB","CFB",-1,-1,15,"0.000234116223750469",1,NA,NA
"PSCA","PSCA",-1,-1,11,"0.000244914365124194",1,NA,NA
"KIAA1324","KIAA1324",-1,-1,14,"0.000255067311266788",1,NA,NA
"YWHAE","YWHAE",-1,-1,14,"0.000352249688797657",1,NA,NA
"LIG4","LIG4",-1,-1,16,"0.000371874811301631",1,NA,NA
"RCBTB2","RCBTB2",-1,-1,16,"0.000392521515149347",1,NA,NA
"AK4","AK4",-1,-1,14,"0.000411521845051332",1,NA,NA
"BTBD18","BTBD18",-1,-1,16,"0.000463341615212887",1,NA,NA
"WDR25","WDR25",-1,-1,15,"0.000500340424850365",1,NA,NA
"SAFB","SAFB",-1,-1,14,"0.00051552434214952",1,NA,NA
"ZBTB6","ZBTB6",-1,-1,15,"0.000645878367601327",1,NA,NA
"MLF2","MLF2",-1,-1,12,"0.000656909711231446",1,NA,NA
"SRSF12","SRSF12",-1,-1,14,"0.000669534992508547",1,NA,NA
"GCAT","GCAT",-1,-1,16,"0.000728129063197969",1,NA,NA
"ESRRB","ESRRB",-1,-1,16,"0.00083589302504794",1,NA,NA
"SH2D1B","SH2D1B",-1,-1,14,"0.000890398815881488",1,NA,NA
"CXCL5","CXCL5",-1,-1,16,"0.00093380433703083",1,NA,NA
"GABRR2","GABRR2",-1,-1,15,"0.000986635567007621",1,NA,NA
"RUFY3","RUFY3",-1,-1,16,"0.00124383196158595",1,NA,NA
"WDR27","WDR27",-1,-1,13,"0.00145444520343796",1,NA,NA
"VAV1","VAV1",-1,-1,15,"0.0014852308424218",1,NA,NA
"RBPJ","RBPJ",-1,-1,16,"0.00155553715255596",1,NA,NA
"CP","CP",-1,-1,14,"0.00157622846171535",1,NA,NA
"CCNT1","CCNT1",-1,-1,14,"0.00165296350892519",1,NA,NA
"ANK3","ANK3",-1,-1,15,"0.00173289741975879",1,NA,NA
"RAPGEF6","RAPGEF6",-1,-1,14,"0.00186537878406068",1,NA,NA
"UNC5C","UNC5C",-1,-1,14,"0.00209482790756588",1,NA,NA
"SOCS7","SOCS7",-1,-1,15,"0.00223287979667619",1,NA,NA
"NRG1","NRG1",-1,-1,15,"0.00232475902044615",1,NA,NA
"LRRC33","LRRC33",-1,-1,12,"0.0023539527045161",1,NA,NA
"ROS1","ROS1",-1,-1,14,"0.00251207920967067",1,NA,NA
"BRDT","BRDT",-1,-1,15,"0.00256323617490728",1,NA,NA
"WDR31","WDR31",-1,-1,16,"0.00262144403812403",1,NA,NA
"PIGZ","PIGZ",-1,-1,12,"0.00267814729915961",1,NA,NA
"ADSL","ADSL",-1,-1,16,"0.00276199291146328",1,NA,NA
"MAP3K11","MAP3K11",-1,-1,15,"0.00299741733571102",1,NA,NA
"RASD1","RASD1",-1,-1,14,"0.00310800483634466",1,NA,NA
"STRAP","STRAP",-1,-1,12,"0.00329438356182843",1,NA,NA
"PPIG","PPIG",-1,-1,13,"0.00332052887493584",1,NA,NA
"SLC22A17","SLC22A17",-1,-1,15,"0.00332167641117187",1,NA,NA
"C1QL4","C1QL4",-1,-1,16,"0.00347296644444384",1,NA,NA
"ELOVL2","ELOVL2",-1,-1,15,"0.00347385097354691",1,NA,NA
"RBPJL","RBPJL",-1,-1,15,"0.00358994672253155",1,NA,NA
"WDR88","WDR88",-1,-1,12,"0.00364181362381089",1,NA,NA
"ABCB10","ABCB10",-1,-1,15,"0.00367800189416956",1,NA,NA
"APPBP2","APPBP2",-1,-1,14,"0.00374549816729974",1,NA,NA
"DHRS7","DHRS7",-1,-1,15,"0.00384693372226219",1,NA,NA
"ADCY7","ADCY7",-1,-1,15,"0.00391690834475356",1,NA,NA
"BTF3","BTF3",-1,-1,16,"0.0039175627262743",1,NA,NA
"LRR1","LRR1",-1,-1,15,"0.0039195212568488",1,NA,NA
"CMTM5","CMTM5",-1,-1,16,"0.00398267510455685",1,NA,NA
"NUDT9","NUDT9",-1,-1,16,"0.00400316285819802",1,NA,NA
"GNG13","GNG13",-1,-1,16,"0.00422123477028002",1,NA,NA
"PWWP2B","PWWP2B",-1,-1,14,"0.00456652401598256",1,NA,NA
"HSP90B1","HSP90B1",-1,-1,16,"0.00468975369237579",1,NA,NA
"MLNR","MLNR",-1,-1,16,"0.00484020161991816",1,NA,NA
"SYNCRIP","SYNCRIP",-1,-1,14,"0.00487996081521069",1,NA,NA
"GTF3A","GTF3A",-1,-1,15,"0.00499641500526626",1,NA,NA
"DSG1","DSG1",-1,-1,14,"0.00517834166643438",1,NA,NA
"GJA4","GJA4",-1,-1,14,"0.00523288364794927",1,NA,NA
"ARL11","ARL11",-1,-1,16,"0.00526361381556983",1,NA,NA
"NR6A1","NR6A1",-1,-1,16,"0.00527122579833672",1,NA,NA
"VANGL1","VANGL1",-1,-1,15,"0.00536297831712684",1,NA,NA
"HOXA2","HOXA2",-1,-1,16,"0.00560085424232304",1,NA,NA
"FOXI2","FOXI2",-1,-1,15,"0.00561418162295324",1,NA,NA
"HOXA6","HOXA6",-1,-1,16,"0.00562613960335956",1,NA,NA
"ATP1A2","ATP1A2",-1,-1,12,"0.00562802401122442",1,NA,NA
