"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"MAPKAP1","MAPKAP1",-1,-1,16,"1.28189121366386e-06",0.0075195738593522,NA,NA
"GPX4","GPX4",-1,-1,15,"5.08190754651979e-06",0.0298053877603386,NA,NA
"TRA2B","TRA2B",-1,-1,12,"1.20759647039401e-05",0.0708134570239047,NA,NA
"CKMT2","CKMT2",-1,-1,16,"1.91922121265282e-05",0.112523939697835,NA,NA
"AGAP1","AGAP1",-1,-1,15,"2.63247828319754e-05",0.15431587696104,NA,NA
"CSTF2T","CSTF2T",-1,-1,15,"5.8153937366433e-05",0.340840226904664,NA,NA
"CCNB1","CCNB1",-1,-1,16,"7.23564741687754e-05",0.424008938629024,NA,NA
"LRRTM4","LRRTM4",-1,-1,15,"8.32071190026487e-05",0.487510510236519,NA,NA
"CDK2","CDK2",-1,-1,15,"9.44027270177708e-05",0.553011174870101,NA,NA
"ARHGAP29","ARHGAP29",-1,-1,15,"9.69698349945656e-05",0.567952323563171,NA,NA
"FMN2","FMN2",-1,-1,14,"0.000113671284373742",0.665659041292633,NA,NA
"C15orf55","C15orf55",-1,-1,15,"0.00015513045878754",0.908288836201047,NA,NA
"CDKN1B","CDKN1B",-1,-1,12,"0.000159170624829776",0.931784837753509,NA,NA
"TBXA2R","TBXA2R",-1,-1,14,"0.000260094830576274",1,NA,NA
"OBP2A","OBP2A",-1,-1,14,"0.00026834246440106",1,NA,NA
"COPS3","COPS3",-1,-1,13,"0.000365879143105436",1,NA,NA
"FCRLA","FCRLA",-1,-1,14,"0.000386971573560609",1,NA,NA
"FUBP1","FUBP1",-1,-1,13,"0.000387974883883922",1,NA,NA
"GSTM2","GSTM2",-1,-1,14,"0.000418029615529039",1,NA,NA
"P2RY12","P2RY12",-1,-1,14,"0.000446834815462525",1,NA,NA
"SKP2","SKP2",-1,-1,16,"0.000454065979631694",1,NA,NA
"LYPD1","LYPD1",-1,-1,16,"0.000472153302668988",1,NA,NA
"TTN","TTN",-1,-1,8,"0.000533081249109351",1,NA,NA
"UBE2G1","UBE2G1",-1,-1,15,"0.0005502123296893",1,NA,NA
"KIF5C","KIF5C",-1,-1,13,"0.000653834456746585",1,NA,NA
"TMED10","TMED10",-1,-1,15,"0.000782949040913049",1,NA,NA
"ALDH7A1","ALDH7A1",-1,-1,16,"0.00105073889914212",1,NA,NA
"SMPD2","SMPD2",-1,-1,14,"0.00118660426667626",1,NA,NA
"THRAP3","THRAP3",-1,-1,13,"0.00126927527358715",1,NA,NA
"NPR1","NPR1",-1,-1,12,"0.0012799061153845",1,NA,NA
"CFHR4","CFHR4",-1,-1,15,"0.00130013431405682",1,NA,NA
"CDK12","CDK12",-1,-1,13,"0.00135107720786524",1,NA,NA
"SEMA4D","SEMA4D",-1,-1,15,"0.00136968846894416",1,NA,NA
"ZCCHC3","ZCCHC3",-1,-1,14,"0.00138479146871995",1,NA,NA
"GJC2","GJC2",-1,-1,15,"0.00148449177262816",1,NA,NA
"FERMT2","FERMT2",-1,-1,14,"0.00150267399998116",1,NA,NA
