"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"MLNR","MLNR",-1,-1,9,"6.61262231299807e-12",3.87896424880467e-08,NA,NA
"KCTD20","KCTD20",-1,-1,9,"2.49959604496667e-10",1.46601308037295e-06,NA,NA
"GCM1","GCM1",-1,-1,9,"2.91874415498222e-09",1.71155157248157e-05,NA,NA
"ANGPTL4","ANGPTL4",-1,-1,9,"8.69616808117929e-09",5.09856334599542e-05,NA,NA
"INPP5F","INPP5F",-1,-1,8,"2.22055891348498e-08",0.00013016916350849,NA,NA
"FIGNL2","FIGNL2",-1,-1,9,"1.41957139772345e-07",0.000832010796205714,NA,NA
"ATF1","ATF1",-1,-1,9,"3.10485295836654e-07",0.00181944383360279,NA,NA
"ABTB2","ABTB2",-1,-1,9,"4.96263289432218e-07",0.00290760661278337,NA,NA
"MIB1","MIB1",-1,-1,9,"5.9669588208812e-07",0.00349544447727221,NA,NA
"RASGRP4","RASGRP4",-1,-1,9,"8.03799488900197e-07",0.00470785360648845,NA,NA
"STK39","STK39",-1,-1,9,"1.38835667266146e-06",0.00813021667510551,NA,NA
"HSD11B1L","HSD11B1L",-1,-1,9,"2.54896759580133e-06",0.0149242052734168,NA,NA
"HMG20B","HMG20B",-1,-1,9,"3.23914376600207e-06",0.0189619476061761,NA,NA
"KIT","KIT",-1,-1,9,"3.69681627628603e-06",0.0216374656651021,NA,NA
"SMARCE1","SMARCE1",-1,-1,9,"3.75020408233824e-06",0.0219461942898434,NA,NA
"TIAM1","TIAM1",-1,-1,9,"6.76625279394385e-06",0.0395893450973655,NA,NA
"ATP13A1","ATP13A1",-1,-1,9,"7.02116675374806e-06",0.0410738255094262,NA,NA
"PLD1","PLD1",-1,-1,9,"8.09278385772115e-06",0.047334692783811,NA,NA
"ANKRD30B","ANKRD30B",-1,-1,9,"9.92163327093688e-06",0.0580217113684389,NA,NA
"DIRAS1","DIRAS1",-1,-1,9,"1.03930212198662e-05",0.0607679950725577,NA,NA
"GRIN1","GRIN1",-1,-1,9,"1.19289251942938e-05",0.0697364966858416,NA,NA
