"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues"
"ARID1A","ARID1A",57,0.000156790976237442,326,"0.822487478254949",0.769686902349603
"CCNA2","CCNA2",2,0.000264133176261949,381,"0.137974001063229",1
"FGD5","FGD5",4,0.00045812051095695,379,"0.399638379061783",1
"ARL11","ARL11",1,0.000470686666688369,382,"0.0575205733861063",1
"NFKBIA","NFKBIA",1,0.000627574013840726,382,"0.605921304427326",1
"CBX8","CBX8",13,0.00074233620228692,370,"0.258253889402349",1
"TEAD1","TEAD1",2,0.000874060095154783,381,"0.202608906662443",1
"RRAS","RRAS",1,0.00109823605529813,382,"0.878783417190641",1
"TRADD","TRADD",2,0.00131193720896239,381,"0.133106357821229",1
"DDX4","DDX4",1,0.00141201074960295,382,"0.255680701179937",1
"DNMT3A","DNMT3A",7,0.00154207920115768,376,"0.342820889697513",1
"WDR62","WDR62",4,0.00168300642581276,379,"0.301755360520527",1
"RTN4RL2","RTN4RL2",2,0.00174915891120875,381,"0.898413560111222",1
"ZCWPW2","ZCWPW2",5,0.0017725380440593,378,"0.382289599266962",1
"XPA","XPA",9,0.00180153489008916,374,"0.14159202392302",1
"ZFP36L2","ZFP36L2",10,0.00206716125718553,373,"0.466694114345287",1
"RACGAP1","RACGAP1",2,0.00217609821138454,381,"0.633097489008929",1
"HOXA5","HOXA5",2,0.0023394805947502,381,"0.550264776193722",1
"SULT1C3","SULT1C3",3,0.0024598382882085,380,"0.890744644990069",1
"G2E3","G2E3",6,0.00247442330576275,377,"0.796414709372607",1
"PAN3","PAN3",4,0.0027714788629204,379,"0.967014789005093",1
"PROKR2","PROKR2",1,0.00282399687397472,382,"0.476548389708515",1
"CPN2","CPN2",2,0.00302157731446828,381,"0.57360966702254",1
"DNMBP","DNMBP",7,0.0030903551792073,376,"0.973561366607342",1
"ABCA10","ABCA10",9,0.0033029769795051,374,"0.985485929520919",1
"MMEL1","MMEL1",6,0.00331477557380078,377,"0.947300543801642",1
"KDM5B","KDM5B",10,0.00332066745807547,373,"0.922298806381769",1
"CAPNS1","CAPNS1",6,0.00374216868386235,377,"0.979262483952706",1
