"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"LANCL2","LANCL2",2,0.0762116287153683,3,"0.902410023044173",1,0.999947043806378,5.29561936219668e-05
"PRKDC","PRKDC",2,0.119530901024475,3,"0.140936754711431",1,0.0361823589918072,0.963817641008193
"TASP1","TASP1",2,0.128395845752418,3,"0.737136218140322",1,3.9485241893636e-14,0.99999999999996
"SPTLC3","SPTLC3",2,0.170719006108187,3,"0.670135952401179",1,3.4599754362873e-05,0.999965400245637
"LAMP5","LAMP5",2,0.222762951455098,3,"0.0896618313190028",1,0.99999999788289,2.11710957865014e-09
"PAK7","PAK7",2,0.253998631621225,3,"0.367486756126684",1,NA,NA
"BTBD3","BTBD3",2,0.490475665500358,3,"0.2343959664726",1,0.986527793534328,0.0134722064656723
"SNAP25","SNAP25",2,0.550804447076331,3,"0.122066390242432",1,1,8.14212366300916e-21
"GSTT1","GSTT1",2,0.569272877237158,3,"0.921869072103558",1,NA,NA
"EGFR","EGFR",2,0.592043568809394,3,"0.628340144975899",1,0.999999800296279,1.99703720591023e-07
"SNAI2","SNAI2",2,0.687883060097508,3,"0.456236127973183",1,0.129549901537738,0.870450098462262
"VOPP1","VOPP1",2,0.7005197896613,3,"0.616036874274516",1,0.987868723353155,0.0121312766468447
"JAG1","JAG1",2,0.837118669698169,3,"0.540424537188787",1,0.999999462662315,5.37337684593272e-07
"MCM4","MCM4",2,0.986624863216121,3,"0.814865585663445",1,1,1.80156575080509e-24
"UBE2V2","UBE2V2",2,0.994064043139637,3,"0.726616042244792",1,5.43639255694083e-08,0.999999945636074
"ITCH","ITCH",1,0.000313799319535915,4,"0.0476513893702616",0.135247506719979,0.00110106428303726,0.998898935716963
"PDGFRA","PDGFRA",1,0.00486353238695615,4,"0.572430929958282",1,4.61313687739103e-13,0.999999999999539
"PTPRA","PTPRA",1,0.00643240585848037,4,"0.0598023909509158",1,0.963515389689862,0.0364846103101379
"MIOS","MIOS",1,0.0131001181124583,4,"0.0418762521830055",1,5.40805607708757e-15,0.999999999999995
