"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"TFRC","TFRC",-1,-1,5,"1.45440409160535e-07",0.000853007999726538,1.24401290831749e-13,0.999999999999876
"RASL10A","RASL10A",-1,-1,5,"1.54184560041681e-06",0.00904138260084417,0.593368259546629,0.406631740453371
"ILF3","ILF3",-1,-1,5,"2.41718438576122e-06",0.014171952053718,0.582881594602088,0.417118405397912
"EPHB2","EPHB2",-1,-1,5,"4.23713130792702e-06",0.0248380637270682,0.00027788915324735,0.999722110846753
"RRP9","RRP9",-1,-1,5,"7.73759993422107e-06",0.0453500732144697,1,5.62062724464354e-20
"ELL3","ELL3",-1,-1,5,"1.56006407862064e-05",0.0914197550071695,0.253507417628743,0.746492582371257
"AATF","AATF",-1,-1,5,"1.69332814700107e-05",0.0992120961327927,0.999980767135248,1.9232864752441e-05
"GUCA1B","GUCA1B",-1,-1,5,"1.81847954032754e-05",0.106526531472387,8.30852238412642e-06,0.999991691477616
"RFC4","RFC4",-1,-1,4,"1.94996450132434e-05",0.114209420842567,0.843321518419107,0.156678481580893
"TTC28","TTC28",-1,-1,5,"2.5824800187646e-05",0.151230029898855,0.000877369270682873,0.999122630729317
"FCGRT","FCGRT",-1,-1,5,"2.60183400904168e-05",0.15233738122939,1.00484830295902e-09,0.999999998995152
"RAD23B","RAD23B",-1,-1,5,"5.97258916806842e-05",0.349635369898725,1,8.19721472671299e-98
"MYLIP","MYLIP",-1,-1,5,"7.10670744116237e-05",0.415955586531234,0.0165484491139506,0.983451550886049
"ATP1A1","ATP1A1",-1,-1,5,"8.44004099508355e-05",0.493911199032289,1.2328413820301e-11,0.999999999987672
"WDR3","WDR3",-1,-1,5,"8.94956087018617e-05",0.523638806514593,9.84497090197986e-06,0.999990155029098
"KPNA6","KPNA6",-1,-1,5,"0.000132823456281517",0.777017219246875,0.999998913590592,1.08640940756234e-06
"CFL1","CFL1",-1,-1,5,"0.000134621256567824",0.787399729665203,0.999999970045011,2.99549890534004e-08
"PPP4C","PPP4C",-1,-1,5,"0.000159679128916901",0.933803545906037,1,1.51523789907832e-21
"FAM20B","FAM20B",-1,-1,5,"0.000161343594216934",0.943375995386413,0.00276794547945625,0.997232054520544
"ATP4A","ATP4A",-1,-1,5,"0.000183037962054544",1,8.38964384002452e-07,0.999999161035616
"CATSPERG","CATSPERG",-1,-1,5,"0.000189442734951806",1,0.999999894304943,1.05695057468614e-07
"KCNJ1","KCNJ1",-1,-1,5,"0.000222045538164628",1,0.647197122804578,0.352802877195422
"CHRNA5","CHRNA5",-1,-1,5,"0.000224574503885688",1,0.99994165120487,5.83487951298905e-05
"SDCBP","SDCBP",-1,-1,4,"0.000244696470472205",1,4.53085143945636e-09,0.999999995469149
"CAMK2G","CAMK2G",-1,-1,5,"0.000295914046657964",1,7.36309885714682e-06,0.999992636901143
"DSC2","DSC2",-1,-1,5,"0.000296140384396848",1,1,1.71753186602803e-37
"HNRNPA2B1","HNRNPA2B1",-1,-1,4,"0.000299216031589999",1,3.49688409535238e-08,0.999999965031159
"KEAP1","KEAP1",-1,-1,5,"0.000347867742745533",1,0.999999979924961,2.00750386006778e-08
"ATP2B2","ATP2B2",-1,-1,5,"0.000392770930707553",1,0.744825782474348,0.255174217525652
"DCLRE1B","DCLRE1B",-1,-1,5,"0.000462205740567323",1,0.373304622337105,0.626695377662895
"PPARGC1B","PPARGC1B",-1,-1,5,"0.000595248115574321",1,0.601568105796209,0.398431894203791
"PRDX1","PRDX1",-1,-1,5,"0.000621422176845909",1,5.01787116019006e-08,0.999999949821288
"PARP9","PARP9",-1,-1,5,"0.000637981462878967",1,1,8.22033447790706e-26
"ABCA1","ABCA1",-1,-1,5,"0.000687120723008694",1,1,5.4716093436372e-17
"ZNF189","ZNF189",-1,-1,4,"0.000688154146573527",1,8.40554291303644e-10,0.999999999159446
"SP1","SP1",-1,-1,4,"0.000688756667239887",1,0.194843665832217,0.805156334167783
"OR2W3","OR2W3",-1,-1,5,"0.000753948850405806",1,4.77164483994242e-13,0.999999999999523
"UBA3","UBA3",-1,-1,5,"0.000809551122478935",1,0.602029303353832,0.397970696646168
"MTMR6","MTMR6",-1,-1,5,"0.000820236436637312",1,3.13903577240125e-07,0.999999686096423
"ITGB4","ITGB4",-1,-1,4,"0.000866485370670134",1,1,3.07127461849152e-50
"WDR36","WDR36",-1,-1,4,"0.000877274720638588",1,3.2248456389357e-07,0.999999677515436
"SFTPA1","SFTPA1",-1,-1,5,"0.000877526198458267",1,0.996908670549326,0.00309132945067358
