"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"LRRK2","LRRK2",-1,-1,5,"5.23643815709122e-06",0.03071170979134,1,5.76994983277389e-73
"PSIP1","PSIP1",-1,-1,5,"1.32811594099233e-05",0.0778807187797902,4.18415420961989e-06,0.99999581584579
"IL8","IL8",-1,-1,5,"1.60351722350203e-05",0.094014214813924,NA,NA
"CCNO","CCNO",-1,-1,5,"3.53005733801932e-05",0.206931961154693,0.987442925555176,0.0125570744448244
"NME7","NME7",-1,-1,5,"5.2607178920629e-05",0.308330675653807,1.8358592625092e-11,0.999999999981641
"CAPZA2","CAPZA2",-1,-1,5,"5.48609520494351e-05",0.32148517900969,0.894885397005568,0.105114602994432
"TMEM241","TMEM241",-1,-1,5,"7.68867928232234e-05",0.450479719151266,0.582995637890937,0.417004362109063
"TLN1","TLN1",-1,-1,5,"7.85170075603386e-05",0.459952630288464,0.663317851387048,0.336682148612952
"PAX8","PAX8",-1,-1,5,"8.10542090162129e-05",0.474734502207959,3.56218894236871e-12,0.999999999996438
"WNT11","WNT11",-1,-1,5,"8.4899228794942e-05",0.49716988382318,1.60307578523801e-14,0.999999999999984
"RHOB","RHOB",-1,-1,5,"9.07191629313082e-05",0.531160698962809,5.92765990491113e-06,0.999994072340095
"RNF43","RNF43",-1,-1,5,"0.000118249869677427",0.692234737091658,0.999999798549821,2.01450178787976e-07
"NFIA","NFIA",-1,-1,5,"0.000135103942406535",0.790763374905449,4.40164552822248e-15,0.999999999999996
"SMYD4","SMYD4",-1,-1,5,"0.000145436324901712",0.851093373324819,1.81888903949052e-11,0.999999999981811
"EGLN1","EGLN1",-1,-1,5,"0.000151296793590448",0.885237539297711,0.00604817651151108,0.993951823488489
"ACVR2A","ACVR2A",-1,-1,5,"0.000156663299004365",0.916480299175535,0.239981868107626,0.760018131892374
"COL1A2","COL1A2",-1,-1,5,"0.000170165904185311",0.995300373579884,0.999999999152981,8.47018884334701e-10
"WBP2","WBP2",-1,-1,5,"0.000176208964210438",1,1,5.51254554308578e-30
"WWTR1","WWTR1",-1,-1,5,"0.000188179156437887",1,1.41276927683134e-06,0.999998587230723
"BHLHA15","BHLHA15",-1,-1,5,"0.000215120482780524",1,1.8223106952944e-05,0.999981776893047
"PARP4","PARP4",-1,-1,5,"0.000220789628028482",1,1,2.31016785468209e-45
"CLTCL1","CLTCL1",-1,-1,5,"0.00023775719878096",1,4.39869181662662e-16,1
"KCNK5","KCNK5",-1,-1,5,"0.000244091403448192",1,1,2.26421583823793e-40
"HIF1AN","HIF1AN",-1,-1,5,"0.000262055275094591",1,0.00143021914974059,0.998569780850259
"PSTPIP2","PSTPIP2",-1,-1,5,"0.000264942226242745",1,0.999999688637597,3.11362403419238e-07
"TMEM55A","TMEM55A",-1,-1,5,"0.000293208771738941",1,0.0340379972400604,0.96596200275994
"PKN3","PKN3",-1,-1,5,"0.000360141151130817",1,1,3.18968921936787e-31
