"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"MSH3","MSH3",2,0.116066146297501,8,"0.367055979120052",1,0.0384001915566132,0.961599808443387
"SMAD4","SMAD4",3,0.191144446571651,7,"0.0301235190357679",1,0.0919426077819847,0.908057392218015
"CRBN","CRBN",2,0.289785724673868,8,"0.361201889795393",1,1.94008520928479e-06,0.999998059914791
"CDKN2A","CDKN2A",4,0.454346205537133,6,"0.873643653519123",1,1,2.16418210891344e-34
"TP53","TP53",6,0.992282298130136,4,"0.996400979328978",1,0.984133994989197,0.0158660050108035
"IGSF8","IGSF8",1,0.00407909565119413,9,"0.0208132823264482",0.721999930261361,1,2.88524033669814e-17
"SGCE","SGCE",1,0.00407909565119413,9,"0.0992641879210108",0.721999930261361,0.481668868515889,0.518331131484111
"LRP1B","LRP1B",1,0.00643240585848037,9,"6.93840400288748e-05",1,0.00228555661799948,0.997714443382
"SLC5A1","SLC5A1",1,0.00933482178080025,9,"0.81948361412635",1,9.71414676645069e-07,0.999999028585323
"STARD9","STARD9",1,0.0196893866928601,9,"0.00175674615352039",1,0.938460926910011,0.0615390730899892
"SLC4A7","SLC4A7",1,0.0235331266980944,9,"0.0340789797030364",1,0.886912087080731,0.113087912919269
"COL7A1","COL7A1",1,0.0324757054857825,9,"0.0332313511681658",1,1,7.54192640187055e-61
"DDX10","DDX10",1,0.0398494108019464,9,"0.999997360694817",1,0.999999588312193,4.11687806549338e-07
"COL6A5","COL6A5",1,0.0456542426465859,9,"0.168496580748776",1,0.847046987785591,0.152953012214409
"ITGAV","ITGAV",1,0.0471446724445339,9,"7.58760264285563e-07",1,1,6.08064108964902e-26
"ANKRD30B","ANKRD30B",1,0.0561656949057981,9,"0.128219562430579",1,0.998944420298939,0.00105557970106095
"BCOR","BCOR",1,0.0753843949319699,9,"0.734960412465332",1,0.00553155077620897,0.994468449223791
"ABCC9","ABCC9",1,0.080640121061576,9,"0.000191652145474785",1,0.0150217019164616,0.984978298083538
"TTC21B","TTC21B",1,0.0861311782119109,9,"0.0149780520204797",1,0.802636158741794,0.197363841258206
"SPAG1","SPAG1",1,0.0957013063882086,9,"0.903254857125814",1,0.0676479975169665,0.932352002483034
"USP44","USP44",1,0.0964072994503944,9,"0.291665787118905",1,0.19625777420625,0.80374222579375
"CACNG1","CACNG1",1,0.0982115039426472,9,"0.061566057953553",1,0.00163429061492215,0.998365709385078
"RFX3","RFX3",1,0.106840308036031,9,"0.958324707987513",1,0.225007766612358,0.774992233387642
"XPO4","XPO4",1,0.10746785742464,9,"0.628414988534173",1,0.0683471722809584,0.931652827719042
"CREBBP","CREBBP",1,0.111546928450603,9,"0.794524288797467",1,0.999994605001099,5.39499890093465e-06
"S100A2","S100A2",1,0.115155337435109,9,"0.0245376791059364",1,0.999998070030867,1.92996913346049e-06
"TBC1D5","TBC1D5",1,0.117979309683852,9,"0.0876186538679635",1,0.00220693330396367,0.997793066696036
"SETX","SETX",1,0.122921261119154,9,"0.112588686377752",1,0.999995243629053,4.75637094651899e-06
"HSD17B12","HSD17B12",1,0.124254803569949,9,"0.456489927690677",1,0.154654714299516,0.845345285700484
"BRD8","BRD8",1,0.133118938684061,9,"0.0305718823822599",1,0.983248853303623,0.0167511466963774
