CELLLINE,PRIMARY_SITE,PATHOLOGIST_ANNOTATION,in CCLE,Source,RRID
697,haematopoietic_and_lymphoid_tissue,Leukemia:ALL,Y,,
921,eye,Eye:Melanoma,N,Leiden University Medical Center - M.J. Jager,CVCL_8607
127399,soft_tissue,Soft_Tissue:Sarcoma_Synovial,N,Karolinska,CVCL_N588
2313287,stomach,Gastric:Carcinoma,Y,,
1321n1,central_nervous_system,CNS:Glioma,Y,,
769p,kidney,Kidney:Carcinoma,Y,,
786o,kidney,Kidney:Carcinoma,Y,,
8305c,thyroid,Thyroid:Carcinoma,Y,,
8505c,thyroid,Thyroid:Carcinoma,Y,,
a101d,skin,Skin:Melanoma,Y,,
a172,central_nervous_system,CNS:Glioma_HighGrade,Y,,
a204,soft_tissue,Soft_Tissue:Sarcoma_Rhabdoid,Y,,
a2058,skin,Skin:Melanoma,Y,,
a253,salivary_gland,Salivary_Gland:Carcinoma,Y,,
a2780,ovary,Ovary:Carcinoma,Y,,
a375,skin,Skin:Melanoma,Y,,
a498,kidney,Kidney:Carcinoma,Y,,
a549,lung,Lung:NSCLC_Adeno,Y,,
a673,bone,Bone:Sarcoma_Ewing,Y,,
a704,kidney,Kidney:Carcinoma,Y,,
abc1,lung,Lung:NSCLC_Others,Y,,
accmeso1,pleura,Lung:Mesothelioma,Y,,
achn,kidney,Kidney:Carcinoma,Y,,
ags,stomach,Gastric:Carcinoma,Y,,
an3ca,endometrium,Endometrium:Carcinoma,Y,,
az521,stomach,Gastric:Carcinoma,Y,,
bc3c,urinary_tract,Bladder:Carcinoma,Y,,
bcpap,thyroid,Thyroid:Carcinoma,Y,,
bftc909,kidney,Kidney:Carcinoma,Y,,
bht101,thyroid,Thyroid:Carcinoma,Y,,
bicr6,upper_aerodigestive_tract,Upper_Aerodigestive_Tract:Carcinoma,Y,,
bt16,central_nervous_system,PNET:Rhabdoid,N,"Children’s Hospital of Philadelphia, PA",CVCL_M156
bt20,breast,Breast:Carcinoma,Y,,
bt549,breast,Breast:Carcinoma,Y,,
bxpc3,pancreas,Pancreas:Carcinoma,Y,,
c32,skin,Skin:Melanoma,Y,,
caki1,kidney,Kidney:Carcinoma,Y,,
caki2,kidney,Kidney:Carcinoma,Y,,
cal120,breast,Breast:Carcinoma,Y,,
cal27,upper_aerodigestive_tract,Upper_Aerodigestive_Tract:Carcinoma,Y,,
cal29,urinary_tract,Bladder:Carcinoma,Y,,
cal33,upper_aerodigestive_tract,Upper_Aerodigestive_Tract:Carcinoma,Y,,
cal51,breast,Breast:Carcinoma,Y,,
cal54,kidney,Kidney:Carcinoma,Y,,
cal851,breast,Breast:Carcinoma,Y,,
calu6,lung,Lung:NSCLC_Others,Y,,
cama1,breast,Breast:Carcinoma,Y,,
caov3,ovary,Ovary:Carcinoma,Y,,
cas1,central_nervous_system,CNS:Glioma_HighGrade,Y,,
