"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"E2F3","E2F3",3,5.11704576937528e-05,9,"0.406791055197536",0.0367915590818083,0.999999973170515,2.6829484836179e-08
"FAM210B","FAM210B",2,0.0191372252607153,10,"0.66904905919687",1,0.99527708697825,0.0047229130217502
"RALY","RALY",2,0.0289787605619461,10,"0.267118809219724",1,0.999999999771613,2.28387245167263e-10
"PPP1R16B","PPP1R16B",2,0.0305673959528351,10,"0.0199179842551376",1,0.015238426056486,0.984761573943514
"OSBPL2","OSBPL2",2,0.0531418979339021,10,"0.895021147024375",1,0.832849169374733,0.167150830625267
"AHCY","AHCY",2,0.0562024198837469,10,"0.335455454022324",1,1,1.12044813377231e-19
"ACTR5","ACTR5",2,0.0634437690975136,10,"0.265106952760155",1,0.999999999888747,1.11253343294589e-10
"RALGAPB","RALGAPB",2,0.0676178214493823,10,"0.0590682463217651",1,0.998220586898785,0.00177941310121513
"MBOAT1","MBOAT1",2,0.0681380677143689,10,"0.894784568503502",1,0.997690153655889,0.0023098463441111
"PPDPF","PPDPF",2,0.0690678726911732,10,"0.381544010976212",1,0.999999988066945,1.19330552699374e-08
"DNAJC5","DNAJC5",2,0.0855463527138379,10,"0.315948374442505",1,0.996625111334675,0.00337488866532536
"GHRH","GHRH",2,0.0890533998890349,10,"0.789638488598907",1,0.912295713230416,0.0877042867695836
"EPB41L1","EPB41L1",2,0.0905159917570709,10,"0.624772662795012",1,0.588324516426494,0.411675483573506
"ID1","ID1",2,0.100313218313624,10,"0.566715980867515",1,0.161485399952266,0.838514600047734
"PLAGL2","PLAGL2",2,0.104430391501094,10,"0.246939020563172",1,0.999996294048777,3.70595122272113e-06
"ITCH","ITCH",2,0.109069570805609,10,"0.519946188716387",1,0.999930927914622,6.9072085378231e-05
"DUSP15","DUSP15",2,0.123709042166566,10,"0.446104627602813",1,0.900839363037502,0.0991606369624976
"NCOA6","NCOA6",2,0.128753854253279,10,"0.195772446727203",1,0.999999921139824,7.88601764646123e-08
"LAMP5","LAMP5",2,0.131756641668385,10,"0.249718421260625",1,0.999999812549368,1.87450632250282e-07
"ABCA4","ABCA4",2,0.144535367721379,10,"0.970221380833651",1,0.999998854299932,1.14570006840589e-06
"DNMT3B","DNMT3B",2,0.165714191255521,10,"0.0755068325253549",1,1,3.70247250838318e-22
"PCK1","PCK1",2,0.166935750914447,10,"0.300287695695259",1,0.939250225864267,0.060749774135733
"CSMD3","CSMD3",2,0.16788895418999,10,"0.413590182950536",1,0.991739051988418,0.00826094801158228
"RBM38","RBM38",2,0.171453181814869,10,"0.105010375203681",1,0.0465216354222009,0.953478364577799
"PREX1","PREX1",2,0.171774879036041,10,"0.68772790466799",1,0.76361600721172,0.23638399278828
"NEURL2","NEURL2",2,0.173018535590004,10,"0.637752746755006",1,0.957094853508496,0.0429051464915037
"WISP2","WISP2",2,0.189835880128939,10,"0.328277938603164",1,0.00889918411652376,0.991100815883476
"STK4","STK4",2,0.197598933479058,10,"0.248367188907205",1,0.999940087880028,5.99121199720993e-05
"JAG1","JAG1",2,0.200519135917758,10,"0.997444256302654",1,0.998747534958016,0.001252465041984
"TCFL5","TCFL5",2,0.200817305572222,10,"0.00455840827512297",1,0.801705480744355,0.198294519255645
"MYLK2","MYLK2",2,0.210424806750268,10,"0.114132650011166",1,0.999955684603209,4.43153967906861e-05
"TASP1","TASP1",2,0.21508115700223,10,"0.529516928337762",1,0.999998715045056,1.28495494384659e-06
"ASXL1","ASXL1",2,0.222710595162895,10,"0.742920020590033",1,0.999999842729438,1.57270562319153e-07
"HCK","HCK",2,0.223024825217261,10,"0.967662952826939",1,0.856343761539018,0.143656238460982
"SRMS","SRMS",2,0.230952571472524,10,"0.235563835443238",1,0.998781647578057,0.00121835242194317
"C20orf152","C20orf152",2,0.232126949841539,10,"0.634090968851094",1,NA,NA
"NCOA3","NCOA3",2,0.236098988540276,10,"0.393355394345478",1,0.999619150724707,0.000380849275293046
"SNAI1","SNAI1",2,0.23631465326675,10,"0.63067323981229",1,0.0261334962448038,0.973866503755196
"RPS6KB2","RPS6KB2",2,0.241138659317779,10,"0.710851501969211",1,0.999773600430263,0.000226399569737445
"TMEM189","TMEM189",2,0.248272554081461,10,"0.45045802604669",1,0.999999999986834,1.31659141484211e-11
"UCKL1","UCKL1",2,0.251655843698549,10,"0.00125149075453314",1,0.999999996595174,3.40482610810357e-09
"PHF20","PHF20",2,0.253049052719581,10,"0.512895496831",1,0.223522427607671,0.776477572392329
"VSTM2L","VSTM2L",2,0.261262206418491,10,"0.864466141359449",1,0.999996210326862,3.78967313845503e-06
"FGF19","FGF19",2,0.262227058083567,10,"0.531133032503193",1,0.96367994856354,0.0363200514364601
"PTPN1","PTPN1",2,0.263934075646522,10,"0.012356532788978",1,0.697349745385326,0.302650254614674
"TFAP2C","TFAP2C",2,0.268685680653203,10,"0.398218546807223",1,0.999807284764966,0.000192715235033712
"SOX18","SOX18",2,0.282133192835298,10,"0.697165467532377",1,0.0801513683755452,0.919848631624455
"LAMA5","LAMA5",2,0.282840736568375,10,"0.228586468988397",1,0.9997986738587,0.000201326141299561
"USP7","USP7",2,0.28390371358867,10,"0.861193768770576",1,0.910599213062461,0.0894007869375389
"TGIF2","TGIF2",2,0.292119439382021,10,"0.71948145959937",1,0.998785101596218,0.00121489840378155
"ZMYND8","ZMYND8",2,0.300452350713968,10,"0.04344047132786",1,0.999999890621099,1.09378901405086e-07
"HNF4A","HNF4A",2,0.300878157477646,10,"0.675181182885564",1,0.944351180017698,0.0556488199823017
"KCNQ2","KCNQ2",2,0.30496899080463,10,"0.322104636126325",1,0.934066880116534,0.0659331198834655
"PRL","PRL",2,0.313916864721323,10,"0.716522284036413",1,0.926117696497782,0.0738823035022183
"E2F1","E2F1",2,0.319535789807149,10,"0.358756084012651",1,0.999999999560432,4.39568339993699e-10
"BMP7","BMP7",2,0.329138703467424,10,"0.550848624489363",1,0.041911968244069,0.958088031755931
"PTK6","PTK6",2,0.331817209128741,10,"0.0160223247986239",1,0.994627752975331,0.00537224702466867
"SOX4","SOX4",3,0.345702189540233,9,"0.871932936065402",1,0.999999999945151,5.48489724322219e-11
"SRC","SRC",2,0.351988675712204,10,"0.639277552744091",1,0.999999999773883,2.26117426921921e-10
"POLD4","POLD4",2,0.352317837011888,10,"0.0954951437504962",1,0.989523961782278,0.0104760382177217
"SDC4","SDC4",2,0.355088865344825,10,"0.603186523951022",1,0.999468575916763,0.00053142408323736
"SSH3","SSH3",2,0.358269046233617,10,"0.972228005598221",1,0.933892945309338,0.066107054690662
"MYT1","MYT1",2,0.360263858778723,10,"0.451027755579392",1,0.999999942643851,5.73561493451379e-08
"SGK2","SGK2",2,0.368635188875307,10,"0.875007647034498",1,0.999999409395661,5.90604339199665e-07
"COX4I2","COX4I2",2,0.382229302852375,10,"0.208075739409513",1,0.0992013026785305,0.900798697321469
"MATN4","MATN4",2,0.414072847146524,10,"0.761196137553975",1,0.0331503889874643,0.966849611012536
"BTBD3","BTBD3",2,0.41485846226415,10,"0.0277205476807611",1,0.0764131760013256,0.923586823998674
"SPO11","SPO11",2,0.422827697735154,10,"0.544780123543665",1,0.982771889785422,0.0172281102145779
"COL9A3","COL9A3",2,0.425645698111156,10,"0.187206631234265",1,0.992590628010817,0.00740937198918305
"CBFA2T2","CBFA2T2",2,0.441569973121015,10,"0.726404767361174",1,0.999940013557223,5.99864427772437e-05
"WASH3P","WASH3P",3,0.451904363727267,9,"0.316756494397672",1,0.999631118435775,0.000368881564225072
"PTGIS","PTGIS",2,0.461321266236913,10,"0.577547460579379",1,0.00134027312612399,0.998659726873876
"RBPJL","RBPJL",2,0.47200657389046,10,"0.55553466241247",1,0.999917671190832,8.23288091675883e-05
"KDM2A","KDM2A",2,0.477050241203398,10,"0.600178764732089",1,0.950982022709183,0.0490179772908169
"VAPB","VAPB",2,0.485825164184293,10,"0.833728425277084",1,0.411809879944365,0.588190120055635
"CBLN4","CBLN4",2,0.486598709384489,10,"0.761909381545763",1,0.0731373006179441,0.926862699382056
"CSTF1","CSTF1",2,0.489155774389479,10,"0.684534777841543",1,0.999996169657979,3.83034202136797e-06
"PPP1CA","PPP1CA",2,0.506255802974339,10,"0.277573946786917",1,0.999988669694487,1.13303055132664e-05
"AIP","AIP",2,0.523715673768492,10,"0.844609526266212",1,0.922105145705146,0.0778948542948536
"KIF3B","KIF3B",2,0.526620538751826,10,"0.799751751347191",1,0.995945744080466,0.00405425591953359
"ANO1","ANO1",2,0.533237691520889,10,"0.0289293275173593",1,0.999998579912881,1.42008711911968e-06
"FOXS1","FOXS1",2,0.539055399387385,10,"0.0442790561964643",1,0.999999253212302,7.46787697561304e-07
"FADD","FADD",2,0.540109244731898,10,"0.181141027246864",1,0.999998713296184,1.28670381561409e-06
"NUDT17","NUDT17",2,0.543413478349308,10,"0.463550944536067",1,0.674889719682976,0.325110280317024
"SOCS1","SOCS1",2,0.543713272496265,10,"0.182521352150177",1,0.347965730509041,0.652034269490959
"GPR152","GPR152",2,0.560197483211034,10,"0.984191778275112",1,0.839606387385627,0.160393612614373
"MAP1LC3A","MAP1LC3A",2,0.576234008732456,10,"0.889811388719353",1,0.0739507806126997,0.9260492193873
"MMP9","MMP9",2,0.5798371381067,10,"0.944408297898212",1,0.952777381324893,0.0472226186751072
"CLCF1","CLCF1",2,0.586854647151449,10,"0.841117541699783",1,0.127858065180506,0.872141934819494
"SPAG4","SPAG4",2,0.61115809479043,10,"0.59922946114268",1,0.999999999901747,9.82533905371633e-11
"ITGA10","ITGA10",2,0.61454036289511,10,"0.168810475016487",1,0.0245363157080542,0.975463684291946
"RBM24","RBM24",2,0.615779118223297,10,"0.0709752658219983",1,8.61711280206334e-06,0.999991382887198
"L3MBTL1","L3MBTL1",2,0.617427690675612,10,"0.0741120283677848",1,0.9999826031102,1.73968897998074e-05
"CHD6","CHD6",2,0.629206293254238,10,"0.444532229534671",1,0.749752182010423,0.250247817989577
"CABLES2","CABLES2",2,0.640135546775812,10,"0.325460566234067",1,0.999999999999997,3.45248579347552e-15
"DIDO1","DIDO1",2,0.641000165531181,10,"0.811847735794414",1,0.930434967938779,0.0695650320612213
"ALDH3B2","ALDH3B2",2,0.667415509834638,10,"0.743688494687123",1,0.935103752665198,0.0648962473348021
"PFDN4","PFDN4",2,0.667671368634737,10,"0.176837938921428",1,0.999999998883535,1.11646527353222e-09
"MAPRE1","MAPRE1",2,0.680777680297228,10,"0.756145116000222",1,0.573291318312499,0.426708681687501
"TXNDC11","TXNDC11",2,0.681529380899921,10,"0.745112573448808",1,0.944811260953947,0.0551887390460527
"GATA5","GATA5",2,0.686952710609603,10,"0.564850225596751",1,0.000835515000389029,0.999164484999611
"NTSR1","NTSR1",2,0.688068963853021,10,"0.242946929785615",1,0.903498576496463,0.0965014235035367
"ADRBK1","ADRBK1",2,0.697476620590152,10,"0.443228115294946",1,NA,NA
"CDH4","CDH4",2,0.69820838414469,10,"0.00892365442003525",1,0.0671537658013991,0.932846234198601
"TBC1D10C","TBC1D10C",2,0.709078506539276,10,"0.996821435606406",1,0.166467660563101,0.833532339436899
"CDKAL1","CDKAL1",3,0.71307415964524,9,"0.136874474601164",1,0.999997652343376,2.34765662366212e-06
"ARFRP1","ARFRP1",2,0.719396778801866,10,"0.622037165111927",1,0.992098752235133,0.00790124776486697
"ORAOV1","ORAOV1",2,0.720101516580017,10,"0.77860677499448",1,0.999870080368465,0.000129919631535024
"BLCAP","BLCAP",2,0.726984241411056,10,"0.850406297300439",1,0.99999999988751,1.12490035764646e-10
"NFATC2","NFATC2",2,0.728257985043526,10,"0.516337125725692",1,0.00972286753978622,0.990277132460214
"ZNF217","ZNF217",2,0.736236875322876,10,"0.570210355508055",1,0.993751878185886,0.00624812181411416
"ADRM1","ADRM1",2,0.737431981449357,10,"0.208934302989101",1,0.999999913109997,8.68900034805232e-08
"KCNB1","KCNB1",2,0.763631415168106,10,"0.0901947297863464",1,0.00190448141926563,0.998095518580734
"GSTT1","GSTT1",2,0.769686743251314,10,"0.494159108162819",1,NA,NA
"NKAIN4","NKAIN4",2,0.771175031697379,10,"0.508541545121152",1,0.999999981512631,1.84873693548833e-08
"APCDD1L","APCDD1L",2,0.777027561841991,10,"0.408220536393974",1,0.284344941311789,0.715655058688211
"GNAS","GNAS",2,0.780887128514135,10,"0.754270220784237",1,0.999999999979177,2.08227803845121e-11
"ATP9A","ATP9A",2,0.785021728019428,10,"0.607393877654837",1,0.357754063270678,0.642245936729322
"C20orf151","C20orf151",2,0.797189235594221,10,"0.543471169315465",1,NA,NA
"SPTLC3","SPTLC3",2,0.799033526529512,10,"0.852558414373514",1,0.89210539521454,0.10789460478546
"SLC2A4RG","SLC2A4RG",2,0.80057225756502,10,"0.334435273425075",1,0.999999999911757,8.82431185062436e-11
"KCNG1","KCNG1",2,0.8049080489921,10,"0.609086457208976",1,1,7.10673763385574e-20
"ZBTB46","ZBTB46",2,0.808177211338504,10,"0.879952090553485",1,0.608036794467294,0.391963205532706
"REM1","REM1",2,0.817676883264788,10,"0.952755871517777",1,0.0081425302126911,0.991857469787309
