"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"NRAS","NRAS",2,0.000601088149305852,10,"0.303191238568741",0.521143425448174,0.999998875566393,1.12443360738871e-06
"DACH1","DACH1",2,0.0124476159938422,10,"0.394362805607256",1,0.00432490239306449,0.995675097606936
"PIK3CA","PIK3CA",5,0.0256886921337929,7,"0.856862896984809",1,0.345577292625236,0.654422707374764
"WDR36","WDR36",2,0.0264566835020155,10,"0.748457545877284",1,0.999940570354809,5.94296451907923e-05
"ROBO2","ROBO2",2,0.0278266726524787,10,"0.303017862233582",1,0.941852635914951,0.0581473640850495
"TRIM66","TRIM66",2,0.0343094444198895,10,"0.813359265750326",1,0.592014939867532,0.407985060132468
"REL","REL",2,0.0593958463760169,10,"0.45862145268402",1,0.768463616556413,0.231536383443587
"ALOX15B","ALOX15B",2,0.0632195423935102,10,"0.0936820688824137",1,0.118002263660116,0.881997736339884
"PDZRN4","PDZRN4",2,0.0667712160561028,10,"0.048510077314297",1,0.00130460398570723,0.998695396014293
"COL15A1","COL15A1",2,0.081208143011553,10,"0.410541274317044",1,0.112354830199488,0.887645169800512
"ASXL3","ASXL3",2,0.0821650680030464,10,"0.856499690020302",1,0.00480182740333817,0.995198172596662
"TET3","TET3",2,0.107484500812456,10,"0.456594604986257",1,0.999994190347655,5.80965234522337e-06
"FMN2","FMN2",3,0.147060810598139,9,"0.0643414900094066",1,0.783686184199099,0.216313815800901
"C4B","C4B",2,0.148087022516602,10,"0.427256852511545",1,0.00629918837028655,0.993700811629713
"TP53","TP53",7,0.154729802227307,5,"0.856517114250891",1,0.998268004047862,0.00173199595213824
"DNAH5","DNAH5",3,0.156457891347606,9,"0.426760448452988",1,0.990755020919462,0.00924497908053772
"MYO9A","MYO9A",2,0.168753268382598,10,"0.327933540752851",1,0.00273149781859206,0.997268502181408
"CDH1","CDH1",2,0.181957342575468,10,"0.519189695787976",1,0.9999192167462,8.07832538001266e-05
"MUS81","MUS81",2,0.196423851351642,10,"0.120404282697991",1,0.999999997195029,2.80497132170023e-09
"COL14A1","COL14A1",2,0.196854894082258,10,"0.25905650078372",1,3.34263181693472e-05,0.999966573681831
"AHRR","AHRR",2,0.201142863315745,10,"0.893805702172791",1,0.027454369056038,0.972545630943962
"LY9","LY9",2,0.205330183877414,10,"0.987738029778947",1,0.0448879072796478,0.955112092720352
"OBSCN","OBSCN",2,0.207932225938383,10,"0.653572691039692",1,0.704463628800065,0.295536371199935
"RHOH","RHOH",2,0.237952005719032,10,"0.219235465292331",1,0.0573068484305594,0.942693151569441
"FGFR3","FGFR3",2,0.258338530006847,10,"0.201362354344906",1,0.989358913151387,0.0106410868486132
"COL5A1","COL5A1",2,0.277909217660341,10,"0.606779609852229",1,0.980237334806077,0.0197626651939229
"PKD1","PKD1",3,0.28607964522819,9,"0.690763814220758",1,0.00025615405130061,0.999743845948699
"ABCA12","ABCA12",2,0.287267420693118,10,"0.412658872956714",1,0.997877062346145,0.00212293765385512
"COL1A1","COL1A1",2,0.289122811349123,10,"0.0154744754239089",1,0.945870916058595,0.0541290839414046
"REV3L","REV3L",2,0.299670668027221,10,"0.029248873148386",1,0.000376902850738993,0.999623097149261
"IGSF3","IGSF3",2,0.30138772034965,10,"0.132484489508201",1,0.999560622316552,0.000439377683448046
"CDC45","CDC45",2,0.305433147611105,10,"0.72212321683818",1,0.999999999999898,1.01919551010918e-13
"DHX38","DHX38",2,0.325078806219921,10,"0.721483979471589",1,0.999465907494498,0.000534092505502482
"TCHH","TCHH",2,0.325633258971149,10,"0.146883939362699",1,0.209143939547847,0.790856060452153
"PEAK1","PEAK1",2,0.327052340142503,10,"0.0907848422536345",1,0.00204794931341493,0.997952050686585
"NIN","NIN",2,0.338830333870127,10,"0.61981962820138",1,0.165910948870166,0.834089051129834
"NCOA6","NCOA6",2,0.346607291556001,10,"0.113460624029497",1,0.999999921139824,7.88601764646123e-08
"LRP1","LRP1",2,0.371256882877493,10,"0.470114224977296",1,0.000433106457236605,0.999566893542763
"CSRP2BP","CSRP2BP",2,0.382795799163775,10,"0.268290571665007",1,NA,NA
"ERCC6L2","ERCC6L2",2,0.433770652304962,10,"0.411567676785538",1,0.000367242304363731,0.999632757695636
"RAVER2","RAVER2",2,0.443067261027422,10,"0.0682402199676593",1,0.000153027904988438,0.999846972095012
"COL18A1","COL18A1",2,0.446452602956315,10,"0.86054060056556",1,0.0240837373832192,0.975916262616781
"FRYL","FRYL",2,0.451228236786583,10,"0.866649848790039",1,0.486613694720455,0.513386305279545
"TBC1D8B","TBC1D8B",2,0.45231715135979,10,"0.883003731290055",1,0.880930460117098,0.119069539882902
"ALPK3","ALPK3",2,0.491483045914003,10,"0.834658617293952",1,0.021457724984055,0.978542275015945
"PHKA1","PHKA1",2,0.510483640623693,10,"0.267881030595055",1,0.385176332227342,0.614823667772658
"KDM4A","KDM4A",2,0.517185912070025,10,"0.0638814005470327",1,0.999904951631726,9.50483682735621e-05
"CHRM3","CHRM3",2,0.522424903619427,10,"0.518598655114615",1,0.00270473453459972,0.9972952654654
"CACNA1B","CACNA1B",2,0.52249953930184,10,"0.901680670885719",1,0.999984422266343,1.55777336571097e-05
"EIF4B","EIF4B",2,0.52279802370642,10,"0.821420430544216",1,3.9242160575614e-06,0.999996075783942
"UTRN","UTRN",2,0.523916509091315,10,"0.0276312496952195",1,1.09703134280969e-05,0.999989029686572
"HOXA13","HOXA13",2,0.524214550225345,10,"0.877235148887637",1,0.00561792495952102,0.994382075040479
"CSMD1","CSMD1",2,0.528525659820773,10,"0.641523109365659",1,0.986088365512814,0.0139116344871857
"VCAN","VCAN",2,0.536721525631091,10,"0.827159002039453",1,0.999996940919323,3.0590806765399e-06
"KALRN","KALRN",2,0.550366464090342,10,"0.457934820259655",1,0.605734485973394,0.394265514026606
"TOP3A","TOP3A",2,0.554989542854211,10,"0.821158835809556",1,1,5.91579088288609e-17
"LRP1B","LRP1B",2,0.556788944332046,10,"0.784870353704237",1,0.952949812910404,0.0470501870895957
"VSTM2L","VSTM2L",2,0.564876762952944,10,"0.767453336323014",1,0.999996210326862,3.78967313845503e-06
"ARHGEF11","ARHGEF11",2,0.56523291044388,10,"0.803564322590989",1,0.999715566620844,0.000284433379156103
"ATG2A","ATG2A",2,0.568715439447979,10,"0.733971716394972",1,0.995606750587609,0.0043932494123914
"RAI1","RAI1",2,0.581108631411263,10,"0.0449377687954602",1,0.854021454364237,0.145978545635763
"FCHSD2","FCHSD2",2,0.585014031796211,10,"0.0221017109521816",1,0.200902442578366,0.799097557421634
"HIVEP2","HIVEP2",3,0.585134700973832,9,"0.253920995380099",1,0.14712975203796,0.85287024796204
"ATP2B3","ATP2B3",2,0.601816949422924,10,"0.269192635940027",1,0.768191849859317,0.231808150140683
"HFM1","HFM1",2,0.617404643706853,10,"0.990064530129148",1,0.00762626204653785,0.992373737953462
"SLIT1","SLIT1",2,0.661169666129872,10,"0.00847849340278768",1,0.99832111187102,0.00167888812898045
"GUCY2C","GUCY2C",2,0.677686371039923,10,"0.112041567441529",1,0.88256508285876,0.11743491714124
"SERPINC1","SERPINC1",2,0.691034997835448,10,"0.108988244042526",1,0.999889615428701,0.000110384571299163
"MRE11A","MRE11A",2,0.710877188650876,10,"0.461336439107489",1,NA,NA
"KIAA1875","KIAA1875",2,0.716482954597831,10,"0.317080198643916",1,NA,NA
"CNGA4","CNGA4",2,0.735865284321431,10,"0.784116006487675",1,0.82846307595715,0.17153692404285
"TTBK2","TTBK2",2,0.777489161640717,10,"0.821485792703476",1,0.000855158912580588,0.999144841087419
"TTN","TTN",7,0.777972688119395,5,"0.780321231614304",1,0.960469805113832,0.039530194886168
"IHH","IHH",2,0.780535480384091,10,"0.0893674713516685",1,0.998927886814691,0.00107211318530909
"PCDH9","PCDH9",2,0.780687245149326,10,"0.12005036269429",1,0.000649528703901104,0.999350471296099
"SRPX","SRPX",2,0.807434273735031,10,"0.0446205086683281",1,1.62543133461386e-06,0.999998374568665
"ABCA13","ABCA13",2,0.81466393529866,10,"0.145367376636768",1,0.998686403247932,0.00131359675206804
"SI","SI",2,0.834030333831777,10,"0.885483267185322",1,0.913100667644142,0.0868993323558583
"PAK7","PAK7",2,0.836485212997111,10,"0.197799614692375",1,NA,NA
"MTHFD1","MTHFD1",2,0.841727048075611,10,"0.61352035842435",1,0.999999999999692,3.0751961885679e-13
"COL6A6","COL6A6",2,0.852743059984556,10,"0.972523705320344",1,0.796144550086796,0.203855449913204
"DIDO1","DIDO1",2,0.858325749755669,10,"0.707077179289972",1,0.930434967938779,0.0695650320612213
"KDM6A","KDM6A",2,0.865904915691446,10,"0.415775565893315",1,0.858415331935319,0.141584668064681
"TARDBP","TARDBP",2,0.868267431286447,10,"0.602141052756009",1,0.999969331399922,3.06686000783208e-05
