"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"ORC1",11,1,0.00967953767698201,0.809633612463294,1.13475231189272e-17,"up"
"ARHGEF2",11,1,0.01418886245596,0.809633612463294,0.137094430196327,"up"
"PXDN",11,1,0.0144376148712107,0.809633612463294,0.173107873810902,"down"
"PIK3CA",7,5,0.0148749969031718,0.809633612463294,0.691154585250471,"down"
"GREB1",11,1,0.0175085105873154,0.809633612463294,0.691553066899134,"up"
"RFC2",11,1,0.0189472880078398,0.809633612463294,8.79979238572953e-13,"up"
"RNF113A",11,1,0.0204331380201594,0.809633612463294,0.000505903934182142,"up"
"LAMA3",11,1,0.0205047711187224,0.809633612463294,0.00157159386155818,"up"
"TRIM66",10,2,0.0217994979653848,0.809633612463294,0.815970120264937,"up"
"WDR36",10,2,0.0228224233306942,0.809633612463294,0.000118859290381585,"up"
"CDK3",11,1,0.0249127783016527,0.809633612463294,0.00289478575843835,"up"
"NRAS",10,2,0.025872698047832,0.809633612463294,2.24886721477741e-06,"up"
"RAPGEF1",11,1,0.0270509080909518,0.809633612463294,0.142609508282978,"down"
"NRG1",11,1,0.0287180486443459,0.809633612463294,0.707267567663615,"down"
"PIP5K1C",11,1,0.0288012525551223,0.809633612463294,0.00224488945557337,"down"
"EPHA2",11,1,0.0314067319469659,0.809633612463294,0.0363728691602918,"down"
"PRCC",11,1,0.0330353702019333,0.809633612463294,1.54343244043763e-09,"up"
"ANK3",11,1,0.0339413003146497,0.809633612463294,0.707863200955514,"up"
"ACACA",11,1,0.0343580374146537,0.809633612463294,0.53196473206142,"up"
"TPCN2",11,1,0.0366676143999716,0.809633612463294,9.55606461809463e-05,"up"
"WASL",11,1,0.0377071904948631,0.809633612463294,0.533942256124059,"down"
"DACH1",10,2,0.0381789179532826,0.809633612463294,0.00864980478612897,"down"
"ASXL3",10,2,0.0384916567933629,0.809633612463294,0.00960365480667634,"down"
"AIFM3",11,1,0.0408659144384414,0.809633612463294,0.000340859143886502,"up"
"SLC4A8",11,1,0.0409285455415091,0.809633612463294,0.0158494999012877,"up"
"NPEPPS",11,1,0.0411027040516201,0.809633612463294,0.548475777645535,"up"
"NCKIPSD",11,1,0.0414283186847745,0.809633612463294,1.87582043865753e-11,"up"
"DCAF8L2",11,1,0.0414814279771581,0.809633612463294,0.0361664391483772,"up"
"HK2",11,1,0.0421209832713648,0.809633612463294,0.00386341955214929,"up"
"PRDM2",11,1,0.0421396094511097,0.809633612463294,0.014948245894452,"down"
"LY9",10,2,0.0435011591275052,0.809633612463294,0.0897758145592957,"down"
"OMD",11,1,0.0436216258156245,0.809633612463294,0.000785146217535232,"down"
"MUTYH",11,1,0.0440640411765364,0.809633612463294,6.05812881590472e-07,"up"
"ATP6AP1",11,1,0.044445201454107,0.809633612463294,4.37996265950997e-06,"up"
"RRM2",11,1,0.044503577385515,0.809633612463294,6.81653398753124e-08,"up"
"WDR3",11,1,0.0465859457795995,0.809633612463294,4.14545694996091e-08,"up"
"LAMP3",11,1,0.0483214021525078,0.809633612463294,0.00079842297637983,"up"
"KRAS",11,1,0.0489299186678774,0.809633612463294,0.0250708979383893,"up"
"MIDN",11,1,0.0503895370973337,0.809633612463294,0.00309411064625918,"down"
"SMARCA2",11,1,0.0510138936833086,0.809633612463294,0.000185661807796305,"down"
"GPNMB",11,1,0.0518591896128829,0.809633612463294,0.0134469403568846,"up"
"EP300",11,1,0.0529264503479078,0.809633612463294,0.925666314082882,"up"
"NDUFC2",11,1,0.053598208114286,0.809633612463294,0.000152162549113274,"up"
"APC",11,1,0.055090098903847,0.809633612463294,0.0240252583738055,"down"
"SCAF8",11,1,0.0552235983786876,0.809633612463294,0.00343268485840261,"down"
"COX20",11,1,0.0579769802707475,0.809633612463294,0.0415611407674261,"down"
"TAF3",11,1,0.0593976379252457,0.809633612463294,0.156171823127244,"up"
"HOXB6",11,1,0.059430301832716,0.809633612463294,0.000698364732623537,"up"
"TXNDC11",11,1,0.0597960060343984,0.809633612463294,0.110377478092105,"up"
"GEMIN4",11,1,0.0601854648080824,0.809633612463294,0.0227092717680326,"up"
"ATN1",11,1,0.0605796702313599,0.809633612463294,0.958331339309619,"up"
"NFE2L2",11,1,0.0610870859467655,0.809633612463294,2.35817087306735e-05,"down"
"PAAF1",11,1,0.062589577194336,0.809633612463294,0.52124664627492,"up"
"CNKSR1",11,1,0.0627825938688685,0.809633612463294,3.52082812195402e-07,"up"
"HIC2",11,1,0.0644188162582008,0.809633612463294,8.16914991670056e-16,"up"
"ANKK1",11,1,0.0649510977348032,0.809633612463294,0.000998094595150043,"up"
"SKIL",11,1,0.0653635399910256,0.809633612463294,0.0361129802734583,"up"
"XPR1",11,1,0.0663990808215252,0.809633612463294,1.54936375918538e-08,"up"
"MCF2",11,1,0.0673331854223289,0.809633612463294,0.0104097206467453,"up"
"ROBO2",10,2,0.0674492786070754,0.809633612463294,0.116294728170099,"up"
"TP53",5,7,0.0674562148885643,0.809633612463294,0.00346399190427649,"up"
"CLPTM1L",11,1,0.0688769270493509,0.809633612463294,2.33929829123048e-08,"up"
"AHI1",11,1,0.0704322781584409,0.809633612463294,0.290501009842345,"down"
"ACO1",11,1,0.0710369077799295,0.809633612463294,0.0288212516591847,"down"
"ELAVL1",11,1,0.0746220018998492,0.809633612463294,2.008062607089e-07,"up"
"CACNB3",11,1,0.0749635327091582,0.809633612463294,3.71070529009958e-23,"up"
"L1CAM",11,1,0.0750874277284963,0.809633612463294,0.0178490618999211,"up"
"PLRG1",11,1,0.0755452307233881,0.809633612463294,0.688277283358323,"up"
"ARHGEF15",11,1,0.075755219127053,0.809633612463294,0.00143206892172027,"down"
"PARP4",11,1,0.0760644452496697,0.809633612463294,0.189623740004651,"up"
"KCNB2",11,1,0.0763184626979445,0.809633612463294,0.229468054560143,"up"
"REL",10,2,0.0774677511820203,0.809633612463294,0.463072766887174,"up"
"TLCD1",11,1,0.0779467277767809,0.809633612463294,6.18074190128821e-11,"up"
"ACTL6A",11,1,0.0779735835181118,0.809633612463294,2.38518725078947e-12,"up"
"ATOH1",11,1,0.0781651339303769,0.809633612463294,0.292934575479143,"up"
"MDH1B",11,1,0.078333454292037,0.809633612463294,0.00597935335938582,"up"
"NTN1",11,1,0.0786168510336869,0.809633612463294,7.45957024169765e-05,"down"
"PPIL2",11,1,0.0786979640881217,0.809633612463294,2.14683576621713e-07,"up"
"GALR2",11,1,0.0798231263013461,0.809633612463294,1.14977777028559e-06,"up"
"ALPK2",11,1,0.0798265439210816,0.809633612463294,0.0047583514406406,"up"
"IL6ST",11,1,0.0816674059529908,0.809633612463294,0.000111555028967293,"down"
"SDK1",11,1,0.082061022478078,0.809633612463294,0.286958723862202,"down"
"KCNG3",11,1,0.0830319494982702,0.809633612463294,1.90724479872175e-07,"up"
"MAST4",11,1,0.084802782986775,0.809633612463294,0.192583504776325,"down"
"RAPSN",11,1,0.0858556831916416,0.809633612463294,1.95014924016833e-10,"up"
"PIK3CD",11,1,0.0861629554272265,0.809633612463294,0.583664602640211,"down"
"PPARA",11,1,0.08862492614818,0.809633612463294,0.00313120763842113,"down"
"NME7",11,1,0.0892810478739282,0.809633612463294,0.0194445497559022,"up"
"ARHGAP31",11,1,0.0905853333399582,0.809633612463294,0.00677443890187208,"down"
"CBR1",11,1,0.0908222769017446,0.809633612463294,0.916577177543769,"down"
"AHRR",10,2,0.0916419924508618,0.809633612463294,0.0549087381120761,"down"
"PFKP",11,1,0.0920214986645517,0.809633612463294,0.291844566597341,"up"
"PPP2R3A",11,1,0.0949520666304552,0.809633612463294,0.127281077149251,"down"
"SPRYD4",11,1,0.0953026862527927,0.809633612463294,0.00525106487597,"up"
"ANKRD29",11,1,0.0956386125101597,0.809633612463294,0.000598738621661811,"down"
"HRAS",11,1,0.0971294151061869,0.809633612463294,0.000212874605295179,"up"
"NRK",11,1,0.0988574261929906,0.809633612463294,0.543651426084063,"down"
"ARFGAP2",11,1,0.0992627740762906,0.809633612463294,0.27601011377657,"up"
"PPRC1",11,1,0.0994638904823594,0.809633612463294,0.265939800411883,"down"
"IRS2",11,1,0.0996532113207749,0.809633612463294,0.343570087902763,"down"
"MYC",11,1,0.100323983566109,0.809633612463294,0.0096882885752911,"down"
"ALS2",11,1,0.100603765915667,0.809633612463294,0.00695025554295562,"up"
"KANK1",11,1,0.101197644587095,0.809633612463294,0.000370893809684605,"down"
"TLE6",11,1,0.101336311092403,0.809633612463294,5.43678841426313e-12,"up"
"AIP",11,1,0.101581354282323,0.809633612463294,0.155789708589707,"up"
"TOPBP1",11,1,0.102109657726318,0.809633612463294,8.19625008516392e-19,"up"
"CENPE",11,1,0.102163008279228,0.809633612463294,9.61725493417656e-14,"up"
"SETBP1",11,1,0.103015246960908,0.809633612463294,0.000999299814675514,"down"
"HK3",11,1,0.103797877466364,0.809633612463294,0.000387637964481472,"up"
"KIF12",11,1,0.104184560834027,0.809633612463294,3.35769288365243e-09,"up"
"RNF144B",11,1,0.104584812063834,0.809633612463294,2.25153050257552e-07,"up"
"FBXW7",11,1,0.106133645814689,0.809633612463294,0.912234949669954,"up"
"ATP12A",11,1,0.106653587906503,0.809633612463294,3.94516020591812e-05,"up"
