"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"TP53","TP53",-1,-1,3,"7.90594811839185e-10",4.89773485934375e-06,0.998268004047862,0.00173199595213824
"TFRC","TFRC",-1,-1,11,"0.00011908428116536",0.73760803753824,0.999999999999997,2.74929069250487e-15
"SRSF11","SRSF11",-1,-1,11,"0.000148317480242466",0.918530155141592,0.999999151942155,8.48057844646184e-07
"RDH5","RDH5",-1,-1,11,"0.000148596785242816",0.920111294223517,0.0155836711407335,0.984416328859266
"BLOC1S1-RDH5","BLOC1S1-RDH5",-1,-1,11,"0.000148596785242816",0.920111294223517,NA,NA
"TNFRSF12A","TNFRSF12A",-1,-1,10,"0.000254784578072043",1,0.931233651371278,0.0687663486287222
"BTAF1","BTAF1",-1,-1,11,"0.000282753779011546",1,0.797396929231781,0.202603070768219
"PITX2","PITX2",-1,-1,11,"0.000305125893420466",1,0.00259159633027166,0.997408403669728
"NAA50","NAA50",-1,-1,11,"0.000365817332005136",1,0.999999953749414,4.62505859176941e-08
"SET","SET",-1,-1,10,"0.000398449434975467",1,0.999999986165071,1.38349290021754e-08
"AGAP6","AGAP6",-1,-1,11,"0.000467708564373837",1,0.999999998845799,1.15420050570726e-09
"NSMAF","NSMAF",-1,-1,11,"0.000577400010351448",1,0.830635833623295,0.169364166376705
"TINF2","TINF2",-1,-1,11,"0.000585938549838128",1,0.00389665232318586,0.996103347676814
"AANAT","AANAT",-1,-1,11,"0.000748870702106275",1,0.976586246331936,0.0234137536680637
"FBXW7","FBXW7",-1,-1,10,"0.000764784008501218",1,0.543882525165023,0.456117474834977
"PPP1R10","PPP1R10",-1,-1,9,"0.00081146412300348",1,0.314777316385591,0.685222683614409
"ATAD1","ATAD1",-1,-1,10,"0.000866901045461499",1,0.771785181501528,0.228214818498472
"HOXA10","HOXA10",-1,-1,9,"0.000924421698348832",1,0.483974147062931,0.516025852937068
"BTF3","BTF3",-1,-1,11,"0.000958226428315334",1,0.036981475701473,0.963018524298527
"DDX47","DDX47",-1,-1,11,"0.00107297181520183",1,0.796680304274319,0.203319695725681
"FCN1","FCN1",-1,-1,11,"0.00123366516741896",1,0.0282252443934302,0.97177475560657
"TCF7L2","TCF7L2",-1,-1,11,"0.00125602071306086",1,0.908989007803377,0.0910109921966231
"MCM4","MCM4",-1,-1,11,"0.00134986080101551",1,1,4.48606414160072e-17
"COPS7B","COPS7B",-1,-1,11,"0.00140402317868749",1,0.999999982629002,1.73709980809944e-08
"ATG14","ATG14",-1,-1,10,"0.00145011361695846",1,0.850096846590913,0.149903153409087
"NVL","NVL",-1,-1,10,"0.00151435955372592",1,0.999999404312862,5.95687138247724e-07
"POU4F1","POU4F1",-1,-1,11,"0.00154271108931514",1,0.999376283135609,0.000623716864390708
"ZNF238","ZNF238",-1,-1,11,"0.00158508197066565",1,NA,NA
"RCBTB2","RCBTB2",-1,-1,9,"0.00169790914915513",1,1.02590054626121e-07,0.999999897409945
"FUK","FUK",-1,-1,10,"0.00176117400095621",1,0.999674447100172,0.000325552899828271
"WASL","WASL",-1,-1,10,"0.00178225025295597",1,0.266971128062029,0.733028871937971
"BTNL9","BTNL9",-1,-1,11,"0.00179099487060286",1,0.0468817204439587,0.953118279556041
"MLLT11","MLLT11",-1,-1,11,"0.00183719573809704",1,0.999999999999996,3.93329133713116e-15
"NF2","NF2",-1,-1,11,"0.00187319734874769",1,0.976314811584938,0.0236851884150624
"ORC1","ORC1",-1,-1,10,"0.00205475081717332",1,1,5.67376155946361e-18
"USP19","USP19",-1,-1,10,"0.0024691745817601",1,0.300802262917567,0.699197737082433
"DNMT1","DNMT1",-1,-1,9,"0.0026104647932168",1,0.999999999999998,1.87688444766541e-15
"PLK2","PLK2",-1,-1,10,"0.00262337102037524",1,0.6347198762583,0.3652801237417
"HEYL","HEYL",-1,-1,10,"0.002752371693311",1,0.578987522001533,0.421012477998467
"TBR1","TBR1",-1,-1,11,"0.00285056842013232",1,0.999999873273433,1.2672656680645e-07
"OR5AU1","OR5AU1",-1,-1,11,"0.00285133950830918",1,0.184045581967126,0.815954418032874
"SUMO2","SUMO2",-1,-1,11,"0.00288388984845722",1,0.999999999882406,1.17594450109396e-10
"GNA11","GNA11",-1,-1,11,"0.00290263507966448",1,0.00105026518618877,0.998949734813811
"UBB","UBB",-1,-1,10,"0.00304859607649122",1,0.532475592373398,0.467524407626602
"CES1","CES1",-1,-1,11,"0.00308442558843591",1,0.200869457741294,0.799130542258706
"MAPK15","MAPK15",-1,-1,11,"0.00309766335620887",1,1,1.66294103165094e-22
"GMNN","GMNN",-1,-1,11,"0.00331189947534072",1,0.999537639908709,0.000462360091290958
"SLC35B2","SLC35B2",-1,-1,11,"0.00368958786201556",1,0.999999999929913,7.00865452660575e-11
"PDK2","PDK2",-1,-1,11,"0.00373030899347115",1,0.00655900349857976,0.99344099650142
"EBF1","EBF1",-1,-1,11,"0.00384180917729071",1,5.66484179235909e-05,0.999943351582076
"SIGLEC7","SIGLEC7",-1,-1,10,"0.00405547623412816",1,0.999968208119967,3.17918800325697e-05
"GOLGA5","GOLGA5",-1,-1,11,"0.00414874507395857",1,0.999999832227723,1.67772276581291e-07
"NCOA7","NCOA7",-1,-1,11,"0.00451561116454424",1,0.00108628675545232,0.998913713244548
"JAG1","JAG1",-1,-1,9,"0.00459900687503834",1,0.998747534958016,0.001252465041984
