"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"METTL1","METTL1",-1,-1,12,"5.11587738241168e-08",0.000334885333452669,0.99999436650355,5.63349645045311e-06
"USPL1","USPL1",-1,-1,10,"2.04777568303478e-05",0.134026918454626,0.820199741774951,0.179800258225049
"FEN1","FEN1",-1,-1,12,"2.63201822779817e-05",0.172239272827112,0.999999999885873,1.14127398599988e-10
"TNFAIP1","TNFAIP1",-1,-1,12,"4.10015026617498e-05",0.268272831915829,0.999974044993482,2.59550065181513e-05
"ATRIP","ATRIP",-1,-1,11,"5.45245925430426e-05",0.356699884416585,0.99999767182273,2.32817727040382e-06
"TEX28","TEX28",-1,-1,12,"6.68997041777013e-05",0.437590965026344,0.419464562394244,0.580535437605756
"LOC101060234","LOC101060234",-1,-1,12,"6.68997041777013e-05",0.437590965026344,NA,NA
"MATK","MATK",-1,-1,12,"0.000116428631729428",0.76132682287873,0.511571044533763,0.488428955466237
"IP6K2","IP6K2",-1,-1,11,"0.00012945549111993",0.846380000942102,0.999984832518201,1.51674817987315e-05
"TACR2","TACR2",-1,-1,12,"0.000151084335217206",0.987638299314876,0.00270427931894828,0.997295720681052
"SUV39H2","SUV39H2",-1,-1,12,"0.000222581166332239",1,0.999999998242459,1.75754083043598e-09
"QSOX2","QSOX2",-1,-1,12,"0.000224934688783572",1,0.999999983308269,1.66917310781419e-08
"STYK1","STYK1",-1,-1,12,"0.000291180167817651",1,0.99156320070786,0.00843679929213999
"ADNP","ADNP",-1,-1,9,"0.000303571184134263",1,0.9999994493459,5.50654100322911e-07
"LEFTY2","LEFTY2",-1,-1,10,"0.000328292559951278",1,0.239006637717066,0.760993362282934
"STARD5","STARD5",-1,-1,11,"0.000430800720232886",1,0.322610692145431,0.677389307854569
"CLTCL1","CLTCL1",-1,-1,12,"0.000444271289240591",1,0.999972815788169,2.71842118309162e-05
"CBX8","CBX8",-1,-1,11,"0.000502560810094447",1,1,7.19797572853347e-23
"PRKAB1","PRKAB1",-1,-1,12,"0.000502891704748557",1,0.730196365019333,0.269803634980667
"MAGEA2","MAGEA2",-1,-1,12,"0.000527789058902826",1,0.972338281360599,0.0276617186394012
"MAGEA2B","MAGEA2B",-1,-1,12,"0.000527789058902826",1,0.999999982430941,1.75690588777878e-08
"C15orf55","C15orf55",-1,-1,12,"0.000592828689420255",1,NA,NA
"TAGAP","TAGAP",-1,-1,12,"0.000596114648963428",1,0.0235327000547253,0.976467299945275
"LIF","LIF",-1,-1,12,"0.000632191512568819",1,0.00952277865796429,0.990477221342036
"TDRKH","TDRKH",-1,-1,12,"0.000632577359888067",1,0.999999999999998,2.28877141038372e-15
"ARHGAP35","ARHGAP35",-1,-1,12,"0.000662122526732319",1,0.00481944351815226,0.995180556481848
"SNAP29","SNAP29",-1,-1,12,"0.00066373232520306",1,0.990166266334321,0.00983373366567926
"GABPB1","GABPB1",-1,-1,12,"0.000713895792552235",1,0.999908879323256,9.11206767438026e-05
"ORC4","ORC4",-1,-1,12,"0.000739225443313934",1,0.98618586321076,0.0138141367892397
"SIK1","SIK1",-1,-1,12,"0.000863917765103417",1,0.0168075668782271,0.983192433121773
"ING4","ING4",-1,-1,12,"0.000880622895287886",1,0.997143888704235,0.00285611129576526
"BMPER","BMPER",-1,-1,12,"0.000998274150621301",1,0.00851789801414956,0.99148210198585
"L3MBTL4","L3MBTL4",-1,-1,11,"0.00122518915746837",1,0.116494340784026,0.883505659215974
"UCKL1","UCKL1",-1,-1,10,"0.00130541704092186",1,0.999999996595174,3.40482610810357e-09
"RAC1","RAC1",-1,-1,12,"0.00132274497241019",1,0.999986338462613,1.36615373870394e-05
"TCEB2","TCEB2",-1,-1,11,"0.00138180567312562",1,NA,NA
