"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"RNFT1","RNFT1",4,6.84374856312556e-05,20,"0.767805535587357",0.218657766591862,0.999733212886756,0.000266787113243653
"TFAP2C","TFAP2C",6,0.000491128207820908,18,"0.382311166199599",1,4.17666941663478e-07,0.999999582333058
"CHML","CHML",3,0.000772313156842967,21,"0.00358150385256559",1,1,1.01300214279082e-39
"FOXA1","FOXA1",2,0.00104651140052113,22,"0.022335303510637",1,1,1.05050391447768e-80
"PMEPA1","PMEPA1",7,0.00116698867626755,17,"0.0016516244658322",1,0.910090715317408,0.0899092846825921
"GNAS","GNAS",7,0.00272575213056122,17,"0.162932458670507",1,1,1.05213927591461e-35
"GSTT1","GSTT1",10,0.00279470259967684,14,"0.0470847039735852",1,NA,NA
"EGFR","EGFR",3,0.00298534208680344,21,"0.339321110350495",1,3.33485212202126e-14,0.999999999999967
"PTPN14","PTPN14",2,0.00325818520688304,22,"0.0121354321920183",1,1.08463526664681e-39,1
"THOC3","THOC3",3,0.00432298065766613,21,"0.414517764715531",1,1,2.56292224737361e-52
"CEBPZ","CEBPZ",2,0.00486800178567767,22,"0.228475671223408",1,0.0925972736945495,0.90740272630545
"FGL2","FGL2",2,0.00489063484070305,22,"0.00369153473123697",1,1.71177528797351e-21,1
"NBEA","NBEA",2,0.00492089390250487,22,"0.94441999049315",1,0.00213033271831457,0.997869667281685
"TRPS1","TRPS1",8,0.00492806580673043,16,"0.0389305712442955",1,1,5.84973677200086e-45
"NRAS","NRAS",3,0.00501624366244535,21,"0.986395178671496",1,0.999984368734993,1.56312650065361e-05
"TEAD1","TEAD1",2,0.00513532029835941,22,"0.681688263390625",1,7.97484716948577e-22,1
"ECHS1","ECHS1",2,0.00613988845676632,22,"0.293084126472061",1,0.000128706217166158,0.999871293782834
"APCDD1L","APCDD1L",7,0.00655332841417473,17,"0.271678913417983",1,8.75322070852423e-10,0.999999999124678
"RBMXL1","RBMXL1",2,0.00705157969864192,22,"0.330133245531292",1,3.90864724108778e-22,1
"POLA2","POLA2",2,0.00708790456796939,22,"0.0708843223702223",1,1,6.78498951742033e-82
"MATN2","MATN2",7,0.00708845764608998,17,"0.0362788275617763",1,8.70360352511266e-57,1
"LAMP1","LAMP1",4,0.00713116575749183,20,"0.0343985959529556",1,0.995759835579413,0.00424016442058714
"RPA3","RPA3",2,0.00730781350636555,22,"0.0087651194708419",1,1,2.36255220976606e-74
"CACNG1","CACNG1",6,0.00845267820320435,18,"0.00123999246311976",1,0.688966890031611,0.311033109968389
"CFHR2","CFHR2",5,0.00872885683365532,19,"0.182478023621896",1,0.93723872993628,0.0627612700637201
"RAB22A","RAB22A",7,0.00912746643774027,17,"0.332157837544464",1,1,1.03844325126287e-21
"KIF2B","KIF2B",2,0.00951176422450176,22,"0.306224436296654",1,0.563760380619613,0.436239619380387
"ABCC5","ABCC5",5,0.00957560915984071,19,"4.46698301521752e-05",1,1,9.67866259370009e-58
"KCNB2","KCNB2",3,0.0120707009899687,21,"0.00692862241381832",1,0.00195607765287876,0.998043922347121
"FGF19","FGF19",6,0.01254816278477,18,"0.0491230445110713",1,0.579939366658593,0.420060633341407
"OR2T10","OR2T10",16,0.0125967198485554,8,"0.0438260199768785",1,0.561811069847438,0.438188930152562
"NR1D1","NR1D1",3,0.0145599633511134,21,"0.0385600658614109",1,1.33339714986353e-08,0.999999986666029
"GNB1L","GNB1L",2,0.0156558837303244,22,"0.981087442400836",1,1,7.64384519410634e-25
