"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"RNFT1",20,4,0.000831784671526093,0.948406362624387,0.000533574226487306,"up"
"NRAS",21,3,0.00132735485345897,0.948406362624387,3.12625300130722e-05,"up"
"ABCA8",18,6,0.00364308528528441,0.948406362624387,4.31326022758193e-23,"down"
"NBEA",22,2,0.00504966925509744,0.948406362624387,0.00426066543662915,"down"
"GNB1L",22,2,0.00570760010524719,0.948406362624387,1.52876903882127e-24,"up"
"TFAP2C",18,6,0.00632651706818233,0.948406362624387,8.35333883326956e-07,"down"
"HAS2",13,11,0.00710055764348031,0.948406362624387,0.00121799477280712,"down"
"NRBP2",17,7,0.00716037451354506,0.948406362624387,2.77855437897826e-14,"down"
"PPM1D",20,4,0.00721979093205892,0.948406362624387,0.000119107409847461,"down"
"IRX2",18,6,0.00876702072482697,0.948406362624387,0.00480439143166792,"down"
"MYLK4",23,1,0.00897519048457568,0.948406362624387,3.10038366319441e-05,"down"
"LGSN",23,1,0.00910260286092531,0.948406362624387,0.00150253979719997,"up"
"CASR",23,1,0.0101560714317798,0.948406362624387,0.00626400183756998,"up"
"PHF3",23,1,0.0101727207956603,0.948406362624387,1.43174157690205e-14,"down"
"NFIB",23,1,0.0103260058365402,0.948406362624387,3.16141784786083e-47,"down"
"SERPINC1",22,2,0.0112958104115993,0.948406362624387,7.4706784466508e-15,"up"
"TEAD1",22,2,0.0124190292942933,0.948406362624387,1.59496943389715e-21,"down"
"ZBTB12",23,1,0.0124491560874072,0.948406362624387,4.34014514762009e-43,"up"
"CDT1",22,2,0.0124777435552852,0.948406362624387,4.75582246489068e-101,"up"
"WIPI1",18,6,0.0131011779049946,0.948406362624387,1.34614095687202e-11,"up"
"CD300E",20,4,0.0134151381806794,0.948406362624387,9.59841088498823e-12,"up"
"ITLN1",22,2,0.0139361608865883,0.948406362624387,0.19505889695574,"down"
"ANKIB1",23,1,0.0146568984277684,0.948406362624387,2.58302233048999e-06,"up"
"CDK6",23,1,0.0147424779874051,0.948406362624387,2.09986031138177e-05,"down"
"THOC3",21,3,0.0147736439420981,0.948406362624387,5.12584449474722e-52,"up"
"EGFR",21,3,0.014993426416658,0.948406362624387,6.66970424404252e-14,"down"
"TSFM",22,2,0.0151666266989774,0.948406362624387,4.66120012062323e-54,"up"
"MST1P2",23,1,0.0171588186739815,0.948406362624387,8.66343520995147e-06,"down"
"RALBP1",23,1,0.0179552900665054,0.948406362624387,0.000196055809762095,"down"
"ATAD3B",23,1,0.0181799438663513,0.948406362624387,4.30947782605535e-17,"up"
"ADRA2C",23,1,0.0185830964449873,0.948406362624387,0.777235795226431,"up"
"TRIO",20,4,0.0187274833236018,0.948406362624387,3.41655669981845e-05,"down"
"PAIP1",20,4,0.0189389628357444,0.948406362624387,2.495715324883e-22,"up"
"DCT",23,1,0.0191504940793121,0.948406362624387,3.38078943138664e-06,"down"
"DYRK3",23,1,0.0198973165016714,0.948406362624387,5.53937625614932e-12,"down"
"HSPBAP1",23,1,0.0202511013408241,0.948406362624387,0.000333969263818144,"down"
"CD4",23,1,0.0203826697268094,0.948406362624387,0.0217844560686335,"up"
"TWIST1",22,2,0.0208136227464061,0.948406362624387,3.06967813573038e-09,"down"
"TMEM128",23,1,0.02101076125926,0.948406362624387,0.0133765046685478,"down"
"INPP5E",23,1,0.0211229798673016,0.948406362624387,0.437340806061889,"up"
"CLK4",23,1,0.0212159132533122,0.948406362624387,8.77187679116105e-21,"down"
"HDAC9",22,2,0.0216077274620455,0.948406362624387,0.903118702981684,"down"
"L3MBTL4",23,1,0.021958067998267,0.948406362624387,1.71292922366798e-22,"down"
"MSI2",21,3,0.0220979452306259,0.948406362624387,3.10295896244749e-44,"up"
"PRDM14",21,3,0.0233099461008921,0.948406362624387,0.0519601461866554,"up"
"AHCY",22,2,0.0234120365057804,0.948406362624387,1.46060233383628e-26,"up"
"FBXL20",21,3,0.0236026051734002,0.948406362624387,0.707695437620407,"up"
"BCL2",23,1,0.0238763431085454,0.948406362624387,6.55121237696092e-05,"down"
"EMILIN2",23,1,0.0242666872590517,0.948406362624387,5.74476986520474e-14,"down"
"ACLY",23,1,0.0246220948636774,0.948406362624387,9.23906763285589e-05,"up"
"HPCAL4",23,1,0.024815585188134,0.948406362624387,0.00035610824523485,"up"
"GLDN",23,1,0.0255444167669684,0.948406362624387,7.38603425112459e-12,"down"
"TRPC4",23,1,0.025599490289855,0.948406362624387,1.50269036411923e-09,"up"
"STXBP5",23,1,0.0257598477614973,0.948406362624387,9.01442074766404e-06,"down"
"GHSR",20,4,0.0258828996138951,0.948406362624387,0.269501961255392,"up"
"ANKH",19,5,0.0259415975069701,0.948406362624387,0.120284404671807,"down"
"RAB38",23,1,0.0261048040365185,0.948406362624387,1.63749067362913e-10,"up"
"RBMXL1",22,2,0.026201216931619,0.948406362624387,7.81729448217556e-22,"down"
"ASAP1",17,7,0.0263823390954333,0.948406362624387,0.00134457550882099,"up"
"TSPAN9",23,1,0.0266739042207505,0.948406362624387,5.36838768058611e-07,"up"
"ECHS1",22,2,0.0269168834180106,0.948406362624387,0.000257412434332315,"down"
"AGAP2",22,2,0.0271043966432077,0.948406362624387,4.37885242931521e-09,"up"
"CD274",21,3,0.0272299237397015,0.948406362624387,0.000168838388640246,"up"
"IGSF8",23,1,0.0274148193443026,0.948406362624387,5.10048570543957e-48,"up"
"CA14",21,3,0.0280044632933467,0.948406362624387,0.000602374522597706,"up"
"FBXL14",22,2,0.0281429816967186,0.948406362624387,6.69100991261101e-11,"up"
"TLK2",20,4,0.0283813704956983,0.948406362624387,7.17998523834832e-23,"up"
"BDP1",23,1,0.0286199708797527,0.948406362624387,3.36332883079689e-07,"down"
"CEBPZ",22,2,0.028777974861519,0.948406362624387,0.185194547389099,"down"
"STRN",22,2,0.029093395791283,0.948406362624387,0.00463169439442883,"down"
"B4GALNT3",22,2,0.0293636448262746,0.948406362624387,4.84452140382338e-66,"up"
"PAK1IP1",23,1,0.029704800500775,0.948406362624387,0.000202550525574588,"up"
"PPP3CC",23,1,0.0297974166185989,0.948406362624387,1.62597218468487e-28,"down"
"KIF2B",22,2,0.0303615818527556,0.948406362624387,0.872479238760774,"up"
"TBX2",21,3,0.0310343990488738,0.948406362624387,0.089606172179277,"up"
"LGR4",21,3,0.0316273074670962,0.948406362624387,8.42597719478334e-35,"down"
"KPNA5",23,1,0.0318155877757996,0.948406362624387,2.8495170883513e-24,"down"
"SEMA3E",22,2,0.0322299526029203,0.948406362624387,1.52003387934751e-09,"down"
"RBFOX3",21,3,0.0330104776279914,0.948406362624387,0.990014142336846,"down"
"LEFTY2",22,2,0.0339838950046628,0.948406362624387,0.69954463495036,"down"
"UBE2V2",23,1,0.0349944097598292,0.948406362624387,1.02625081222205e-49,"up"
"H3F3A",22,2,0.0350306537692133,0.948406362624387,1.86260919374626e-86,"up"
"H3F3AP4",22,2,0.0350306537692133,0.948406362624387,1.90149910235912e-62,"up"
"GJC2",21,3,0.0365603330775069,0.948406362624387,5.36770225272344e-11,"down"
"CACNG4",18,6,0.036623898913258,0.948406362624387,5.79614296153141e-66,"up"
"ORAOV1",18,6,0.036755707217791,0.948406362624387,5.04378177519478e-23,"up"
"KIRREL",23,1,0.0371180492876144,0.948406362624387,NA,NA
"ERBB2",19,5,0.0371274401434224,0.948406362624387,6.54362902613936e-24,"up"
"CCL2",23,1,0.037207293052402,0.948406362624387,9.14681873646634e-07,"down"
"STAT1",23,1,0.0372270683768081,0.948406362624387,1.00570712898061e-48,"up"
"CSTF2T",21,3,0.0373081176951775,0.948406362624387,0.165567557854847,"down"
"EPB41L4B",23,1,0.037357892291313,0.948406362624387,1.55791336080749e-14,"down"
"C1QL1",23,1,0.037724653299889,0.948406362624387,5.201092679579e-06,"up"
"FGF14",21,3,0.0378194966454681,0.948406362624387,0.111371501453002,"up"
"PRKRA",23,1,0.0382906068745528,0.948406362624387,0.8433722661012,"up"
"RNF19A",18,6,0.0389656131401849,0.948406362624387,1.6872547407085e-06,"up"
"CADM3",23,1,0.0390341302900188,0.948406362624387,6.79556478529913e-19,"down"
"AGR2",23,1,0.0393425769134065,0.948406362624387,1.34498710730601e-56,"up"
"LRIG3",23,1,0.0393806680065926,0.948406362624387,1.28866557036654e-50,"down"
"TNS3",23,1,0.0395481115575031,0.948406362624387,0.000462493911736089,"down"
"PARP15",23,1,0.0396762202189892,0.948406362624387,0.375029066410229,"up"
"ANKRD29",23,1,0.0397469596471549,0.948406362624387,7.61439045694579e-61,"down"
