"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"CDC25B","CDC25B",2,3.59315565560496e-05,22,"0.0645020583876624",0.0660422009500192,1,8.43266060863374e-57
"PIK3CA","PIK3CA",10,0.000275272067755703,14,"0.528632983076002",0.505674788467226,5.97955269793843e-15,0.999999999999994
"PKD1","PKD1",2,0.00335757118722953,22,"0.820222267312046",1,6.79116673055094e-17,1
"USP5","USP5",2,0.00346480480962743,22,"0.894444323691703",1,1,6.34207691368152e-71
"TRPM1","TRPM1",2,0.00632748529794372,22,"0.00124208802094654",1,3.90904588817822e-11,0.999999999960909
"DSP","DSP",2,0.00710610199767654,22,"0.0198481029603789",1,0.99999999995218,4.78204017088073e-11
"TRPM6","TRPM6",2,0.00879883620525359,22,"0.0794266067689882",1,2.79423371574477e-31,1
"TAF1","TAF1",2,0.00978760691442328,22,"0.926846715490706",1,8.16170468475646e-14,0.999999999999918
"HCN1","HCN1",2,0.0107169151766689,22,"0.403857428507542",1,1.98170678112586e-06,0.999998018293219
"TP53","TP53",12,0.0113625701289103,12,"0.463466857133635",1,0.989498619540055,0.0105013804599446
"FCGRT","FCGRT",2,0.0119821030385068,22,"0.782476806972742",1,6.68468121468227e-07,0.999999331531878
"KCNK13","KCNK13",2,0.0122316615167428,22,"0.00215634283376896",1,0.999999999917383,8.26169196623485e-11
"CNTNAP2","CNTNAP2",2,0.0175906639400414,22,"0.00156614562198619",1,1,1.05414710498206e-49
"KRAS","KRAS",2,0.0229615294762824,22,"0.95219643105658",1,1,1.50649778281032e-38
"CACNA1A","CACNA1A",2,0.028079476896036,22,"0.013012608928794",1,0.999764462179504,0.000235537820495764
"NCOR2","NCOR2",3,0.0281389288908402,21,"0.186751484464973",1,0.99885166533691,0.00114833466308984
"BIRC6","BIRC6",4,0.0322535320525866,20,"0.0649542826277981",1,0.0296770821125054,0.970322917887495
"PTPN14","PTPN14",2,0.0351345722810175,22,"0.00844778221254941",1,1.08463526664681e-39,1
"ESPN","ESPN",2,0.0373359700886575,22,"0.00433142337945222",1,1,1.70603145636008e-61
"UBA7","UBA7",2,0.0421550545198971,22,"0.00240370714004874",1,0.19072507739243,0.80927492260757
"SH2D4A","SH2D4A",2,0.0447916559849154,22,"0.85758348565089",1,1,3.0597854890025e-28
"GPR19","GPR19",2,0.0451559412084068,22,"0.419112663681794",1,1,4.51088583501132e-69
"DMRT3","DMRT3",2,0.0493096172765089,22,"0.0685739820718956",1,3.57505542346336e-08,0.999999964249446
"CCKAR","CCKAR",2,0.0500800682664653,22,"0.00391048333070048",1,1,1.4839814594008e-19
"OR5H6","OR5H6",2,0.0533462523791208,22,"0.00445438274246317",1,NA,NA
"UBE3A","UBE3A",3,0.0548106672498589,21,"0.989064795771535",1,0.885850878508817,0.114149121491183
"KIF17","KIF17",2,0.060479955055954,22,"0.64936099492969",1,1.20375757689508e-21,1
"LRP1B","LRP1B",6,0.0648433736683246,18,"0.0875611982096202",1,0.996461055780679,0.00353894421932139
"ZMYM5","ZMYM5",2,0.0665759990976979,22,"0.00455768219083305",1,7.31967282519368e-07,0.999999268032717
"NID1","NID1",2,0.0677234779687563,22,"0.0355850152112658",1,1.30407545993025e-08,0.999999986959245
"USP19","USP19",2,0.0688240809720272,22,"0.00267646884882942",1,4.73488897504081e-13,0.999999999999526
"ADPGK","ADPGK",2,0.0720051220656164,22,"0.00926003354887899",1,1,1.37716301663001e-18
"PTGDR2","PTGDR2",2,0.0767766968130986,22,"0.639337788767776",1,7.83765162181204e-20,1
"ATP1A4","ATP1A4",2,0.0773463549463417,22,"0.0107104665120247",1,0.99999999990929,9.07100398968467e-11
"LRG1","LRG1",2,0.0786433559800375,22,"0.989735753321558",1,1,6.96190463210069e-59
"RNF19A","RNF19A",2,0.0794937123048695,22,"0.947622441092401",1,0.99999915637263,8.43627370354248e-07
"KDM5B","KDM5B",2,0.0827543408581248,22,"0.789728272080695",1,1,4.49923127417482e-64
"MST1R","MST1R",2,0.0837917830966033,22,"0.0445650017118349",1,1,1.03682289973935e-60
"HMG20B","HMG20B",2,0.0866518326056872,22,"0.615874969581226",1,1,7.93935849812027e-48
"SI","SI",3,0.0906911494677876,21,"0.00261803801497524",1,0.980958215952591,0.0190417840474092
"GRIA1","GRIA1",2,0.0920098309749863,22,"0.73035306637413",1,0.950576712033286,0.0494232879667135
"RARA","RARA",2,0.0925676141163663,22,"0.00186759083107878",1,1,3.38059514578362e-46
"PDE3B","PDE3B",2,0.0954151727708373,22,"0.0615590948391487",1,7.36804087053715e-12,0.999999999992632
"EP400","EP400",4,0.0956055560879537,20,"0.284448566626772",1,0.000607082093780646,0.999392917906219
"GEM","GEM",2,0.0970232651770696,22,"0.988844097626984",1,1.37286864005113e-16,1
"PIK3CD","PIK3CD",2,0.0981704611465713,22,"0.000181391080603185",1,0.0123199182224712,0.987680081777529
"KIAA1875","KIAA1875",2,0.0983736073949988,22,"0.329314898402257",1,NA,NA
"KAT6B","KAT6B",3,0.102026219752549,21,"0.0160391852873147",1,0.99999999917706,8.22940461919207e-10
"ARHGEF28","ARHGEF28",2,0.102965249194421,22,"0.0346145736722314",1,1.47686836863022e-43,1
"DDX3X","DDX3X",2,0.103416279941597,22,"0.205185466979283",1,1.76816638113143e-25,1
"EPHA7","EPHA7",2,0.104471891507169,22,"0.445937239166865",1,0.119997328109649,0.880002671890351
"APC","APC",2,0.110300024395977,22,"0.995123891739956",1,2.41060693083387e-15,0.999999999999998
"DGKI","DGKI",2,0.121398715157418,22,"0.154228911976408",1,2.08516735309838e-11,0.999999999979148
"MAST4","MAST4",2,0.12258043936667,22,"0.298360307942021",1,1.75557858246792e-11,0.999999999982444
"NDST2","NDST2",2,0.122999626259435,22,"0.000201003534834455",1,0.00691208670082765,0.993087913299172
"KDM2B","KDM2B",2,0.123211738537901,22,"0.649216056092874",1,1,7.10810052354616e-17
"GABRB1","GABRB1",2,0.134847591543652,22,"0.670390189615704",1,0.476213511117289,0.523786488882711
"EVC","EVC",2,0.134966600948249,22,"0.0521642852125734",1,6.1549679893234e-18,1
"CIC","CIC",3,0.137711228025287,21,"0.0849727783270336",1,0.249134116701518,0.750865883298482
"PLXNB2","PLXNB2",3,0.137856606537164,21,"0.543145320630859",1,0.999999999981291,1.87085325988692e-11
"FERMT3","FERMT3",2,0.13884285935696,22,"0.00243618997726052",1,0.999999990539616,9.4603841378295e-09
"FRMPD2","FRMPD2",3,0.140112327773758,21,"0.57014922926687",1,1.12284596765821e-05,0.999988771540323
"ZFPM2","ZFPM2",2,0.141227424742003,22,"0.358958295378561",1,5.84525767312691e-17,1
"KAT6A","KAT6A",2,0.141958961193768,22,"0.620459664447773",1,0.771123459645109,0.228876540354891
"ZBTB25","ZBTB25",2,0.142447702012914,22,"0.0449371840768557",1,0.813139863549987,0.186860136450013
"TRPC5","TRPC5",3,0.14534620728042,21,"0.0108347155062159",1,0.636372515641308,0.363627484358692
"SEMA6C","SEMA6C",2,0.146263920577875,22,"0.820092288424114",1,0.0328265952296402,0.96717340477036
"ALPK2","ALPK2",2,0.149628825522625,22,"0.00157705274687336",1,0.494261778980702,0.505738221019298
"CERK","CERK",2,0.153454796032555,22,"0.915776147596222",1,5.5482031890483e-07,0.999999445179681
"FRMD4A","FRMD4A",2,0.153920548020864,22,"0.626942139678342",1,4.40480139861177e-19,1
"EP300","EP300",2,0.157586209135329,22,"0.920209116878104",1,9.64870583511952e-06,0.999990351294165
"PKHD1","PKHD1",3,0.159219716043678,21,"0.000114897337050996",1,0.0281746100527855,0.971825389947214
"MYEF2","MYEF2",2,0.16685084143277,22,"0.0979472427041756",1,1,3.43825793371285e-24
"PDGFRB","PDGFRB",4,0.171891751177546,20,"0.322106708227907",1,6.73054342523865e-05,0.999932694565748
"CENPE","CENPE",3,0.177027550217677,21,"0.708014756666927",1,1,3.63272532092501e-140
"TRIM13","TRIM13",2,0.183867791398821,22,"0.290833805998323",1,0.0265861230744068,0.973413876925593
"COL18A1","COL18A1",3,0.184467854993074,21,"0.0956632933300747",1,0.999999999999128,8.71943438577789e-13
"TRIM46","TRIM46",2,0.184592863242233,22,"0.0035206294813062",1,1,5.94165979466717e-47
"DNM2","DNM2",3,0.188810541032683,21,"0.0166127420593677",1,0.999999999999994,5.89767662843561e-15
"LRRTM4","LRRTM4",3,0.18935236624565,21,"0.148061394083427",1,6.39346913330359e-07,0.999999360653087
"EPHA5","EPHA5",3,0.190897516685709,21,"0.992909414424878",1,5.63140399232602e-05,0.999943685960077
"GPR68","GPR68",2,0.192590404008289,22,"0.980819268673349",1,1,9.04110083887956e-120
"DPP6","DPP6",2,0.193229827253809,22,"0.0109402030485694",1,9.78170515333062e-25,1
"CACNA1H","CACNA1H",2,0.201891718971723,22,"0.0376963844765292",1,1,4.65668318679042e-34
"UBA3","UBA3",2,0.2027447333942,22,"0.423098893011219",1,0.999296200432525,0.000703799567475334
"PKP3","PKP3",2,0.20435253894318,22,"0.0106573511076593",1,1,2.55041190881372e-39
"MMP8","MMP8",2,0.204547881289796,22,"0.941175269060872",1,0.999987465782566,1.25342174337641e-05
"ITGAL","ITGAL",2,0.204889954947901,22,"0.000637338478271319",1,1,5.59381858218112e-19
"ADRM1","ADRM1",2,0.206899268418209,22,"0.246309988067791",1,1,6.00475763813412e-54
"PINK1","PINK1",2,0.207440020617069,22,"0.00949504771964691",1,1.14645986098535e-16,1
"KCNJ14","KCNJ14",2,0.208189454394172,22,"0.497412312746622",1,0.129500928090136,0.870499071909864
"NLGN2","NLGN2",2,0.209165290963584,22,"0.473634383410185",1,0.00122760820092782,0.998772391799072
"MKI67IP","MKI67IP",2,0.209708994411105,22,"0.867605296051434",1,NA,NA
