"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"PIK3CA",14,10,0.00524287784918513,0.921258766253367,1.19591053958769e-14,"down"
"USP5",22,2,0.00601990378793125,0.921258766253367,1.2684153827363e-70,"up"
"TAF1",22,2,0.00741620566762182,0.921258766253367,1.63234093695129e-13,"down"
"PKD1",22,2,0.00781343854053037,0.921258766253367,1.35823334611019e-16,"down"
"LGSN",23,1,0.00910260286092531,0.921258766253367,0.00150253979719997,"up"
"UBE3A",21,3,0.0100235060503437,0.921258766253367,0.228298242982366,"up"
"KRAS",22,2,0.0100701312659738,0.921258766253367,3.01299556562065e-38,"up"
"MECOM",23,1,0.0115326973920833,0.921258766253367,8.01670810837709e-23,"down"
"KCNH3",23,1,0.0131158051682477,0.921258766253367,7.40755029581295e-09,"down"
"FCGRT",22,2,0.0136396970063266,0.921258766253367,1.33693624293645e-06,"down"
"WRNIP1",23,1,0.0143491963247307,0.921258766253367,1.45383376910273e-38,"up"
"LRG1",22,2,0.0185872751134315,0.921258766253367,1.39238092642014e-58,"up"
"LRIG2",23,1,0.0208189014343886,0.921258766253367,5.93229314743195e-09,"down"
"TLE1",23,1,0.0224933451911486,0.921258766253367,3.19116927460248e-23,"down"
"PRMT1",23,1,0.0226722415070077,0.921258766253367,2.46996427234427e-27,"up"
"APC",22,2,0.023307159865065,0.921258766253367,4.82121386166775e-15,"down"
"P2RY8",23,1,0.0234255145718298,0.921258766253367,3.93065758526134e-05,"up"
"GEM",22,2,0.024318801690029,0.921258766253367,2.74573728010225e-16,"down"
"TBL3",23,1,0.0244150355119885,0.921258766253367,2.26511675211948e-48,"up"
"BDP1",23,1,0.0244589838957263,0.921258766253367,3.36332883079689e-07,"down"
"LRIG3",23,1,0.0246956767050515,0.921258766253367,1.28866557036654e-50,"down"
"ERN2",23,1,0.0252231587005485,0.921258766253367,0.0104587317937841,"up"
"SH2D4A",22,2,0.0254678278494983,0.921258766253367,6.119570978005e-28,"up"
"PAK1IP1",23,1,0.0260091274190808,0.921258766253367,0.000202550525574588,"up"
"HCN1",22,2,0.026704068407476,0.921258766253367,3.96341356225171e-06,"down"
"NR1H4",23,1,0.0278125217279218,0.921258766253367,0.998462254347045,"down"
"ZBTB45",23,1,0.0282417440642966,0.921258766253367,2.07687257317199e-30,"up"
"CDC25B",22,2,0.029573006126883,0.921258766253367,1.68653212172675e-56,"up"
"PIAS4",23,1,0.0298380824229444,0.921258766253367,1.94064459021336e-44,"up"
"RNF19A",22,2,0.0301636484003576,0.921258766253367,1.6872547407085e-06,"up"
"SMARCA4",23,1,0.0303575556597388,0.921258766253367,5.83728764282909e-50,"up"
"VDAC3",23,1,0.0310155615410185,0.921258766253367,2.58824703412965e-22,"up"
"PAX3",23,1,0.0313009209102444,0.921258766253367,2.93946707920445e-05,"down"
"SAR1B",23,1,0.0320189177614376,0.921258766253367,0.0759441387510928,"up"
"GABRA6",23,1,0.0327072824894302,0.921258766253367,0.213076711158991,"up"
"CLK3",23,1,0.0327823199657974,0.921258766253367,0.00249350393694322,"down"
"ANKRD31",23,1,0.0331474538154449,0.921258766253367,0.00104039071772155,"down"
"DNA2",23,1,0.0339424151443337,0.921258766253367,1.00825411259972e-99,"up"
"CELSR1",23,1,0.0340467725800758,0.921258766253367,1.60335016469576e-55,"up"
"PDZRN4",23,1,0.0349435802482015,0.921258766253367,0.136807248694835,"down"
"TPH1",23,1,0.0352719750111875,0.921258766253367,0.000314550754318908,"up"
"MED1",23,1,0.0355215775601168,0.921258766253367,7.50146582967845e-09,"up"
"XDH",23,1,0.0357477246533762,0.921258766253367,0.191046751052789,"down"
"DDX28",23,1,0.0375733605169998,0.921258766253367,0.00274163670246147,"up"
"CHST3",23,1,0.0392604879497032,0.921258766253367,2.49969021450658e-41,"down"
"LATS1",23,1,0.039275183420937,0.921258766253367,1.92398614638924e-10,"down"
"TNS3",23,1,0.0395481115575031,0.921258766253367,0.000462493911736089,"down"
"TMPRSS2",23,1,0.0395519158786953,0.921258766253367,3.07637735640125e-11,"down"
"GLYCTK",23,1,0.0396264327091109,0.921258766253367,0.00735352825488438,"down"
"ARHGEF7",23,1,0.0396694279692004,0.921258766253367,1.07299227553055e-25,"down"
"FAM13B",23,1,0.0398472029053749,0.921258766253367,1.32384335507351e-22,"down"
"MTMR6",23,1,0.0408562827418353,0.921258766253367,4.59642645653124e-07,"down"
"IFT140",23,1,0.0410835930229987,0.921258766253367,3.93440672526847e-31,"up"
"FER1L6",23,1,0.0419117199336322,0.921258766253367,3.28997220448389e-07,"up"
"NBR1",23,1,0.0424696652931942,0.921258766253367,6.23888078590029e-23,"down"
