"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"BRCA1",22,2,0.00135301293557,0.731235114497699,1.34978719820738e-66,"up"
"JAK1",23,1,0.0129272910739202,0.731235114497699,7.09802618364251e-31,"down"
"NT5E",23,1,0.0151879769326941,0.731235114497699,9.41174351718994e-18,"down"
"MPP3",23,1,0.016760722023511,0.731235114497699,2.14731947817759e-12,"up"
"PRKCZ",23,1,0.0277290523037971,0.731235114497699,8.63457479521846e-19,"up"
"HK3",23,1,0.0284933401523068,0.731235114497699,0.0224021596486038,"up"
"TCIRG1",23,1,0.0304179638621154,0.731235114497699,1.70932736188067e-41,"up"
"CNTRL",21,3,0.0306418049055749,0.731235114497699,4.12304418809127e-05,"down"
"AICDA",23,1,0.0320114357684046,0.731235114497699,0.289705008935792,"up"
"SLIT2",23,1,0.0335369606665356,0.731235114497699,2.11554486909023e-24,"down"
"TTN",20,4,0.0353423605467122,0.731235114497699,0.305843289500198,"down"
"SLC4A11",23,1,0.0371678629100606,0.731235114497699,0.0551186906044376,"up"
"AGAP5",23,1,0.0390160454984808,0.731235114497699,0.0736281111662677,"up"
"XIAP",23,1,0.0397475373544357,0.731235114497699,0.0152542114112844,"up"
"CNST",23,1,0.0426497607009058,0.731235114497699,1.24006873753027e-14,"up"
"CENPE",22,2,0.0441748351378021,0.731235114497699,7.26545064185003e-140,"up"
"TOP1",23,1,0.0449941190783965,0.731235114497699,2.94647559290449e-37,"up"
"ATF6",23,1,0.047180757372504,0.731235114497699,7.09236383365524e-14,"up"
"GAK",23,1,0.0472163127117301,0.731235114497699,7.42221379847114e-35,"up"
"LMTK2",23,1,0.048644935300007,0.731235114497699,0.00300731976796031,"up"
"CDH1",22,2,0.0489341551087594,0.731235114497699,3.3813940194898e-08,"up"
"FMN2",23,1,0.0508340618631911,0.731235114497699,4.02707902598973e-08,"down"
"WDR24",23,1,0.0511458527360967,0.731235114497699,2.21567434445439e-72,"up"
"MYO7A",23,1,0.0528744913021221,0.731235114497699,0.174254985796512,"down"
"FOXN2",23,1,0.0538116518177155,0.731235114497699,2.14368848418774e-15,"down"
"METTL13",23,1,0.0543885832383963,0.731235114497699,5.52720099263841e-68,"up"
"DDX25",23,1,0.0548013195419333,0.731235114497699,2.33006906840546e-05,"down"
"GABBR1",23,1,0.0561635059893758,0.731235114497699,1.72392518862731e-05,"down"
"SLC37A3",23,1,0.0572171095865024,0.731235114497699,0.000335356600982176,"down"
"BIRC6",23,1,0.0579712584554317,0.731235114497699,0.0593541642250109,"down"
"CLSPN",23,1,0.0592999846843842,0.731235114497699,2.26223072216632e-122,"up"
"GTF2IRD2",23,1,0.0600913544871183,0.731235114497699,1.58507868723099e-17,"down"
"ZNF703",23,1,0.0602160603736691,0.731235114497699,5.56373546884939e-41,"up"
"ACO2",23,1,0.0605468504924398,0.731235114497699,0.0190930153645534,"down"
"COL9A1",23,1,0.0610779620777695,0.731235114497699,0.000874572616729203,"up"
"KIF17",23,1,0.061452820330021,0.731235114497699,2.40751515379016e-21,"down"
"C1orf186",23,1,0.065324163363258,0.731235114497699,2.86069813613166e-08,"up"
"LRRC39",23,1,0.067823930637633,0.731235114497699,0.293409677164074,"down"
"COL4A2",23,1,0.068866823135427,0.731235114497699,0.000719812969972318,"down"
"ATP1A3",23,1,0.0703434885124977,0.731235114497699,1.72002717634901e-20,"up"
"PLXNB3",23,1,0.0708258755090274,0.731235114497699,0.00253671010056579,"up"
"ADNP",23,1,0.0712840979727132,0.731235114497699,7.99017776630893e-27,"up"
"KLHL14",23,1,0.0725871717570266,0.731235114497699,0.0243188850814639,"down"
"GPR119",23,1,0.0731377668270781,0.731235114497699,0.490193307118782,"down"
"ERCC6L2",23,1,0.0745801321210474,0.731235114497699,3.15235473698053e-17,"down"
"KIFC2",23,1,0.0750187517889328,0.731235114497699,8.39370685472092e-98,"up"
"RXFP1",23,1,0.0770114681940314,0.731235114497699,1.46468941308124e-16,"up"
"CFH",22,2,0.0798661145463272,0.731235114497699,9.56578295275672e-16,"down"
"TG",23,1,0.0800905304213857,0.731235114497699,0.000241243447474844,"up"
"ZNF189",23,1,0.0811002605910156,0.731235114497699,8.2488833166701e-20,"down"
"KCNC2",23,1,0.0829317868885844,0.731235114497699,7.39045803121479e-05,"up"
"BTK",23,1,0.0830819662443086,0.731235114497699,0.00024746558103383,"up"
"DCLRE1B",23,1,0.0848658771155034,0.731235114497699,1.88213744911749e-13,"up"
"FGD1",23,1,0.0858539706471947,0.731235114497699,1.72498406652117e-58,"up"
"NSMAF",23,1,0.0859699235712611,0.731235114497699,2.68908277315659e-08,"down"
"CACNA1F",22,2,0.0882634359740926,0.731235114497699,6.22511758783578e-07,"up"
"CHD9",22,2,0.0882691738081905,0.731235114497699,1.01274301991335e-28,"down"
"CSTF2T",23,1,0.0886318673509433,0.731235114497699,0.165567557854847,"down"
"ENPP3",23,1,0.0888376945987671,0.731235114497699,0.247803217122188,"down"
"MED23",23,1,0.091068376029776,0.731235114497699,0.134348236466978,"down"
"PVRL1",23,1,0.0918946791183258,0.731235114497699,NA,NA
