"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"TBC1D9","TBC1D9",-1,-1,24,"1.14946563378737e-09",7.52440203877212e-06,1,9.97916732012095e-34
"PRKAG3","PRKAG3",-1,-1,24,"1.04327438799068e-07",0.0006828230869399,0.314207026390196,0.685792973609804
"LRRC4B","LRRC4B",-1,-1,23,"2.5480033227776e-07",0.00166741337442566,1.61569668195497e-08,0.999999983843033
"WDR41","WDR41",-1,-1,23,"9.33579595963074e-07",0.00610841129638639,0.247036599645262,0.752963400354738
"MKNK2","MKNK2",-1,-1,24,"2.55300970086747e-06",0.016701789463075,0.51281368405767,0.48718631594233
"MAD1L1","MAD1L1",-1,-1,20,"2.59183006590114e-06",0.0169531604610594,1,9.34688782448507e-17
"NR3C2","NR3C2",-1,-1,23,"3.89535265588048e-06",0.0254756063694583,1.90321885567997e-47,1
"PPM1D","PPM1D",-1,-1,19,"5.73427727812437e-06",0.0374964391216553,5.95537049237303e-05,0.999940446295076
"ERI1","ERI1",-1,-1,22,"7.31546707999353e-06",0.0478285237689977,0.992719860088736,0.00728013991126413
"FRY","FRY",-1,-1,20,"7.8886476443385e-06",0.0515680896510408,7.16134053502677e-29,1
"PARP4","PARP4",-1,-1,24,"8.80452866125481e-06",0.0575463993299614,5.4009660254328e-12,0.999999999994599
"VAV1","VAV1",-1,-1,23,"1.22620283818931e-05",0.0801323554756714,0.99999999155012,8.44988022320456e-09
"TNNI3K","TNNI3K",-1,-1,23,"1.48013593425089e-05",0.0967120819439532,0.439718753221323,0.560281246778677
"FPGT-TNNI3K","FPGT-TNNI3K",-1,-1,23,"1.48013593425089e-05",0.0967120819439532,1.32062729344757e-22,1
"HPCAL4","HPCAL4",-1,-1,22,"1.54088444864753e-05",0.100650572185657,0.999821945877383,0.000178054122617425
"SERGEF","SERGEF",-1,-1,22,"1.56715509844751e-05",0.102350899479607,0.775904983555345,0.224095016444655
"PLEKHH1","PLEKHH1",-1,-1,23,"1.61397378976025e-05",0.105392488471344,0.0176309670073778,0.982369032992622
"ARHGEF4","ARHGEF4",-1,-1,24,"1.71804972839418e-05",0.112171466766856,3.69636591774774e-28,1
"FLCN","FLCN",-1,-1,23,"1.73748985149436e-05",0.113423337505552,7.47525125746468e-12,0.999999999992525
"CYP1A2","CYP1A2",-1,-1,23,"1.91792841665039e-05",0.125183187754771,0.000233625543530702,0.999766374456469
"PRDM2","PRDM2",-1,-1,21,"2.18110675828109e-05",0.142339027045424,9.3520296976713e-19,1
"PHF21A","PHF21A",-1,-1,23,"2.45543182378904e-05",0.160216926502235,6.767766418943e-09,0.999999993232234
"AFF3","AFF3",-1,-1,23,"2.6064851363139e-05",0.170047090293119,0.999999999997868,2.13187044378954e-12
"MTHFSD","MTHFSD",-1,-1,22,"2.77773590345864e-05",0.181191712982607,3.71908376103763e-07,0.999999628091624
"DCAF7","DCAF7",-1,-1,21,"3.7739109797208e-05",0.246134474097391,1,2.47619324229737e-32
"GOLT1A","GOLT1A",-1,-1,23,"3.8662636218767e-05",0.25211905078258,1,3.65900590865656e-60
"METTL21B","METTL21B",-1,-1,21,"4.04787451399047e-05",0.263921418312179,NA,NA
"PHF3","PHF3",-1,-1,22,"5.06669897332168e-05",0.33029810607084,7.15870788451025e-15,0.999999999999993
"EXO1","EXO1",-1,-1,21,"5.22727850604809e-05",0.340714013024215,1,7.02208191973929e-157
"RAPGEF4","RAPGEF4",-1,-1,21,"5.31699820318643e-05",0.34650877290166,1.83975268834437e-05,0.999981602473117
"SPSB1","SPSB1",-1,-1,22,"7.50563726488185e-05",0.489067324179701,0.084513753111524,0.915486246888476
"TGFBR2","TGFBR2",-1,-1,23,"7.80221104881296e-05",0.508314049830164,2.26668632537328e-37,1
"RASL10A","RASL10A",-1,-1,22,"7.9308381261467e-05",0.516614795537196,5.45602155882997e-10,0.999999999454398
"LRRC59","LRRC59",-1,-1,22,"8.234877881097e-05",0.536337596395848,1,5.53962067832764e-71
"CCNB3","CCNB3",-1,-1,23,"8.7076418342158e-05",0.567041636244133,0.99999999999998,1.95706471270237e-14
"HAPLN1","HAPLN1",-1,-1,23,"9.48601869185106e-05",0.617634677026422,0.999999999979446,2.05538877344903e-11
"CHST5","CHST5",-1,-1,22,"0.000100413361328044",0.653690982245566,5.90370459004668e-05,0.9999409629541
"ANKRD50","ANKRD50",-1,-1,21,"0.000101216656877678",0.658819219616806,1,5.15257507183614e-17
"KIF21A","KIF21A",-1,-1,21,"0.000102567393617137",0.667508597660328,1,5.76445389213909e-47
"HIF1AN","HIF1AN",-1,-1,22,"0.000103998796792237",0.676720170727086,7.35418557732082e-10,0.999999999264581
"GPR50","GPR50",-1,-1,24,"0.000106966203976211",0.695922123069229,0.000116785528200466,0.9998832144718
"ABCA8","ABCA8",-1,-1,15,"0.000108790718480689",0.707683623716882,2.15663011379096e-23,1
"CTBP2","CTBP2",-1,-1,20,"0.000110450034646159",0.718367025338618,1,2.21317484596012e-18
"TRIM33","TRIM33",-1,-1,20,"0.000121146518943682",0.787815812690764,0.599320548990807,0.400679451009193
"FXR2","FXR2",-1,-1,21,"0.00012426083135475",0.807943925468585,0.993846831795572,0.00615316820442758
"NPTXR","NPTXR",-1,-1,23,"0.000126756816703821",0.82404606539154,0.999999808273645,1.91726355169439e-07
"ARHGEF17","ARHGEF17",-1,-1,20,"0.000128770082574836",0.837005536736434,3.50294052054819e-09,0.99999999649706
"HSP90B1","HSP90B1",-1,-1,24,"0.000141023262203221",0.916510181058733,1,2.32796651650823e-34
"CD274","CD274",-1,-1,19,"0.000142323410827094",0.924817523554457,0.99991558080568,8.4419194320123e-05
"NIN","NIN",-1,-1,23,"0.000143957381871895",0.935291110021702,0.114458629431618,0.885541370568382
"ZBTB9","ZBTB9",-1,-1,23,"0.000146574412899225",0.952147386193366,0.999992895050463,7.10494953682787e-06
"LRRC8A","LRRC8A",-1,-1,22,"0.00014766429722024",0.959079610445459,5.60124012694683e-09,0.99999999439876
"VSIG4","VSIG4",-1,-1,23,"0.000151535643685419",0.984072470093111,1.31761704417686e-06,0.999998682382956
"LGSN","LGSN",-1,-1,23,"0.000153360508343692",0.995769780675592,0.9992487301014,0.000751269898599985
"ALDH2","ALDH2",-1,-1,24,"0.000159299915082456",1,1.48995590586241e-14,0.999999999999985
"RAB36","RAB36",-1,-1,23,"0.00017464987475313",1,0.999999999760136,2.39863725783279e-10
"EEF1G","EEF1G",-1,-1,24,"0.000174859687427587",1,0.936588154750306,0.0634118452496944
"ZBTB12","ZBTB12",-1,-1,23,"0.000176041521654957",1,1,2.17007257381005e-43
"NCOA1","NCOA1",-1,-1,23,"0.000183568422231439",1,3.18233353311916e-30,1
"SEC62","SEC62",-1,-1,20,"0.000183586001066272",1,8.32192207938863e-11,0.999999999916781
"EML3","EML3",-1,-1,24,"0.000190028315587565",1,4.128195197405e-08,0.999999958718048
"TBL1Y","TBL1Y",-1,-1,24,"0.000198751669693853",1,0.193962079481718,0.806037920518282
"GCM1","GCM1",-1,-1,24,"0.000205485524362059",1,0.99994053578948,5.94642105201741e-05
"CA13","CA13",-1,-1,21,"0.000205811216891005",1,0.00122398302609919,0.998776016973901
"VOPP1","VOPP1",-1,-1,20,"0.000209776736251222",1,1,9.37964533962435e-54
"RPP40","RPP40",-1,-1,21,"0.000217048694155064",1,1,1.41108840582006e-32
"LRIG3","LRIG3",-1,-1,22,"0.000226734554882757",1,6.44332785183271e-51,1
"TELO2","TELO2",-1,-1,24,"0.000227974148602095",1,1,7.90600194775256e-56
"SBK1","SBK1",-1,-1,24,"0.000230286993835538",1,1,5.02752099637418e-131
"KIF26A","KIF26A",-1,-1,23,"0.000240380491485004",1,1.2929557167392e-24,1
"PMP2","PMP2",-1,-1,19,"0.000242313189854237",1,0.0251198846840992,0.974880115315901
"DPF3","DPF3",-1,-1,24,"0.000246456021687158",1,0.00098956841741734,0.999010431582583
"CARM1","CARM1",-1,-1,23,"0.000250808347226239",1,1,4.56792468069497e-42
"FKBP10","FKBP10",-1,-1,23,"0.000268173971230579",1,1,1.86441953899483e-74
"OR4N5","OR4N5",-1,-1,22,"0.000271677726732533",1,0.754386112241364,0.245613887758636
"SEMA3G","SEMA3G",-1,-1,23,"0.000278120518608316",1,2.31653895314686e-20,1
"HSPBAP1","HSPBAP1",-1,-1,23,"0.000292572331015539",1,0.000166984631909072,0.999833015368091
"GRAPL","GRAPL",-1,-1,22,"0.000313622996552798",1,7.67193887791159e-08,0.999999923280611
"MED25","MED25",-1,-1,24,"0.000321988922827976",1,1,1.50315140269341e-78
"WDR73","WDR73",-1,-1,24,"0.000350945700196781",1,0.970940817793806,0.0290591822061938
"HLTF","HLTF",-1,-1,20,"0.000358793647710187",1,1,1.68320455511617e-29
"CXCL5","CXCL5",-1,-1,23,"0.000366177313252614",1,0.182677869998407,0.817322130001593
"CORO7","CORO7",-1,-1,22,"0.000391323616675265",1,1,2.69882269451818e-38
"OR4K14","OR4K14",-1,-1,21,"0.000404758531649563",1,0.698306381079861,0.301693618920139
"LMLN","LMLN",-1,-1,18,"0.000417978554480669",1,1,2.36933047408564e-23
"JPH4","JPH4",-1,-1,23,"0.000418814559183245",1,8.53197345148091e-11,0.99999999991468
"CASR","CASR",-1,-1,22,"0.000423053426141018",1,0.996867999081215,0.00313200091878499
"NAT8B","NAT8B",-1,-1,24,"0.00044249582977085",1,1,4.78458601524339e-24
"ROBO2","ROBO2",-1,-1,19,"0.00045046242367841",1,1,7.69178511272317e-19
"SDC4","SDC4",-1,-1,20,"0.000467792401746769",1,0.901598388373199,0.0984016116268009
"IQCG","IQCG",-1,-1,18,"0.000484273009288105",1,1,9.48460098089792e-17
"RHOBTB3","RHOBTB3",-1,-1,22,"0.00048589175533531",1,0.000227844403703722,0.999772155596296
"CHRNB2","CHRNB2",-1,-1,21,"0.000489256763858026",1,0.999200519327257,0.000799480672743148
"AAMP","AAMP",-1,-1,24,"0.000501353252253978",1,0.999999999999999,7.54309928229894e-16
"ROCK1","ROCK1",-1,-1,23,"0.000503069057425365",1,1.1942456340602e-15,0.999999999999999
"PRKAG2","PRKAG2",-1,-1,23,"0.000520796686847236",1,5.93272490891036e-22,1
"STK17A","STK17A",-1,-1,23,"0.000521116270420729",1,0.000237979068137325,0.999762020931863
"TMEM130","TMEM130",-1,-1,24,"0.000545804037445752",1,0.000911769235977948,0.999088230764022
"STRN","STRN",-1,-1,22,"0.000546143267566301",1,0.00231584719721442,0.997684152802786
"HSPB1","HSPB1",-1,-1,24,"0.000547900345615138",1,1,2.79682625508418e-53
"BRWD3","BRWD3",-1,-1,24,"0.000565163064229268",1,0.999999790454415,2.09545585022089e-07
"CDK19","CDK19",-1,-1,23,"0.000566004198287784",1,0.999965786801936,3.42131980635258e-05
"TRIM24","TRIM24",-1,-1,22,"0.000589591822727997",1,1,4.40974275956491e-29
"KCTD1","KCTD1",-1,-1,22,"0.000591666219378006",1,0.0695583399577578,0.930441660042242
"WDR74","WDR74",-1,-1,24,"0.000602140586402733",1,0.999999999999691,3.09187420481059e-13
"FRMD5","FRMD5",-1,-1,24,"0.000604752949884935",1,0.926962174610992,0.0730378253890084
"BRSK1","BRSK1",-1,-1,22,"0.00060739595847914",1,1,8.71232743381165e-34
