"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"CDK1","CDK1",-1,-1,22,"3.33553195963153e-11",2.1834392207748e-07,1,2.10749537320988e-158
"RAC1","RAC1",-1,-1,20,"6.61998113038146e-08",0.000433277764983467,0.999999968590976,3.14090238405733e-08
"PRIM1","PRIM1",-1,-1,24,"1.67946922333475e-06",0.0109904465975026,1,2.16682397622383e-37
"REXO4","REXO4",-1,-1,22,"2.26879330613292e-06",0.0148447146020277,0.999999998907087,1.09291280498411e-09
"ITGB5","ITGB5",-1,-1,24,"5.16229788226066e-06",0.0337717527457492,0.998794909223273,0.00120509077672665
"HIF1A","HIF1A",-1,-1,24,"6.23723740140901e-06",0.0407977698426163,0.999999827984347,1.72015653429451e-07
"NFKB1","NFKB1",-1,-1,23,"7.3102015303451e-06",0.047808718008457,0.00052538567064419,0.999474614329356
"THRB","THRB",-1,-1,22,"8.78392408116001e-06",0.0574380795667053,8.53738710617901e-49,1
"RFC1","RFC1",-1,-1,22,"9.76987422243137e-06",0.0638754376662563,3.38336860578453e-12,0.999999999996617
"MIXL1","MIXL1",-1,-1,22,"1.04853591763307e-05",0.0685427929356738,0.999990745594495,9.25440550512578e-06
"ALS2CR8","ALS2CR8",-1,-1,24,"1.08904013717926e-05",0.0711796633660364,NA,NA
"MYO7B","MYO7B",-1,-1,23,"1.35387699541967e-05",0.0884758616506754,2.50565190839072e-14,0.999999999999975
"ETV1","ETV1",-1,-1,22,"1.66231834584851e-05",0.108615880717742,1.03480853458856e-17,1
"SMAD7","SMAD7",-1,-1,21,"2.0003800780372e-05",0.13068483049817,0.0375047902459617,0.962495209754038
"DHX35","DHX35",-1,-1,24,"2.52922118078713e-05",0.165208727529015,0.997934620963841,0.00206537903615902
"MMP3","MMP3",-1,-1,23,"3.07503192146696e-05",0.200830334791007,1,9.05363797343051e-29
"MMP10","MMP10",-1,-1,23,"3.07503192146696e-05",0.200830334791007,1,4.8996776130197e-18
"RBM44","RBM44",-1,-1,24,"4.12561820585356e-05",0.269361612660179,9.57899055572504e-11,0.99999999990421
"ABCC5","ABCC5",-1,-1,19,"4.46698301521752e-05",0.2916046512334,1,9.67866259370009e-58
"SLC4A8","SLC4A8",-1,-1,24,"4.53791000550481e-05",0.296189386059299,1,4.15234443308513e-34
