"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"CDH1","CDH1",2,0.00065798141600848,22,"0.0180730007869531",0.366495648716723,0.99999998309303,1.6906970097449e-08
"BRCA1","BRCA1",2,0.00687135515374127,22,"0.999355032555506",1,1,6.74893599103688e-67
"NSD1","NSD1",2,0.0110209259638527,22,"0.00113856729034789",1,0.834825396799348,0.165174603200652
"CHD9","CHD9",2,0.0432711049577992,22,"0.146307218676759",1,5.06371509956676e-29,1
"CENPE","CENPE",2,0.0491418772596937,22,"0.627893327055382",1,1,3.63272532092501e-140
"TTN","TTN",4,0.0641289437912281,20,"0.83908491059364",1,0.152921644750099,0.847078355249901
"CNTRL","CNTRL",3,0.06421508323773,21,"0.886170506103605",1,2.06152209404564e-05,0.99997938477906
"ATP8A2","ATP8A2",2,0.0898602951928311,22,"0.313400067488911",1,0.999854376337666,0.000145623662333579
"CFH","CFH",2,0.0945829468054444,22,"0.61018400758512",1,4.78289147637836e-16,1
"GPR98","GPR98",3,0.112937610090929,21,"0.657062595027826",1,NA,NA
"RBM23","RBM23",2,0.114756144934297,22,"0.0433314811444994",1,0.331446658622706,0.668553341377294
"CACNA1F","CACNA1F",2,0.115929925464651,22,"0.680700782572765",1,0.999999688744121,3.11255879391789e-07
"RNF213","RNF213",2,0.153751102006378,22,"0.00465994837957151",1,1,1.12891632492947e-39
"MCPH1","MCPH1",3,0.159813080793546,21,"0.511717175880643",1,3.5417470838313e-16,1
"ALPPL2","ALPPL2",2,0.161815943732401,22,"0.098234438076572",1,0.999999952725624,4.72743755742463e-08
"WHSC1L1","WHSC1L1",2,0.188230073357878,22,"0.338539361765961",1,NA,NA
"ARID1A","ARID1A",3,0.231108938559469,21,"0.563458076045205",1,0.999999989270424,1.072957631478e-08
"RBL2","RBL2",2,0.250277864498609,22,"0.938369005989734",1,6.77205383543718e-29,1
"PXK","PXK",2,0.270163592153429,22,"0.708386411442955",1,3.95610590025813e-11,0.999999999960439
"CDKL3","CDKL3",2,0.27241377358776,22,"0.849891819881109",1,0.99999983221121,1.67788790202098e-07
"MACF1","MACF1",2,0.280534487656422,22,"0.678551241889326",1,3.23964197628871e-11,0.999999999967604
"WDR87","WDR87",2,0.280763355254631,22,"0.0196886940930874",1,0.993680227762061,0.00631977223793909
"ROBO2","ROBO2",2,0.31469455140545,22,"0.000123830742606357",1,1,7.69178511272317e-19
"SKIV2L","SKIV2L",2,0.328226951758792,22,"0.997910252047579",1,1,1.29726970410246e-35
"NDUFS7","NDUFS7",2,0.330147943536372,22,"0.994888971478771",1,0.999996973755008,3.02624499195696e-06
"TRIM17","TRIM17",2,0.342360120789064,22,"0.754242982256026",1,0.999999992686588,7.31341243703768e-09
"KAT6B","KAT6B",2,0.365423054261109,22,"0.996341337216572",1,0.99999999917706,8.22940461919207e-10
"LIFR","LIFR",2,0.374025970822744,22,"0.98525761416959",1,7.4181929652012e-43,1
"ATP6AP1","ATP6AP1",2,0.385272243956878,22,"0.1892005572765",1,1,2.07443812420424e-122
"HOXB7","HOXB7",2,0.421003765562313,22,"0.955910361872748",1,0.947230769590998,0.0527692304090025
"UNC5C","UNC5C",2,0.46969617194755,22,"0.0410893695900887",1,0.0142553882820223,0.985744611717978
"CDK14","CDK14",2,0.47095536074414,22,"0.615292562409062",1,4.09995948785119e-05,0.999959000405122
"ATN1","ATN1",2,0.501602501851788,22,"0.959705247967556",1,8.07949046251175e-14,0.999999999999919
"TJP1","TJP1",2,0.50381125203175,22,"0.904368813953387",1,8.75962043782463e-27,1
"WDR64","WDR64",2,0.523692916999466,22,"0.14728364494985",1,0.995775556010293,0.00422444398970708
"COL4A3","COL4A3",3,0.541470069829261,21,"0.0101540692159942",1,2.41185798650828e-09,0.999999997588142
"SPEN","SPEN",2,0.543241076290727,22,"0.118371846688329",1,8.08021105999933e-20,1
"NCOA7","NCOA7",2,0.544481128631076,22,"0.982629960044416",1,1.02268036255257e-19,1
"CHD5","CHD5",2,0.554701300332337,22,"0.0190671208606276",1,0.999052245534503,0.000947754465496744
"MAGEC1","MAGEC1",2,0.573313511340638,22,"0.615959948355394",1,0.99983961356219,0.00016038643780967
"ABCA8","ABCA8",3,0.597203198791164,21,"0.00108583630947456",1,2.15663011379096e-23,1
"NCK1","NCK1",3,0.600670725622332,21,"0.516978529496307",1,3.56751007959019e-18,1
"ATRX","ATRX",2,0.603779191091034,22,"0.720846050706699",1,9.87885290446154e-11,0.999999999901211
"BRCA2","BRCA2",2,0.612310578275865,22,"0.52820152746266",1,1,1.24174413488989e-65
"KALRN","KALRN",2,0.623327237250864,22,"0.885821412187352",1,2.494466145525e-37,1
"ASH1L","ASH1L",2,0.642692515471999,22,"0.359599280136493",1,0.00932328647305406,0.990676713526946
"REV3L","REV3L",2,0.660037086480546,22,"0.864317843493976",1,2.49165925883806e-28,1
"DDX1","DDX1",2,0.670658316064024,22,"0.871961068161607",1,0.130438482904676,0.869561517095324
"MYH9","MYH9",2,0.681745798100726,22,"0.114013267097814",1,0.00116865710990304,0.998831342890097
"LRP1B","LRP1B",3,0.728182518038155,21,"0.96665220048031",1,0.996461055780679,0.00353894421932139
"FRAS1","FRAS1",2,0.759671262003055,22,"0.324916801678588",1,5.8447265396821e-06,0.99999415527346
"PHF20","PHF20",3,0.803750554135701,21,"0.439906509676467",1,0.999999999999723,2.76882294494997e-13
"CSMD1","CSMD1",2,0.806865114306112,22,"0.00144355940588159",1,7.4029024240729e-06,0.999992597097576
"PTPN13","PTPN13",2,0.817627782403974,22,"0.462741928935489",1,1.9207106741975e-08,0.999999980792893
"ZBTB41","ZBTB41",2,0.850728850943564,22,"0.938417451081005",1,1,7.11856151335846e-40
"ZWINT","ZWINT",2,0.854148845994882,22,"0.876847860119717",1,1,5.83237790914562e-164
"POTEJ","POTEJ",2,0.85889431427598,22,"0.973301575124594",1,0.999876120515007,0.000123879484992926
"CYP2A7","CYP2A7",2,0.865073074685791,22,"0.982465334331545",1,0.999590594766556,0.000409405233443581
"WDR78","WDR78",2,0.867992886397123,22,"0.0363505830802752",1,0.989127324657065,0.0108726753429351
"TRIP12","TRIP12",2,0.88174174033831,22,"0.963557484216226",1,9.64584501043122e-06,0.999990354154989
"TTC3","TTC3",5,0.889471559222845,19,"0.695241050406895",1,0.0620593295003604,0.93794067049964
"PTEN","PTEN",4,0.930420949195965,20,"0.835493412435965",1,1.57614850812425e-21,1
"ZFHX3","ZFHX3",2,0.966604637943177,22,"0.717532329351153",1,0.166107037875278,0.833892962124722
"ARID1B","ARID1B",3,0.980180753470742,21,"0.555153673267506",1,1.12362662064985e-14,0.999999999999989
"TP53","TP53",6,0.997444117492299,18,"0.644207114119112",1,0.989498619540055,0.0105013804599446
"GATA3","GATA3",2,0.99999485531686,22,"0.998103696631901",1,1,1.0857918705347e-88
"SLIT2","SLIT2",1,0.000763731873884455,23,"0.750787367065125",0.424634921879757,1.05777243454512e-24,1
"ACVR2A","ACVR2A",1,0.00290211576673005,23,"0.0106116689883313",1,1.03279199094035e-32,1
"PVRL1","PVRL1",1,0.00374219515320506,23,"0.0415620840665714",1,NA,NA
"TOP1","TOP1",1,0.00618606245931419,23,"0.540688850142131",1,1,1.47323779645225e-37
"TSC2","TSC2",1,0.00618606245931419,23,"0.00356506831370829",1,0.997414225321649,0.00258577467835107
"CNST","CNST",1,0.00824807549884388,23,"0.602657879421852",1,0.999999999999994,6.20034368765135e-15
