"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"MMP10","MMP10",2,0.00708790456796939,7,"0.0134387494758361",1,NA,NA
"MEP1A","MEP1A",2,0.0128606859425379,7,"0.605022220336499",1,NA,NA
"PHIP","PHIP",2,0.0332573444968834,7,"0.111410247276656",1,NA,NA
"GP5","GP5",2,0.0379207468877712,7,"0.878843555546631",1,NA,NA
"UBASH3B","UBASH3B",2,0.0393001496621324,7,"0.631394133621513",1,NA,NA
"KCNB2","KCNB2",2,0.0526036203679346,7,"0.903258813944382",1,NA,NA
"TP53","TP53",5,0.0635810368645808,4,"0.765625753168281",1,NA,NA
"LRIG3","LRIG3",2,0.0688299108111194,7,"0.0334721016986883",1,NA,NA
"ARHGEF28","ARHGEF28",2,0.0969896261880197,7,"0.708873635163277",1,NA,NA
"PKHD1","PKHD1",3,0.108003170113831,6,"0.0109431068378589",1,NA,NA
"MBD5","MBD5",2,0.114354037264949,7,"0.156126414955208",1,NA,NA
"ZNF496","ZNF496",2,0.128104246733963,7,"0.498907235163296",1,NA,NA
"NMBR","NMBR",2,0.141065117716373,7,"0.573243383932694",1,NA,NA
"GPR98","GPR98",2,0.157286228681947,7,"0.769547795937047",1,NA,NA
"SETD1A","SETD1A",2,0.175853669504003,7,"0.730181507702194",1,NA,NA
"MAP3K9","MAP3K9",2,0.209214689387186,7,"0.953999798283295",1,NA,NA
"MADD","MADD",2,0.233860314974528,7,"0.328750774885159",1,NA,NA
"MUC12","MUC12",2,0.234644422719571,7,"0.23098264059997",1,NA,NA
"TOR4A","TOR4A",2,0.24512288258601,7,"0.290315636825477",1,NA,NA
"LRP1B","LRP1B",2,0.256366069251336,7,"0.607416053077333",1,NA,NA
"MTMR14","MTMR14",2,0.304955815190374,7,"0.0851951421978814",1,NA,NA
"TTN","TTN",7,0.305387966283561,2,"0.166409962175134",1,NA,NA
"BAI3","BAI3",2,0.335756774440923,7,"0.0473506222517559",1,NA,NA
"ADRA2C","ADRA2C",2,0.362100895868847,7,"3.25881570281792e-05",1,NA,NA
"EPHA3","EPHA3",2,0.363076426501382,7,"0.364391452918701",1,NA,NA
"PARK2","PARK2",2,0.383829086135832,7,"0.382748362561362",1,NA,NA
"DENND3","DENND3",2,0.414165777161742,7,"0.92240031213215",1,NA,NA
"CR1","CR1",2,0.478761470157765,7,"0.622104832720917",1,NA,NA
"GRIA4","GRIA4",2,0.495656336268998,7,"0.107206540411559",1,NA,NA
"ZNF423","ZNF423",2,0.53207863675996,7,"0.260928365965728",1,NA,NA
