"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"DPYD","DPYD",-1,-1,8,"3.39495426071861e-06",0.0222199756364033,NA,NA
"PRMT10","PRMT10",-1,-1,9,"8.08342030070185e-06",0.0528979024477929,NA,NA
"USP1","USP1",-1,-1,9,"1.46065800413394e-05",0.0955708532104837,NA,NA
"OVOL1","OVOL1",-1,-1,9,"1.46088421338989e-05",0.0955710452399666,NA,NA
"SIM1","SIM1",-1,-1,8,"1.49388228052291e-05",0.0977148399690035,NA,NA
"PAQR8","PAQR8",-1,-1,9,"1.99027668424573e-05",0.130164095149671,NA,NA
"CSRNP3","CSRNP3",-1,-1,9,"2.88436815005598e-05",0.188608833332161,NA,NA
"ADRA2C","ADRA2C",-1,-1,7,"3.25881570281792e-05",0.213061370650236,NA,NA
"GLYR1","GLYR1",-1,-1,9,"3.57843615597125e-05",0.233922371515841,NA,NA
"NFIA","NFIA",-1,-1,9,"4.41978404829148e-05",0.288877085396331,NA,NA
"TCF21","TCF21",-1,-1,9,"4.73511527505604e-05",0.309439783224912,NA,NA
"STK31","STK31",-1,-1,7,"5.32533247809472e-05",0.347957224118709,NA,NA
"BCAR1","BCAR1",-1,-1,8,"5.3925112406743e-05",0.352292759353252,NA,NA
"FOXO4","FOXO4",-1,-1,9,"5.78237118628887e-05",0.377704485888389,NA,NA
"ZNF609","ZNF609",-1,-1,8,"5.98090811370099e-05",0.390613108905812,NA,NA
"CCNE2","CCNE2",-1,-1,9,"7.29918776063374e-05",0.476636960769383,NA,NA
"MPP7","MPP7",-1,-1,8,"7.4230158340616e-05",0.484648703805882,NA,NA
"CES5A","CES5A",-1,-1,8,"7.83563549315295e-05",0.511510284993025,NA,NA
"SOX14","SOX14",-1,-1,9,"8.25335091558638e-05",0.538696214260323,NA,NA
"POU4F1","POU4F1",-1,-1,8,"0.00010249845207213",0.66890489822272,NA,NA
"GSTP1","GSTP1",-1,-1,9,"0.000104774138039331",0.683651250706635,NA,NA
"PARP4","PARP4",-1,-1,9,"0.000113158534800512",0.73824628103854,NA,NA
"ACVR2A","ACVR2A",-1,-1,9,"0.000129682624996979",0.845919762855294,NA,NA
"PLCG1","PLCG1",-1,-1,9,"0.000134457787441778",0.876933689695276,NA,NA
"DNMT3B","DNMT3B",-1,-1,9,"0.000138509963766624",0.903223473722155,NA,NA
"ARHGAP42","ARHGAP42",-1,-1,9,"0.000161643603600803",1,NA,NA
"TPM3P9","TPM3P9",-1,-1,9,"0.000220316593838275",1,NA,NA
"TMEM71","TMEM71",-1,-1,9,"0.00024964128112114",1,NA,NA
"PER1","PER1",-1,-1,8,"0.000280730006874255",1,NA,NA
"FAM58BP","FAM58BP",-1,-1,9,"0.000340155820432376",1,NA,NA
"CD22","CD22",-1,-1,9,"0.000366495768955672",1,NA,NA
"SOX13","SOX13",-1,-1,9,"0.000370956562440642",1,NA,NA
"ETV5","ETV5",-1,-1,8,"0.000411413352752221",1,NA,NA
"ITGB6","ITGB6",-1,-1,9,"0.000419195085126025",1,NA,NA
"HOXA2","HOXA2",-1,-1,7,"0.00042837747787506",1,NA,NA
"CASC1","CASC1",-1,-1,9,"0.000463026192072562",1,NA,NA
"POU3F2","POU3F2",-1,-1,9,"0.000469986365301707",1,NA,NA
"CTSB","CTSB",-1,-1,9,"0.000478812785545656",1,NA,NA
"VPREB3","VPREB3",-1,-1,8,"0.000496074665351526",1,NA,NA
"OR6F1","OR6F1",-1,-1,9,"0.000502498017881197",1,NA,NA
"GPR158","GPR158",-1,-1,8,"0.000527196137839582",1,NA,NA
"USP28","USP28",-1,-1,8,"0.0006049118654671",1,NA,NA
"GPR84","GPR84",-1,-1,9,"0.00070951380422091",1,NA,NA
"CHRAC1","CHRAC1",-1,-1,8,"0.000715335507611874",1,NA,NA
"SIRPG","SIRPG",-1,-1,9,"0.00072059529239115",1,NA,NA
"GRIA2","GRIA2",-1,-1,9,"0.000722489676744139",1,NA,NA
"KDM4A","KDM4A",-1,-1,9,"0.000727912245778139",1,NA,NA
"KBTBD6","KBTBD6",-1,-1,9,"0.000741165079300127",1,NA,NA
"SGK223","SGK223",-1,-1,8,"0.000742419043412996",1,NA,NA
"MEIS2","MEIS2",-1,-1,8,"0.000764558593977417",1,NA,NA
"PARP15","PARP15",-1,-1,9,"0.000772703386854912",1,NA,NA
"LGALS9","LGALS9",-1,-1,9,"0.000789798552420624",1,NA,NA
"FOXL2","FOXL2",-1,-1,9,"0.000807534077238511",1,NA,NA
"GAS6","GAS6",-1,-1,7,"0.000807767631578061",1,NA,NA
"CDK19","CDK19",-1,-1,8,"0.00082569949785541",1,NA,NA
"HPD","HPD",-1,-1,9,"0.00087507101676477",1,NA,NA
